id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-ap-xe-gan-mcq-001,noi,Áp xe gan,Tiêu hoá,,Yếu tố nguy cơ dịch tễ học quan trọng nhất đối với bệnh áp xe gan do amip là gì?,Nghề nghiệp tiếp xúc với gia cầm,Sống ở vùng khí hậu ôn đới lạnh,Điều kiện vệ sinh môi trường kém,Có tiền sử truyền máu nhiều lần,,c,Bệnh do Entamoeba histolytica lây truyền chủ yếu qua đường phân - miệng. Điều kiện vệ sinh kém ở vùng nhiệt đới là yếu tố nguy cơ quyết định. Nguồn: Bệnh học nội khoa YHN.
noi-ap-xe-gan-mcq-002,noi,Áp xe gan,Tiêu hoá,,Tác nhân vi khuẩn nào hiện nay là nguyên nhân phổ biến nhất gây áp xe gan sinh mủ ở các nước châu Á?,Escherichia coli,Klebsiella pneumoniae,Staphylococcus aureus,Pseudomonas aeruginosa,,b,"Klebsiella pneumoniae đã vượt qua E. coli để trở thành nguyên nhân hàng đầu gây áp xe gan do vi khuẩn tại châu Á, đặc biệt ở người tiểu đường. Nguồn: CURRENT Medical Diagnosis & Treatment 2026."
noi-ap-xe-gan-mcq-003,noi,Áp xe gan,Tiêu hoá,,Amip (Entamoeba histolytica) xâm nhập vào gan gây áp xe chủ yếu qua con đường nào?,Động mạch gan,Tĩnh mạch cửa,Đường mật,Đường bạch huyết,,b,"Amip xuyên qua niêm mạc đại tràng, theo dòng máu của tĩnh mạch cửa đi lên gan để gây bệnh. Nguồn: Bệnh học nội khoa YHN."
noi-ap-xe-gan-mcq-004,noi,Áp xe gan,Tiêu hoá,,"Đối với áp xe gan do vi khuẩn sinh mủ, đường xâm nhập phổ biến nhất của mầm bệnh là gì?",Đường tĩnh mạch cửa,Đường động mạch gan,Đường mật,Chấn thương trực tiếp,,c,"Nhiễm trùng ngược dòng từ đường mật (do sỏi, giun sỏi, u) là nguyên nhân cơ học và đường vào thường gặp nhất của vi khuẩn sinh mủ."
noi-ap-xe-gan-mcq-005,noi,Áp xe gan,Tiêu hoá,,Nhóm đối tượng nào có tỷ lệ mắc áp xe gan do amip cao nhất trên lâm sàng?,"Nữ giới, 20-40 tuổi","Nam giới, 20-40 tuổi","Nữ giới, trên 60 tuổi","Nam giới, trên 60 tuổi",,b,"Dịch tễ học kinh điển ghi nhận bệnh áp xe gan amip gặp chủ yếu ở nam giới trong độ tuổi lao động trẻ (20-40 tuổi), tỷ lệ nam/nữ có thể lên tới 10/1."
noi-ap-xe-gan-mcq-006,noi,Áp xe gan,Tiêu hoá,,Bệnh lý nền nào có mối liên quan chặt chẽ nhất với hội chứng áp xe gan xâm lấn do vi khuẩn Klebsiella pneumoniae?,Xơ gan do rượu,Suy thận mạn tính,Đái tháo đường,Tăng huyết áp,,c,Hầu hết bệnh nhân mắc hội chứng Klebsiella pneumoniae xâm lấn (gây áp xe gan và di căn nhiễm khuẩn) đều có bệnh nền đái tháo đường kiểm soát kém.
noi-ap-xe-gan-mcq-007,noi,Áp xe gan,Tiêu hoá,,Thể nào của Entamoeba histolytica trực tiếp gây tổn thương và hoại tử mô gan?,Thể bào nang,Thể hoạt động nhỏ (minuta),Thể hoạt động lớn (magna),Thể sinh sản,,c,"Thể hoạt động lớn (magna) ăn hồng cầu, có khả năng tiết enzyme phá hủy mô, là thể trực tiếp gây tổn thương niêm mạc ruột và nhu mô gan."
noi-ap-xe-gan-mcq-008,noi,Áp xe gan,Tiêu hoá,,Đặc điểm đại thể kinh điển của mủ áp xe gan do amip (khi chưa có bội nhiễm) là gì?,"Màu vàng nhạt, lợn cợn","Màu xanh sẫm, mùi rất hôi","Màu nâu chocolate, không mùi",Trắng đục như sữa,,c,"Mủ amip bản chất là tổ chức gan hoại tử chảy máu, do đó có màu nâu chocolate (hoặc màu mắm nêm), không có mùi hôi trừ khi bị bội nhiễm vi khuẩn."
noi-ap-xe-gan-mcq-009,noi,Áp xe gan,Tiêu hoá,,Cơ chế chính giúp amip gây hoại tử tế bào gan là gì?,Tiết nội độc tố gây sốc tế bào,Gây huyết khối tắc mạch dẫn đến thiếu máu cục bộ,Tiết enzyme tiêu protein và độc tố tạo lỗ thủng màng,Kích hoạt cơn bão cytokine tại chỗ,,c,Amip tiết ra các enzyme proteolytic và các độc tố tạo lỗ thủng (amoebapores) làm hoại tử mô gan nhanh chóng mà không tạo ra phản ứng xơ hóa sớm.
noi-ap-xe-gan-mcq-010,noi,Áp xe gan,Tiêu hoá,,Vị trí và số lượng tổn thương thường gặp nhất của áp xe gan do amip là gì?,Đơn độc ở thùy phải,Đơn độc ở thùy trái,Nhiều ổ rải rác ở thùy phải,Nhiều ổ rải rác cả hai thùy,,a,Hơn 80% áp xe gan do amip là ổ đơn độc và nằm ở thùy phải (do dòng chảy tĩnh mạch cửa từ đại tràng phải đổ chủ yếu về thùy phải gan).
