id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-tam-phe-man-n2-mcq-001,noi,Tâm phế mạn,Hô hấp,,Tâm phế mạn được định nghĩa là tình trạng phì đại và suy giảm chức năng của cấu trúc tim nào sau đây do bệnh lý tại phổi?,Tâm nhĩ trái,Tâm thất trái,Tâm nhĩ phải,Tâm thất phải,,d,"Tâm phế mạn là sự phì đại và/hoặc giãn tâm thất phải, hậu quả của tăng áp lực động mạch phổi do các bệnh lý nguyên phát ở phổi, lồng ngực hoặc mạch máu phổi. Nguồn: Bệnh học nội khoa YHN."
noi-tam-phe-man-n2-mcq-002,noi,Tâm phế mạn,Hô hấp,,Nguyên nhân nào sau đây gây ra tâm phế mạn chiếm tỷ lệ cao nhất trên lâm sàng?,Xơ phổi vô căn,Bệnh phổi tắc nghẽn mạn tính,Gù vẹo cột sống,Tắc mạch phổi tái diễn,,b,"Bệnh phổi tắc nghẽn mạn tính (COPD) là nguyên nhân thường gặp nhất, chiếm khoảng 80-90% các trường hợp tâm phế mạn. Nguồn: Bệnh học nội khoa YHN."
noi-tam-phe-man-n2-mcq-003,noi,Tâm phế mạn,Hô hấp,,Bệnh lý nào sau đây KHÔNG được xếp vào nhóm nguyên nhân gây tâm phế mạn?,Giãn phế nang,Hẹp van hai lá,Bệnh bụi phổi,Hội chứng ngừng thở khi ngủ,,b,"Suy tim phải do các bệnh lý ở tim trái (như hẹp van hai lá, suy thất trái) hoặc bệnh tim bẩm sinh không được gọi là tâm phế mạn."
noi-tam-phe-man-n2-mcq-004,noi,Tâm phế mạn,Hô hấp,,"Theo phân loại tăng áp phổi của Tổ chức Y tế Thế giới, tâm phế mạn do các bệnh lý hô hấp thuộc nhóm nào?",Nhóm 1,Nhóm 2,Nhóm 3,Nhóm 4,,c,"Nhóm 3 là tăng áp phổi do bệnh lý phổi và/hoặc tình trạng thiếu oxy máu (như COPD, bệnh phổi kẽ). Nguồn: CURRENT Medical Diagnosis & Treatment 2026."
noi-tam-phe-man-n2-mcq-005,noi,Tâm phế mạn,Hô hấp,,Tổn thương nào sau đây thuộc nhóm nguyên nhân gây tâm phế mạn do rối loạn vận động lồng ngực?,Nhược cơ,Cắt thùy phổi,Viêm phế quản mạn,Thuyên tắc phổi,,a,"Bệnh lý thần kinh cơ như nhược cơ, bại liệt, hoặc dị dạng lồng ngực làm giảm thông khí phế nang, dẫn đến thiếu oxy và tăng áp phổi."
noi-tam-phe-man-n2-mcq-006,noi,Tâm phế mạn,Hô hấp,,Đặc điểm dịch tễ nào sau đây đúng với tâm phế mạn?,Ít gặp ở nam giới hơn nữ giới,Chiếm tỷ lệ thấp nhất trong các loại suy tim,Tỷ lệ mắc tăng lên cùng với sự gia tăng của bệnh phổi tắc nghẽn mạn tính,Đa số khởi phát ở người dưới 30 tuổi,,c,"Sự gia tăng tỷ lệ hút thuốc lá và ô nhiễm môi trường làm tăng tỷ lệ COPD, kéo theo sự gia tăng của tâm phế mạn. Thường gặp ở nam giới lớn tuổi."
noi-tam-phe-man-n2-mcq-007,noi,Tâm phế mạn,Hô hấp,,Yếu tố sinh lý bệnh nào đóng vai trò khởi đầu và quan trọng nhất dẫn đến biến đổi cấu trúc thất phải trong tâm phế mạn?,Giảm thể tích máu,Tăng áp lực động mạch phổi,Tăng sức cản ngoại vi,Rối loạn nhịp nhĩ,,b,"Tăng áp lực động mạch phổi mạn tính làm tăng hậu gánh thất phải, dẫn đến phì đại và cuối cùng là suy thất phải."
noi-tam-phe-man-n2-mcq-008,noi,Tâm phế mạn,Hô hấp,,Hiện tượng co mạch phổi thiếu oxy được gọi là phản xạ gì?,Phản xạ Hering-Breuer,Phản xạ Bainbridge,Phản xạ Euler-Liljestrand,Phản xạ Bezold-Jarisch,,c,"Phản xạ Euler-Liljestrand là hiện tượng co cơ trơn tiểu động mạch phổi khi phế nang bị thiếu oxy, nhằm phân bố lại máu đến các vùng phổi thông khí tốt hơn."
noi-tam-phe-man-n2-mcq-009,noi,Tâm phế mạn,Hô hấp,,Yếu tố nào sau đây hiệp đồng với tình trạng thiếu oxy máu làm trầm trọng thêm sự co mạch phổi?,Nhiễm toan máu,Nhiễm kiềm hô hấp,Giảm kali máu,Tăng natri máu,,a,"Tình trạng tăng CO2 máu gây nhiễm toan hô hấp. Ion H+ làm tăng tính nhạy cảm của mạch máu phổi với tình trạng thiếu oxy, gây co mạch mạnh hơn. Nguồn: Bệnh học nội khoa YHN."
noi-tam-phe-man-n2-mcq-010,noi,Tâm phế mạn,Hô hấp,,Đa hồng cầu thứ phát trong tâm phế mạn gây ra hậu quả sinh lý bệnh nào sau đây?,Giảm sức cản mạch phổi,Tăng cung lượng tim,Tăng độ quánh của máu,Tăng khả năng trao đổi khí,,c,"Đa hồng cầu do thiếu oxy mạn tính làm tăng độ quánh của máu, từ đó làm tăng sức cản mạch phổi và tăng gánh nặng cho thất phải."
