id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-ran-can-mcq-001,noi,Rắn cắn,Hồi sức cấp cứu,,Các loài rắn độc tại Việt Nam chủ yếu được chia thành hai họ chính nào?,Họ Rắn lục và họ Rắn nước,Họ Rắn hổ và họ Rắn lục,Họ Rắn biển và họ Rắn nước,Họ Rắn hổ và họ Rắn trăn,,b,Hai họ rắn độc chính có ý nghĩa lâm sàng lớn nhất tại Việt Nam là họ Rắn lục (Viperidae) và họ Rắn hổ (Elapidae). Nguồn: Bệnh học nội khoa YHN.
noi-ran-can-mcq-002,noi,Rắn cắn,Hồi sức cấp cứu,,Rắn cạp nia thuộc nhóm họ rắn độc nào sau đây?,Họ Rắn lục,Họ Rắn biển,Họ Rắn nước,Họ Rắn hổ,,d,"Rắn cạp nia, cạp nong, hổ mang và hổ chúa đều thuộc họ Rắn hổ, đặc trưng bởi nọc độc chứa các độc tố thần kinh."
noi-ran-can-mcq-003,noi,Rắn cắn,Hồi sức cấp cứu,,Đặc điểm hình thể nào sau đây thường đặc trưng nhất cho họ Rắn lục?,"Đầu vồ hình tam giác, cổ nhỏ phân biệt rõ với thân","Đầu bầu dục, thân có khoang đen trắng xen kẽ",Cổ có khả năng bành rộng ra khi tức giận,Đuôi dẹt như mái chèo,,a,"Rắn lục thường có đầu to hình tam giác do chứa tuyến nọc lớn hai bên má, cổ nhỏ, hai răng nanh phía trước rất dài và có thể gấp nếp."
noi-ran-can-mcq-004,noi,Rắn cắn,Hồi sức cấp cứu,,Biến chứng nổi bật và nguy hiểm nhất do rắn lục đuôi đỏ cắn là gì?,Liệt các cơ hô hấp,Suy thận cấp do tiêu cơ vân,Rối loạn đông máu và xuất huyết,Hoại tử lan rộng toàn thân,,c,"Nọc rắn lục chủ yếu chứa các độc tố tác động lên hệ huyết học, gây tiêu thụ các yếu tố đông máu dẫn đến xuất huyết nghiêm trọng. Nguồn: Bệnh học nội khoa YHN."
noi-ran-can-mcq-005,noi,Rắn cắn,Hồi sức cấp cứu,,Nguyên nhân tử vong nhanh nhất và thường gặp nhất ở bệnh nhân bị rắn hổ mang chúa cắn là gì?,Sốc mất máu do xuất huyết ồ ạt,Suy hô hấp do liệt cơ hoành và cơ liên sườn,Rung thất do nhiễm độc cơ tim,Suy thận cấp,,b,"Nọc rắn hổ mang chúa chứa độc tố thần kinh cực mạnh, ức chế dẫn truyền thần kinh cơ gây liệt các cơ hô hấp dẫn đến suy hô hấp cấp và tử vong sớm."
noi-ran-can-mcq-006,noi,Rắn cắn,Hồi sức cấp cứu,,Tỷ lệ các ca rắn độc cắn nhưng không bơm nọc vào cơ thể nạn nhân (vết cắn khô) thường chiếm khoảng bao nhiêu phần trăm?,Dưới 5 phần trăm,Khoảng 20 đến 30 phần trăm,Khoảng 60 đến 70 phần trăm,Trên 90 phần trăm,,b,"Hiện tượng vết cắn khô khá phổ biến (20-30% tuỳ loài), do rắn chủ động điều tiết lượng nọc, giải thích lý do nhiều ca rắn độc cắn không có triệu chứng nhiễm độc lâm sàng."
noi-ran-can-mcq-007,noi,Rắn cắn,Hồi sức cấp cứu,,Cơ chế gây độc thần kinh chủ yếu của nọc rắn cạp nia là gì?,Phá huỷ trực tiếp bao myelin thần kinh ngoại biên,Ức chế giải phóng chất dẫn truyền tại tiền màng bọc thần kinh,Cạnh tranh thụ thể tại hậu màng bọc thần kinh,Gây hoại tử trực tiếp thân tế bào thần kinh vận động,,b,"Độc tố alpha-bungarotoxin của cạp nia phá hủy và ức chế giải phóng các hạt chứa chất dẫn truyền tại màng trước synapse, dẫn đến liệt cơ kéo dài và chậm hồi phục."
noi-ran-can-mcq-008,noi,Rắn cắn,Hồi sức cấp cứu,,"Thành phần enzyme nào trong nọc rắn họ lục đóng vai trò chính gây tiêu hủy màng mỡ của tế bào, dẫn đến sưng nề và hoại tử mô?",Hyaluronidase,Acetylcholinesterase,L-amino acid oxidase,Phospholipase A2,,d,"Phospholipase A2 thuỷ phân lớp phospholipid màng tế bào, gây vỡ tế bào, tổn thương mô diện rộng và kích hoạt dòng thác viêm cục bộ."
noi-ran-can-mcq-009,noi,Rắn cắn,Hồi sức cấp cứu,,"Khác với rắn cạp nia, nọc rắn hổ mang thường tác động gây liệt cơ qua cơ chế nào?",Chẹn cạnh tranh các thụ thể ở hậu màng bọc thần kinh,Ức chế giải phóng chất dẫn truyền ở tiền màng bọc thần kinh,Ức chế men phân huỷ chất dẫn truyền thần kinh,Phá huỷ trực tiếp sợi cơ vân,,a,"Nọc rắn hổ mang chứa neurotoxin tác dụng sau synapse (hậu màng), cạnh tranh với chất dẫn truyền, do đó liệt thường xuất hiện nhanh nhưng cũng đáp ứng nhanh hơn với huyết thanh."
noi-ran-can-mcq-010,noi,Rắn cắn,Hồi sức cấp cứu,,Cơ chế gây hội chứng giống đông máu rải rác trong lòng mạch do nọc rắn lục là gì?,Ức chế trực tiếp quá trình tổng hợp yếu tố đông máu tại gan,Phá huỷ trực tiếp số lượng lớn tiểu cầu,Kích hoạt và làm tiêu thụ ồ ạt các yếu tố đông máu,Tăng sinh mạnh mẽ các yếu tố chống đông tự nhiên,,c,"Nọc rắn lục chứa các enzym giống thrombin, kích hoạt chuyển fibrinogen thành fibrin không bền vững, làm tiêu thụ ồ ạt yếu tố đông máu và gây chảy máu thứ phát. Nguồn: Bệnh học nội khoa YHN."
