id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-viem-mang-ngoai-tim-casen2-1-1,noi,Viêm màng ngoài tim,Tim mạch,"Bệnh nhân nam 45 tuổi, nhập viện vì ho khạc đờm nhiều, đau tức ngực và sốt nhẹ. Khám lâm sàng thấy có hội chứng ba giảm ở đáy phổi phải. Tiền sử bệnh nhân có nhiều đợt viêm phế quản mạn tính và hút thuốc lá 20 bao/năm. X- quang ngực cho thấy hình ảnh mờ đồng nhất ở vùng đáy phổi phải. Chọc dịch màng phổi ra dịch đục, nhiều bạch cầu đa nhân thoái hóa.",Đặc điểm nào của dịch màng phổi giúp chẩn đoán xác định tràn mủ màng phổi?,Dịch có màu vàng chanh,Dịch chứa nhiều tế bào lympho,Dịch có nhiều bạch cầu đa nhân thoái hóa,Dịch có pH > 7.2,,c,"Đặc điểm của dịch tràn mủ màng phổi là dịch đục, chứa nhiều bạch cầu đa nhân thoái hóa và sợi tơ huyết. Các đáp án A, B, D thường gặp trong tràn dịch màng phổi dịch tiết hoặc các bệnh lý khác."
noi-viem-mang-ngoai-tim-casen2-1-2,noi,Viêm màng ngoài tim,Tim mạch,"Bệnh nhân nam 45 tuổi, nhập viện vì ho khạc đờm nhiều, đau tức ngực và sốt nhẹ. Khám lâm sàng thấy có hội chứng ba giảm ở đáy phổi phải. Tiền sử bệnh nhân có nhiều đợt viêm phế quản mạn tính và hút thuốc lá 20 bao/năm. X- quang ngực cho thấy hình ảnh mờ đồng nhất ở vùng đáy phổi phải. Chọc dịch màng phổi ra dịch đục, nhiều bạch cầu đa nhân thoái hóa.","Ở bệnh nhân tràn mủ màng phổi khu trú, đã vách hóa, phương pháp chẩn đoán hình ảnh nào được ưu tiên để xác định vị trí dẫn lưu?",X-quang ngực thẳng,Chụp cắt lớp vi tính lồng ngực,Siêu âm màng phổi,Cả B và C đều đúng,,d,"Chụp cắt lớp vi tính lồng ngực và siêu âm màng phổi là các phương pháp giúp chẩn đoán phân biệt giữa tràn khí màng phổi thể khu trú, kén khí, bóng khí lớn và xác định vị trí thích hợp để mở màng phổi dẫn lưu."
noi-viem-mang-ngoai-tim-casen2-1-3,noi,Viêm màng ngoài tim,Tim mạch,"Bệnh nhân nam 45 tuổi, nhập viện vì ho khạc đờm nhiều, đau tức ngực và sốt nhẹ. Khám lâm sàng thấy có hội chứng ba giảm ở đáy phổi phải. Tiền sử bệnh nhân có nhiều đợt viêm phế quản mạn tính và hút thuốc lá 20 bao/năm. X- quang ngực cho thấy hình ảnh mờ đồng nhất ở vùng đáy phổi phải. Chọc dịch màng phổi ra dịch đục, nhiều bạch cầu đa nhân thoái hóa.",Kháng sinh nào thường được chọn ban đầu khi chưa có kháng sinh đồ cho bệnh nhân tràn mủ màng phổi?,Penicillin G kết hợp Aminoglycosid,Amoxicillin/acid clavulanic hoặc Cephalosporin thế hệ 3 kết hợp Quinolon,Macrolide kết hợp Tetracycline,Vancomycin kết hợp Clindamycin,,b,"Khi chưa có kháng sinh đồ, việc lựa chọn kháng sinh ban đầu cho tràn mủ màng phổi thường bao gồm các kháng sinh có phổ rộng, tác dụng lên các vi khuẩn kỵ khí, phế cầu và trực khuẩn Gram âm. Amoxicillin/acid clavulanic hoặc Cephalosporin thế hệ 3 kết hợp với Quinolon là một trong những phác đồ được khuyến cáo."
noi-viem-mang-ngoai-tim-casen2-1-4,noi,Viêm màng ngoài tim,Tim mạch,"Bệnh nhân nam 45 tuổi, nhập viện vì ho khạc đờm nhiều, đau tức ngực và sốt nhẹ. Khám lâm sàng thấy có hội chứng ba giảm ở đáy phổi phải. Tiền sử bệnh nhân có nhiều đợt viêm phế quản mạn tính và hút thuốc lá 20 bao/năm. X- quang ngực cho thấy hình ảnh mờ đồng nhất ở vùng đáy phổi phải. Chọc dịch màng phổi ra dịch đục, nhiều bạch cầu đa nhân thoái hóa.","Trong trường hợp tràn mủ màng phổi dính, vách hóa nhiều, ngoài dẫn lưu, biện pháp nào sau đây có thể được sử dụng?",Bơm rửa hàng ngày với nước cất,"Bơm rửa kết hợp tiêu sợi huyết (streptokinase, urokinase)",Tiêm corticoid vào màng phổi,Xạ trị màng phổi,,b,"Trong các trường hợp màng phổi dính, vách hóa nhiều, việc bơm rửa kết hợp với sử dụng tiêu sợi huyết như streptokinase hoặc urokinase giúp làm tan các vách ngăn, tăng cường hiệu quả dẫn lưu."
noi-viem-mang-ngoai-tim-casen2-2-1,noi,Viêm màng ngoài tim,Tim mạch,"phổi ác tính tái lập nhanh, việc gây dính màng phổi (pleurodesis) bằng các chất gây xơ hóa (như bột talc, povidine iod) được thực hiện để làm dính lá thành và lá tạng màng phổi, ngăn chặn khoang màng phổi tích tụ dịch trở lại, giúp bệnh nhân giảm khó thở và cải thiện chất lượng cuộc sống. Bệnh nhân nữ 25 tuổi, nhập viện vì ho khan, đau tức ngực phải, sốt nhẹ về chiều và gầy sút cân. Khám phổi có hội chứng ba giảm ở đáy phổi phải. Chụp X-quang phổi thấy tràn dịch màng phổi phải lượng vừa. Chọc dịch màng phổi ra dịch màu vàng chanh.",Đặc điểm tế bào học nào của dịch màng phổi gợi ý nhiều đến nguyên nhân do lao?,Chủ yếu bạch cầu đa nhân trung tính,Chủ yếu tế bào lympho (thường > 50%),Nhiều tế bào bạch cầu ái toan,Có nhiều tế bào ác tính,,b,"Trong tràn dịch màng phổi do lao, dịch màng phổi thường là dịch tiết, màu vàng chanh, và đặc trưng bởi sự tăng cao của tế bào lympho (thường > 50% tổng số tế bào)."
noi-viem-mang-ngoai-tim-casen2-2-2,noi,Viêm màng ngoài tim,Tim mạch,"phổi ác tính tái lập nhanh, việc gây dính màng phổi (pleurodesis) bằng các chất gây xơ hóa (như bột talc, povidine iod) được thực hiện để làm dính lá thành và lá tạng màng phổi, ngăn chặn khoang màng phổi tích tụ dịch trở lại, giúp bệnh nhân giảm khó thở và cải thiện chất lượng cuộc sống. Bệnh nhân nữ 25 tuổi, nhập viện vì ho khan, đau tức ngực phải, sốt nhẹ về chiều và gầy sút cân. Khám phổi có hội chứng ba giảm ở đáy phổi phải. Chụp X-quang phổi thấy tràn dịch màng phổi phải lượng vừa. Chọc dịch màng phổi ra dịch màu vàng chanh.",Xét nghiệm vi sinh nào trên dịch màng phổi giúp khẳng định chẩn đoán tràn dịch màng phổi do lao?,Cấy vi khuẩn mủ thông thường,Nhuộm Gram,"Nhuộm soi tìm AFB, PCR-MTB, nuôi cấy vi khuẩn lao (MGIT)",Tìm nấm,,c,"Các xét nghiệm đặc hiệu để tìm vi khuẩn lao bao gồm nhuộm soi trực tiếp tìm AFB, phản ứng khuếch đại chuỗi PCR-MTB, và nuôi cấy vi khuẩn lao (như môi trường MGIT hoặc Lowenstein)."
noi-viem-mang-ngoai-tim-casen2-2-3,noi,Viêm màng ngoài tim,Tim mạch,"phổi ác tính tái lập nhanh, việc gây dính màng phổi (pleurodesis) bằng các chất gây xơ hóa (như bột talc, povidine iod) được thực hiện để làm dính lá thành và lá tạng màng phổi, ngăn chặn khoang màng phổi tích tụ dịch trở lại, giúp bệnh nhân giảm khó thở và cải thiện chất lượng cuộc sống. Bệnh nhân nữ 25 tuổi, nhập viện vì ho khan, đau tức ngực phải, sốt nhẹ về chiều và gầy sút cân. Khám phổi có hội chứng ba giảm ở đáy phổi phải. Chụp X-quang phổi thấy tràn dịch màng phổi phải lượng vừa. Chọc dịch màng phổi ra dịch màu vàng chanh.","Ngoài xét nghiệm dịch màng phổi, xét nghiệm nào sau đây có thể hỗ trợ chẩn đoán lao màng phổi?",Sinh thiết màng phổi mù bằng kim Cope,Điện tâm đồ,Siêu âm ổ bụng,Đo chức năng hô hấp,,a,"Sinh thiết màng phổi mù bằng kim Cope giúp lấy mảnh mô màng phổi để xét nghiệm giải phẫu bệnh, tìm nang lao điển hình (tổn thương viêm hạt có hoại tử bã đậu), giúp chẩn đoán xác định lao màng phổi khi xét nghiệm vi sinh âm tính."
noi-viem-mang-ngoai-tim-casen2-2-4,noi,Viêm màng ngoài tim,Tim mạch,"phổi ác tính tái lập nhanh, việc gây dính màng phổi (pleurodesis) bằng các chất gây xơ hóa (như bột talc, povidine iod) được thực hiện để làm dính lá thành và lá tạng màng phổi, ngăn chặn khoang màng phổi tích tụ dịch trở lại, giúp bệnh nhân giảm khó thở và cải thiện chất lượng cuộc sống. Bệnh nhân nữ 25 tuổi, nhập viện vì ho khan, đau tức ngực phải, sốt nhẹ về chiều và gầy sút cân. Khám phổi có hội chứng ba giảm ở đáy phổi phải. Chụp X-quang phổi thấy tràn dịch màng phổi phải lượng vừa. Chọc dịch màng phổi ra dịch màu vàng chanh.","Nếu chẩn đoán là tràn dịch màng phổi do lao, phác đồ điều trị nội khoa nào là nguyên tắc cơ bản?","Chỉ dùng thuốc giảm đau, hạ sốt","Dùng kháng sinh phổ rộng (Cephalosporin, Quinolon)",Dùng phác đồ thuốc chống lao theo hướng dẫn của Chương trình chống lao quốc gia,Dùng corticoid liều cao đơn độc,,c,"Tràn dịch màng phổi do lao là một thể lao ngoài phổi, nguyên tắc điều trị bắt buộc là sử dụng phác đồ thuốc chống lao phối hợp đúng, đủ liều, và đủ thời gian theo hướng dẫn."
noi-viem-mang-ngoai-tim-casen2-3-1,noi,Viêm màng ngoài tim,Tim mạch,"một cấp cứu khẩn cấp. Việc chọc một kim to vào khoang liên sườn 2 đường giữa xương đòn (hoặc khoang liên sườn 4-5 đường nách giữa tùy hướng dẫn hiện hành) giúp giải phóng áp lực khí ra ngoài ngay lập tức, cứu sống bệnh nhân trước khi có thể mở màng phổi dẫn lưu chính thức. Bệnh nhân nữ 20 tuổi, thể trạng gầy, cao, đột ngột đau tức ngực phải và khó thở nhẹ khi đang ngồi nghỉ. Không có tiền sử chấn thương hay bệnh lý hô hấp trước đó. Khám thấy lồng ngực phải ít di động, gõ vang, rì rào phế nang giảm nhẹ. X-quang ngực thấy một dải tăng sáng vô mạch ở ngoại vi phổi phải, bề rộng khoảng 1.5 cm.",Chẩn đoán lâm sàng phù hợp nhất cho bệnh nhân này là gì?,Tràn mủ màng phổi,Tràn dịch màng phổi do lao,Tràn khí màng phổi tự phát nguyên phát,Tràn khí màng phổi thứ phát do COPD,,c,"Tràn khí màng phổi xuất hiện đột ngột ở người trẻ, thể trạng gầy, cao, không có bệnh lý phổi nền hay chấn thương được gọi là tràn khí màng phổi tự phát nguyên phát."
noi-viem-mang-ngoai-tim-casen2-3-2,noi,Viêm màng ngoài tim,Tim mạch,"một cấp cứu khẩn cấp. Việc chọc một kim to vào khoang liên sườn 2 đường giữa xương đòn (hoặc khoang liên sườn 4-5 đường nách giữa tùy hướng dẫn hiện hành) giúp giải phóng áp lực khí ra ngoài ngay lập tức, cứu sống bệnh nhân trước khi có thể mở màng phổi dẫn lưu chính thức. Bệnh nhân nữ 20 tuổi, thể trạng gầy, cao, đột ngột đau tức ngực phải và khó thở nhẹ khi đang ngồi nghỉ. Không có tiền sử chấn thương hay bệnh lý hô hấp trước đó. Khám thấy lồng ngực phải ít di động, gõ vang, rì rào phế nang giảm nhẹ. X-quang ngực thấy một dải tăng sáng vô mạch ở ngoại vi phổi phải, bề rộng khoảng 1.5 cm.","Dựa vào hình ảnh X-quang (dải sáng < 2cm), mức độ tràn khí màng phổi của bệnh nhân này được phân loại là:",Tràn khí màng phổi lượng ít (< 15% thể tích bên tràn khí),Tràn khí màng phổi lượng nhiều (> 15% thể tích bên tràn khí),Tràn khí màng phổi áp lực,Tràn khí màng phổi khu trú,,a,Tràn khí màng phổi với dải khí sát màng phổi có bề rộng < 2cm trên phim X-quang thường được đánh giá là tràn khí màng phổi lượng ít (khoảng < 15% thể tích khoang màng phổi bên đó).
