id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-leukemia-cap-mcq-001,noi,Leukemia cấp,Huyết học,,"Theo phân loại của Tổ chức Y tế Thế giới (WHO), tiêu chuẩn tỷ lệ tế bào blast tối thiểu trong tủy xương hoặc máu ngoại vi để chẩn đoán xác định lơ xê mi cấp là bao nhiêu?",Lớn hơn hoặc bằng 10%,Lớn hơn hoặc bằng 20%,Lớn hơn hoặc bằng 30%,Lớn hơn hoặc bằng 40%,,b,"Tiêu chuẩn chẩn đoán lơ xê mi cấp hiện hành yêu cầu tỷ lệ blast ≥20%. Mốc 30% thuộc về phân loại FAB cũ, đây là ""bẫy kinh điển"" sinh viên cần cập nhật. Nguồn: Bệnh học nội khoa YHN."
noi-leukemia-cap-mcq-002,noi,Leukemia cấp,Huyết học,,Nhóm bệnh lơ xê mi cấp nào phổ biến nhất ở người trưởng thành?,Lơ xê mi cấp dòng tủy,Lơ xê mi cấp dòng lympho,Lơ xê mi mạn dòng tủy,Lơ xê mi mạn dòng lympho,,a,Lơ xê mi cấp dòng tủy chiếm khoảng 80% các trường hợp lơ xê mi cấp ở người lớn. Trong khi đó dòng lympho chủ yếu gặp ở trẻ em. Nguồn: CURRENT Medical Diagnosis & Treatment 2026.
noi-leukemia-cap-mcq-003,noi,Leukemia cấp,Huyết học,,Loại lơ xê mi nào chiếm tỷ lệ cao nhất và là nguyên nhân hàng đầu gây ung thư ở trẻ em?,Lơ xê mi cấp dòng lympho,Lơ xê mi cấp dòng tủy,Lơ xê mi mạn dòng tủy,Lơ xê mi mạn dòng lympho,,a,Lơ xê mi cấp dòng lympho chiếm tỷ lệ áp đảo (khoảng 75-80%) trong các bệnh bạch cầu ở trẻ nhỏ. Đây là đặc điểm dịch tễ cốt lõi cần ghi nhớ. Nguồn: Bệnh học nội khoa YHN.
noi-leukemia-cap-mcq-004,noi,Leukemia cấp,Huyết học,,Hệ thống phân loại bệnh lơ xê mi cấp hiện đại của WHO ngày nay ưu tiên dựa vào tiêu chuẩn nào nhất để phân nhóm tiên lượng và hướng dẫn điều trị?,Hình thái học tế bào thuần túy,Mức độ tăng số lượng bạch cầu ngoại vi,Bất thường về di truyền tế bào và sinh học phân tử,Đáp ứng lâm sàng sau tuần hóa trị đầu tiên,,c,"Phân loại WHO hiện hành đã chuyển từ phân loại hình thái (như FAB) sang chú trọng bất thường gen và nhiễm sắc thể (ví dụ t(15;17), đột biến NPM1) vì chúng quyết định trực tiếp tiên lượng và lựa chọn thuốc nhắm đích. Nguồn: Bệnh học nội khoa YHN."
noi-leukemia-cap-mcq-005,noi,Leukemia cấp,Huyết học,,Yếu tố nguy cơ nào sau đây đóng vai trò quan trọng nhất gây ra lơ xê mi cấp thứ phát?,Đái tháo đường typ 2 kiểm soát kém,Tiền sử điều trị hóa trị hoặc xạ trị trước đó,Bệnh thận mạn tính giai đoạn cuối,Tình trạng nhiễm virus viêm gan B mạn,,b,"Lơ xê mi cấp thứ phát (đặc biệt dòng tủy) thường khởi phát sau vài năm bệnh nhân được điều trị bằng các thuốc hóa chất (như tác nhân alkyl hóa, thuốc ức chế topoisomerase II) hoặc xạ trị các ung thư khác."
noi-leukemia-cap-mcq-006,noi,Leukemia cấp,Huyết học,,Bệnh nhi mắc hội chứng di truyền nào sau đây có nguy cơ phát triển lơ xê mi cấp cao hơn nhiều lần so với trẻ bình thường?,Hội chứng Turner,Hội chứng Down,Hội chứng Marfan,Hội chứng Klinefelter,,b,"Trẻ mắc hội chứng Down (Trisomy 21) có nguy cơ mắc lơ xê mi cấp (cả dòng lympho và dòng tủy, đặc biệt là thể mẫu tiểu cầu) cao gấp 10-20 lần trẻ bình thường. Nguồn: Bệnh học nội khoa YHN."
noi-leukemia-cap-mcq-007,noi,Leukemia cấp,Huyết học,,Cơ chế bệnh sinh cốt lõi nhất của bệnh lơ xê mi cấp là gì?,Tăng sinh tế bào ác tính có chừng mực kèm biệt hóa bình thường,Sự ngừng trệ quá trình biệt hóa kết hợp tăng sinh không kiểm soát của tế bào non,Tăng tốc độ chu kỳ tế bào ở các tế bào máu đã trưởng thành,Chết tế bào theo chương trình diễn ra quá mức gây suy tủy,,b,"Hai rối loạn cơ bản trong bạch cầu cấp là mất khả năng biệt hóa trưởng thành (tạo ra tế bào blast) và mất kiểm soát tăng sinh, khiến blast ác tính tích lũy lấn át tủy xương bình thường. Nguồn: Bệnh học nội khoa YHN."
noi-leukemia-cap-mcq-008,noi,Leukemia cấp,Huyết học,,Sự gia tăng nồng độ acid uric trong hội chứng ly giải u có nguồn gốc chủ yếu từ quá trình nào?,Tăng phân hủy protein từ tế bào cơ vân,Dị hóa lượng lớn acid nucleic giải phóng từ tế bào khối u bị phá hủy,Khả năng bài tiết của ống thận bị suy giảm đột ngột,Tăng thoái hóa lớp lipid màng tế bào blast,,b,"Khi tế bào u vỡ hàng loạt, nhân tế bào giải phóng purine nội bào. Quá trình dị hóa nhân purine qua men xanthine oxidase tạo ra lượng lớn acid uric gây tăng uric máu. Nguồn: CURRENT Medical Diagnosis & Treatment 2026."
noi-leukemia-cap-mcq-009,noi,Leukemia cấp,Huyết học,,Biến chứng hạ canxi máu trong hội chứng ly giải u được giải thích bởi cơ chế nào sau đây?,Canxi bị gắn kết mạnh với albumin huyết thanh tăng cao,Canxi kết tủa cùng với lượng phospho máu được giải phóng ồ ạt,Tình trạng suy tuyến cận giáp cấp tính do thâm nhiễm bạch cầu,Giảm hấp thu canxi tại ruột do tác dụng phụ của hóa chất,,b,"Tế bào u vỡ giải phóng lượng lớn phospho nội bào gây tăng phospho máu cấp tính. Phospho thừa sẽ gắn kết với canxi tự do trong máu tạo thành muối canxi phosphat kết tủa, dẫn đến hạ canxi máu thứ phát. Đây là bẫy sinh lý bệnh rất hay gặp."
noi-leukemia-cap-mcq-010,noi,Leukemia cấp,Huyết học,,"Hội chứng tắc mạch bạch cầu (leukostasis) thường gặp ở bệnh nhân lơ xê mi cấp dòng tủy nhiều hơn dòng lympho với cùng số lượng bạch cầu, cơ chế chính là gì?",Tế bào blast dòng tủy có kích thước lớn hơn và độ cứng màng tế bào cao hơn,Tế bào dòng tủy có khả năng di chuyển tự do qua thành mạch nhanh hơn,Dòng tủy thường kèm theo tăng số lượng tiểu cầu thứ phát,Dòng tủy sinh ra nhiều chất trung gian gây co mạch hệ thống,,a,"Blast tủy (myeloblast) có kích thước lớn và ít biến dạng (cứng) hơn so với blast lympho, khiến chúng dễ bị mắc kẹt và làm tắc nghẽn các vi mạch (não, phổi) khi số lượng bạch cầu tăng cao (> 100 G/L)."
noi-leukemia-cap-mcq-011,noi,Leukemia cấp,Huyết học,,Tình trạng giảm ba dòng tế bào máu ngoại vi bình thường trong lơ xê mi cấp chủ yếu là do nguyên nhân nào?,Sự xuất hiện của các tự kháng thể chống lại tế bào máu bình thường,Tế bào ác tính tăng sinh lấn át không gian sinh sinh máu và ức chế tủy bình thường,Tình trạng thiếu hụt trầm trọng vitamin B12 và acid folic,Lách to tăng cường bắt giữ và phá hủy tế bào máu,,b,"Sự lấn át không gian vật lý tại vi môi trường tủy xương và việc cạnh tranh chất dinh dưỡng bởi quần thể tế bào blast khiến các tế bào máu bình thường không thể phát triển, gây suy tủy. Nguồn: Bệnh học nội khoa YHN."
noi-leukemia-cap-mcq-012,noi,Leukemia cấp,Huyết học,,Cơ chế phân tử gây bệnh trực tiếp của chuyển đoạn nhiễm sắc thể t(15;17) trong lơ xê mi cấp dòng tủy là gì?,Khóa thụ thể yếu tố tăng trưởng biểu bì trên màng tế bào,Hoạt hóa liên tục men tyrosine kinase không cần tín hiệu kích thích,Tạo ra protein chimer ức chế chức năng của thụ thể acid retinoic,Ức chế enzym giải xoắn DNA trong quá trình nhân lên,,c,"Chuyển đoạn t(15;17) tạo ra gen dung hợp PML-RARA. Protein chimer này gắn chặt vào yếu tố ức chế sao chép, chặn đứng quá trình biệt hóa của tủy bào tại giai đoạn tiền tủy bào. Nguồn: Bệnh học nội khoa YHN."
noi-leukemia-cap-mcq-013,noi,Leukemia cấp,Huyết học,,Suy thận cấp trong hội chứng ly giải u là hậu quả chủ yếu của cơ chế nào?,Hoại tử ống thận cấp do sốc giảm thể tích,Tắc nghẽn cơ học ống thận do tinh thể acid uric và canxi phosphat,Viêm cầu thận miễn dịch cấp tính,Co thắt động mạch thận do bão cytokine,,b,"Acid uric ở môi trường acid của ống thận sẽ kết tinh, cùng với muối canxi phosphat lắng đọng gây tắc nghẽn cơ học lòng ống thận, dẫn đến suy thận cấp sau thận và tại thận."
noi-leukemia-cap-mcq-014,noi,Leukemia cấp,Huyết học,,Bệnh nhân lơ xê mi cấp điển hình thường nhập viện với tam chứng lâm sàng kinh điển nào sau đây do tình trạng suy tủy xương?,"Sốt cao, hạch to, lách to","Thiếu máu, xuất huyết, nhiễm khuẩn","Đau nhức xương, vàng da, phù chi dưới","Khó thở, đau tức ngực, ho ra máu",,b,"Tam chứng thiếu máu (giảm hồng cầu), xuất huyết (giảm tiểu cầu) và nhiễm khuẩn (giảm bạch cầu hạt chức năng) là hậu quả trực tiếp của việc tủy xương bị tế bào blast lấn át. Nguồn: Bệnh học nội khoa YHN."
noi-leukemia-cap-mcq-015,noi,Leukemia cấp,Huyết học,,Phì đại lợi (nướu răng) là triệu chứng thâm nhiễm ngoài tủy rất đặc trưng cho nhóm bệnh lơ xê mi cấp nào?,Lơ xê mi cấp dòng tủy thể M1 và M2,Lơ xê mi cấp dòng tủy thể M3,Lơ xê mi cấp dòng tủy thể M4 và M5,Lơ xê mi cấp dòng tủy thể M6 và M7,,c,"Phì đại lợi lan tỏa, tổn thương da rất hay gặp ở các thể có nguồn gốc dòng mono (M4 - tủy mono, M5 - mono cấp) do đặc tính dễ di chuyển và thâm nhiễm mô mềm của tế bào dòng mono."
noi-leukemia-cap-mcq-016,noi,Leukemia cấp,Huyết học,,"U nguyên bào tủy (Chloroma) là một khối u rắn ngoài tủy mang màu sắc xanh lục đặc trưng, biểu hiện này gặp ở bệnh lý nào?",Lơ xê mi cấp dòng lympho B,Lơ xê mi cấp dòng tủy,U lympho ác tính không Hodgkin,Đa u tủy xương,,b,Chloroma (hay sarcoma dòng tủy) là biểu hiện thâm nhiễm mô mềm của lơ xê mi cấp dòng tủy. Màu xanh lục tạo ra do men myeloperoxidase (MPO) có nồng độ cao trong các tế bào blast tủy. Nguồn: Bệnh học nội khoa YHN.
noi-leukemia-cap-mcq-017,noi,Leukemia cấp,Huyết học,,Sự thâm nhiễm tế bào ác tính vào hệ thần kinh trung ương (màng não) có tỷ lệ mắc phải cao nhất ở thể bệnh nào?,Lơ xê mi cấp dòng lympho,Lơ xê mi cấp dòng tủy,Lơ xê mi mạn dòng tủy,Hội chứng rối loạn sinh tủy,,a,"Thâm nhiễm thần kinh trung ương rất phổ biến trong ALL (đặc biệt ở trẻ em), đòi hỏi bắt buộc phải điều trị dự phòng bằng cách tiêm tủy sống. Tỷ lệ này ở AML thấp hơn nhiều. Nguồn: Bệnh học nội khoa YHN."
noi-leukemia-cap-mcq-018,noi,Leukemia cấp,Huyết học,,Triệu chứng lâm sàng nào sau đây đóng vai trò chìa khóa giúp chẩn đoán phân biệt hội chứng suy tủy do lơ xê mi cấp với bệnh suy tủy xương thực sự?,Hội chứng thiếu máu dai dẳng,Hội chứng xuất huyết dưới da,Hội chứng nhiễm khuẩn tái diễn,"Hội chứng thâm nhiễm (gan, lách, hạch to)",,d,"Bệnh suy tủy xương thực sự (Aplastic anemia) không có thâm nhiễm ác tính nên gan, lách, hạch không to. Nếu có gan lách hạch to kèm giảm 3 dòng, phải hướng tới lơ xê mi cấp hoặc các ung thư máu thâm nhiễm. Nguồn: Bệnh học nội khoa YHN."
