id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-nhiem-trung-duong-tieu-casen2-1-1,noi,Nhiễm trùng đường tiểu,Thận tiết niệu,"5b. Nhiễm trùng đường tiểu TÌNH HUỐNG 1: Bệnh nhân nữ, 24 tuổi, là nhân viên văn phòng, đến khám vì tiểu buốt và tiểu lắt nhắt 2 ngày nay. Bệnh nhân mô tả cảm giác nóng rát mỗi khi đi tiểu, nước tiểu đục và có mùi hôi hơn bình thường, phải đi tiểu liên tục nhưng mỗi lần chỉ được một ít. Cô cảm thấy đau nhẹ vùng trên xương mu, không sốt, không đau hông lưng, không buồn nôn hay nôn. Bệnh nhân không có tiền sử bệnh lý đáng chú ý, không mang thai, không mắc bệnh lây truyền qua đường tình dục và không sử dụng thuốc gì. Khám toàn thân ghi nhận bệnh nhân tỉnh táo, tiếp xúc tốt, sinh hiệu ổn định: mạch 80 lần/phút, huyết áp 110/70 mmHg, nhiệt độ 37.2°C, nhịp thở 16 lần/phút, SpO₂ 99% khí trời, BMI 21 kg/m². Khám bụng mềm, ấn điểm trên xương mu tức nhẹ, không có điểm đau niệu quản và rung thận âm tính. Cận lâm sàng có tổng phân tích nước tiểu cho thấy bạch cầu niệu (LEU 3+), Nitrit dương tính, hồng cầu 10-15/HPF. Công thức máu có bạch cầu 8.5 G/L (Neutrophil 65%), CRP 5 mg/L.",Chẩn đoán phù hợp nhất cho bệnh nhân này là gì?,Viêm bể thận cấp không biến chứng.,Viêm bàng quang cấp không biến chứng.,Viêm niệu đạo do lậu cầu.,Nhiễm trùng tiểu có biến chứng.,,b,"Bệnh nhân có triệu chứng của nhiễm trùng đường tiểu dưới (tiểu buốt, tiểu lắt nhắt, đau trên xương mu) mà không có triệu chứng toàn thân (sốt) hay triệu chứng của nhiễm trùng đường tiểu trên (đau hông lưng), phù hợp nhất với chẩn đoán viêm bàng quang cấp không biến chứng."
noi-nhiem-trung-duong-tieu-casen2-1-2,noi,Nhiễm trùng đường tiểu,Thận tiết niệu,"5b. Nhiễm trùng đường tiểu TÌNH HUỐNG 1: Bệnh nhân nữ, 24 tuổi, là nhân viên văn phòng, đến khám vì tiểu buốt và tiểu lắt nhắt 2 ngày nay. Bệnh nhân mô tả cảm giác nóng rát mỗi khi đi tiểu, nước tiểu đục và có mùi hôi hơn bình thường, phải đi tiểu liên tục nhưng mỗi lần chỉ được một ít. Cô cảm thấy đau nhẹ vùng trên xương mu, không sốt, không đau hông lưng, không buồn nôn hay nôn. Bệnh nhân không có tiền sử bệnh lý đáng chú ý, không mang thai, không mắc bệnh lây truyền qua đường tình dục và không sử dụng thuốc gì. Khám toàn thân ghi nhận bệnh nhân tỉnh táo, tiếp xúc tốt, sinh hiệu ổn định: mạch 80 lần/phút, huyết áp 110/70 mmHg, nhiệt độ 37.2°C, nhịp thở 16 lần/phút, SpO₂ 99% khí trời, BMI 21 kg/m². Khám bụng mềm, ấn điểm trên xương mu tức nhẹ, không có điểm đau niệu quản và rung thận âm tính. Cận lâm sàng có tổng phân tích nước tiểu cho thấy bạch cầu niệu (LEU 3+), Nitrit dương tính, hồng cầu 10-15/HPF. Công thức máu có bạch cầu 8.5 G/L (Neutrophil 65%), CRP 5 mg/L.",Cơ chế chính gây ra triệu chứng tiểu lắt nhắt và tiểu gấp ở bệnh nhân này là gì?,Phù nề và kích thích niêm mạc bàng quang do độc tố vi khuẩn.,Tăng áp lực trong lòng bàng quang do vi khuẩn sinh hơi.,Co thắt cơ trơn niệu quản lan xuống bàng quang.,Tắc nghẽn đường ra bàng quang do mủ và xác bạch cầu.,,a,"Vi khuẩn (thường là E. coli) bám dính vào niêm mạc bàng quang, giải phóng độc tố gây ra phản ứng viêm tại chỗ. Tình trạng phù nề và viêm nhiễm này làm kích thích các thụ thể cảm nhận sự căng giãn của bàng quang, gây ra cảm giác muốn đi tiểu liên tục (tiểu gấp) và thường xuyên (tiểu lắt nhắt) dù bàng quang chứa ít nước tiểu."
noi-nhiem-trung-duong-tieu-casen2-1-3,noi,Nhiễm trùng đường tiểu,Thận tiết niệu,"5b. Nhiễm trùng đường tiểu TÌNH HUỐNG 1: Bệnh nhân nữ, 24 tuổi, là nhân viên văn phòng, đến khám vì tiểu buốt và tiểu lắt nhắt 2 ngày nay. Bệnh nhân mô tả cảm giác nóng rát mỗi khi đi tiểu, nước tiểu đục và có mùi hôi hơn bình thường, phải đi tiểu liên tục nhưng mỗi lần chỉ được một ít. Cô cảm thấy đau nhẹ vùng trên xương mu, không sốt, không đau hông lưng, không buồn nôn hay nôn. Bệnh nhân không có tiền sử bệnh lý đáng chú ý, không mang thai, không mắc bệnh lây truyền qua đường tình dục và không sử dụng thuốc gì. Khám toàn thân ghi nhận bệnh nhân tỉnh táo, tiếp xúc tốt, sinh hiệu ổn định: mạch 80 lần/phút, huyết áp 110/70 mmHg, nhiệt độ 37.2°C, nhịp thở 16 lần/phút, SpO₂ 99% khí trời, BMI 21 kg/m². Khám bụng mềm, ấn điểm trên xương mu tức nhẹ, không có điểm đau niệu quản và rung thận âm tính. Cận lâm sàng có tổng phân tích nước tiểu cho thấy bạch cầu niệu (LEU 3+), Nitrit dương tính, hồng cầu 10-15/HPF. Công thức máu có bạch cầu 8.5 G/L (Neutrophil 65%), CRP 5 mg/L.",Kháng sinh uống đầu tay nào sau đây là lựa chọn hợp lý nhất cho bệnh nhân này theo khuyến cáo hiện hành (do tỉ lệ kháng E. coli với Trimethoprim-sulfamethoxazole và Fluoroquinolone tại địa phương >10-20%)?,Ciprofloxacin.,Amoxicillin.,Nitrofurantoin.,Doxycycline.,,c,"Nitrofurantoin là một trong những lựa chọn hàng đầu cho viêm bàng quang cấp không biến chứng, đặc biệt ở những khu vực có tỷ lệ kháng thuốc cao với các kháng sinh khác. Ciprofloxatổn thương thận cấp liên quan thuốc cản quang (CA-AKI) không được khuyến cáo là lựa chọn đầu tay cho ca bệnh không biến chứng để tránh gia tăng đề kháng. Amoxicillin có tỷ lệ đề kháng cao. Doxycycline không phải là lựa chọn ưu tiên."
noi-nhiem-trung-duong-tieu-casen2-1-4,noi,Nhiễm trùng đường tiểu,Thận tiết niệu,"5b. Nhiễm trùng đường tiểu TÌNH HUỐNG 1: Bệnh nhân nữ, 24 tuổi, là nhân viên văn phòng, đến khám vì tiểu buốt và tiểu lắt nhắt 2 ngày nay. Bệnh nhân mô tả cảm giác nóng rát mỗi khi đi tiểu, nước tiểu đục và có mùi hôi hơn bình thường, phải đi tiểu liên tục nhưng mỗi lần chỉ được một ít. Cô cảm thấy đau nhẹ vùng trên xương mu, không sốt, không đau hông lưng, không buồn nôn hay nôn. Bệnh nhân không có tiền sử bệnh lý đáng chú ý, không mang thai, không mắc bệnh lây truyền qua đường tình dục và không sử dụng thuốc gì. Khám toàn thân ghi nhận bệnh nhân tỉnh táo, tiếp xúc tốt, sinh hiệu ổn định: mạch 80 lần/phút, huyết áp 110/70 mmHg, nhiệt độ 37.2°C, nhịp thở 16 lần/phút, SpO₂ 99% khí trời, BMI 21 kg/m². Khám bụng mềm, ấn điểm trên xương mu tức nhẹ, không có điểm đau niệu quản và rung thận âm tính. Cận lâm sàng có tổng phân tích nước tiểu cho thấy bạch cầu niệu (LEU 3+), Nitrit dương tính, hồng cầu 10-15/HPF. Công thức máu có bạch cầu 8.5 G/L (Neutrophil 65%), CRP 5 mg/L.",Xét nghiệm vi sinh nào không cần thực hiện thường quy ở lần đầu của viêm bàng quang cấp không biến chứng điển hình?,Đánh giá khả năng mang thai khi có chỉ định.,Cấy nước tiểu và làm kháng sinh đồ.,Khai thác triệu chứng âm đạo và nguy cơ lây truyền tình dục.,Tổng phân tích nước tiểu bằng que thử.,,b,"Ở phụ nữ trẻ không mang thai có triệu chứng điển hình của viêm bàng quang không biến chứng, cấy nước tiểu không bắt buộc thường quy. Cấy được chỉ định khi triệu chứng không điển hình, nghi viêm bể thận, tái phát sớm, thất bại điều trị hoặc có yếu tố phức tạp."
noi-nhiem-trung-duong-tieu-casen2-2-1,noi,Nhiễm trùng đường tiểu,Thận tiết niệu,"chứng minh rõ ràng bao gồm hành vi (quan hệ tình dục, dùng chất diệt tinh trùng), tiền sử (nhiễm trùng tiểu lần đầu ở tuổi trẻ, tiền sử gia đình) và các yếu tố sinh học (tình trạng sau mãn kinh, nhóm máu không tiết). Tăng huyết áp không phải là một yếu tố nguy cơ trực tiếp của nhiễm trùng tiểu tái phát. TÌNH HUỐNG 6: Bệnh nhân nam, 35 tuổi, tài xế, vào viện vì đau dữ dội vùng tầng sinh môn và sốt. Cách đây 5 ngày, bệnh nhân bắt đầu thấy tiểu khó, tiểu rắt, sau đó xuất hiện đau tức vùng sau bìu, lan lên xương mu, đau tăng khi ngồi. Hai ngày nay, bệnh nhân sốt cao 39°C, rét run, đau nhiều đến mức không ngồi được, kèm theo mệt mỏi, đau cơ toàn thân. Bệnh nhân không có tiền sử bệnh lý tiết niệu trước đây. Khám lúc vào viện: bệnh nhân tỉnh, vẻ mặt đau đớn, mệt mỏi. Sinh hiệu: mạch 100 lần/phút, huyết áp 120/80 mmHg, nhiệt độ 38.8°C. Bụng mềm, không có cầu bàng quang. Điểm đau chói vùng hạ vị. Khám bộ phận sinh dục ngoài không thấy sưng đỏ. Thăm trực tràng thấy tuyến tiền liệt sưng to, căng và đau dữ dội khi chạm vào, không sờ thấy khối áp xe. Các cơ quan khác không ghi nhận bất thường. Cận lâm sàng: Công thức máu có bạch cầu 15.0 G/L (Neutrophil 82%), CRP 120 mg/L. Tổng phân tích nước tiểu có nhiều bạch cầu (LEU 3+), Nitrit dương tính. PSA (Prostate-Specific Antigen) toàn phần 15 ng/mL (bình thường < 4 ng/mL).",Chẩn đoán có khả năng nhất là gì?,Viêm bể thận cấp.,Viêm tuyến tiền liệt cấp do vi khuẩn.,Áp xe tuyến tiền liệt.,Viêm mào tinh hoàn cấp.,,b,"Bệnh cảnh của bệnh nhân rất điển hình cho viêm tuyến tiền liệt cấp do vi khuẩn, bao gồm hội chứng nhiễm trùng toàn thân (sốt cao, rét run), triệu chứng kích thích đường tiểu (tiểu khó, rắt) và triệu chứng tại chỗ (đau tầng sinh môn). Đặc biệt, thăm trực tràng thấy tuyến tiền liệt sưng to và cực kỳ đau là dấu hiệu then chốt."
noi-nhiem-trung-duong-tieu-casen2-2-2,noi,Nhiễm trùng đường tiểu,Thận tiết niệu,"chứng minh rõ ràng bao gồm hành vi (quan hệ tình dục, dùng chất diệt tinh trùng), tiền sử (nhiễm trùng tiểu lần đầu ở tuổi trẻ, tiền sử gia đình) và các yếu tố sinh học (tình trạng sau mãn kinh, nhóm máu không tiết). Tăng huyết áp không phải là một yếu tố nguy cơ trực tiếp của nhiễm trùng tiểu tái phát. TÌNH HUỐNG 6: Bệnh nhân nam, 35 tuổi, tài xế, vào viện vì đau dữ dội vùng tầng sinh môn và sốt. Cách đây 5 ngày, bệnh nhân bắt đầu thấy tiểu khó, tiểu rắt, sau đó xuất hiện đau tức vùng sau bìu, lan lên xương mu, đau tăng khi ngồi. Hai ngày nay, bệnh nhân sốt cao 39°C, rét run, đau nhiều đến mức không ngồi được, kèm theo mệt mỏi, đau cơ toàn thân. Bệnh nhân không có tiền sử bệnh lý tiết niệu trước đây. Khám lúc vào viện: bệnh nhân tỉnh, vẻ mặt đau đớn, mệt mỏi. Sinh hiệu: mạch 100 lần/phút, huyết áp 120/80 mmHg, nhiệt độ 38.8°C. Bụng mềm, không có cầu bàng quang. Điểm đau chói vùng hạ vị. Khám bộ phận sinh dục ngoài không thấy sưng đỏ. Thăm trực tràng thấy tuyến tiền liệt sưng to, căng và đau dữ dội khi chạm vào, không sờ thấy khối áp xe. Các cơ quan khác không ghi nhận bất thường. Cận lâm sàng: Công thức máu có bạch cầu 15.0 G/L (Neutrophil 82%), CRP 120 mg/L. Tổng phân tích nước tiểu có nhiều bạch cầu (LEU 3+), Nitrit dương tính. PSA (Prostate-Specific Antigen) toàn phần 15 ng/mL (bình thường < 4 ng/mL).",Cơ chế bệnh sinh phổ biến nhất của bệnh này là gì?,Vi khuẩn từ máu theo tuần hoàn đến khu trú tại tuyến tiền liệt.,Lây truyền qua đường quan hệ tình dục không an toàn.,Vi khuẩn từ đường ruột lân cận xâm nhập trực tiếp.,Sự trào ngược nước tiểu nhiễm khuẩn từ niệu đạo vào các ống tuyến tiền liệt.,,d,"Cơ chế được chấp nhận rộng rãi nhất là do sự trào ngược của nước tiểu từ niệu đạo vào trong nhu mô tuyến tiền liệt qua các ống tuyến. Nếu nước tiểu này bị nhiễm khuẩn, vi khuẩn sẽ gây ra phản ứng viêm cấp tính tại tuyến tiền liệt."
noi-nhiem-trung-duong-tieu-casen2-2-3,noi,Nhiễm trùng đường tiểu,Thận tiết niệu,"chứng minh rõ ràng bao gồm hành vi (quan hệ tình dục, dùng chất diệt tinh trùng), tiền sử (nhiễm trùng tiểu lần đầu ở tuổi trẻ, tiền sử gia đình) và các yếu tố sinh học (tình trạng sau mãn kinh, nhóm máu không tiết). Tăng huyết áp không phải là một yếu tố nguy cơ trực tiếp của nhiễm trùng tiểu tái phát. TÌNH HUỐNG 6: Bệnh nhân nam, 35 tuổi, tài xế, vào viện vì đau dữ dội vùng tầng sinh môn và sốt. Cách đây 5 ngày, bệnh nhân bắt đầu thấy tiểu khó, tiểu rắt, sau đó xuất hiện đau tức vùng sau bìu, lan lên xương mu, đau tăng khi ngồi. Hai ngày nay, bệnh nhân sốt cao 39°C, rét run, đau nhiều đến mức không ngồi được, kèm theo mệt mỏi, đau cơ toàn thân. Bệnh nhân không có tiền sử bệnh lý tiết niệu trước đây. Khám lúc vào viện: bệnh nhân tỉnh, vẻ mặt đau đớn, mệt mỏi. Sinh hiệu: mạch 100 lần/phút, huyết áp 120/80 mmHg, nhiệt độ 38.8°C. Bụng mềm, không có cầu bàng quang. Điểm đau chói vùng hạ vị. Khám bộ phận sinh dục ngoài không thấy sưng đỏ. Thăm trực tràng thấy tuyến tiền liệt sưng to, căng và đau dữ dội khi chạm vào, không sờ thấy khối áp xe. Các cơ quan khác không ghi nhận bất thường. Cận lâm sàng: Công thức máu có bạch cầu 15.0 G/L (Neutrophil 82%), CRP 120 mg/L. Tổng phân tích nước tiểu có nhiều bạch cầu (LEU 3+), Nitrit dương tính. PSA (Prostate-Specific Antigen) toàn phần 15 ng/mL (bình thường < 4 ng/mL).",Chống chỉ định tương đối trong thăm khám bệnh nhân này là gì?,Đặt sonde tiểu qua niệu đạo.,Cả B và C.,Cho bệnh nhân uống nhiều nước.,Xoa bóp mạnh tuyến tiền liệt để lấy dịch xét nghiệm.,,d,"Trong viêm tuyến tiền liệt cấp, việc xoa bóp mạnh tuyến tiền liệt để lấy dịch là chống chỉ định vì có thể gây đau đớn dữ dội cho bệnh nhân và làm vi khuẩn bị đẩy vào máu, dẫn đến nhiễm khuẩn huyết. Đặt sonde tiểu qua niệu đạo cũng cần hết sức thận trọng vì có thể gây tổn thương thêm và khó thực hiện."
noi-nhiem-trung-duong-tieu-casen2-2-4,noi,Nhiễm trùng đường tiểu,Thận tiết niệu,"chứng minh rõ ràng bao gồm hành vi (quan hệ tình dục, dùng chất diệt tinh trùng), tiền sử (nhiễm trùng tiểu lần đầu ở tuổi trẻ, tiền sử gia đình) và các yếu tố sinh học (tình trạng sau mãn kinh, nhóm máu không tiết). Tăng huyết áp không phải là một yếu tố nguy cơ trực tiếp của nhiễm trùng tiểu tái phát. TÌNH HUỐNG 6: Bệnh nhân nam, 35 tuổi, tài xế, vào viện vì đau dữ dội vùng tầng sinh môn và sốt. Cách đây 5 ngày, bệnh nhân bắt đầu thấy tiểu khó, tiểu rắt, sau đó xuất hiện đau tức vùng sau bìu, lan lên xương mu, đau tăng khi ngồi. Hai ngày nay, bệnh nhân sốt cao 39°C, rét run, đau nhiều đến mức không ngồi được, kèm theo mệt mỏi, đau cơ toàn thân. Bệnh nhân không có tiền sử bệnh lý tiết niệu trước đây. Khám lúc vào viện: bệnh nhân tỉnh, vẻ mặt đau đớn, mệt mỏi. Sinh hiệu: mạch 100 lần/phút, huyết áp 120/80 mmHg, nhiệt độ 38.8°C. Bụng mềm, không có cầu bàng quang. Điểm đau chói vùng hạ vị. Khám bộ phận sinh dục ngoài không thấy sưng đỏ. Thăm trực tràng thấy tuyến tiền liệt sưng to, căng và đau dữ dội khi chạm vào, không sờ thấy khối áp xe. Các cơ quan khác không ghi nhận bất thường. Cận lâm sàng: Công thức máu có bạch cầu 15.0 G/L (Neutrophil 82%), CRP 120 mg/L. Tổng phân tích nước tiểu có nhiều bạch cầu (LEU 3+), Nitrit dương tính. PSA (Prostate-Specific Antigen) toàn phần 15 ng/mL (bình thường < 4 ng/mL).",Lựa chọn kháng sinh nào sau đây là phù hợp nhất để điều trị ban đầu cho bệnh nhân này?,Một Cephalosporin thế hệ 3 (ví dụ: Ceftriaxone) hoặc một Fluoroquinolone đường tĩnh mạch.,Doxycycline đường uống.,Amoxicillin đường uống.,Nitrofurantoin đường uống.,,a,"Viêm tuyến tiền liệt cấp là một nhiễm trùng mô sâu, cần kháng sinh có khả năng thâm nhập tốt vào mô tuyến tiền liệt và đạt nồng độ điều trị. Fluoroquinolones và Cephalosporins thế hệ 3 là những lựa chọn hàng đầu, thường cần dùng đường tĩnh mạch trong giai đoạn đầu khi bệnh nhân có biểu hiện toàn thân."
noi-nhiem-trung-duong-tieu-casen2-3-1,noi,Nhiễm trùng đường tiểu,Thận tiết niệu,"không được kiểm soát có thể khiến vi khuẩn di chuyển ngược dòng qua niệu quản lên thận, gây viêm thận bể thận cấp. Nguồn tham khảo: EAU Guidelines on Urological Infections. TÌNH HUỐNG 12: Bệnh nhân nam 55 tuổi, thợ xây, vào viện vì sốt cao và đau thắt lưng phải. Bệnh sử 3 ngày nay bệnh nhân sốt 39.5°C, rét run, đau quặn vùng mạn sườn phải lan xuống bẹn, kèm tiểu buốt và tiểu lắt nhắt. Tiền sử đái tháo đường type 2 đang dùng metformin, sỏi thận phải phát hiện 2 năm không điều trị. Khám: lơ mơ nhẹ, mạch 115 lần/phút, huyết áp 95/60 mmHg, nhịp thở 24 lần/phút, nhiệt độ 39.8°C. Khám bụng: ấn đau tức vùng mạn sườn phải, phản ứng thành bụng âm tính, vỗ hông lưng phải dương tính chói, chạm thận phải dương tính. Cận lâm sàng: bạch cầu 18 G/L, đa nhân trung tính 88%, creatinin máu 160 μmol/L, kali máu 4.5 mmol/L. Siêu âm: thận phải ứ nước độ 2, có sỏi niệu quản phải 1/3 trên kích thước 12mm, nhu mô thận phải phù nề.",Chẩn đoán xác định phù hợp nhất là gì?,Viêm thận bể thận cấp có biến chứng.,Nhiễm khuẩn huyết đường vào từ tiêu hóa.,Cơn đau quặn thận do sỏi niệu quản phải.,Viêm bàng quang cấp tiến triển.,,a,"Bệnh nhân có biểu hiện nhiễm trùng toàn thân nặng (sốt cao, rét run), triệu chứng tại chỗ (đau hông lưng, vỗ hông lưng dương tính) trên nền tắc nghẽn do sỏi niệu quản và đái tháo đường, đây là bệnh cảnh viêm thận bể thận cấp có biến chứng."
noi-nhiem-trung-duong-tieu-casen2-3-2,noi,Nhiễm trùng đường tiểu,Thận tiết niệu,"không được kiểm soát có thể khiến vi khuẩn di chuyển ngược dòng qua niệu quản lên thận, gây viêm thận bể thận cấp. Nguồn tham khảo: EAU Guidelines on Urological Infections. TÌNH HUỐNG 12: Bệnh nhân nam 55 tuổi, thợ xây, vào viện vì sốt cao và đau thắt lưng phải. Bệnh sử 3 ngày nay bệnh nhân sốt 39.5°C, rét run, đau quặn vùng mạn sườn phải lan xuống bẹn, kèm tiểu buốt và tiểu lắt nhắt. Tiền sử đái tháo đường type 2 đang dùng metformin, sỏi thận phải phát hiện 2 năm không điều trị. Khám: lơ mơ nhẹ, mạch 115 lần/phút, huyết áp 95/60 mmHg, nhịp thở 24 lần/phút, nhiệt độ 39.8°C. Khám bụng: ấn đau tức vùng mạn sườn phải, phản ứng thành bụng âm tính, vỗ hông lưng phải dương tính chói, chạm thận phải dương tính. Cận lâm sàng: bạch cầu 18 G/L, đa nhân trung tính 88%, creatinin máu 160 μmol/L, kali máu 4.5 mmol/L. Siêu âm: thận phải ứ nước độ 2, có sỏi niệu quản phải 1/3 trên kích thước 12mm, nhu mô thận phải phù nề.",Dấu hiệu nào trên bệnh nhân này đáp ứng tiêu chuẩn hội chứng đáp ứng viêm hệ thống (SIRS)?,Lơ mơ nhẹ.,Thận phải ứ nước độ 2.,Huyết áp 95/60 mmHg.,Mạch 115 lần/phút và nhịp thở 24 lần/phút.,,d,Tiêu chuẩn SIRS gồm ít nhất 2 trong 4 yếu tố: (1) Nhiệt độ >38°C hoặc <36°C; (2) Nhịp tim >90 l/p; (3) Nhịp thở >20 l/p hoặc PaCO2 <32 mmHg; (4) Bạch cầu >12 G/L hoặc <4 G/L. Mạch 115 và nhịp thở 24 là các tiêu chuẩn SIRS.
