id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-dau-vung-that-lung-dau-than-kinh-ngoi-do-thoat-vi-mcq-001,noi,Đau vùng thắt lưng & đau thần kinh ngồi do thoát vị,Cơ xương khớp,,"Đau thần kinh toạ được định nghĩa là tình trạng đau lan tỏa theo đường đi của dây thần kinh toạ, nguyên nhân phổ biến nhất gây ra hội chứng này là gì?",Trượt thân đốt sống,Thoái hoá khớp liên mấu,Thoát vị đĩa đệm cột sống thắt lưng,Viêm cột sống dính khớp,,c,Thoát vị đĩa đệm chèn ép rễ thần kinh là nguyên nhân thường gặp nhất gây đau thần kinh toạ (chiếm >80% các trường hợp). Nguồn: Bệnh học nội khoa YHN.
noi-dau-vung-that-lung-dau-than-kinh-ngoi-do-thoat-vi-mcq-002,noi,Đau vùng thắt lưng & đau thần kinh ngồi do thoát vị,Cơ xương khớp,,Đoạn cột sống thắt lưng nào thường bị thoát vị đĩa đệm nhất do chịu tải trọng cơ học lớn và tầm vận động rộng?,L1-L2 và L2-L3,L2-L3 và L3-L4,L3-L4 và L4-L5,L4-L5 và L5-S1,,d,"Đoạn L4-L5 và L5-S1 là vị trí bản lề cột sống, chịu lực tải lớn nhất của cơ thể nên dễ bị thoái hoá và thoát vị nhất."
noi-dau-vung-that-lung-dau-than-kinh-ngoi-do-thoat-vi-mcq-003,noi,Đau vùng thắt lưng & đau thần kinh ngồi do thoát vị,Cơ xương khớp,,"Theo phân loại thời gian, đau thắt lưng cấp tính được định nghĩa là đợt đau kéo dài trong khoảng thời gian tối đa bao lâu?",Dưới 4 tuần,Dưới 6 tuần,Dưới 12 tuần,Dưới 6 tháng,,a,Đau thắt lưng cấp tính thường được định nghĩa kéo dài dưới 4 tuần (một số tài liệu mở rộng đến 6 tuần). Đau mạn tính khi kéo dài trên 12 tuần. Nguồn: CURRENT Medical Diagnosis & Treatment 2026.
noi-dau-vung-that-lung-dau-than-kinh-ngoi-do-thoat-vi-mcq-004,noi,Đau vùng thắt lưng & đau thần kinh ngồi do thoát vị,Cơ xương khớp,,Yếu tố nào sau đây KHÔNG phải là yếu tố nguy cơ kinh điển của thoát vị đĩa đệm?,Nghề nghiệp mang vác nặng,Lái xe đường dài liên tục,Tập bơi lội thường xuyên,"Béo phì, lối sống tĩnh tại",,c,"Bơi lội là môn thể thao làm giảm áp lực lên trục cột sống và tăng cường sức mạnh cơ lõi, giúp dự phòng bệnh lý đĩa đệm, không phải yếu tố nguy cơ."
noi-dau-vung-that-lung-dau-than-kinh-ngoi-do-thoat-vi-mcq-005,noi,Đau vùng thắt lưng & đau thần kinh ngồi do thoát vị,Cơ xương khớp,,"Đặc điểm nào sau đây được coi là một ""cờ đỏ"" (red flag) cảnh báo bệnh lý nguy hiểm khi bệnh nhân đến khám vì đau thắt lưng?",Đau lan xuống mặt ngoài cẳng chân,Đau tăng khi ho hoặc hắt hơi,Đau khởi phát đột ngột sau bê vật nặng,Đau thắt lưng kèm theo sụt cân không rõ nguyên nhân,,d,"Sụt cân không rõ nguyên nhân, sốt, tiền sử ung thư là các ""cờ đỏ"" gợi ý bệnh lý ác tính hoặc nhiễm trùng, cần chỉ định hình ảnh học khẩn cấp. Nguồn: Bệnh học nội khoa YHN."
noi-dau-vung-that-lung-dau-than-kinh-ngoi-do-thoat-vi-mcq-006,noi,Đau vùng thắt lưng & đau thần kinh ngồi do thoát vị,Cơ xương khớp,,"Nam giới 40 tuổi, đau thắt lưng cấp sau khi khiêng chậu cây. Yếu tố dịch tễ nào giải thích tỷ lệ thoát vị đĩa đệm cao ở độ tuổi 30-50?",Nhân nhầy bắt đầu thoái hoá mất nước nhưng vòng sợi vẫn còn độ đàn hồi dễ rách,Quá trình tạo gai xương mỏ chim diễn ra mạnh nhất,Hoạt động thể lực ở lứa tuổi này luôn vượt quá giới hạn sinh lý,Loãng xương bắt đầu tiến triển nhanh làm xẹp đĩa đệm,,a,"Ở tuổi 30-50, nhân nhầy bắt đầu thoái hóa và giảm thể tích, kết hợp với các vết rách vi thể ở vòng sợi do vận động, tạo điều kiện cho khối nhân nhầy thoát vị ra ngoài."
noi-dau-vung-that-lung-dau-than-kinh-ngoi-do-thoat-vi-mcq-007,noi,Đau vùng thắt lưng & đau thần kinh ngồi do thoát vị,Cơ xương khớp,,Cấu trúc giải phẫu của đĩa đệm bình thường bao gồm các thành phần chính nào?,"Nhân nhầy, vòng sợi và dây chằng dọc sau","Nhân nhầy, vòng sợi và bản sụn tận cùng","Vòng sợi, màng cứng và màng nhện","Mỏm gai, mỏm ngang và nhân nhầy",,b,"Đĩa đệm cấu tạo gồm 3 phần: nhân nhầy ở giữa, vòng sợi bao quanh và hai bản sụn tận cùng tiếp giáp với thân đốt sống."
noi-dau-vung-that-lung-dau-than-kinh-ngoi-do-thoat-vi-mcq-008,noi,Đau vùng thắt lưng & đau thần kinh ngồi do thoát vị,Cơ xương khớp,,Cơ chế bệnh sinh gây đau rễ thần kinh trong thoát vị đĩa đệm là sự kết hợp của chèn ép cơ học và yếu tố nào?,Thiếu máu cục bộ tủy sống,Rối loạn dẫn truyền màng nhện,Viêm do hóa chất giải phóng từ nhân nhầy,Phản ứng tự miễn dịch toàn thân,,c,"Nhân nhầy thoát vị chứa nhiều hóa chất trung gian gây viêm (như phospholipase A2, TNF-alpha). Khi rách vòng sợi, các chất này tiếp xúc với rễ thần kinh gây viêm rễ hoá học trước cả khi có chèn ép cơ học rõ ràng."
noi-dau-vung-that-lung-dau-than-kinh-ngoi-do-thoat-vi-mcq-009,noi,Đau vùng thắt lưng & đau thần kinh ngồi do thoát vị,Cơ xương khớp,,Men Phospholipase A2 có nồng độ cao trong đĩa đệm thoát vị đóng vai trò gì trong cơ chế bệnh sinh?,Kích thích tăng sinh gai xương,Gây viêm và thoái hoá myelin rễ thần kinh,Làm co thắt cơ cạnh sống mạn tính,Tiêu hủy tổ chức vòng sợi kề cận,,b,"Phospholipase A2 là men xúc tác tạo ra các prostaglandin và leukotriene, gây ra phản ứng viêm mạnh mẽ, phù nề rễ thần kinh và thoái hóa myelin, làm tăng tính nhạy cảm đau."
noi-dau-vung-that-lung-dau-than-kinh-ngoi-do-thoat-vi-mcq-010,noi,Đau vùng thắt lưng & đau thần kinh ngồi do thoát vị,Cơ xương khớp,,"Tại sao bệnh nhân thoát vị đĩa đệm thường có triệu chứng đau tăng lên dữ dội khi ho, hắt hơi hoặc rặn đại tiện?",Co thắt đột ngột cơ thắt lưng chậu,Tăng áp lực ổ bụng truyền vào khoang ngoài màng cứng,Giảm lưu lượng máu đến rễ thần kinh tạm thời,Kéo giãn dây chằng dọc trước cột sống,,b,"Nghiệm pháp Valsalva (ho, hắt hơi, rặn) làm tăng áp lực tĩnh mạch và áp lực dịch não tủy, truyền vào khoang ngoài màng cứng, làm tăng áp lực chèn ép lên rễ thần kinh đang bị viêm."
noi-dau-vung-that-lung-dau-than-kinh-ngoi-do-thoat-vi-mcq-011,noi,Đau vùng thắt lưng & đau thần kinh ngồi do thoát vị,Cơ xương khớp,,Quá trình thoái hóa đĩa đệm được khởi phát chủ yếu bởi sự suy giảm sinh tổng hợp chất nào trong nhân nhầy?,Collagen type I,Proteoglycan,Acid hyaluronic,Elastin,,b,"Proteoglycan (đặc biệt là aggrecan) có khả năng ngậm nước cao. Sự sụt giảm proteoglycan theo tuổi tác làm nhân nhầy mất nước, giảm khả năng chịu lực nén cơ học."
noi-dau-vung-that-lung-dau-than-kinh-ngoi-do-thoat-vi-mcq-012,noi,Đau vùng thắt lưng & đau thần kinh ngồi do thoát vị,Cơ xương khớp,,Tổn thương rễ thần kinh L5 trên lâm sàng đặc trưng bởi mất hoặc giảm cảm giác ở vùng nào?,Mặt sau đùi và bắp chân,Mặt trước đùi và đầu gối,Mặt ngoài cẳng chân và mu bàn chân đến ngón cái,Vùng quanh hậu môn và sinh dục,,c,"Rễ L5 chi phối cảm giác mặt trước ngoài cẳng chân, mu bàn chân và ngón chân cái. Rễ S1 chi phối mặt sau đùi, cẳng chân và gan bàn chân/bờ ngoài bàn chân."
noi-dau-vung-that-lung-dau-than-kinh-ngoi-do-thoat-vi-mcq-013,noi,Đau vùng thắt lưng & đau thần kinh ngồi do thoát vị,Cơ xương khớp,,Dấu hiệu lâm sàng nào chỉ điểm tổn thương chức năng vận động của rễ S1?,"Yếu cơ tứ đầu đùi, không duỗi được gối",Không thể đứng trên gót chân (bàn chân rủ),Không thể đứng trên mũi chân (yếu gập lòng bàn chân),Yếu cơ khép đùi,,c,"Rễ S1 chi phối cơ bụng chân và cơ dép (cơ tam đầu cẳng chân), làm động tác gập lòng bàn chân. Liệt rễ S1 khiến bệnh nhân không thể đứng kiễng mũi chân."
