id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-hemophila-mcq-001,noi,Hemophila,Huyết học,,Hemophilia là bệnh lý rối loạn đông máu di truyền theo quy luật nào?,Trội trên nhiễm sắc thể thường,Lặn trên nhiễm sắc thể thường,Trội trên nhiễm sắc thể giới tính X,Lặn trên nhiễm sắc thể giới tính X,,d,"Hemophilia di truyền lặn liên kết nhiễm sắc thể X. Do đó bệnh chủ yếu biểu hiện ở nam giới, trong khi nữ giới thường là người mang gen bệnh. Nguồn: Bệnh học nội khoa YHN."
noi-hemophila-mcq-002,noi,Hemophila,Huyết học,,Bệnh Hemophilia A đặc trưng bởi sự thiếu hụt yếu tố đông máu nào?,Yếu tố VIII,Yếu tố IX,Yếu tố XI,Yếu tố VII,,a,"Hemophilia A do thiếu hụt yếu tố VIII. Thiếu yếu tố IX gây Hemophilia B, thiếu yếu tố XI gây Hemophilia C. Nguồn: Bệnh học nội khoa YHN."
noi-hemophila-mcq-003,noi,Hemophila,Huyết học,,"Trong quần thể bệnh nhân Hemophilia, tỷ lệ phân bố giữa các thể bệnh như thế nào?",Hemophilia A và B có tỷ lệ mắc ngang nhau,Hemophilia A chiếm đa số với khoảng 80- 85%,Hemophilia B chiếm đa số với khoảng 80- 85%,Hemophilia C là thể phổ biến nhất ở người châu Á,,b,"Hemophilia A là thể bệnh phổ biến nhất, chiếm 80- 85% tổng số ca mắc. Hemophilia B chiếm khoảng 15%. Ý này rất hay thi trong phần đại cương."
noi-hemophila-mcq-004,noi,Hemophila,Huyết học,,"Một cặp vợ chồng có chồng bị Hemophilia A, vợ hoàn toàn bình thường không mang gen bệnh. Con của họ sẽ có nguy cơ di truyền thế nào?",100% con trai mắc bệnh,50% con gái mắc bệnh,100% con gái mang gen bệnh,50% con trai mang gen bệnh,,c,"Bố truyền NST Y cho con trai và NST X mang bệnh cho con gái. Do mẹ bình thường, tất cả con gái sẽ nhận 1 X bệnh từ bố và 1 X lành từ mẹ (thành người mang gen), 100% con trai hoàn toàn bình thường."
noi-hemophila-mcq-005,noi,Hemophila,Huyết học,,Hemophilia B còn được gọi bằng tên kinh điển nào sau đây?,Bệnh von Willebrand,Bệnh Christmas,Bệnh Glanzmann,Bệnh Bernard-Soulier,,b,"Hemophilia B (thiếu yếu tố IX) còn được gọi là bệnh Christmas, đặt theo tên bệnh nhân đầu tiên được chẩn đoán mắc bệnh này vào năm 1952."
noi-hemophila-mcq-006,noi,Hemophila,Huyết học,,Tỷ lệ mắc Hemophilia A ước tính trong quần thể là khoảng bao nhiêu?,1 trên 100.000 trẻ nam sinh ra sống,1 trên 5.000 đến 10.000 trẻ nam sinh ra sống,1 trên 1.000 trẻ nam sinh ra sống,1 trên 500 trẻ nam sinh ra sống,,b,Tỷ lệ mắc Hemophilia A khoảng 1/5000 - 1/10000 trẻ nam sinh ra sống. Đây là mốc dịch tễ cơ bản cần nhớ. Nguồn: CURRENT Medical Diagnosis & Treatment 2026.
noi-hemophila-mcq-007,noi,Hemophila,Huyết học,,Yếu tố VIII và IX tham gia trực tiếp vào con đường đông máu nào?,Con đường nội sinh,Con đường ngoại sinh,Con đường chung,Tiêu sợi huyết,,a,Yếu tố VIII và IX là các thành phần cốt lõi của con đường đông máu nội sinh. Sự thiếu hụt của chúng làm gián đoạn việc hoạt hóa yếu tố X. Nguồn: Bệnh học nội khoa YHN.
noi-hemophila-mcq-008,noi,Hemophila,Huyết học,,"Trong dòng thác đông máu, yếu tố VIIIa đóng vai trò là đồng yếu tố cho enzyme nào để hoạt hóa yếu tố X?",Yếu tố VIIa,Yếu tố IXa,Yếu tố XIa,Yếu tố IIa,,b,"Yếu tố VIIIa hoạt động như một cofactor (đồng yếu tố) cho yếu tố IXa (enzyme) trong phức hợp tenase nội sinh, giúp hoạt hóa yếu tố X thành Xa nhanh gấp hàng ngàn lần."
noi-hemophila-mcq-009,noi,Hemophila,Huyết học,,Sự thiếu hụt yếu tố VIII trong Hemophilia A chủ yếu làm ảnh hưởng đến quá trình nào?,Co mạch tại chỗ,Kết dính tiểu cầu vào lớp dưới nội mạc,Ngưng tập tiểu cầu tạo đinh cầm máu,Tạo mạng lưới fibrin bền vững,,d,"Hemophilia là rối loạn cầm máu kỳ sau (đông máu huyết tương), làm giảm khả năng tạo thrombin và fibrin, dẫn đến cục máu đông không bền vững. Các quá trình của cầm máu kỳ đầu (A, B, C) vẫn bình thường."
noi-hemophila-mcq-010,noi,Hemophila,Huyết học,,Yếu tố von Willebrand có vai trò sinh lý bệnh gì liên quan mật thiết đến yếu tố VIII?,Kích thích gan tổng hợp yếu tố VIII,Hoạt hóa yếu tố VIII trong tuần hoàn,Bảo vệ yếu tố VIII khỏi bị giáng hóa sớm,Cạnh tranh vị trí gắn với yếu tố VIII,,c,"Trong huyết tương, vWF gắn với yếu tố VIII, đóng vai trò như protein mang bảo vệ FVIII khỏi sự thanh thải và phân hủy nhanh chóng. Thiếu vWF nặng cũng làm giảm FVIII thứ phát."
