id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-viem-phoi-cong-dong-n2-mcq-001,noi,Viêm phổi cộng đồng,Hô hấp,,"Theo định nghĩa kinh điển, viêm phổi cộng đồng là tình trạng nhiễm trùng của nhu mô phổi xảy ra ở đối tượng nào sau đây?",Bệnh nhân đang nằm điều trị tại bệnh viện trên 48 giờ,Người sống trong cộng đồng hoặc trong vòng 48 giờ đầu kể từ khi nhập viện,Bệnh nhân mới xuất viện trong vòng 2 ngày,Người bệnh đang được thông khí nhân tạo qua nội khí quản,,b,Viêm phổi cộng đồng (VPCĐ) xảy ra ngoài bệnh viện hoặc xuất hiện trong vòng 48 giờ đầu sau nhập viện. Điều này giúp phân biệt với viêm phổi bệnh viện (HAP). Nguồn: Bệnh học nội khoa YHN.
noi-viem-phoi-cong-dong-n2-mcq-002,noi,Viêm phổi cộng đồng,Hô hấp,,Tác nhân vi khuẩn hàng đầu gây viêm phổi cộng đồng điển hình ở mọi nhóm tuổi là gì?,Haemophilus influenzae,Mycoplasma pneumoniae,Streptococcus pneumoniae,Chlamydia pneumoniae,,c,Phế cầu (Streptococcus pneumoniae) vẫn là căn nguyên phổ biến nhất chiếm khoảng 30- 50% các trường hợp VPCĐ có tìm được tác nhân. Nguồn: Bệnh học nội khoa YHN.
noi-viem-phoi-cong-dong-n2-mcq-003,noi,Viêm phổi cộng đồng,Hô hấp,,"Nhóm vi khuẩn nào sau đây được gọi là ""vi khuẩn không điển hình"" thường gây VPCĐ ở người trẻ?",Staphylococcus aureus,Klebsiella pneumoniae,Mycoplasma pneumoniae,Pseudomonas aeruginosa,,c,"Vi khuẩn không điển hình (Mycoplasma, Chlamydia, Legionella) không có vách tế bào hoặc sống nội bào, thường gây bệnh ở người trẻ và không nhạy cảm với kháng sinh nhóm Beta- lactam. Nguồn: CMDT 2026."
noi-viem-phoi-cong-dong-n2-mcq-004,noi,Viêm phổi cộng đồng,Hô hấp,,Đối tượng nào sau đây có nguy cơ cao nhất nhiễm vi khuẩn Gram âm (như Klebsiella pneumoniae) khi bị viêm phổi cộng đồng?,"Người trẻ khỏe mạnh, không bệnh nền",Người nghiện rượu mạn tính hoặc có bệnh phổi tắc nghẽn mạn tính,Trẻ em dưới 5 tuổi,Phụ nữ đang mang thai,,b,"Người nghiện rượu hoặc có bệnh phổi mạn tính (COPD) thường có sự thay đổi hệ vi khuẩn vùng hầu họng, dễ bị nhiễm các trực khuẩn Gram âm đường ruột. Nguồn: Bệnh học nội khoa YHN."
noi-viem-phoi-cong-dong-n2-mcq-005,noi,Viêm phổi cộng đồng,Hô hấp,,Virus chiếm tỷ lệ khoảng bao nhiêu trong các trường hợp viêm phổi cộng đồng ở người lớn?,Dưới 5%,Khoảng 10 - 30%,Trên 70%,Gần 100%,,b,"Mặc dù vi khuẩn là nguyên nhân chính, virus (như Influenza, RSV, Rhinovirus) đóng vai trò trong khoảng 1/3 các trường hợp, đặc biệt vào mùa đông xuân. Nguồn: CMDT 2026."
noi-viem-phoi-cong-dong-n2-mcq-006,noi,Viêm phổi cộng đồng,Hô hấp,,Yếu tố nguy cơ quan trọng nhất làm tăng tỷ lệ tử vong ở bệnh nhân viêm phổi cộng đồng là gì?,Giới tính nữ,Sống ở vùng nông thôn,Tuổi cao (trên 65 tuổi) và các bệnh lý đồng mắc,Tiền sử dị ứng thức ăn,,c,"Tuổi cao và các bệnh nền (tim mạch, thận, tiểu đường) là các yếu tố tiên lượng nặng hàng đầu trong các thang điểm đánh giá như CURB-65 hay PSI. Nguồn: Bệnh học nội khoa YHN."
noi-viem-phoi-cong-dong-n2-mcq-007,noi,Viêm phổi cộng đồng,Hô hấp,,Con đường xâm nhập phổ biến nhất của vi sinh vật gây viêm phổi vào nhu mô phổi là gì?,Đường máu từ một ổ nhiễm trùng xa,Hít phải các hạt khí dung chứa vi khuẩn trong không khí,Vi hít phải (microaspiration) các dịch tiết hầu họng chứa vi khuẩn,Xâm nhập trực tiếp từ vết thương xuyên thấu ngực,,c,Hầu hết VPCĐ bắt nguồn từ việc vi hít các vi khuẩn định cư ở vùng hầu họng vào đường hô hấp dưới khi các cơ chế bảo vệ bị suy yếu. Nguồn: Bệnh học nội khoa YHN.
noi-viem-phoi-cong-dong-n2-mcq-008,noi,Viêm phổi cộng đồng,Hô hấp,,Cơ chế bảo vệ quan trọng nhất của đường hô hấp giúp loại bỏ các hạt bụi và vi khuẩn có kích thước 2 - 10 micromet là gì?,Phản xạ đóng nắp thanh quản,Hệ thống lông chuyển và lớp chất nhầy (thang máy nhầy - lông chuyển),Đại thực bào phế nang,Các kháng thể IgE trong dịch tiết,,b,Hệ thống nhầy - lông chuyển đẩy các hạt bám dính lên phía hầu để khạc ra hoặc nuốt vào. Các hạt nhỏ hơn (<2 micromet) mới xuống đến phế nang để đại thực bào xử lý. Nguồn: Bệnh học nội khoa YHN.
noi-viem-phoi-cong-dong-n2-mcq-009,noi,Viêm phổi cộng đồng,Hô hấp,,"Trong giai đoạn ""Gan hóa đỏ"" của viêm phổi thùy do phế cầu, thành phần nào chiếm ưu thế trong lòng phế nang?",Chỉ có không khí và dịch rỉ viêm,"Hồng cầu, bạch cầu đa nhân và sợi fibrin",Các mô xơ và nguyên bào sợi,Tế bào biểu mô phế nang bong tróc,,b,"Giai đoạn này phổi có mật độ chắc như gan, màu đỏ do chứa nhiều hồng cầu thoát quản cùng với phản ứng viêm cấp tính mạnh mẽ. Nguồn: Bệnh học nội khoa YHN."
noi-viem-phoi-cong-dong-n2-mcq-010,noi,Viêm phổi cộng đồng,Hô hấp,,"Hiện tượng ""Gan hóa xám"" trong quá trình tiến triển của viêm phổi thùy đặc trưng bởi sự kiện nào?",Mạch máu phổi bị tắc nghẽn hoàn toàn,"Hồng cầu bị tiêu hủy, sợi fibrin và bạch cầu chiếm ưu thế",Vi khuẩn bắt đầu nhân lên mạnh mẽ hơn,Nhu mô phổi bị hoại tử tạo thành hang,,b,Màu xám xuất hiện do sự lắng đọng mạnh mẽ của fibrin và sự thoái hóa của hồng cầu trong lòng phế nang. Nguồn: Bệnh học nội khoa YHN.
