id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-hoi-chung-than-hu-mcq-001,noi,Hội chứng thận hư,Thận tiết niệu,,Tiêu chuẩn protein niệu 24 giờ để chẩn đoán hội chứng thận hư ở người lớn là gì?,"Lớn hơn 1,5 g/24 giờ/1,73m2","Lớn hơn 2,5 g/24 giờ/1,73m2","Lớn hơn 3,0 g/24 giờ/1,73m2","Lớn hơn hoặc bằng 3,5 g/24 giờ/1,73m2",,d,"Mốc chẩn đoán kinh điển của hội chứng thận hư là protein niệu lớn hơn hoặc bằng 3,5g/24h. Lượng mất protein này vượt quá khả năng bù trừ của gan. Nguồn: Bệnh học nội khoa YHN."
noi-hoi-chung-than-hu-mcq-002,noi,Hội chứng thận hư,Thận tiết niệu,,Nguyên nhân nguyên phát gây hội chứng thận hư thường gặp nhất ở trẻ em là gì?,Bệnh cầu thận thay đổi tối thiểu,Viêm cầu thận màng nguyên phát,Xơ hóa cầu thận ổ cục bộ nguyên phát,Viêm cầu thận màng tăng sinh nguyên phát,,a,Bệnh cầu thận thay đổi tối thiểu chiếm khoảng 80 đến 90% các trường hợp hội chứng thận hư ở trẻ em. Người trưởng thành có tỷ lệ mắc bệnh này thấp hơn nhiều. Nguồn: Bệnh học nội khoa YHN.
noi-hoi-chung-than-hu-mcq-003,noi,Hội chứng thận hư,Thận tiết niệu,,Hội chứng thận hư được phân loại là không thuần khiết khi có kèm theo dấu hiệu nào?,Phù to toàn thân,Tràn dịch đa màng,Tăng huyết áp,Rối loạn lipid máu,,c,"Hội chứng thận hư không thuần khiết được xác định khi có kèm theo tăng huyết áp, đái máu đại thể hoặc vi thể, hoặc suy thận. Các dấu hiệu này cho thấy tổn thương cầu thận lan rộng hơn. Nguồn: Bệnh học nội khoa YHN."
noi-hoi-chung-than-hu-mcq-004,noi,Hội chứng thận hư,Thận tiết niệu,,Bệnh lý hệ thống nào là nguyên nhân thứ phát thường gặp gây hội chứng thận hư ở nữ giới trẻ tuổi?,Đái tháo đường type 1,Lupus ban đỏ hệ thống,Viêm khớp dạng thấp,Viêm cột sống dính khớp,,b,Lupus ban đỏ hệ thống rất phổ biến ở nữ giới trẻ tuổi và thường gây tổn thương viêm cầu thận lupus. Đây là một trong những nguyên nhân hàng đầu gây hội chứng thận hư thứ phát. Nguồn: Bệnh học nội khoa YHN.
noi-hoi-chung-than-hu-mcq-005,noi,Hội chứng thận hư,Thận tiết niệu,,Thành phần nào chiếm ưu thế tuyệt đối trong protein niệu chọn lọc của hội chứng thận hư?,Albumin,Globulin miễn dịch,Alpha-2 macroglobulin,Beta-2 microglobulin,,a,"Protein niệu chọn lọc có nghĩa là màng lọc cầu thận chỉ cho lọt các protein phân tử lượng nhỏ, chủ yếu là albumin chiếm trên 80%. Điều này rất đặc trưng cho bệnh cầu thận thay đổi tối thiểu. Nguồn: Bệnh học nội khoa YHN."
noi-hoi-chung-than-hu-mcq-006,noi,Hội chứng thận hư,Thận tiết niệu,,Đặc trưng rối loạn lipid máu trong hội chứng thận hư là gì?,Chỉ tăng triglyceride máu,Chỉ tăng cholesterol toàn phần,Giảm nồng độ LDL-cholesterol,Tăng cholesterol toàn phần và triglyceride,,d,"Do giảm áp lực keo, gan tăng tổng hợp lipoprotein để bù trừ nhưng lại giảm dị hóa lipid. Hậu quả là cả cholesterol toàn phần và triglyceride đều tăng cao. Nguồn: Bệnh học nội khoa YHN."
noi-hoi-chung-than-hu-mcq-007,noi,Hội chứng thận hư,Thận tiết niệu,,Cơ chế chính gây phù theo thuyết đổ đầy kém trong hội chứng thận hư là gì?,Tăng áp lực thủy tĩnh mao mạch,Giảm áp lực keo huyết tương,Tăng tính thấm thành mạch toàn thân,Giảm áp lực thẩm thấu ngoại bào,,b,"Sự mất lượng lớn protein qua nước tiểu làm giảm áp lực keo huyết tương, khiến nước thoát ra khoảng gian bào. Điều này gây phù và làm giảm thể tích tuần hoàn hiệu dụng. Nguồn: Bệnh học nội khoa YHN."
noi-hoi-chung-than-hu-mcq-008,noi,Hội chứng thận hư,Thận tiết niệu,,Yếu tố nào bị mất qua nước tiểu gây ra tình trạng tăng đông trong hội chứng thận hư?,Yếu tố von Willebrand,Yếu tố VIII đông máu,Antithrombin III,Fibrinogen,,c,Antithrombin III có trọng lượng phân tử tương đương albumin nên dễ dàng bị mất qua nước tiểu. Sự thiếu hụt chất chống đông tự nhiên này gây ra nguy cơ huyết khối cao. Nguồn: Bệnh học nội khoa YHN.
noi-hoi-chung-than-hu-mcq-009,noi,Hội chứng thận hư,Thận tiết niệu,,Người bệnh hội chứng thận hư dễ bị nhiễm khuẩn do nguyên nhân chính nào?,Mất immunoglobulin G qua nước tiểu,Giảm sản xuất bạch cầu tại tủy xương,Tăng thực bào tại tổ chức lưới nội mô,Rối loạn chức năng tế bào lympho T,,a,Sự thất thoát immunoglobulin G và các yếu tố bổ thể qua màng lọc cầu thận làm suy giảm hệ miễn dịch dịch thể. Bệnh nhân rất dễ mắc các bệnh nhiễm khuẩn nặng. Nguồn: Bệnh học nội khoa YHN.
noi-hoi-chung-than-hu-mcq-010,noi,Hội chứng thận hư,Thận tiết niệu,,Rối loạn chuyển hóa calci ở bệnh nhân hội chứng thận hư chủ yếu do nguyên nhân nào?,Cường cận giáp nguyên phát,Giảm hấp thu calci tại ruột non,Tăng đào thải calci qua phân,Mất protein gắn cholecalciferol qua nước tiểu,,d,Protein gắn vitamin D bị đào thải qua nước tiểu làm giảm lượng vitamin D hoạt tính trong máu. Điều này kéo theo giảm hấp thu calci tại ruột và gây hạ calci máu. Nguồn: Bệnh học nội khoa YHN.
