id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-acs-hc-vanh-cap-mcq-001,noi,ACS (HC vành cấp),Tim mạch,,Đau thắt ngực ổn định được định nghĩa đặc trưng bởi tính chất nào sau đây?,Đau xuất hiện khi nghỉ ngơi và kéo dài trên 30 phút,"Đau có tính chất chu kỳ trong ngày, không liên quan vận động","Đau xuất hiện khi gắng sức, giảm đi khi nghỉ ngơi hoặc ngậm Nitroglycerin",Đau ngực nhói từng cơn kèm theo đoạn ST chênh lên,,c,"Đau ngực điển hình của bệnh mạch vành xuất hiện khi nhu cầu oxy cơ tim tăng (gắng sức, xúc động) và giảm khi nghỉ ngơi. Nguồn: Bệnh học nội khoa YHN."
noi-acs-hc-vanh-cap-mcq-002,noi,ACS (HC vành cấp),Tim mạch,,Yếu tố nguy cơ chính của bệnh mạch vành có thể thay đổi được là:,Tuổi cao,Tiền sử gia đình mắc bệnh tim mạch sớm,Rối loạn lipid máu,Giới tính nam,,c,Rối loạn lipid máu (đặc biệt tăng LDL-C) là yếu tố nguy cơ chủ chốt có thể điều chỉnh bằng thuốc và lối sống. Các yếu tố còn lại không thể thay đổi được.
noi-acs-hc-vanh-cap-mcq-003,noi,ACS (HC vành cấp),Tim mạch,,"Theo Đồng thuận toàn cầu lần 4, nhồi máu cơ tim cấp type 1 được định nghĩa là do cơ chế nào?",Mất cân bằng cung cầu oxy cơ tim đơn thuần,Nứt vỡ mảng xơ vữa dẫn đến hình thành huyết khối lấp mạch vành,Đột tử do tim nhưng chưa kịp lấy mẫu xét nghiệm,Liên quan trực tiếp đến can thiệp mạch vành qua da,,b,"Type 1 là nhồi máu cơ tim tự phát, mấu chốt là do nứt vỡ, loét hoặc bong tróc mảng xơ vữa gây huyết khối cấp tính."
noi-acs-hc-vanh-cap-mcq-004,noi,ACS (HC vành cấp),Tim mạch,,Bệnh nhân bị mất máu nặng gây tụt huyết áp kéo dài dẫn đến nhồi máu cơ tim. Trường hợp này phân loại theo Đồng thuận toàn cầu là:,Nhồi máu cơ tim type 1,Nhồi máu cơ tim type 2,Nhồi máu cơ tim type 3,Nhồi máu cơ tim type 4,,b,"Type 2 do tình trạng mất cân bằng cung cầu oxy cơ tim (như thiếu máu nặng, nhịp nhanh, tụt huyết áp) mà không có nứt vỡ mảng xơ vữa cấp tính."
noi-acs-hc-vanh-cap-mcq-005,noi,ACS (HC vành cấp),Tim mạch,,Đặc điểm sinh lý bệnh cốt lõi để phân biệt hội chứng vành cấp và hội chứng vành mạn là:,Vị trí và hướng lan của cơn đau ngực,Tính chất bất ổn và sự nứt vỡ cấp tính của mảng xơ vữa,Sự xuất hiện của sóng Q bệnh lý trên điện tâm đồ,Mức độ tăng huyết áp nền của bệnh nhân,,b,"Hội chứng vành mạn do hẹp lòng mạch cố định, trong khi hội chứng vành cấp là biến cố cấp tính khi mảng xơ vữa mất ổn định và nứt vỡ."
noi-acs-hc-vanh-cap-mcq-006,noi,ACS (HC vành cấp),Tim mạch,,"Theo các thang điểm đánh giá nguy cơ tim mạch, độ tuổi được coi là yếu tố nguy cơ độc lập đối với bệnh mạch vành ở nam giới bắt đầu từ:",≥ 45 tuổi,≥ 50 tuổi,≥ 55 tuổi,≥ 60 tuổi,,a,Nam ≥ 45 tuổi và nữ ≥ 55 tuổi (hoặc sau mãn kinh) được tính là một yếu tố nguy cơ tim mạch truyền thống. Nguồn: Bệnh học nội khoa YHN.
noi-acs-hc-vanh-cap-mcq-007,noi,ACS (HC vành cấp),Tim mạch,,Loại tế bào nào đóng vai trò khởi phát và là thành phần nòng cốt trong việc hình thành vệt mỡ ban đầu của mảng xơ vữa?,Bạch cầu đa nhân trung tính,Đại thực bào,Tế bào lympho T,Tế bào nội mô nguyên vẹn,,b,"Đại thực bào thực bào các phân tử LDL-C bị oxy hóa, biến thành các tế bào bọt (foam cells) tích tụ lại tạo thành vệt mỡ trên thành mạch."
noi-acs-hc-vanh-cap-mcq-008,noi,ACS (HC vành cấp),Tim mạch,,Cơ chế chính gây ra cơn đau thắt ngực kiểu Prinzmetal là:,Huyết khối lớn lấp mạch hoàn toàn,Hẹp cố định nhánh chính động mạch vành > 90%,Co thắt động mạch vành thượng tâm mạc,Viêm lan tỏa hệ vi tuần hoàn mạch vành,,c,"Prinzmetal (đau thắt ngực biến thể) do co thắt động mạch vành thượng tâm mạc, thường xảy ra lúc nghỉ và gây ST chênh lên thoáng qua."
noi-acs-hc-vanh-cap-mcq-009,noi,ACS (HC vành cấp),Tim mạch,,Quá trình hoạt hóa tiểu cầu trong hội chứng vành cấp KHÔNG bao gồm tác động của chất nào sau đây?,Thromboxane A2,Adenosine diphosphate,Prostacyclin,Thrombin,,c,"Prostacyclin (PGI2) do tế bào nội mô tiết ra có tác dụng giãn mạch và ức chế ngưng tập tiểu cầu, ngược lại với các chất kích thích tiểu cầu như TXA2 hay ADP."
noi-acs-hc-vanh-cap-mcq-010,noi,ACS (HC vành cấp),Tim mạch,,Cơ chế chính gây ra đoạn ST chênh lên trên điện tâm đồ trong nhồi máu cơ tim cấp là do:,Tổn thương thiếu máu cục bộ xuyên thành cơ tim,Thiếu máu cục bộ khu trú dưới nội tâm mạc,Sẹo hoại tử cơ tim cũ không phục hồi,Phì đại thất trái bù trừ sau thiếu máu,,a,Thiếu máu/tổn thương xuyên thành gây thay đổi vector điện thế dẫn đến ST chênh lên. Thiếu máu dưới nội tâm mạc thường gây ST chênh xuống.
noi-acs-hc-vanh-cap-mcq-011,noi,ACS (HC vành cấp),Tim mạch,,Đặc điểm sinh lý bệnh đặc trưng của Hội chứng X (đau thắt ngực vi mạch) là:,Hẹp khít thân chung động mạch vành trái,Rối loạn chức năng vi tuần hoàn mạch vành,Bất thường bẩm sinh vị trí xuất phát mạch vành,Viêm cơ tim cấp do virus,,b,"Hội chứng X gây đau ngực điển hình, nghiệm pháp gắng sức dương tính nhưng chụp mạch vành thượng tâm mạc bình thường do bệnh lý ở vi tuần hoàn."
noi-acs-hc-vanh-cap-mcq-012,noi,ACS (HC vành cấp),Tim mạch,,Hiện tượng tái cấu trúc thất trái (remodeling) sau nhồi máu cơ tim chủ yếu đặc trưng bởi sự thay đổi nào?,Giảm kích thước buồng thất trái toàn bộ,Giãn và mỏng vùng cơ tim bị nhồi máu kèm phì đại vùng cơ tim lành,Dày đồng tâm toàn bộ thành thất trái,Tăng sinh mạch máu tân tạo ồ ạt lấp đầy buồng tim,,b,"Vùng nhồi máu bị mỏng và giãn ra (nguy cơ phình thất), trong khi vùng cơ lành phải phì đại bù trừ, lâu dần dẫn đến suy tim sung huyết."
