id,subject,chapter,group,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-base-001,noi,Basedow,Nội tiết,Biến chứng của điều trị iod 131 là:,Suy giáp.,Cơn bão giáp.,,,,a,(biến chứng chính)
noi-base-002,noi,Basedow,Nội tiết,"Biến chứng của điều trị ngoại khoa cường giáp, TRỪ:",Nói khàn,Suy giáp,Lồi mắt,Tăng Ca máu,,c,
noi-base-003,noi,Basedow,Nội tiết,"Trước khi phẫu thuật tuyến giáp trong Basedow, cần:",Điều trị Nội để mạch dưới 80ck/p,Dùng Lugol để hạn chế chảy máu,Bổ sung muối iod dự phòng nhược giáp sau phẫu thuật,Điều trị nội khoa tích cực trong 1 tuần để đạt bình giáp,,b,(trc 1w) Điều trị nội khoa 2-3 đến khi bình giáp
noi-base-004,noi,Basedow,Nội tiết,Hạ Kali máu ở bn nam bị Basedow gặp ở lứa tuổi nào,Từ 18-40 tuổi,Trên 30 tuổi,Dưới 50 tuổi,Từ 18-60 tuổi,,a,
noi-base-005,noi,Basedow,Nội tiết,"Khi dùng kháng giáp trạng tổng hợp, cần giảm liều khi BCTT",Dưới 1G/l,Dưới 2G/l,Trên 10G/l,Dưới 3G/l,,b,(ngừng khi 1G/l; Đ/á test QP)
noi-base-006,noi,Basedow,Nội tiết,Nguyên nhân thường gặp thứ 2 gây cường giáp sau Basedow là,Bướu nhân độc,Di căn tuyến giáp thể nang,Ung thư tuyến giáp,,,a,
noi-base-007,noi,Basedow,Nội tiết,Triệu chứng tim mạch hay gặp nhất của Basedow?,Nhịp nhanh,Loạn nhịp,Ngoại tâm thu,Phì đại thất,,a,(90%)
noi-base-008,noi,Basedow,Nội tiết,RL nhịp thường gặp nhất trong Basedow,Rung cuồng nhĩ,Nhịp nhanh trên thất,Ngoại tâm thu,Loạn nhịp,,a,(slide thầy Bảy)
noi-base-009,noi,Basedow,Nội tiết,Yếu tố thuận lợi cho Basedow:,Hút thuốc lá,Nhiễm trùng,Có thai,Mãn kinh,Uống rượu F. Điều trị corticoid,b,(khi có thai bệnh có xu hướng giảm; YT thuận lợi là sau đẻ)
noi-base-010,noi,Basedow,Nội tiết,Bệnh nhân Basedow có biến chứng loạn nhịp tim hay gặp ở:,"Nữ, >50 tuổi",Nam >40 tuổi,Nam > 60,Nữ > 60,,c,(slide thầy Bảy)
