id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-phu-phoi-cap-mcq-001,noi,Phù phổi cấp,Hồi sức cấp cứu,,Phù phổi cấp là tình trạng tích tụ dịch bất thường tại vị trí nào của hệ hô hấp?,Khoang màng phổi,Nhu mô và phế nang,Phế quản lớn,Màng ngoài tim,,b,"Phù phổi cấp là sự thoát dịch đột ngột từ mao mạch phổi vào khoảng kẽ và phế nang, gây suy hô hấp cấp. Nguồn: Bệnh học nội khoa YHN."
noi-phu-phoi-cap-mcq-002,noi,Phù phổi cấp,Hồi sức cấp cứu,,Nguyên nhân nào sau đây KHÔNG thuộc nhóm gây phù phổi cấp huyết động?,Nhồi máu cơ tim cấp,Hẹp van hai lá,Viêm phổi nặng,Cơn tăng huyết áp cấp cứu,,c,Viêm phổi nặng gây phù phổi tổn thương (tăng tính thấm mao mạch). Các nguyên nhân còn lại gây tăng áp lực thủy tĩnh mao mạch phổi (huyết động). Nguồn: Bệnh học nội khoa YHN.
noi-phu-phoi-cap-mcq-003,noi,Phù phổi cấp,Hồi sức cấp cứu,,"Theo định luật Starling, yếu tố chính nào giữ dịch lại trong lòng mao mạch phổi?",Áp lực thủy tĩnh mao mạch,Áp lực keo huyết tương,Áp lực âm khoang màng phổi,Sức cản đường thở,,b,"Áp lực keo huyết tương (chủ yếu do Albumin) tạo lực hút giữ nước trong lòng mạch, đối trọng với áp lực thủy tĩnh đẩy nước ra ngoài."
noi-phu-phoi-cap-mcq-004,noi,Phù phổi cấp,Hồi sức cấp cứu,,"Yếu tố nào sau đây đóng vai trò bảo vệ, giúp dọn dẹp dịch thoát ra ở khoảng kẽ phổi trong giai đoạn sớm?",Hệ thống bạch huyết,Đại thực bào phế nang,Biểu mô lông chuyển,Surfactant,,a,Hệ thống bạch huyết phổi có khả năng tăng công suất dẫn lưu lên nhiều lần để giải phóng dịch kẽ trước khi dịch tràn vào phế nang.
noi-phu-phoi-cap-mcq-005,noi,Phù phổi cấp,Hồi sức cấp cứu,,Đặc điểm cơ bản để phân biệt phù phổi cấp huyết động và phù phổi cấp tổn thương là:,Tình trạng thiếu oxy máu,Rối loạn toan kiềm,Áp lực mao mạch phổi bít,Hình ảnh bóng tim to,,c,"Áp lực mao mạch phổi bít (PCWP) tăng (>18 mmHg) là đặc trưng của phù phổi huyết động, trong khi PCWP bình thường hoặc thấp trong phù phổi tổn thương (ARDS)."
noi-phu-phoi-cap-mcq-006,noi,Phù phổi cấp,Hồi sức cấp cứu,,Phù phổi cấp do lên vùng núi cao (HAPE) chủ yếu thuộc cơ chế nào?,Tăng tính thấm mao mạch do viêm,Co mạch phổi do thiếu oxy,Tăng áp lực nhĩ trái,Giảm áp lực keo máu,,b,"Thiếu oxy ở vùng cao gây co mạch phổi lan tỏa, làm tăng áp lực mao mạch phổi không đồng nhất, dẫn đến rò rỉ dịch mao mạch."
noi-phu-phoi-cap-mcq-007,noi,Phù phổi cấp,Hồi sức cấp cứu,,Sự kiện sinh lý bệnh nào đánh dấu bước chuyển từ phù phổi mô kẽ sang phù phổi phế nang?,Tăng áp lực thủy tĩnh mao mạch phổi,Phá vỡ lớp biểu mô phế nang,Suy giảm chức năng thất trái,Giảm áp lực keo huyết tương,,b,"Khi áp lực kẽ tăng quá mức hoặc tổn thương trực tiếp làm rách màng phế nang- mao mạch, dịch sẽ ồ ạt tràn vào lòng phế nang gây suy hô hấp kịch phát."
noi-phu-phoi-cap-mcq-008,noi,Phù phổi cấp,Hồi sức cấp cứu,,Tại sao bệnh nhân hẹp van hai lá mạn tính thường chịu đựng được mức áp lực nhĩ trái rất cao mà không bị phù phổi cấp?,Phì đại thất phải bù trừ,Giảm thể tích máu lưu thông,Dày màng phế nang mao mạch,Tăng sinh Surfactant,,c,Sự dày lên của màng phế nang mao mạch và tăng sản hệ bạch huyết giúp bảo vệ phổi khỏi sự thoát dịch ồ ạt dù áp lực nhĩ trái cao mạn tính. Nguồn: Bệnh học nội khoa YHN.
noi-phu-phoi-cap-mcq-009,noi,Phù phổi cấp,Hồi sức cấp cứu,,Hiện tượng phù phổi áp lực âm thường xảy ra trong bệnh cảnh nào?,Rút ống nội khí quản có co thắt thanh quản,Thở máy áp lực dương liên tục,Chọc tháo dịch màng phổi số lượng lớn,Cơn hen phế quản ác tính,,a,"Cố gắng hít vào chống lại đường thở bị tắc nghẽn (co thắt thanh quản) tạo áp lực âm khoang màng phổi rất lớn, hút dịch từ mao mạch vào phế nang."
noi-phu-phoi-cap-mcq-010,noi,Phù phổi cấp,Hồi sức cấp cứu,,"Trong suy tim trái cấp, cơ chế bù trừ nào của cơ thể vô tình làm nặng thêm tình trạng phù phổi?",Tăng tiết ANP và BNP,Giảm nhịp tim,Cường giao cảm và hệ RAAS,Tăng tính thấm mao mạch,,c,"Hệ giao cảm và RAAS gây co mạch, giữ muối nước, làm tăng hậu gánh và tiền gánh, khiến thất trái càng suy và phù phổi nặng nề hơn."
noi-phu-phoi-cap-mcq-011,noi,Phù phổi cấp,Hồi sức cấp cứu,,Sự bất tương xứng thông khí - tưới máu (V/Q) trong phù phổi cấp chủ yếu dẫn đến hậu quả gì?,Shunt phải - trái tại phổi,Khoảng chết sinh lý tăng,Giảm khuếch tán CO2,Toan chuyển hóa sớm,,a,"Phế nang ngập dịch mất khả năng thông khí nhưng vẫn được tưới máu, tạo ra hiệu ứng Shunt phải-trái, gây giảm oxy máu trơ với oxy liệu pháp."
noi-phu-phoi-cap-mcq-012,noi,Phù phổi cấp,Hồi sức cấp cứu,,Phù phổi cấp do thần kinh (sau chấn thương sọ não) liên quan trực tiếp đến cơ chế nào?,Liệt cơ hô hấp,Trào ngược dịch dạ dày,Cơn bão catecholamine,Hội chứng tiết ADH không thích hợp,,c,"Tổn thương thần kinh trung ương gây giải phóng ồ ạt catecholamine, làm co mạch hệ thống mạnh, dịch chuyển máu từ vòng tuần hoàn lớn sang tuần hoàn phổi."
noi-phu-phoi-cap-mcq-013,noi,Phù phổi cấp,Hồi sức cấp cứu,,Tại sao phù phổi cấp làm giảm độ giãn nở (compliance) của phổi?,Co thắt phế quản lan tỏa,Rửa trôi và bất hoạt surfactant,Tăng sinh sợi collagen,Tràn dịch màng phổi đi kèm,,b,"Dịch tràn vào phế nang làm pha loãng và bất hoạt surfactant, khiến sức căng bề mặt phế nang tăng cao, phổi xẹp và giảm độ giãn nở."
noi-phu-phoi-cap-mcq-014,noi,Phù phổi cấp,Hồi sức cấp cứu,,Triệu chứng cơ năng sớm nhất và nhạy nhất báo hiệu phù phổi cấp là:,Ho khạc đờm bọt hồng,Khó thở khi nằm,Đau ngực dữ dội,Tím tái ngoại vi,,b,Khó thở khi nằm (Orthopnea) và khó thở kịch phát về đêm là những dấu hiệu sớm của sung huyết phổi trước khi diễn tiến thành phù phổi cấp bọt hồng.
noi-phu-phoi-cap-mcq-015,noi,Phù phổi cấp,Hồi sức cấp cứu,,Đặc điểm ho khạc đờm điển hình nhất của phù phổi cấp giai đoạn toàn phát là:,Đờm mủ xanh trong,"Đờm bọt hồng, trào ra mép",Ho khan dữ dội,Đờm rỉ sắt dính,,b,"Đờm bọt hồng là sự pha trộn giữa dịch tiết phế nang, bọt khí do nhịp thở nhanh và hồng cầu lọt qua mao mạch bị vỡ. Nguồn: Bệnh học nội khoa YHN."
noi-phu-phoi-cap-mcq-016,noi,Phù phổi cấp,Hồi sức cấp cứu,,Nghe phổi trong cơn phù phổi cấp huyết động điển hình có đặc điểm gì?,Rì rào phế nang giảm đều hai phế trường,Ran ẩm dâng lên từ hai đáy phổi,Tiếng cọ màng phổi vùng đỉnh,"Ran rít, ran ngáy đơn thuần",,b,"Ran ẩm to nhỏ hạt dâng lên nhanh như ""thủy triều"" từ hai đáy phổi lên đỉnh phổi là dấu hiệu kinh điển của dịch tràn vào phế nang."
noi-phu-phoi-cap-mcq-017,noi,Phù phổi cấp,Hồi sức cấp cứu,,"Triệu chứng ""hen tim"" trong suy tim trái dễ nhầm lẫn với hen phế quản vì có biểu hiện gì?",Tăng bạch cầu ái toan,"Ran rít, ran ngáy lan tỏa",Ran nổ khu trú đáy phổi,Lồng ngực hình thùng,,b,"Dịch kẽ gây chèn ép và phù nề tiểu phế quản, kết hợp co thắt phản xạ, tạo ra tiếng ran rít, ran ngáy giống cơn hen phế quản (""hen tim"")."
noi-phu-phoi-cap-mcq-018,noi,Phù phổi cấp,Hồi sức cấp cứu,,Khám tim ở bệnh nhân phù phổi cấp do suy thất trái thường nghe thấy dấu hiệu nào?,Tiếng cọ màng tim,Tiếng ngựa phi (T3),Âm thổi liên tục,Tiếng T1 đanh,,b,"Tiếng ngựa phi (T3) là dấu hiệu kinh điển của suy thất trái, phản ánh tình trạng quá tải thể tích thất trái."
noi-phu-phoi-cap-mcq-019,noi,Phù phổi cấp,Hồi sức cấp cứu,,Biểu hiện thần kinh thường gặp trong phù phổi cấp kịch phát là:,Hôn mê sâu ngay từ đầu,Co giật toàn thể,"Vật vã, kích thích, hoảng hốt",Hội chứng màng não,,c,"Tình trạng vật vã, hoảng sợ là do cảm giác ngạt thở cấp tính (đói oxy) và tăng tiết catecholamine nội sinh cường độ cao."
noi-phu-phoi-cap-mcq-020,noi,Phù phổi cấp,Hồi sức cấp cứu,,Bệnh nhân có dấu hiệu tĩnh mạch cổ nổi to trong bối cảnh phù phổi cấp gợi ý điều gì?,Chỉ có suy tim trái đơn thuần,Suy tim toàn bộ hoặc quá tải thể tích,Sốc giảm thể tích,Nhồi máu cơ tim thất trái,,b,"Tĩnh mạch cổ nổi to phản ánh áp lực tĩnh mạch trung tâm tăng, gặp trong suy tim phải (do suy tim toàn bộ) hoặc quá tải dịch hệ thống."
noi-phu-phoi-cap-mcq-021,noi,Phù phổi cấp,Hồi sức cấp cứu,,Dấu hiệu sinh tồn nào sau đây thường ít gặp trong giai đoạn đầu của phù phổi cấp huyết động?,Mạch nhanh,Nhịp thở nhanh,Huyết áp tụt,Vã mồ hôi,,c,"Giai đoạn đầu huyết áp thường tăng cao do phản xạ cường giao cảm. Huyết áp tụt là dấu hiệu muộn, gợi ý sốc tim hoặc kiệt sức."
noi-phu-phoi-cap-mcq-022,noi,Phù phổi cấp,Hồi sức cấp cứu,,"Bệnh cảnh ""phù phổi chớp nhoáng"" (Flash pulmonary edema) thường liên quan mật thiết đến bệnh lý nào?",Hẹp động mạch thận hai bên,Hen phế quản mạn tính,Suy tĩnh mạch chi dưới,Cường giáp trạng,,a,"Hẹp động mạch thận hai bên gây kích hoạt RAAS ồ ạt, tăng huyết áp ác tính và giữ nước, dẫn đến phù phổi kịch phát tái diễn."
