id,subject,chapter,group,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-copd-001,noi,COPD,Hô hấp,Các yếu tố nguy cơ gây BPTNMT,"Khói thuốc lá, thuốc lào",Khói bếp than,Bụi nghề nghiệp,Tất cả các đáp án trên đều đúng,,d,
noi-copd-002,noi,COPD,Hô hấp,Triệu chứng lâm sàng thường gặp của đợt cấp BPTNMT,"Ho, khạc đờm nhiều hơn.","Khó thở, tím tái","Ran rít, ran ngáy",Tất cả các triệu chứng trên,,d,
noi-copd-003,noi,COPD,Hô hấp,Các xét nghiệm cần làm đối với bệnh nhân mắc đợt cấp BPTNMT khi nhập viện:,Khí máu động mạch,Chụp X quang phổi.,Làm điện tim.,Tất cả các ý trên đều đúng,,d,
noi-copd-004,noi,COPD,Hô hấp,Nguyên nhân gây đợt cấp BPTNMT,Do nhiễm khuẩn,Dùng thuốc an thần,Do nhiễm lạnh,Tất cả các ý trên đều đúng,,d,
noi-copd-005,noi,COPD,Hô hấp,Đặc điểm quan trọng nhất giúp phân biệt hen phế quản và BPTNMT,Khó thở cò cứ.,Cơn khó thở thường xuất hiện khi thay đổi thời tiết.,Rối loạn thông khí tắc nghẽn hồi phục hoàn toàn sau test hồi phục phế quản,X quang phổi có hình ảnh giãn phế nang,,c,
noi-copd-006,noi,COPD,Hô hấp,Triệu chứng lâm sàng thường gặp của BPTNMT,"Ho, khạc đờm.",Khó thở mạn tính,Rì rào phế nang giảm,Tất cả các triệu chứng trên.,,d,
noi-copd-007,noi,COPD,Hô hấp,Để đánh giá giai đoạn của BPTNMT cần làm,Đo chức năng thông khí phổi.,Chụp X quang phổi.,Làm điện tim.,Siêu âm tim.,Chụp cắt lớp vi tính phổi.,a,
noi-copd-008,noi,COPD,Hô hấp,Dấu hiệu tăng áp động mạch phổi trên điện tim,"P phế ở DII, DIII, aVF: P cao >2,5 mm, nhọn, đối xứng.","Trục trái, góc D < 110°","R/S ở V5, V6 >1",Bloc nhánh trái không hoàn toàn.,,a,
noi-copd-009,noi,COPD,Hô hấp,Rối loạn thông khí tắc nghẽn do nguyên nhân nào nhiều nhất?,Hen PQ,Giãn PQ,COPD,Viêm PQ mạn tính,,c,
noi-copd-010,noi,COPD,Hô hấp,"BN COPD có FEV1/FVC<70%, 50%<FEV1<80% thì được phân loại:",Gold I,Gold II,Gold III,Gold IV,,b,
noi-copd-011,noi,COPD,Hô hấp,"Seretide, Symbicort là dạng kết hợp giữa LABA với",SABA,Corticoid,Kháng cholinergic,Metylxanthin,,b,
