id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-viem-noi-tam-mac-case-1-1,noi,Viêm nội tâm mạc nhiễm khuẩn,Tim mạch,"Bệnh nhân nam 45 tuổi, thợ mộc, vào viện vì sốt kéo dài và mệt mỏi. Bệnh sử ghi nhận bệnh nhân sốt âm ỉ 3 tuần nay, nhiệt độ dao động 37.5-38.2°C, kèm chán ăn, gầy sút 4 kg, nhức mỏi cơ khớp. Cách 4 tuần, bệnh nhân có nhổ răng hàm số 8 nhưng không uống thuốc kháng sinh. Tiền sử hẹp hở van hai lá do thấp tim từ năm 20 tuổi, không dị ứng thuốc. Khám toàn thân: bệnh nhân tỉnh, da niêm mạc nhợt nhạt, mạch 95 lần/phút, huyết áp 110/70 mmHg, nhiệt độ 38.1°C, nhịp thở 18 lần/phút, SpO₂ 98%. Khám tim: mỏm tim đập khoang liên sườn V đường giữa đòn trái, T1 đanh, T2 tách đôi, rung tâm trương 3/6 ở mỏm, âm thổi tâm thu 3/6 ở mỏm lan ra nách, âm thổi không thay đổi cường độ so với lần khám trước. Khám các cơ quan khác: xuất hiện các vệt xuất huyết nhỏ màu đỏ nâu dọc theo móng tay hai bên, sờ thấy lách to mấp mé bờ sườn, không có ban cánh bướm ở mặt, không có dấu hiệu thần kinh khu trú. Cận lâm sàng: bạch cầu 14.5 G/L (trung tính 82%), hemoglobin 95 g/L, CRP 68 mg/L, procalcitonin 0.8 ng/mL, điện tâm đồ nhịp xoang đều.",Định hướng chẩn đoán nào phù hợp nhất với bệnh cảnh lâm sàng hiện tại?,Thấp tim tiến triển đợt cấp tính,Viêm nội tâm mạc nhiễm khuẩn bán cấp,Viêm cơ tim cấp tính sau nhiễm khuẩn,Viêm nội tâm mạc nhiễm khuẩn cấp tính,,b,"Bối cảnh sốt âm ỉ kéo dài, mệt mỏi, gầy sút cân trên nền bệnh van tim sau thủ thuật răng miệng điển hình cho viêm nội tâm mạc nhiễm khuẩn bán cấp. Thấp tim tiến triển ít gặp ở lứa tuổi này và viêm nội tâm mạc cấp tính thường diễn biến rầm rộ hơn."
noi-viem-noi-tam-mac-case-1-2,noi,Viêm nội tâm mạc nhiễm khuẩn,Tim mạch,"Bệnh nhân nam 45 tuổi, thợ mộc, vào viện vì sốt kéo dài và mệt mỏi. Bệnh sử ghi nhận bệnh nhân sốt âm ỉ 3 tuần nay, nhiệt độ dao động 37.5-38.2°C, kèm chán ăn, gầy sút 4 kg, nhức mỏi cơ khớp. Cách 4 tuần, bệnh nhân có nhổ răng hàm số 8 nhưng không uống thuốc kháng sinh. Tiền sử hẹp hở van hai lá do thấp tim từ năm 20 tuổi, không dị ứng thuốc. Khám toàn thân: bệnh nhân tỉnh, da niêm mạc nhợt nhạt, mạch 95 lần/phút, huyết áp 110/70 mmHg, nhiệt độ 38.1°C, nhịp thở 18 lần/phút, SpO₂ 98%. Khám tim: mỏm tim đập khoang liên sườn V đường giữa đòn trái, T1 đanh, T2 tách đôi, rung tâm trương 3/6 ở mỏm, âm thổi tâm thu 3/6 ở mỏm lan ra nách, âm thổi không thay đổi cường độ so với lần khám trước. Khám các cơ quan khác: xuất hiện các vệt xuất huyết nhỏ màu đỏ nâu dọc theo móng tay hai bên, sờ thấy lách to mấp mé bờ sườn, không có ban cánh bướm ở mặt, không có dấu hiệu thần kinh khu trú. Cận lâm sàng: bạch cầu 14.5 G/L (trung tính 82%), hemoglobin 95 g/L, CRP 68 mg/L, procalcitonin 0.8 ng/mL, điện tâm đồ nhịp xoang đều.",Căn nguyên vi sinh vật có khả năng cao nhất gây ra tình trạng bệnh lý này?,Staphylococcus aureus,Streptococcus gallolyticus,Viridans nhóm Streptococcus,Enterococcus faecalis,,c,"Viridans Streptococcus là vi khuẩn thường trú ở khoang miệng, dễ xâm nhập vào máu sau các thủ thuật nha khoa và là nguyên nhân hàng đầu gây viêm nội tâm mạc bán cấp trên van tự nhiên có tổn thương từ trước."
noi-viem-noi-tam-mac-case-1-3,noi,Viêm nội tâm mạc nhiễm khuẩn,Tim mạch,"Bệnh nhân nam 45 tuổi, thợ mộc, vào viện vì sốt kéo dài và mệt mỏi. Bệnh sử ghi nhận bệnh nhân sốt âm ỉ 3 tuần nay, nhiệt độ dao động 37.5-38.2°C, kèm chán ăn, gầy sút 4 kg, nhức mỏi cơ khớp. Cách 4 tuần, bệnh nhân có nhổ răng hàm số 8 nhưng không uống thuốc kháng sinh. Tiền sử hẹp hở van hai lá do thấp tim từ năm 20 tuổi, không dị ứng thuốc. Khám toàn thân: bệnh nhân tỉnh, da niêm mạc nhợt nhạt, mạch 95 lần/phút, huyết áp 110/70 mmHg, nhiệt độ 38.1°C, nhịp thở 18 lần/phút, SpO₂ 98%. Khám tim: mỏm tim đập khoang liên sườn V đường giữa đòn trái, T1 đanh, T2 tách đôi, rung tâm trương 3/6 ở mỏm, âm thổi tâm thu 3/6 ở mỏm lan ra nách, âm thổi không thay đổi cường độ so với lần khám trước. Khám các cơ quan khác: xuất hiện các vệt xuất huyết nhỏ màu đỏ nâu dọc theo móng tay hai bên, sờ thấy lách to mấp mé bờ sườn, không có ban cánh bướm ở mặt, không có dấu hiệu thần kinh khu trú. Cận lâm sàng: bạch cầu 14.5 G/L (trung tính 82%), hemoglobin 95 g/L, CRP 68 mg/L, procalcitonin 0.8 ng/mL, điện tâm đồ nhịp xoang đều.",Cơ chế bệnh sinh chính tạo nên các vệt xuất huyết dưới móng tay ở bệnh nhân này?,Lắng đọng phức hợp miễn dịch lưu hành,Hiện tượng viêm mao mạch dị ứng toàn thân,Viêm mạch máu do độc tố vi khuẩn trực tiếp,Tắc nghẽn vi mạch do các vi huyết khối,,d,"Dấu hiệu xuất huyết dưới móng (splinter hemorrhages) hình thành do các mảnh sùi nhỏ từ van tim bong ra, trôi theo dòng máu và gây thuyên tắc vi mạch ở ngọn chi."
noi-viem-noi-tam-mac-case-1-4,noi,Viêm nội tâm mạc nhiễm khuẩn,Tim mạch,"Bệnh nhân nam 45 tuổi, thợ mộc, vào viện vì sốt kéo dài và mệt mỏi. Bệnh sử ghi nhận bệnh nhân sốt âm ỉ 3 tuần nay, nhiệt độ dao động 37.5-38.2°C, kèm chán ăn, gầy sút 4 kg, nhức mỏi cơ khớp. Cách 4 tuần, bệnh nhân có nhổ răng hàm số 8 nhưng không uống thuốc kháng sinh. Tiền sử hẹp hở van hai lá do thấp tim từ năm 20 tuổi, không dị ứng thuốc. Khám toàn thân: bệnh nhân tỉnh, da niêm mạc nhợt nhạt, mạch 95 lần/phút, huyết áp 110/70 mmHg, nhiệt độ 38.1°C, nhịp thở 18 lần/phút, SpO₂ 98%. Khám tim: mỏm tim đập khoang liên sườn V đường giữa đòn trái, T1 đanh, T2 tách đôi, rung tâm trương 3/6 ở mỏm, âm thổi tâm thu 3/6 ở mỏm lan ra nách, âm thổi không thay đổi cường độ so với lần khám trước. Khám các cơ quan khác: xuất hiện các vệt xuất huyết nhỏ màu đỏ nâu dọc theo móng tay hai bên, sờ thấy lách to mấp mé bờ sườn, không có ban cánh bướm ở mặt, không có dấu hiệu thần kinh khu trú. Cận lâm sàng: bạch cầu 14.5 G/L (trung tính 82%), hemoglobin 95 g/L, CRP 68 mg/L, procalcitonin 0.8 ng/mL, điện tâm đồ nhịp xoang đều.",Chỉ định cận lâm sàng nào cần được thực hiện ưu tiên ngay trước khi bắt đầu điều trị thuốc?,Siêu âm tim qua thành ngực,Cấy máu nhiều mẫu khác vị trí,Chụp cắt lớp vi tính lồng ngực,Xét nghiệm kháng thể kháng liên cầu,,b,Cấy máu (thường 3 mẫu lấy ở các vị trí tĩnh mạch khác nhau) là tiêu chuẩn vàng. Việc cấy máu phải được thực hiện ngay trước khi dùng bất kỳ liều kháng sinh nào nhằm tối ưu hóa tỷ lệ phân lập vi khuẩn.
noi-viem-noi-tam-mac-case-2-1,noi,Viêm nội tâm mạc nhiễm khuẩn,Tim mạch,"Penicillin) kết hợp Ceftriaxone hoặc Gentamicin bao phủ tốt liên cầu Viridans và Enterococcus đối với viêm nội tâm mạc bán cấp van tự nhiên cộng đồng. Nguồn tham khảo: ESC Guidelines 2023. Bệnh nhân nam 28 tuổi, thất nghiệp, vào viện cấp cứu vì sốt cao rét run và khó thở. Bệnh sử: bệnh nhân sốt cao liên tục 3 ngày nay, ho khạc đờm có dính máu, đau tức ngực phải khi hít sâu. Bệnh nhân có tiền sử tiêm chích ma túy tĩnh mạch nhiều năm, không có tiền sử bệnh lý tim mạch trước đây. Khám toàn thân: lơ mơ, vã mồ hôi, da niêm mạc nhợt, nhiều vết sẹo tiêm chích ở tĩnh mạch hai cẳng tay, mạch 125 lần/phút, huyết áp 85/50 mmHg, nhiệt độ 39.8°C, nhịp thở 28 lần/phút, SpO₂ 88% với khí trời. Khám tim: nhịp nhanh đều, có âm thổi tâm thu 3/6 ở khoang liên sườn IV cạnh ức trái, âm thổi tăng lên khi hít vào sâu. Khám phổi: ran nổ rải rác hai đáy phổi, không có tiếng cọ màng phổi. Khám bụng: gan to 3 cm dưới sườn, lách không to. Xét nghiệm: bạch cầu 22 G/L (trung tính 90%), CRP 180 mg/L, creatinin 110 μmol/L.",Đặc điểm lâm sàng hiện tại hướng nhiều nhất đến bệnh lý nào?,Viêm phổi hoại tử do hít sặc,Nhồi máu động mạch phổi cấp tính,Viêm nội tâm mạc nhiễm khuẩn cấp tính,Viêm cơ tim cấp tính do độc chất,,c,"Bệnh cảnh sốt cao, tụt huyết áp, âm thổi mới ở tim và dấu hiệu hô hấp ở người tiêm chích ma túy điển hình cho viêm nội tâm mạc nhiễm khuẩn cấp tính ở tim phải có biến chứng phổi."
noi-viem-noi-tam-mac-case-2-2,noi,Viêm nội tâm mạc nhiễm khuẩn,Tim mạch,"Penicillin) kết hợp Ceftriaxone hoặc Gentamicin bao phủ tốt liên cầu Viridans và Enterococcus đối với viêm nội tâm mạc bán cấp van tự nhiên cộng đồng. Nguồn tham khảo: ESC Guidelines 2023. Bệnh nhân nam 28 tuổi, thất nghiệp, vào viện cấp cứu vì sốt cao rét run và khó thở. Bệnh sử: bệnh nhân sốt cao liên tục 3 ngày nay, ho khạc đờm có dính máu, đau tức ngực phải khi hít sâu. Bệnh nhân có tiền sử tiêm chích ma túy tĩnh mạch nhiều năm, không có tiền sử bệnh lý tim mạch trước đây. Khám toàn thân: lơ mơ, vã mồ hôi, da niêm mạc nhợt, nhiều vết sẹo tiêm chích ở tĩnh mạch hai cẳng tay, mạch 125 lần/phút, huyết áp 85/50 mmHg, nhiệt độ 39.8°C, nhịp thở 28 lần/phút, SpO₂ 88% với khí trời. Khám tim: nhịp nhanh đều, có âm thổi tâm thu 3/6 ở khoang liên sườn IV cạnh ức trái, âm thổi tăng lên khi hít vào sâu. Khám phổi: ran nổ rải rác hai đáy phổi, không có tiếng cọ màng phổi. Khám bụng: gan to 3 cm dưới sườn, lách không to. Xét nghiệm: bạch cầu 22 G/L (trung tính 90%), CRP 180 mg/L, creatinin 110 μmol/L.",Tổn thương van tim nào phù hợp nhất với vị trí và động học của âm thổi mô tả ở trên?,Hở van ba lá cấp tính,Hở van hai lá cấp tính,Hở van động mạch chủ cấp tính,Hở van động mạch phổi cấp tính,,a,Âm thổi tâm thu ở khoang liên sườn IV cạnh ức trái tăng lên khi hít vào (dấu hiệu Carvallo) là đặc trưng kinh điển của hở van ba lá.
noi-viem-noi-tam-mac-case-2-3,noi,Viêm nội tâm mạc nhiễm khuẩn,Tim mạch,"Penicillin) kết hợp Ceftriaxone hoặc Gentamicin bao phủ tốt liên cầu Viridans và Enterococcus đối với viêm nội tâm mạc bán cấp van tự nhiên cộng đồng. Nguồn tham khảo: ESC Guidelines 2023. Bệnh nhân nam 28 tuổi, thất nghiệp, vào viện cấp cứu vì sốt cao rét run và khó thở. Bệnh sử: bệnh nhân sốt cao liên tục 3 ngày nay, ho khạc đờm có dính máu, đau tức ngực phải khi hít sâu. Bệnh nhân có tiền sử tiêm chích ma túy tĩnh mạch nhiều năm, không có tiền sử bệnh lý tim mạch trước đây. Khám toàn thân: lơ mơ, vã mồ hôi, da niêm mạc nhợt, nhiều vết sẹo tiêm chích ở tĩnh mạch hai cẳng tay, mạch 125 lần/phút, huyết áp 85/50 mmHg, nhiệt độ 39.8°C, nhịp thở 28 lần/phút, SpO₂ 88% với khí trời. Khám tim: nhịp nhanh đều, có âm thổi tâm thu 3/6 ở khoang liên sườn IV cạnh ức trái, âm thổi tăng lên khi hít vào sâu. Khám phổi: ran nổ rải rác hai đáy phổi, không có tiếng cọ màng phổi. Khám bụng: gan to 3 cm dưới sườn, lách không to. Xét nghiệm: bạch cầu 22 G/L (trung tính 90%), CRP 180 mg/L, creatinin 110 μmol/L.",Hình ảnh chụp X-quang ngực của bệnh nhân này nhiều khả năng sẽ cho thấy tổn thương gì?,Tràn dịch màng phổi lượng nhiều,Các ổ tổn thương dạng nốt hang hóa,Bóng tim to hình bầu nước,Khối u đặc thùy trên phổi phải,,b,"Trong viêm nội tâm mạc tim phải, các mảnh sùi bong ra trôi lên động mạch phổi gây nhồi máu phổi đa ổ và áp xe phổi, biểu hiện trên X-quang là các nốt mờ rải rác có thể tạo hang."
noi-viem-noi-tam-mac-case-2-4,noi,Viêm nội tâm mạc nhiễm khuẩn,Tim mạch,"Penicillin) kết hợp Ceftriaxone hoặc Gentamicin bao phủ tốt liên cầu Viridans và Enterococcus đối với viêm nội tâm mạc bán cấp van tự nhiên cộng đồng. Nguồn tham khảo: ESC Guidelines 2023. Bệnh nhân nam 28 tuổi, thất nghiệp, vào viện cấp cứu vì sốt cao rét run và khó thở. Bệnh sử: bệnh nhân sốt cao liên tục 3 ngày nay, ho khạc đờm có dính máu, đau tức ngực phải khi hít sâu. Bệnh nhân có tiền sử tiêm chích ma túy tĩnh mạch nhiều năm, không có tiền sử bệnh lý tim mạch trước đây. Khám toàn thân: lơ mơ, vã mồ hôi, da niêm mạc nhợt, nhiều vết sẹo tiêm chích ở tĩnh mạch hai cẳng tay, mạch 125 lần/phút, huyết áp 85/50 mmHg, nhiệt độ 39.8°C, nhịp thở 28 lần/phút, SpO₂ 88% với khí trời. Khám tim: nhịp nhanh đều, có âm thổi tâm thu 3/6 ở khoang liên sườn IV cạnh ức trái, âm thổi tăng lên khi hít vào sâu. Khám phổi: ran nổ rải rác hai đáy phổi, không có tiếng cọ màng phổi. Khám bụng: gan to 3 cm dưới sườn, lách không to. Xét nghiệm: bạch cầu 22 G/L (trung tính 90%), CRP 180 mg/L, creatinin 110 μmol/L.",Tác nhân vi sinh vật nào là nguyên nhân phổ biến nhất trong nhóm đối tượng này?,Enterococcus faecalis,Pseudomonas aeruginosa,Staphylococcus aureus,Candida albicans,,c,"Staphylococcus aureus (tụ cầu vàng) là tác nhân hàng đầu gây viêm nội tâm mạc cấp tính, đặc biệt tổn thương van ba lá ở những người tiêm chích ma túy tĩnh mạch."
noi-viem-noi-tam-mac-case-3-1,noi,Viêm nội tâm mạc nhiễm khuẩn,Tim mạch,"trạng sốc nhiễm khuẩn. Ưu tiên hàng đầu là hồi sức dịch tĩnh mạch nâng huyết áp và dùng kháng sinh kinh nghiệm (Vancomycin) bao phủ tụ cầu kháng methicillin (MRSA) ngay sau khi cấy máu. Nguồn tham khảo: AHA/ACC Guidelines. C. Bù dịch tĩnh mạch và truyền Vancomycin D. Phẫu thuật thay van tim cấp cứu Bệnh nhân nam 65 tuổi, kỹ sư, nhập viện vì ngất xỉu. Tiền sử thay van động mạch chủ cơ học cách đây 4 tháng do hẹp van nặng, uống kháng vitamin K đều đặn. 5 ngày nay bệnh nhân thấy mệt, sốt rét run về chiều, đau nhức khớp. Hôm nay, bệnh nhân đột ngột cảm thấy choáng váng rồi ngất trong vài giây, tỉnh lại hoàn toàn. Khám: tỉnh táo, mạch 42 lần/phút đều, huyết áp 100/60 mmHg, nhiệt độ 38.5°C, nhịp thở 16 lần/phút. Khám tim: T1 mờ, T2 đanh, âm thổi tâm trương 3/6 ở liên sườn III trái lan xuống mỏm, tiếng click van cơ học nghe rõ. Không phù, không khó thở khi nằm, lách không sờ chạm. Cận lâm sàng: điện tâm đồ có block nhĩ thất độ III, nhịp thoát bộ nối 40 lần/phút. Bạch cầu 16 G/L, CRP 90 mg/L, INR 2.5.",Rối loạn nhịp tim hiện tại của bệnh nhân gợi ý biến chứng nào của bệnh chính?,Nhồi máu cơ tim cấp vùng hoành,Viêm cơ tim lan tỏa cấp tính,Áp xe quanh vòng van động mạch chủ,Huyết khối kẹt van cơ học,,c,Sự xuất hiện của block nhĩ thất độ cao ở một bệnh nhân viêm nội tâm mạc van động mạch chủ là dấu hiệu báo động đỏ của biến chứng áp xe quanh vòng van.
noi-viem-noi-tam-mac-case-3-2,noi,Viêm nội tâm mạc nhiễm khuẩn,Tim mạch,"trạng sốc nhiễm khuẩn. Ưu tiên hàng đầu là hồi sức dịch tĩnh mạch nâng huyết áp và dùng kháng sinh kinh nghiệm (Vancomycin) bao phủ tụ cầu kháng methicillin (MRSA) ngay sau khi cấy máu. Nguồn tham khảo: AHA/ACC Guidelines. C. Bù dịch tĩnh mạch và truyền Vancomycin D. Phẫu thuật thay van tim cấp cứu Bệnh nhân nam 65 tuổi, kỹ sư, nhập viện vì ngất xỉu. Tiền sử thay van động mạch chủ cơ học cách đây 4 tháng do hẹp van nặng, uống kháng vitamin K đều đặn. 5 ngày nay bệnh nhân thấy mệt, sốt rét run về chiều, đau nhức khớp. Hôm nay, bệnh nhân đột ngột cảm thấy choáng váng rồi ngất trong vài giây, tỉnh lại hoàn toàn. Khám: tỉnh táo, mạch 42 lần/phút đều, huyết áp 100/60 mmHg, nhiệt độ 38.5°C, nhịp thở 16 lần/phút. Khám tim: T1 mờ, T2 đanh, âm thổi tâm trương 3/6 ở liên sườn III trái lan xuống mỏm, tiếng click van cơ học nghe rõ. Không phù, không khó thở khi nằm, lách không sờ chạm. Cận lâm sàng: điện tâm đồ có block nhĩ thất độ III, nhịp thoát bộ nối 40 lần/phút. Bạch cầu 16 G/L, CRP 90 mg/L, INR 2.5.",Cơ chế bệnh sinh dẫn đến block nhĩ thất độ III trong trường hợp này?,Nhiễm độc cơ tim do cytokine viêm,Tổn thương lan rộng xâm lấn nút nhĩ thất,Viêm tắc động mạch vành phải cấp tính,Phản ứng miễn dịch chéo với van nhân tạo,,b,Vòng van động mạch chủ nằm rất sát với hệ thống dẫn truyền (đặc biệt là nút nhĩ thất và bó His). Ổ nhiễm trùng lan rộng từ van ra mô lân cận sẽ phá hủy cấu trúc dẫn truyền gây block.
