id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-benh-ly-khop-viem-mcq-001,noi,Bệnh lý khớp viêm,Cơ xương khớp,,Tỷ lệ phân bố theo giới tính ở bệnh nhân viêm khớp vảy nến có đặc điểm nào sau đây?,Nữ gặp nhiều gấp 3 lần nam,Nam gặp nhiều gấp 3 lần nữ,Tỷ lệ nam và nữ tương đương nhau,Chỉ gặp ở nam giới tuổi trung niên,,c,"Khác với viêm khớp dạng thấp (nữ > nam) hay viêm cột sống dính khớp (nam > nữ), viêm khớp vảy nến có tỷ lệ nam:nữ xấp xỉ 1:1. Nguồn: Bệnh học nội khoa YHN."
noi-benh-ly-khop-viem-mcq-002,noi,Bệnh lý khớp viêm,Cơ xương khớp,,Tác nhân gây viêm khớp nhiễm khuẩn cấp tính ở người lớn trưởng thành thường gặp nhất là:,Staphylococcus aureus,Neisseria gonorrhoeae,Streptococcus pneumoniae,Escherichia coli,,a,Tụ cầu vàng (S. aureus) là nguyên nhân hàng đầu gây viêm khớp nhiễm khuẩn (chiếm khoảng 50-60%). Lậu cầu (N. gonorrhoeae) hay gặp ở người trẻ có sinh hoạt tình dục nhưng tần suất chung vẫn xếp sau tụ cầu. Nguồn: Bệnh học nội khoa YHN.
noi-benh-ly-khop-viem-mcq-003,noi,Bệnh lý khớp viêm,Cơ xương khớp,,Viêm khớp vảy nến được xếp vào nhóm bệnh lý xương khớp nào?,Bệnh tự miễn mô liên kết hệ thống,Bệnh lý khớp vi tinh thể,Nhóm bệnh lý cột sống huyết thanh âm tính,Nhóm bệnh lý thoái hóa sụn khớp,,c,"VKVN thuộc nhóm bệnh lý cột sống huyết thanh âm tính (Spondyloarthritis - SpA), đặc trưng bởi sự vắng mặt của yếu tố dạng thấp (RF) và có liên quan đến kháng nguyên HLA- B27. Nguồn: Bệnh học nội khoa YHN."
noi-benh-ly-khop-viem-mcq-004,noi,Bệnh lý khớp viêm,Cơ xương khớp,,Đường xâm nhập phổ biến nhất của vi khuẩn vào ổ khớp gây viêm khớp nhiễm khuẩn là:,Lây lan trực tiếp từ vết thương xuyên thấu,Lây lan kế cận từ ổ viêm xương tủy,Xâm nhập qua đường máu từ một ổ nhiễm khuẩn xa,Xâm nhập qua hệ thống dẫn lưu bạch huyết,,c,Đường máu (du khuẩn huyết) là đường lây truyền phổ biến nhất do màng hoạt dịch có hệ thống mao mạch phong phú nhưng lại thiếu màng đáy bảo vệ. Nguồn: CURRENT Medical Diagnosis & Treatment.
noi-benh-ly-khop-viem-mcq-005,noi,Bệnh lý khớp viêm,Cơ xương khớp,,Ước tính có khoảng bao nhiêu phần trăm bệnh nhân vảy nến da sẽ tiến triển thành viêm khớp vảy nến?,Dưới 5%,Từ 20% đến 30%,Từ 50% đến 60%,Trên 90%,,b,Khoảng 20-30% bệnh nhân vảy nến sẽ xuất hiện viêm khớp. Hầu hết tổn thương da có trước tổn thương khớp nhiều năm. Nguồn: Guideline EULAR/ACR.
noi-benh-ly-khop-viem-mcq-006,noi,Bệnh lý khớp viêm,Cơ xương khớp,,Yếu tố nguy cơ tại chỗ nào sau đây làm tăng khả năng bị viêm khớp nhiễm khuẩn cao nhất?,Tiền sử chấn thương phần mềm quanh khớp,Bệnh nhân có khớp nhân tạo,Vận động viên thể thao chuyên nghiệp,Dị dạng bẩm sinh trục chi,,b,Khớp nhân tạo và các bệnh lý khớp có sẵn (như viêm khớp dạng thấp) là những yếu tố nguy cơ tại chỗ quan trọng nhất làm vi khuẩn dễ định cư và gây bệnh. Nguồn: Bệnh học nội khoa YHN.
noi-benh-ly-khop-viem-mcq-007,noi,Bệnh lý khớp viêm,Cơ xương khớp,,Kháng nguyên bạch cầu người nào có mối liên quan mật thiết đến viêm khớp vảy nến thể trục (tổn thương cột sống)?,HLA-DR4,HLA-B27,HLA-Cw6,HLA-DRB1,,b,"HLA-B27 liên quan chặt chẽ với các tổn thương cột sống và khớp cùng chậu trong VKVN. HLA-Cw6 liên quan đến vảy nến da, còn HLA-DR4 liên quan viêm khớp dạng thấp. Nguồn: Bệnh học nội khoa YHN."
noi-benh-ly-khop-viem-mcq-008,noi,Bệnh lý khớp viêm,Cơ xương khớp,,Tổn thương phá hủy sụn khớp diễn ra rất nhanh trong viêm khớp nhiễm khuẩn chủ yếu do cơ chế nào?,Vi khuẩn trực tiếp ăn và tiêu hóa sụn,Tác động của enzyme do vi khuẩn và bạch cầu đa nhân tiết ra,Chèn ép cơ học do lượng dịch khớp quá lớn,Mất nguồn nuôi dưỡng từ dịch hoạt dịch,,b,"Phá hủy sụn không chỉ do độc tố vi khuẩn mà phần lớn do các enzyme phân giải protein (protease, collagenase) giải phóng từ chính bạch cầu đa nhân trung tính của ký chủ trong ổ viêm."
noi-benh-ly-khop-viem-mcq-009,noi,Bệnh lý khớp viêm,Cơ xương khớp,,Trục Cytokine nào đóng vai trò trung tâm trong cơ chế bệnh sinh của viêm khớp vảy nến?,Trục IL-4 và IL-10,Trục IL-17 và IL-23,Trục TGF-beta và IL-2,Trục IFN-gamma đơn thuần,,b,"Trục IL-23/IL-17 là con đường viêm then chốt trong bệnh sinh vảy nến và viêm khớp vảy nến, đồng thời là đích tác dụng của nhiều thuốc sinh học hiện nay. Nguồn: EULAR."
noi-benh-ly-khop-viem-mcq-010,noi,Bệnh lý khớp viêm,Cơ xương khớp,,"Ở bệnh nhân hồng cầu hình liềm, chủng vi khuẩn nào có khả năng sống sót nội bào trong đại thực bào và dễ gây viêm khớp nhiễm khuẩn đặc hiệu?",Staphylococcus aureus,Streptococcus pyogenes,Salmonella spp.,Pseudomonas aeruginosa,,c,"Bệnh nhân hồng cầu hình liềm bị nhồi máu ruột và tự cắt lách chức năng, tạo điều kiện cho Salmonella (vi khuẩn nội bào) từ ruột xâm nhập vào máu gây viêm xương tủy và viêm khớp."
