id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-hoi-chung-dm-chu-cap-casen2-1-1,noi,Hội chứng ĐM chủ cấp,Tim mạch,"TÌNH HUỐNG 1 Bệnh nhân nam 62 tuổi, nhân viên bảo vệ, vào viện vì đau ngực trái dữ dội, khởi phát đột ngột cách 1 giờ. Bệnh nhân mô tả cơn đau như xé rách lồng ngực, lan ra sau lưng giữa hai xương bả vai. Tiền sử tăng huyết áp 10 năm không điều trị thường xuyên, hút thuốc lá 20 bao- năm. Khám toàn thân: ý thức vật vã kích thích, vã mồ hôi, nhịp tim 110 lần/phút, huyết áp tay phải 180/100 mmHg, huyết áp tay trái 130/70 mmHg, nhiệt độ 36,8°C, nhịp thở 24 lần/phút, SpO₂ 96%. Khám tim có tiếng thổi tâm trương 3/6 ở khoang liên sườn III bờ trái xương ức, phổi không có ran, bụng mềm, không có dấu hiệu thần kinh khu trú. Xét nghiệm cơ bản: điện tâm đồ nhịp xoang nhanh, dày thất trái, Troponin T siêu nhạy 12 ng/L (bình thường <14 ng/L), Creatinin 95 μmol/L, D-dimer 4500 ng/mL.",Định hướng chẩn đoán nào sau đây là phù hợp nhất với tình trạng của bệnh nhân?,Nhồi máu cơ tim cấp có ST chênh lên,Thuyên tắc động mạch phổi diện rộng,Viêm màng ngoài tim cấp tính,Bóc tách động mạch chủ Stanford A,,d,"Cơn đau ngực kiểu xé rách lan ra sau lưng, chênh lệch huyết áp hai tay và D-dimer tăng cao rất điển hình của hội chứng động mạch chủ cấp. Tiếng thổi tâm trương gợi ý tổn thương gốc động mạch chủ (Stanford A)."
noi-hoi-chung-dm-chu-cap-casen2-1-2,noi,Hội chứng ĐM chủ cấp,Tim mạch,"TÌNH HUỐNG 1 Bệnh nhân nam 62 tuổi, nhân viên bảo vệ, vào viện vì đau ngực trái dữ dội, khởi phát đột ngột cách 1 giờ. Bệnh nhân mô tả cơn đau như xé rách lồng ngực, lan ra sau lưng giữa hai xương bả vai. Tiền sử tăng huyết áp 10 năm không điều trị thường xuyên, hút thuốc lá 20 bao- năm. Khám toàn thân: ý thức vật vã kích thích, vã mồ hôi, nhịp tim 110 lần/phút, huyết áp tay phải 180/100 mmHg, huyết áp tay trái 130/70 mmHg, nhiệt độ 36,8°C, nhịp thở 24 lần/phút, SpO₂ 96%. Khám tim có tiếng thổi tâm trương 3/6 ở khoang liên sườn III bờ trái xương ức, phổi không có ran, bụng mềm, không có dấu hiệu thần kinh khu trú. Xét nghiệm cơ bản: điện tâm đồ nhịp xoang nhanh, dày thất trái, Troponin T siêu nhạy 12 ng/L (bình thường <14 ng/L), Creatinin 95 μmol/L, D-dimer 4500 ng/mL.",Cơ chế sinh lý bệnh cốt lõi khởi phát tổn thương giải phẫu trong bệnh lý này là gì?,Sự nứt vỡ của mảng xơ vữa vào lòng mạch,Sự xé rách lớp nội mạc động mạch chủ,Sự đứt gãy các mao mạch nuôi thành mạch,Sự lắng đọng phức hợp miễn dịch tại chỗ,,b,"Bóc tách động mạch chủ bắt đầu bằng một vết rách ở lớp nội mạc, cho phép máu có áp lực cao len lỏi vào lớp áo giữa, tách các lớp của thành động mạch tạo thành lòng giả."
noi-hoi-chung-dm-chu-cap-casen2-1-3,noi,Hội chứng ĐM chủ cấp,Tim mạch,"TÌNH HUỐNG 1 Bệnh nhân nam 62 tuổi, nhân viên bảo vệ, vào viện vì đau ngực trái dữ dội, khởi phát đột ngột cách 1 giờ. Bệnh nhân mô tả cơn đau như xé rách lồng ngực, lan ra sau lưng giữa hai xương bả vai. Tiền sử tăng huyết áp 10 năm không điều trị thường xuyên, hút thuốc lá 20 bao- năm. Khám toàn thân: ý thức vật vã kích thích, vã mồ hôi, nhịp tim 110 lần/phút, huyết áp tay phải 180/100 mmHg, huyết áp tay trái 130/70 mmHg, nhiệt độ 36,8°C, nhịp thở 24 lần/phút, SpO₂ 96%. Khám tim có tiếng thổi tâm trương 3/6 ở khoang liên sườn III bờ trái xương ức, phổi không có ran, bụng mềm, không có dấu hiệu thần kinh khu trú. Xét nghiệm cơ bản: điện tâm đồ nhịp xoang nhanh, dày thất trái, Troponin T siêu nhạy 12 ng/L (bình thường <14 ng/L), Creatinin 95 μmol/L, D-dimer 4500 ng/mL.","Ở bệnh nhân huyết động ổn định, phương tiện chẩn đoán hình ảnh nào nên được ưu tiên để xác định và đánh giá toàn bộ phạm vi bóc tách?",Siêu âm tim qua thành ngực tại giường,Chụp cộng hưởng từ lồng ngực có cản từ,Chụp động mạch vành qua đường ống thông,Chụp cắt lớp vi tính động mạch chủ có cản quang,,d,"Ở bệnh nhân huyết động ổn định, CTA động mạch chủ có cản quang là phương tiện hình ảnh đầu tay nhờ tốc độ nhanh, độ chính xác cao và khả năng đánh giá toàn bộ động mạch chủ cùng các nhánh. Nếu bệnh nhân không ổn định hoặc không thể chuyển đi CT, siêu âm tim qua thực quản tại giường là lựa chọn quan trọng."
noi-hoi-chung-dm-chu-cap-casen2-1-4,noi,Hội chứng ĐM chủ cấp,Tim mạch,"TÌNH HUỐNG 1 Bệnh nhân nam 62 tuổi, nhân viên bảo vệ, vào viện vì đau ngực trái dữ dội, khởi phát đột ngột cách 1 giờ. Bệnh nhân mô tả cơn đau như xé rách lồng ngực, lan ra sau lưng giữa hai xương bả vai. Tiền sử tăng huyết áp 10 năm không điều trị thường xuyên, hút thuốc lá 20 bao- năm. Khám toàn thân: ý thức vật vã kích thích, vã mồ hôi, nhịp tim 110 lần/phút, huyết áp tay phải 180/100 mmHg, huyết áp tay trái 130/70 mmHg, nhiệt độ 36,8°C, nhịp thở 24 lần/phút, SpO₂ 96%. Khám tim có tiếng thổi tâm trương 3/6 ở khoang liên sườn III bờ trái xương ức, phổi không có ran, bụng mềm, không có dấu hiệu thần kinh khu trú. Xét nghiệm cơ bản: điện tâm đồ nhịp xoang nhanh, dày thất trái, Troponin T siêu nhạy 12 ng/L (bình thường <14 ng/L), Creatinin 95 μmol/L, D-dimer 4500 ng/mL.",Quản lý điều trị nội khoa ban đầu nào sau đây là nguyên tắc ưu tiên hàng đầu?,Thuốc tiêu sợi huyết đường tĩnh mạch,Thuốc chẹn beta giao cảm đường tĩnh mạch,Kháng kết tập tiểu cầu kép đường uống,Thuốc chẹn kênh calci nhóm Dihydropyridine,,b,"Điều trị ban đầu nhằm giảm xung lực lên thành động mạch chủ: giảm đau, theo dõi hồi sức và dùng chẹn beta tĩnh mạch trước để kiểm soát nhịp tim và dP/dt. Mục tiêu thường là nhịp tim 60–80 lần/phút và huyết áp tâm thu <120 mmHg hoặc mức thấp nhất vẫn duy trì tưới máu cơ quan; thuốc giãn mạch được thêm sau nếu huyết áp vẫn cao."
noi-hoi-chung-dm-chu-cap-casen2-2-1,noi,Hội chứng ĐM chủ cấp,Tim mạch,"áp trung bình hệ thống (MAP) - Áp lực dịch não tủy (CSFP). Rút dịch não tủy làm giảm CSFP, từ đó làm tăng áp lực tưới máu tủy sống, cải thiện vi tuần hoàn tủy đang bị đe dọa. Nguồn tham khảo cập nhật: 2024 ESC Guidelines for the management of peripheral arterial and aortic diseases; 2022 ACC/AHA Guideline for the Diagnosis and Management of Aortic Disease. TÌNH HUỐNG 11 Bệnh nhân nam 62 tuổi, có tiền sử tăng huyết áp không kiểm soát. Bệnh nhân vào viện vì đau tức ngực dữ dội kiểu xé rách lan ra sau lưng. Đo điện tâm đồ tại cấp cứu thấy ST chênh lên 3mm ở các chuyển đạo DII, DIII, aVF. Huyết áp 90/60 mmHg, nhịp tim 110 lần/phút. Bác sĩ trực cấp cứu ban đầu chẩn đoán Nhồi máu cơ tim cấp có ST chênh lên (STEMI) thành dưới.",Hiện tượng STEMI thành dưới xảy ra trên bệnh nhân bóc tách động mạch chủ Stanford A là do cơ chế nào?,Mảng xơ vữa nứt vỡ độc lập tại động mạch liên thất trước,Vạt nội mạc bóc tách che lấp lỗ xuất phát động mạch vành phải,Tụt huyết áp toàn thân gây thiếu máu cơ tim lan tỏa,Viêm màng ngoài tim phản ứng gây chênh ST giả,,b,"Bóc tách đoạn động mạch chủ lên (Stanford A) có thể xé rách vào lỗ xuất phát (ostium) của các động mạch vành. Động mạch vành phải (nuôi thành dưới) bị ảnh hưởng phổ biến hơn động mạch vành trái, gây nhồi máu cơ tim cấp ST chênh lên ở DII, DIII, aVF."
noi-hoi-chung-dm-chu-cap-casen2-2-2,noi,Hội chứng ĐM chủ cấp,Tim mạch,"áp trung bình hệ thống (MAP) - Áp lực dịch não tủy (CSFP). Rút dịch não tủy làm giảm CSFP, từ đó làm tăng áp lực tưới máu tủy sống, cải thiện vi tuần hoàn tủy đang bị đe dọa. Nguồn tham khảo cập nhật: 2024 ESC Guidelines for the management of peripheral arterial and aortic diseases; 2022 ACC/AHA Guideline for the Diagnosis and Management of Aortic Disease. TÌNH HUỐNG 11 Bệnh nhân nam 62 tuổi, có tiền sử tăng huyết áp không kiểm soát. Bệnh nhân vào viện vì đau tức ngực dữ dội kiểu xé rách lan ra sau lưng. Đo điện tâm đồ tại cấp cứu thấy ST chênh lên 3mm ở các chuyển đạo DII, DIII, aVF. Huyết áp 90/60 mmHg, nhịp tim 110 lần/phút. Bác sĩ trực cấp cứu ban đầu chẩn đoán Nhồi máu cơ tim cấp có ST chênh lên (STEMI) thành dưới.","Nếu không nhận diện ra bóc tách động mạch chủ mà xử trí theo phác đồ STEMI thông thường, sai lầm chết người nào dễ xảy ra nhất?",Dùng thuốc chẹn beta giao cảm đường tĩnh mạch,Dùng thuốc tiêu sợi huyết hoặc chống đông theo phác đồ STEMI khi chưa loại trừ bóc tách động mạch chủ,Dùng thuốc giảm đau Morphine,Thở oxy liều cao,,b,"Nếu nhồi máu cơ tim là hậu quả của bóc tách type A, dùng thuốc tiêu sợi huyết hoặc chống đông trước khi nhận diện bóc tách có thể làm tăng mạnh nguy cơ chảy máu, vỡ động mạch chủ và chèn ép tim; thuốc tiêu sợi huyết đặc biệt nguy hiểm. Vì vậy phải nghĩ đến bóc tách khi bệnh cảnh đau ngực có dấu hiệu gợi ý trước khi kích hoạt điều trị tái tưới máu chuẩn của STEMI."
noi-hoi-chung-dm-chu-cap-casen2-2-3,noi,Hội chứng ĐM chủ cấp,Tim mạch,"áp trung bình hệ thống (MAP) - Áp lực dịch não tủy (CSFP). Rút dịch não tủy làm giảm CSFP, từ đó làm tăng áp lực tưới máu tủy sống, cải thiện vi tuần hoàn tủy đang bị đe dọa. Nguồn tham khảo cập nhật: 2024 ESC Guidelines for the management of peripheral arterial and aortic diseases; 2022 ACC/AHA Guideline for the Diagnosis and Management of Aortic Disease. TÌNH HUỐNG 11 Bệnh nhân nam 62 tuổi, có tiền sử tăng huyết áp không kiểm soát. Bệnh nhân vào viện vì đau tức ngực dữ dội kiểu xé rách lan ra sau lưng. Đo điện tâm đồ tại cấp cứu thấy ST chênh lên 3mm ở các chuyển đạo DII, DIII, aVF. Huyết áp 90/60 mmHg, nhịp tim 110 lần/phút. Bác sĩ trực cấp cứu ban đầu chẩn đoán Nhồi máu cơ tim cấp có ST chênh lên (STEMI) thành dưới.",Cận lâm sàng tại giường nào giúp phân biệt nhanh chóng và an toàn nhất sự tồn tại của bóc tách động mạch chủ trong tình huống này?,Xét nghiệm men tim Troponin T,Chụp X-quang lồng ngực không chuẩn bị,Xét nghiệm D-dimer,Siêu âm tim qua thành ngực,,d,"Siêu âm tim tại giường (POCUS/TTE) giúp quan sát nhanh gốc động mạch chủ xem có giãn hoặc có vạt nội mạc (intimal flap) hay không, kiểm tra tràn dịch màng tim và hở van động mạch chủ, giúp ngăn chặn việc dùng nhầm thuốc tiêu sợi huyết."
noi-hoi-chung-dm-chu-cap-casen2-2-4,noi,Hội chứng ĐM chủ cấp,Tim mạch,"áp trung bình hệ thống (MAP) - Áp lực dịch não tủy (CSFP). Rút dịch não tủy làm giảm CSFP, từ đó làm tăng áp lực tưới máu tủy sống, cải thiện vi tuần hoàn tủy đang bị đe dọa. Nguồn tham khảo cập nhật: 2024 ESC Guidelines for the management of peripheral arterial and aortic diseases; 2022 ACC/AHA Guideline for the Diagnosis and Management of Aortic Disease. TÌNH HUỐNG 11 Bệnh nhân nam 62 tuổi, có tiền sử tăng huyết áp không kiểm soát. Bệnh nhân vào viện vì đau tức ngực dữ dội kiểu xé rách lan ra sau lưng. Đo điện tâm đồ tại cấp cứu thấy ST chênh lên 3mm ở các chuyển đạo DII, DIII, aVF. Huyết áp 90/60 mmHg, nhịp tim 110 lần/phút. Bác sĩ trực cấp cứu ban đầu chẩn đoán Nhồi máu cơ tim cấp có ST chênh lên (STEMI) thành dưới.",Thái độ xử trí cấp cứu ưu tiên hàng đầu khi đã xác nhận STEMI thành dưới này là hậu quả của bóc tách Stanford A là gì?,Chuyển phòng can thiệp đặt stent động mạch vành khẩn cấp,Bơm thuốc tiêu sợi huyết khẩn cấp,Chuyển phòng mổ phẫu thuật tim hở mở xương ức khẩn cấp,Đặt bóng đối xung nội động mạch chủ (IABP),,c,Cứu sinh mạng bệnh nhân đòi hỏi phải phẫu thuật mở lồng ngực khẩn cấp để thay gốc động mạch chủ và cắm lại hoặc cắm nối tắt (bypass) động mạch vành bị tổn thương. Can thiệp vành qua da độc lập sẽ thất bại và gây tử vong.
noi-hoi-chung-dm-chu-cap-casen2-3-1,noi,Hội chứng ĐM chủ cấp,Tim mạch,"toàn bộ động mạch chủ. Nó gây nhồi máu cơ tim (lỗ vành), chèn ép tim (vỡ vào màng tim), đột quỵ (lỗ động C. 1, 2, 4 D. 2, 3, 4 mạch cảnh) và nhồi máu mạc treo (lan xuống bụng lấp nhánh mạc treo). Nguồn tham khảo cập nhật: 2024 ESC Guidelines for the management of peripheral arterial and aortic diseases; 2022 ACC/AHA Guideline for the Diagnosis and Management of Aortic Disease. TÌNH HUỐNG 12 Bệnh nhân nam 42 tuổi, là vận động viên cử tạ, đang nâng tạ mức 150 kg thì đột ngột gục xuống ôm ngực kêu đau dữ dội lan ra sau lưng. Tại cấp cứu, huyết áp 180/100 mmHg, nhịp tim 100 lần/phút. Bệnh nhân không có tiền sử bệnh lý tim mạch, không hút thuốc. Chụp CTA phát hiện bóc tách động mạch chủ Stanford B đoạn đầu động mạch chủ xuống.",Cơ chế sinh lý bệnh gây khởi phát hội chứng động mạch chủ cấp ở bệnh nhân này là gì?,Nghiệm pháp Valsalva gây tăng vọt huyết áp tâm thu và sức căng thành mạch,Lắng đọng cholesterol tại lớp nội mạc,Viêm mạch máu do sử dụng steroid tăng cơ,Hội chứng Marfan ẩn dưới cơ bắp,,a,"Cử tạ nặng kết hợp nghiệm pháp Valsalva đóng nắp thanh môn làm tăng áp lực lồng ngực và huyết áp tâm thu lên mức cực kỳ cao (có thể >300 mmHg đột ngột), tạo ra ứng suất lực cắt cơ học xé rách nội mạc động mạch chủ ở người trẻ khỏe mạnh."
noi-hoi-chung-dm-chu-cap-casen2-3-2,noi,Hội chứng ĐM chủ cấp,Tim mạch,"toàn bộ động mạch chủ. Nó gây nhồi máu cơ tim (lỗ vành), chèn ép tim (vỡ vào màng tim), đột quỵ (lỗ động C. 1, 2, 4 D. 2, 3, 4 mạch cảnh) và nhồi máu mạc treo (lan xuống bụng lấp nhánh mạc treo). Nguồn tham khảo cập nhật: 2024 ESC Guidelines for the management of peripheral arterial and aortic diseases; 2022 ACC/AHA Guideline for the Diagnosis and Management of Aortic Disease. TÌNH HUỐNG 12 Bệnh nhân nam 42 tuổi, là vận động viên cử tạ, đang nâng tạ mức 150 kg thì đột ngột gục xuống ôm ngực kêu đau dữ dội lan ra sau lưng. Tại cấp cứu, huyết áp 180/100 mmHg, nhịp tim 100 lần/phút. Bệnh nhân không có tiền sử bệnh lý tim mạch, không hút thuốc. Chụp CTA phát hiện bóc tách động mạch chủ Stanford B đoạn đầu động mạch chủ xuống.","Tại khu vực động mạch chủ ngực xuống, vị trí giải phẫu nào là điểm dễ xảy ra vết rách nội mạc nhất?",Ngay phía sau chỗ xuất phát của động mạch dưới đòn trái,Ngay trên van động mạch chủ,Tại gốc động mạch thân cánh tay đầu,Tại vị trí lỗ chui qua cơ hoành,,a,"Đối với bóc tách Type B, vết rách nội mạc (intimal tear) nguyên phát thường nằm ở eo động mạch chủ (aortic isthmus), ngay phía xa chỗ xuất phát của động mạch dưới đòn trái."
