id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-tri-mcq-001,noi,Trĩ,Tiêu hoá,,"Bệnh nhân nữ 35 tuổi, là nhân viên kế toán, đến khám vì đi ngoài ra máu và có khối sa ra ngoài hậu môn. Bệnh diễn tiến khoảng 6 tháng nay, ban đầu bệnh nhân chỉ thỉnh thoảng thấy có máu đỏ tươi, lượng ít, dính theo giấy vệ sinh sau khi đi ngoài. Khoảng 2 tháng gần đây, sau mỗi lần đi ngoài, bệnh nhân thấy có một khối nhỏ từ trong hậu môn sa ra ngoài, khối này có thể tự co lên được, kèm theo chảy máu thành giọt. Bệnh nhân thường xuyên bị táo bón, phân cứng, phải rặn nhiều khi đi vệ sinh. Bệnh nhân không đau bụng, không sụt cân, không sốt. Tiền sử mang thai và sinh thường một lần cách đây 3 năm. Lối sống tĩnh tại, ngồi nhiều, uống ít nước. Khám toàn thân bệnh nhân tỉnh, da niêm mạc hồng, sinh hiệu ổn định, SpO₂ 99% khí trời, BMI 24 kg/m². Khám bụng mềm, không chướng. Thăm khám vùng hậu môn ở tư thế nghiêng trái, không thấy tổn thương da xung quanh. Yêu cầu bệnh nhân rặn nhẹ, quan sát thấy có 3 khối trĩ ở vị trí 3h, 7h, 11h sa ra ngoài rìa hậu môn, niêm mạc màu hồng, mềm, sau đó tự co vào trong ống hậu môn khi bệnh nhân hết rặn. Thăm trực tràng bằng ngón tay không sờ thấy u cục, găng có dính ít máu đỏ tươi.

Dựa vào triệu chứng lâm sàng, bệnh trĩ của bệnh nhân được phân độ mấy?",Trĩ độ 3.,Trĩ độ 1.,Trĩ độ 4.,Trĩ độ 2.,,d,"Theo phân độ trĩ nội: Độ 1 (chỉ chảy máu, không sa), Độ 2 (sa khi rặn và tự co lên), Độ 3 (sa khi rặn, phải dùng tay đẩy lên), Độ 4 (sa thường xuyên, không đẩy lên được). Bệnh nhân này có búi trĩ sa ra khi rặn và tự co lên được, do đó được phân vào trĩ nội độ 2."
noi-tri-mcq-002,noi,Trĩ,Tiêu hoá,,"Bệnh nhân nữ 35 tuổi, là nhân viên kế toán, đến khám vì đi ngoài ra máu và có khối sa ra ngoài hậu môn. Bệnh diễn tiến khoảng 6 tháng nay, ban đầu bệnh nhân chỉ thỉnh thoảng thấy có máu đỏ tươi, lượng ít, dính theo giấy vệ sinh sau khi đi ngoài. Khoảng 2 tháng gần đây, sau mỗi lần đi ngoài, bệnh nhân thấy có một khối nhỏ từ trong hậu môn sa ra ngoài, khối này có thể tự co lên được, kèm theo chảy máu thành giọt. Bệnh nhân thường xuyên bị táo bón, phân cứng, phải rặn nhiều khi đi vệ sinh. Bệnh nhân không đau bụng, không sụt cân, không sốt. Tiền sử mang thai và sinh thường một lần cách đây 3 năm. Lối sống tĩnh tại, ngồi nhiều, uống ít nước. Khám toàn thân bệnh nhân tỉnh, da niêm mạc hồng, sinh hiệu ổn định, SpO₂ 99% khí trời, BMI 24 kg/m². Khám bụng mềm, không chướng. Thăm khám vùng hậu môn ở tư thế nghiêng trái, không thấy tổn thương da xung quanh. Yêu cầu bệnh nhân rặn nhẹ, quan sát thấy có 3 khối trĩ ở vị trí 3h, 7h, 11h sa ra ngoài rìa hậu môn, niêm mạc màu hồng, mềm, sau đó tự co vào trong ống hậu môn khi bệnh nhân hết rặn. Thăm trực tràng bằng ngón tay không sờ thấy u cục, găng có dính ít máu đỏ tươi.

Cơ chế bệnh sinh chính của bệnh trĩ là gì?",Do sự co thắt quá mức của cơ thắt trong hậu môn.,Do sự nhiễm trùng của các tuyến hậu môn.,"Do sự giãn nở và sa xuống của các đám rối tĩnh mạch ở ống hậu môn, cùng với sự suy yếu của các mô liên kết nâng đỡ.",Là một biểu hiện của bệnh viêm ruột mạn tính.,,c,"Thuyết cơ học được chấp nhận rộng rãi nhất. Do áp lực trong ổ bụng tăng thường xuyên (rặn, ho, mang thai...) và các yếu tố khác làm suy yếu hệ thống mô liên kết (dây chằng Park) có vai trò neo giữ các đám rối tĩnh mạch vào ống hậu môn. Hậu quả là các đám rối này bị giãn, ứ máu và sa dần xuống, tạo thành búi trĩ."
noi-tri-mcq-003,noi,Trĩ,Tiêu hoá,,"Bệnh nhân nữ 35 tuổi, là nhân viên kế toán, đến khám vì đi ngoài ra máu và có khối sa ra ngoài hậu môn. Bệnh diễn tiến khoảng 6 tháng nay, ban đầu bệnh nhân chỉ thỉnh thoảng thấy có máu đỏ tươi, lượng ít, dính theo giấy vệ sinh sau khi đi ngoài. Khoảng 2 tháng gần đây, sau mỗi lần đi ngoài, bệnh nhân thấy có một khối nhỏ từ trong hậu môn sa ra ngoài, khối này có thể tự co lên được, kèm theo chảy máu thành giọt. Bệnh nhân thường xuyên bị táo bón, phân cứng, phải rặn nhiều khi đi vệ sinh. Bệnh nhân không đau bụng, không sụt cân, không sốt. Tiền sử mang thai và sinh thường một lần cách đây 3 năm. Lối sống tĩnh tại, ngồi nhiều, uống ít nước. Khám toàn thân bệnh nhân tỉnh, da niêm mạc hồng, sinh hiệu ổn định, SpO₂ 99% khí trời, BMI 24 kg/m². Khám bụng mềm, không chướng. Thăm khám vùng hậu môn ở tư thế nghiêng trái, không thấy tổn thương da xung quanh. Yêu cầu bệnh nhân rặn nhẹ, quan sát thấy có 3 khối trĩ ở vị trí 3h, 7h, 11h sa ra ngoài rìa hậu môn, niêm mạc màu hồng, mềm, sau đó tự co vào trong ống hậu môn khi bệnh nhân hết rặn. Thăm trực tràng bằng ngón tay không sờ thấy u cục, găng có dính ít máu đỏ tươi.

Yếu tố nguy cơ nào sau đây là quan trọng nhất góp phần hình thành và làm nặng thêm bệnh trĩ ở bệnh nhân này?",Táo bón mạn tính và thói quen rặn nhiều.,Nghề nghiệp kế toán.,Tiền sử sinh thường.,Giới tính nữ.,,a,"Táo bón mạn tính buộc bệnh nhân phải rặn gắng sức khi đi đại tiện. Hành động này làm tăng áp lực trong ổ bụng một cách đột ngột và lặp đi lặp lại, là yếu tố cơ học chính thúc đẩy sự giãn và sa của các búi trĩ. Tất cả các yếu tố khác đều có thể góp phần nhưng táo bón là yếu tố quan trọng và có thể thay đổi được."
noi-tri-mcq-004,noi,Trĩ,Tiêu hoá,,"Bệnh nhân nữ 35 tuổi, là nhân viên kế toán, đến khám vì đi ngoài ra máu và có khối sa ra ngoài hậu môn. Bệnh diễn tiến khoảng 6 tháng nay, ban đầu bệnh nhân chỉ thỉnh thoảng thấy có máu đỏ tươi, lượng ít, dính theo giấy vệ sinh sau khi đi ngoài. Khoảng 2 tháng gần đây, sau mỗi lần đi ngoài, bệnh nhân thấy có một khối nhỏ từ trong hậu môn sa ra ngoài, khối này có thể tự co lên được, kèm theo chảy máu thành giọt. Bệnh nhân thường xuyên bị táo bón, phân cứng, phải rặn nhiều khi đi vệ sinh. Bệnh nhân không đau bụng, không sụt cân, không sốt. Tiền sử mang thai và sinh thường một lần cách đây 3 năm. Lối sống tĩnh tại, ngồi nhiều, uống ít nước. Khám toàn thân bệnh nhân tỉnh, da niêm mạc hồng, sinh hiệu ổn định, SpO₂ 99% khí trời, BMI 24 kg/m². Khám bụng mềm, không chướng. Thăm khám vùng hậu môn ở tư thế nghiêng trái, không thấy tổn thương da xung quanh. Yêu cầu bệnh nhân rặn nhẹ, quan sát thấy có 3 khối trĩ ở vị trí 3h, 7h, 11h sa ra ngoài rìa hậu môn, niêm mạc màu hồng, mềm, sau đó tự co vào trong ống hậu môn khi bệnh nhân hết rặn. Thăm trực tràng bằng ngón tay không sờ thấy u cục, găng có dính ít máu đỏ tươi.

Can thiệp điều trị nội khoa nào là nền tảng và cần được tư vấn đầu tiên cho bệnh nhân?",Dùng thuốc đặt hậu môn chứa corticoid.,"Thay đổi lối sống: tăng cường chất xơ, uống đủ nước và tránh rặn khi đi ngoài.",Ngâm hậu môn trong nước ấm.,Dùng thuốc tăng cường trương lực tĩnh mạch (ví dụ: Daflon).,,b,"Điều trị nền tảng của bệnh trĩ (đặc biệt ở giai đoạn sớm) là điều trị bảo tồn và thay đổi lối sống. Việc làm cho phân mềm, dễ di chuyển (bằng cách ăn nhiều chất xơ, uống đủ nước) và thay đổi thói quen đi đại tiện (không ngồi lâu, không rặn) sẽ làm giảm áp lực lên các búi trĩ, từ đó giảm triệu chứng chảy máu và sa."
noi-tri-mcq-005,noi,Trĩ,Tiêu hoá,,"Bệnh nhân nữ 35 tuổi, là nhân viên kế toán, đến khám vì đi ngoài ra máu và có khối sa ra ngoài hậu môn. Bệnh diễn tiến khoảng 6 tháng nay, ban đầu bệnh nhân chỉ thỉnh thoảng thấy có máu đỏ tươi, lượng ít, dính theo giấy vệ sinh sau khi đi ngoài. Khoảng 2 tháng gần đây, sau mỗi lần đi ngoài, bệnh nhân thấy có một khối nhỏ từ trong hậu môn sa ra ngoài, khối này có thể tự co lên được, kèm theo chảy máu thành giọt. Bệnh nhân thường xuyên bị táo bón, phân cứng, phải rặn nhiều khi đi vệ sinh. Bệnh nhân không đau bụng, không sụt cân, không sốt. Tiền sử mang thai và sinh thường một lần cách đây 3 năm. Lối sống tĩnh tại, ngồi nhiều, uống ít nước. Khám toàn thân bệnh nhân tỉnh, da niêm mạc hồng, sinh hiệu ổn định, SpO₂ 99% khí trời, BMI 24 kg/m². Khám bụng mềm, không chướng. Thăm khám vùng hậu môn ở tư thế nghiêng trái, không thấy tổn thương da xung quanh. Yêu cầu bệnh nhân rặn nhẹ, quan sát thấy có 3 khối trĩ ở vị trí 3h, 7h, 11h sa ra ngoài rìa hậu môn, niêm mạc màu hồng, mềm, sau đó tự co vào trong ống hậu môn khi bệnh nhân hết rặn. Thăm trực tràng bằng ngón tay không sờ thấy u cục, găng có dính ít máu đỏ tươi.

Nếu điều trị nội khoa thất bại, thủ thuật nào sau đây là phù hợp nhất cho trĩ độ 2-3?",Phẫu thuật cắt trĩ (phương pháp Milligan-Morgan).,Quang đông hồng ngoại.,Phẫu thuật khâu triệt mạch trĩ dưới hướng dẫn Doppler (THD).,Thắt trĩ bằng vòng cao su.,,d,"Thắt trĩ bằng vòng cao su là một thủ thuật ít xâm lấn, hiệu quả, chi phí thấp và được coi là lựa chọn hàng đầu cho trĩ nội độ 2 và một số trường hợp độ 3. Thủ thuật này sử dụng một vòng cao su nhỏ để thắt vào gốc búi trĩ, làm cắt đứt nguồn máu nuôi, khiến búi trĩ hoại tử và rụng đi sau vài ngày."
noi-tri-mcq-006,noi,Trĩ,Tiêu hoá,,"Bệnh nhân nam 50 tuổi, tài xế xe tải đường dài, đến phòng cấp cứu vì đau dữ dội vùng hậu môn. Bệnh nhân khai rằng, khoảng 2 ngày nay, sau một chuyến đi dài và ngồi nhiều, ông đột ngột thấy xuất hiện một khối nhỏ, căng, rất đau ở rìa hậu môn. Cơn đau liên tục, đau tăng khi ngồi hoặc đi lại, khiến bệnh nhân không thể chịu được. Bệnh nhân không sốt, không chảy máu. Tiền sử thỉnh thoảng bị táo bón, không có bệnh lý hậu môn trực tràng nào khác. Khám lâm sàng bệnh nhân tỉnh táo, tỏ ra rất đau. Sinh hiệu ổn định. Khám vùng hậu môn ở tư thế nghiêng trái, tại vị trí 5h ở rìa hậu môn, quan sát thấy một khối phồng, hình tròn, đường kính khoảng 1.5 cm, có màu xanh tím, căng bóng, sờ vào rất cứng và bệnh nhân cực kỳ đau. Bề mặt khối phồng không có dấu hiệu loét hay hoại tử.

Chẩn đoán phù hợp nhất với tình trạng của bệnh nhân là gì?",Nứt kẽ hậu môn cấp.,Trĩ ngoại tắc mạch.,Trĩ nội sa nghẹt.,Áp xe cạnh hậu môn.,,b,"Bệnh cảnh một khối u đau cấp tính, căng, màu xanh tím ở ngay rìa hậu môn là hình ảnh kinh điển của trĩ ngoại tắc mạch. Áp xe thường có thêm sưng nóng đỏ và sốt. Trĩ nội sa nghẹt là khối sa từ bên trong, thường lớn hơn và có màu tím sẫm lan tỏa."
noi-tri-mcq-007,noi,Trĩ,Tiêu hoá,,"Bệnh nhân nam 50 tuổi, tài xế xe tải đường dài, đến phòng cấp cứu vì đau dữ dội vùng hậu môn. Bệnh nhân khai rằng, khoảng 2 ngày nay, sau một chuyến đi dài và ngồi nhiều, ông đột ngột thấy xuất hiện một khối nhỏ, căng, rất đau ở rìa hậu môn. Cơn đau liên tục, đau tăng khi ngồi hoặc đi lại, khiến bệnh nhân không thể chịu được. Bệnh nhân không sốt, không chảy máu. Tiền sử thỉnh thoảng bị táo bón, không có bệnh lý hậu môn trực tràng nào khác. Khám lâm sàng bệnh nhân tỉnh táo, tỏ ra rất đau. Sinh hiệu ổn định. Khám vùng hậu môn ở tư thế nghiêng trái, tại vị trí 5h ở rìa hậu môn, quan sát thấy một khối phồng, hình tròn, đường kính khoảng 1.5 cm, có màu xanh tím, căng bóng, sờ vào rất cứng và bệnh nhân cực kỳ đau. Bề mặt khối phồng không có dấu hiệu loét hay hoại tử.

Cơ chế bệnh sinh của trĩ ngoại tắc mạch là gì?",Một vết rách ở niêm mạc ống hậu môn.,Sự sa xuống của đám rối trĩ nội.,Sự hình thành một cục máu đông (huyết khối) bên trong một tĩnh mạch thuộc đám rối trĩ ngoại.,Nhiễm trùng của một tuyến hậu môn gây tụ mủ.,,c,"Trĩ ngoại được bao phủ bởi da và nằm bên dưới đường lược. Khi một tĩnh mạch trong đám rối trĩ ngoại bị vỡ (thường do rặn, ngồi nhiều, gắng sức), máu sẽ thoát ra và tạo thành một cục máu đông trong mô dưới da, gây ra một khối căng và đau dữ dội do làm căng lớp da nhạy cảm bên trên."
noi-tri-mcq-008,noi,Trĩ,Tiêu hoá,,"Bệnh nhân nam 50 tuổi, tài xế xe tải đường dài, đến phòng cấp cứu vì đau dữ dội vùng hậu môn. Bệnh nhân khai rằng, khoảng 2 ngày nay, sau một chuyến đi dài và ngồi nhiều, ông đột ngột thấy xuất hiện một khối nhỏ, căng, rất đau ở rìa hậu môn. Cơn đau liên tục, đau tăng khi ngồi hoặc đi lại, khiến bệnh nhân không thể chịu được. Bệnh nhân không sốt, không chảy máu. Tiền sử thỉnh thoảng bị táo bón, không có bệnh lý hậu môn trực tràng nào khác. Khám lâm sàng bệnh nhân tỉnh táo, tỏ ra rất đau. Sinh hiệu ổn định. Khám vùng hậu môn ở tư thế nghiêng trái, tại vị trí 5h ở rìa hậu môn, quan sát thấy một khối phồng, hình tròn, đường kính khoảng 1.5 cm, có màu xanh tím, căng bóng, sờ vào rất cứng và bệnh nhân cực kỳ đau. Bề mặt khối phồng không có dấu hiệu loét hay hoại tử.

Triệu chứng lâm sàng nổi bật và đặc trưng nhất của trĩ ngoại tắc mạch là gì?",Chảy máu đỏ tươi lượng nhiều.,"Đau cấp tính, dữ dội và liên tục ở hậu môn.",Sốt cao và rét run.,Sa một khối lớn không đẩy lên được.,,b,"Đau là triệu chứng chủ đạo của trĩ ngoại tắc mạch. Cơn đau thường khởi phát đột ngột, dữ dội và liên tục do áp lực của khối huyết lên lớp da giàu cảm giác ở rìa hậu môn. Mức độ đau thường không tương xứng với kích thước nhỏ của tổn thương."
noi-tri-mcq-009,noi,Trĩ,Tiêu hoá,,"Bệnh nhân nam 50 tuổi, tài xế xe tải đường dài, đến phòng cấp cứu vì đau dữ dội vùng hậu môn. Bệnh nhân khai rằng, khoảng 2 ngày nay, sau một chuyến đi dài và ngồi nhiều, ông đột ngột thấy xuất hiện một khối nhỏ, căng, rất đau ở rìa hậu môn. Cơn đau liên tục, đau tăng khi ngồi hoặc đi lại, khiến bệnh nhân không thể chịu được. Bệnh nhân không sốt, không chảy máu. Tiền sử thỉnh thoảng bị táo bón, không có bệnh lý hậu môn trực tràng nào khác. Khám lâm sàng bệnh nhân tỉnh táo, tỏ ra rất đau. Sinh hiệu ổn định. Khám vùng hậu môn ở tư thế nghiêng trái, tại vị trí 5h ở rìa hậu môn, quan sát thấy một khối phồng, hình tròn, đường kính khoảng 1.5 cm, có màu xanh tím, căng bóng, sờ vào rất cứng và bệnh nhân cực kỳ đau. Bề mặt khối phồng không có dấu hiệu loét hay hoại tử.

Hướng xử trí nào là phù hợp nhất để giải quyết cơn đau nhanh chóng và hiệu quả cho bệnh nhân nếu bệnh nhân đến viện trong vòng 48-72 giờ đầu?",Thắt búi trĩ bằng vòng cao su.,Ngâm hậu môn nước ấm và dùng thuốc giảm đau đường uống.,Rạch nhỏ và lấy bỏ huyết khối tại phòng thủ thuật.,Dùng kháng sinh phổ rộng.,,c,"Nếu bệnh nhân đến sớm trong vòng 48-72 giờ đầu khi huyết khối còn khu trú và cơn đau còn dữ dội, can thiệp tốt nhất là một thủ thuật đơn giản tại chỗ: gây tê tại chỗ, rạch một đường nhỏ trên bề mặt khối phồng và dùng kẹp lấy bỏ toàn bộ huyết khối. Thủ thuật này giúp giảm đau tức thì và rút ngắn thời gian hồi phục."
noi-tri-mcq-010,noi,Trĩ,Tiêu hoá,,"Bệnh nhân nam 50 tuổi, tài xế xe tải đường dài, đến phòng cấp cứu vì đau dữ dội vùng hậu môn. Bệnh nhân khai rằng, khoảng 2 ngày nay, sau một chuyến đi dài và ngồi nhiều, ông đột ngột thấy xuất hiện một khối nhỏ, căng, rất đau ở rìa hậu môn. Cơn đau liên tục, đau tăng khi ngồi hoặc đi lại, khiến bệnh nhân không thể chịu được. Bệnh nhân không sốt, không chảy máu. Tiền sử thỉnh thoảng bị táo bón, không có bệnh lý hậu môn trực tràng nào khác. Khám lâm sàng bệnh nhân tỉnh táo, tỏ ra rất đau. Sinh hiệu ổn định. Khám vùng hậu môn ở tư thế nghiêng trái, tại vị trí 5h ở rìa hậu môn, quan sát thấy một khối phồng, hình tròn, đường kính khoảng 1.5 cm, có màu xanh tím, căng bóng, sờ vào rất cứng và bệnh nhân cực kỳ đau. Bề mặt khối phồng không có dấu hiệu loét hay hoại tử.

Nếu không được can thiệp, diễn biến tự nhiên của một khối trĩ ngoại tắc mạch thường như thế nào?",Luôn cần phẫu thuật cắt trĩ cấp cứu.,Luôn gây ra chảy máu ồ ạt.,Luôn tiến triển thành áp xe và rò hậu môn.,Cơn đau sẽ tự thuyên giảm sau vài ngày đến một tuần và huyết khối sẽ được cơ thể tự hấp thu hoặc tự vỡ ra.,,d,"Trĩ ngoại tắc mạch là một bệnh lý lành tính và tự giới hạn. Nếu không can thiệp, hệ thống miễn dịch của cơ thể sẽ dần dần ly giải và hấp thu cục máu đông, cơn đau sẽ giảm dần sau khoảng 4-5 ngày và khối phồng sẽ biến mất sau vài tuần. Đôi khi, da trên bề mặt có thể bị hoại tử và huyết khối tự thoát ra ngoài."
