id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-thieu-mau-chung-mcq-001,noi,Thiếu máu (chung),Huyết học,,"Theo Tổ chức Y tế Thế giới (WHO), tiêu chuẩn chẩn đoán thiếu máu ở nam giới trưởng thành là khi nồng độ Hemoglobin (Hb) dưới mức nào sau đây?",110 g/L,120 g/L,130 g/L,140 g/L,,c,"Theo WHO, thiếu máu khi Hb < 130 g/L (nam), < 120 g/L (nữ không có thai) và < 110 g/L (phụ nữ có thai). Đây là mốc sinh lý cơ bản cần nhớ để chẩn đoán. Nguồn: Bệnh học nội khoa YHN."
noi-thieu-mau-chung-mcq-002,noi,Thiếu máu (chung),Huyết học,,Nguyên nhân gây thiếu máu phổ biến nhất trên toàn cầu là gì?,Thiếu vitamin B12,Thiếu sắt,Bệnh Thalassemia,Chảy máu cấp tính,,b,"Thiếu sắt là nguyên nhân phổ biến nhất gây thiếu máu trên toàn thế giới, thường do mất máu rỉ rả hoặc cung cấp không đủ. Nguồn: CURRENT Medical Diagnosis & Treatment 2026."
noi-thieu-mau-chung-mcq-003,noi,Thiếu máu (chung),Huyết học,,Mức độ thiếu máu trên lâm sàng thường được phân loại dựa vào chỉ số xét nghiệm nào sau đây?,Số lượng hồng cầu,Thể tích khối hồng cầu,Nồng độ Hemoglobin,Số lượng hồng cầu lưới,,c,"Phân độ thiếu máu (nhẹ, vừa, nặng) chủ yếu dựa vào nồng độ Hemoglobin (Hb) trong máu ngoại vi. Các chỉ số khác giúp phân loại nguyên nhân, không dùng để chia độ nặng. Nguồn: Bệnh học nội khoa YHN."
noi-thieu-mau-chung-mcq-004,noi,Thiếu máu (chung),Huyết học,,"Theo định nghĩa, thiếu máu hồng cầu to được xác định khi Thể tích trung bình hồng cầu (MCV) vượt quá mốc nào?",80 fL,90 fL,100 fL,120 fL,,c,Hồng cầu to khi MCV > 100 fL. Mốc bình thường của MCV là 80 - 100 fL. Dưới 80 fL là hồng cầu nhỏ. Nguồn: Bệnh học nội khoa YHN.
noi-thieu-mau-chung-mcq-005,noi,Thiếu máu (chung),Huyết học,,Đối tượng nào sau đây có nguy cơ cao nhất mắc thiếu máu do thiếu acid folic?,Phụ nữ mang thai,Nam giới trẻ tuổi,Trẻ em tuổi dậy thì,Người ăn chay trường,,a,"Phụ nữ mang thai có nhu cầu acid folic tăng vọt để phát triển ống thần kinh thai nhi, do đó dễ bị thiếu hụt nhất nếu không bổ sung. Người ăn chay trường dễ thiếu B12 hơn. Nguồn: CURRENT Medical Diagnosis & Treatment 2026."
noi-thieu-mau-chung-mcq-006,noi,Thiếu máu (chung),Huyết học,,Loại thiếu máu nào sau đây thường gặp nhất ở bệnh nhân nằm viện dài ngày?,Thiếu máu do thiếu sắt,Thiếu máu tan máu tự miễn,Thiếu máu nguyên bào sắt,Thiếu máu do bệnh mạn tính,,d,"Thiếu máu do bệnh mạn tính (viêm, nhiễm trùng, ung thư) là loại thiếu máu phổ biến nhất ở bệnh nhân nội trú. Nguồn: CURRENT Medical Diagnosis & Treatment 2026."
noi-thieu-mau-chung-mcq-007,noi,Thiếu máu (chung),Huyết học,,Quá trình hấp thu sắt trong cơ thể diễn ra chủ yếu ở đoạn nào của ống tiêu hóa?,Dạ dày,Tá tràng và đầu hống tràng,Hồi tràng,Đại tràng lên,,b,Sắt được hấp thu tối đa ở tá tràng và phần đầu hống tràng. Các tổn thương hoặc phẫu thuật cắt bỏ đoạn ruột này sẽ gây thiếu sắt nghiêm trọng. Nguồn: Bệnh học nội khoa YHN.
noi-thieu-mau-chung-mcq-008,noi,Thiếu máu (chung),Huyết học,,Vitamin B12 cần gắn kết với yếu tố nào sau đây để có thể được hấp thu tại hồi tràng?,Yếu tố nội,Transcobalamin II,Hepcidin,Haptoglobin,,a,"B12 từ thức ăn phải gắn với Yếu tố nội (do tế bào thành dạ dày tiết ra) để tạo phức hợp, sau đó mới được hấp thu đặc hiệu tại đoạn cuối hồi tràng. Nguồn: Bệnh học nội khoa YHN."
noi-thieu-mau-chung-mcq-009,noi,Thiếu máu (chung),Huyết học,,Cơ chế bệnh sinh chính của bệnh thiếu máu hồng cầu hình liềm là do đột biến gen làm thay đổi cấu trúc chuỗi globin nào?,Chuỗi alpha,Chuỗi beta,Chuỗi gamma,Chuỗi delta,,b,"Thiếu máu hình liềm do đột biến điểm thay thế acid glutamic bằng valin ở vị trí số 6 của chuỗi beta globin, tạo ra HbS. Nguồn: Bệnh học nội khoa YHN."
noi-thieu-mau-chung-mcq-010,noi,Thiếu máu (chung),Huyết học,,Hepcidin đóng vai trò quan trọng trong cơ chế sinh bệnh của thiếu máu mạn tính thông qua tác dụng nào?,Tăng tổng hợp erythropoietin,Ức chế hấp thu sắt và giải phóng sắt từ đại thực bào,Phá hủy hồng cầu ở lách,Ức chế tổng hợp chuỗi globin,,b,"Trong bệnh mạn tính, viêm làm gan tăng tiết hepcidin. Hepcidin gắn và phá hủy ferroportin, ngăn cản sắt hấp thu ở ruột và khóa sắt lại trong đại thực bào, gây thiếu máu thiếu sắt chức năng. Nguồn: CURRENT Medical Diagnosis & Treatment 2026."
