id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-viem-gan-man-mcq-001,noi,Viêm gan mạn,Tiêu hoá,,Thời gian tối thiểu để chẩn đoán một tình trạng tổn thương gan do virus là viêm gan mạn tính kéo dài bao lâu?,3 tháng,6 tháng,9 tháng,12 tháng,,b,Viêm gan mạn tính được định nghĩa là tình trạng tổn thương hoại tử và viêm tại gan kéo dài trên 6 tháng. Nguồn: Bệnh học nội khoa YHN.
noi-viem-gan-man-mcq-002,noi,Viêm gan mạn,Tiêu hoá,,"Ở người trưởng thành có hệ miễn dịch bình thường, tỷ lệ nhiễm virus viêm gan C (HCV) cấp tính chuyển thành mạn tính khoảng bao nhiêu?",5 - 10%,20 - 30%,50 - 60%,70 - 80%,,d,"Khác với viêm gan B ở người lớn, HCV có tỷ lệ chuyển mạn tính rất cao (70-80%) do khả năng né tránh miễn dịch. Nguồn: Guideline AASLD."
noi-viem-gan-man-mcq-003,noi,Viêm gan mạn,Tiêu hoá,,Đường lây truyền chính của virus viêm gan B (HBV) tại các khu vực dịch tễ lưu hành cao như Việt Nam là gì?,Qua đường tình dục,Mẹ truyền sang con,Qua đường truyền máu,Qua dùng chung kim tiêm,,b,"Ở các vùng dịch tễ cao, lây truyền chu sinh (từ mẹ sang con lúc sinh) là nguyên nhân chủ yếu khiến tỷ lệ mang virus mạn tính trong cộng đồng cao. Nguồn: Bệnh học nội khoa YHN."
noi-viem-gan-man-mcq-004,noi,Viêm gan mạn,Tiêu hoá,,Đặc điểm cấu trúc nhân di truyền nào sau đây đúng với virus viêm gan B (HBV)?,RNA sợi đơn,RNA sợi kép,DNA sợi kép không hoàn toàn,DNA sợi đơn,,c,"HBV thuộc họ Hepadnaviridae, là một virus chứa DNA sợi kép không khép kín (không hoàn toàn). Đây là ""bẫy kinh điển"" khi sinh viên nhầm với các virus viêm gan RNA khác."
noi-viem-gan-man-mcq-005,noi,Viêm gan mạn,Tiêu hoá,,Trẻ sơ sinh bị lây nhiễm HBV từ mẹ có nguy cơ tiến triển thành viêm gan B mạn tính là bao nhiêu?,Dưới 5%,20 - 30%,50 - 60%,Trên 90%,,d,"Tuổi mắc bệnh càng nhỏ, tỷ lệ chuyển thành mạn tính càng cao do hệ miễn dịch chưa hoàn thiện. Trẻ sơ sinh có nguy cơ >90%. Nguồn: Bệnh học nội khoa YHN."
noi-viem-gan-man-mcq-006,noi,Viêm gan mạn,Tiêu hoá,,Virus viêm gan C (HCV) thuộc họ virus nào sau đây?,Hepadnaviridae,Flaviviridae,Picornaviridae,Caliciviridae,,b,HCV là virus RNA sợi đơn mang vỏ bọc thuộc họ Flaviviridae. Phân biệt với HAV (Picornaviridae) và HBV (Hepadnaviridae).
noi-viem-gan-man-mcq-007,noi,Viêm gan mạn,Tiêu hoá,,Cơ chế chủ yếu gây tổn thương tế bào gan trong bệnh viêm gan B mạn tính là gì?,Virus trực tiếp phá hủy tế bào gan,Độc tố của virus làm ly giải màng tế bào,Đáp ứng miễn dịch tế bào của cơ thể chống lại virus,Sự lắng đọng phức hợp miễn dịch tại xoang gan,,c,Bản thân HBV không gây độc trực tiếp cho tế bào. Tổn thương gan chủ yếu do tế bào T độc (CD8+) tiêu diệt các tế bào gan bị nhiễm virus. Nguồn: Bệnh học nội khoa YHN.
noi-viem-gan-man-mcq-008,noi,Viêm gan mạn,Tiêu hoá,,Giai đoạn dung nạp miễn dịch trong nhiễm HBV mạn tính có đặc điểm nào sau đây?,"HBeAg âm tính, HBV DNA rất cao, ALT bình thường","HBeAg dương tính, HBV DNA rất cao, ALT bình thường","HBeAg dương tính, HBV DNA thấp, ALT tăng cao","HBeAg âm tính, HBV DNA thấp, ALT bình thường",,b,"Giai đoạn dung nạp miễn dịch thường gặp ở người trẻ nhiễm từ sơ sinh. Virus nhân lên mạnh (HBeAg+, DNA cao) nhưng cơ thể chưa nhận diện để tấn công nên gan không viêm (ALT bình thường)."
noi-viem-gan-man-mcq-009,noi,Viêm gan mạn,Tiêu hoá,,Hiện tượng hoại tử tế bào gan xảy ra mạnh nhất vào giai đoạn nào của quá trình nhiễm HBV mạn tính?,Dung nạp miễn dịch,Thải trừ miễn dịch,Mang virus không hoạt động,Khỏi bệnh,,b,"Giai đoạn thải trừ miễn dịch (hay viêm gan B mạn HBeAg dương) là lúc hệ miễn dịch hoạt động tấn công tế bào gan nhiễm virus, làm ALT tăng cao và hoại tử tế bào."
noi-viem-gan-man-mcq-010,noi,Viêm gan mạn,Tiêu hoá,,Dạng cấu trúc nào của HBV tồn tại trong nhân tế bào gan như một nhiễm sắc thể thu nhỏ và là khuôn mẫu để virus sao chép kéo dài?,RNA thông tin,DNA polymerase,HBsAg,cccDNA,,d,cccDNA (covalently closed circular DNA) tồn tại rất bền vững trong nhân tế bào gan. Đây là lý do chính khiến các thuốc kháng virus hiện nay khó loại bỏ hoàn toàn HBV.
