id,subject,chapter,group,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-tdmp-001,noi,Tràn dịch màng phổi,Hô hấp,"BN có đau ngực, ho khan, chọc DMP ra dịch vàng chanh. Các chẩn đoán sau đây có thể nghĩ tới trừ:",Tràn mủ mp,Lao phổi,Tràn dịch dưỡng chấp,Ung thư,,c,
noi-tdmp-002,noi,Tràn dịch màng phổi,Hô hấp,Chẩn đoán Tràn máu màng phổi khi,"Hb dịch/Hb hthanh > 0,5",HC > 10000/ml,BC >1000/ml,LDH tăng,,a,
noi-tdmp-003,noi,Tràn dịch màng phổi,Hô hấp,Đặc điểm đau ngực TDMP,"Âm ỉ liên tục, tăng lên khi ho hoặc hít sâu.",Đau sau x.ức kèm theo …,Đau như xé ngực,"Đau vùng đỉnh phổi, lên vai, … xuống 2 tay.",,a,
noi-tdmp-004,noi,Tràn dịch màng phổi,Hô hấp,Khoang màng phổi được cấu tạo bởi,Lá thành,Lá tang,Lá thành và lá tạng,"Lá thành, lá tạng và nhu mô phổi",,c,
noi-tdmp-005,noi,Tràn dịch màng phổi,Hô hấp,Hội chứng 3 giảm thường gặp trong trường hợp sau,Tràn khí màng phổi,Giãn phế nang,Xẹp phổi,TDMP,,d,
noi-tdmp-006,noi,Tràn dịch màng phổi,Hô hấp,Trường hợp TDMP nhiều khám lồng ngực bên bệnh thường thấy:,Lép hơn bên đối diên,Di động nhiều theo nhịp thở,Phồng hơn bên lành,Không thay đổi so vơi bên lành,,c,
noi-tdmp-007,noi,Tràn dịch màng phổi,Hô hấp,Thăm dò giúp chẩn đoán xác định TDMP:,Đo chức năng hô hấp,Chụp X quang tim phổi,Điện tâm đồ,Soi phế quản,,b,
noi-tdmp-008,noi,Tràn dịch màng phổi,Hô hấp,Dịch màng phổi dịch tiết là dịch màng phổi có,Protein dịch màng phổi < 30g/lít.,"Protein dịch màng phổi/protein máu < 0,5.",Phan ứng Rivalta âm tính.,"Protein dịch màng phổi/protein máu > 0,5.",,d,
noi-tdmp-009,noi,Tràn dịch màng phổi,Hô hấp,Điều trị TDMP dịch tiết do lao,Dùng kháng sinh thông thường,BN cần bất động tại giường tránh khó thở,Gây dính màng phổi bằng bột talc,Chọc tháo dịch hàng ngày kết hợp với tập thở,,d,C: với TKMP do lao
noi-tdmp-010,noi,Tràn dịch màng phổi,Hô hấp,Điều trị TDMP do lao thường dùng phác đồ:,2HRZS(E)/2HE,4HRZS(E)/2HE,2HRZS(E)/6HE,3HRZS(E)/3HE,,c,
noi-tdmp-011,noi,Tràn dịch màng phổi,Hô hấp,Điều trị TDMP dịch tiết do lao,Dùng thuốc chống lao toàn thân theo phác đồ,Bơm thuốc tiêu sợi huyết vào khoang màng phổi nếu dính nhiều,Tất cả đều đúng,Chọc tháo dịch hàng ngày kết hợp với tập thở,,c,
noi-tdmp-012,noi,Tràn dịch màng phổi,Hô hấp,Tiếng cọ màng phổi nghe thấy trong trường hợp nào?,TDMP nhiều,TDMP khu trú,TDMP ít,TKMP,,c,
noi-tdmp-013,noi,Tràn dịch màng phổi,Hô hấp,Đặc điểm dịch màng phổi dịch tiết:,"LDH dịch MP/huyết thanh > 0,6",Protein < 30 g/l,"pH > 7,3",Bạch cầu < 1000/mm3,,a,
noi-tdmp-014,noi,Tràn dịch màng phổi,Hô hấp,TDMP dịch thấm không do nguyên nhân:,Suy tim,Suy thận,Lao màng phổi,Suy dinh dưỡng,,c,
noi-tdmp-015,noi,Tràn dịch màng phổi,Hô hấp,Cận lâm sàng cần làm với bn TDMP là,Khí máu,XQ,Đo chức năng hô hấp,,,b,
noi-tdmp-016,noi,Tràn dịch màng phổi,Hô hấp,HC 3 giảm có:,Tiếng cọ MP,"Rung thanh giảm, gõ vang, RRPN giảm hoặc mất","Rung thanh tăng, gõ đục, RRPN giảm hoặc mất","Rung thanh giảm, gõ đục, RRPN giảm hoặc mất",,d,
noi-tdmp-017,noi,Tràn dịch màng phổi,Hô hấp,TC xét nghiệm của dịch thấm:,Dịch máu không đông,Albumin máu – albumin dịch <11g/l,Albumin máu – albumin dịch >11g/l,Albumin dịch >25g/l,,c,
noi-tdmp-018,noi,Tràn dịch màng phổi,Hô hấp,Khám bệnh nhân TDMP thấygì?,Tam chứng Garliad,HC đông đặc,HC 3 giảm,Hội chứng phế quản,,c,
noi-tdmp-019,noi,Tràn dịch màng phổi,Hô hấp,Tại sao tràn dịch màng phổi khu trú,Dày dính màng phổi,TDMP giai đoạn đầu,,,,a,
noi-tdmp-020,noi,Tràn dịch màng phổi,Hô hấp,Tràn dịch màng phổi dịch tiết do nguyên nhân nào sau đây không đúng:,Viêm tụy cấp,HCTH,Lao màng phổi,Ung thư,,b,
noi-tdmp-021,noi,Tràn dịch màng phổi,Hô hấp,Tính chất đau ngực trong tràn dịch màng phổi là:,Đau dữ dội,"Đau âm ỉ, tăng khi hít vào",Đau như xé ngực,Đau như chẹn ngực,,b,
noi-tdmp-022,noi,Tràn dịch màng phổi,Hô hấp,"Bệnh nhân nam 40 tuổi, vào viện vì sốt, đau ngực. Tiền sử uống rượu 500ml/d, hút thuốc là 20 bao.năm. Bệnh diễn biến 1 tuần nay, bệnh nhân đau ngực phải kiểu màng phổi, không lan, kèm sốt cao liên tục 39-40 độ. Bệnh nhân không ho khạc đờm, không khó thở. Khám: sốt cao 39 độ, không SHH, hội chứng NT (+), có HC 3 giảm đáy phổi phải. Xét nghiệm máu: BC 20G/l, BCTT 90%, TC 190 G/l, PT 65%, PCT 2,0, CK 400, CKMB 20. CT ngực có nhiều ổ dịch vách hóa ở phổi P CĐSB có khả năng nhất là:",TKMP (T),TDMP (T),TKMP (P),TDMP (P),,d,
