id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-roi-loan-thang-bang-kiem-toan-mcq-001,noi,Rối loạn thăng bằng kiềm toan,Hồi sức cấp cứu,,Nhiễm toan máu được định nghĩa khi pH máu động mạch giảm dưới ngưỡng nào sau đây?,"7,45","7,40","7,35","7,30",,c,"pH máu bình thường duy trì nghiêm ngặt trong khoảng 7,35 - 7,45. Khi pH < 7,35 được chẩn đoán là nhiễm toan máu thực sự."
noi-roi-loan-thang-bang-kiem-toan-mcq-002,noi,Rối loạn thăng bằng kiềm toan,Hồi sức cấp cứu,,Giá trị bình thường của phân áp CO2 động mạch (PaCO2) ở người trưởng thành khỏe mạnh nghỉ ngơi là bao nhiêu?,25 - 35 mmHg,35 - 45 mmHg,45 - 55 mmHg,55 - 65 mmHg,,b,PaCO2 bình thường là 35 - 45 mmHg. Giá trị này phản ánh thành phần hô hấp trong thăng bằng kiềm toan. Nguồn: Bệnh học nội khoa YHN.
noi-roi-loan-thang-bang-kiem-toan-mcq-003,noi,Rối loạn thăng bằng kiềm toan,Hồi sức cấp cứu,,Hệ đệm quan trọng nhất và đóng vai trò chủ đạo ở dịch ngoại bào là hệ đệm nào?,Protein,Phosphat,Bicarbonat,Hemoglobin,,c,Hệ Bicarbonat/H2CO3 là hệ đệm ngoại bào quan trọng nhất do có mặt với nồng độ cao và có thể được điều chỉnh nhanh chóng qua phổi và thận.
noi-roi-loan-thang-bang-kiem-toan-mcq-004,noi,Rối loạn thăng bằng kiềm toan,Hồi sức cấp cứu,,"Theo nguyên lý đẳng hydro, điều nào sau đây đúng về các hệ đệm trong cơ thể?",Các hệ đệm hoạt động hoàn toàn độc lập với nhau,Sự thay đổi pH của một hệ đệm sẽ kéo theo sự thay đổi của tất cả các hệ đệm khác,Chỉ hệ đệm bicarbonat mới quyết định pH máu,pH nội bào luôn bằng pH ngoại bào trong mọi điều kiện,,b,Nguyên lý đẳng hydro chỉ ra rằng tất cả các hệ đệm trong cùng một dung dịch đều ở trạng thái cân bằng với cùng một nồng độ ion H+. Do đó đo lường một hệ đệm (Bicarbonat) giúp phản ánh toàn bộ.
noi-roi-loan-thang-bang-kiem-toan-mcq-005,noi,Rối loạn thăng bằng kiềm toan,Hồi sức cấp cứu,,Khoảng trống anion (Anion Gap) huyết thanh bình thường nằm trong khoảng nào?,4 - 8 mEq/L,8 - 12 mEq/L,12 - 16 mEq/L,16 - 20 mEq/L,,b,Anion Gap bình thường là 8 - 12 mEq/L. Chỉ số này rất quan trọng để phân loại nguyên nhân nhiễm toan chuyển hóa.
noi-roi-loan-thang-bang-kiem-toan-mcq-006,noi,Rối loạn thăng bằng kiềm toan,Hồi sức cấp cứu,,Nhiễm kiềm hô hấp xảy ra khi có sự thay đổi tiên phát nào trong máu động mạch?,Tăng HCO3-,Giảm HCO3-,Tăng PaCO2,Giảm PaCO2,,d,"Kiềm hô hấp do tăng thông khí phế nang làm đào thải quá mức CO2, dẫn đến giảm PaCO2 tiên phát làm tăng pH máu."
noi-roi-loan-thang-bang-kiem-toan-mcq-007,noi,Rối loạn thăng bằng kiềm toan,Hồi sức cấp cứu,,Cơ chế bù trừ qua hô hấp ở bệnh nhân bị nhiễm toan chuyển hóa cấp tính là gì?,Tăng thông khí phế nang,Giảm thông khí phế nang,Co thắt phế quản,Tăng sản xuất CO2 nội sinh,,a,"Khi nhiễm toan chuyển hóa, nồng độ H+ cao kích thích trung tâm hô hấp gây tăng thông khí (nhịp thở Kussmaul) để thải CO2, làm giảm pCO2 bù trừ."
noi-roi-loan-thang-bang-kiem-toan-mcq-008,noi,Rối loạn thăng bằng kiềm toan,Hồi sức cấp cứu,,Thận đóng vai trò bù trừ chính trong nhiễm toan hô hấp mạn tính thông qua cơ chế nào?,Tăng bài tiết HCO3- qua nước tiểu,Tăng tái hấp thu và tạo mới HCO3-,Tăng bài tiết ion K+,Giảm bài tiết ion H+,,b,"Toan hô hấp mạn (PaCO2 tăng kéo dài) kích thích thận tăng đào thải H+ và tăng tái hấp thu, tạo mới HCO3- để đưa pH về bình thường."
noi-roi-loan-thang-bang-kiem-toan-mcq-009,noi,Rối loạn thăng bằng kiềm toan,Hồi sức cấp cứu,,Trường hợp nào dưới đây KHÔNG làm tăng khoảng trống anion (AG) trong toan chuyển hóa?,Nhiễm toan ceton,Nhiễm acid lactic,Tiêu chảy cấp,Ngộ độc Methanol,,c,"Tiêu chảy cấp gây mất HCO3- qua dịch tiêu hóa, cơ thể giữ Cl- để bù trừ anion dẫn đến toan chuyển hóa bình thường AG (tăng clo máu). 3 đáp án còn lại gây tăng AG do ức đọng acid hữu cơ."
noi-roi-loan-thang-bang-kiem-toan-mcq-010,noi,Rối loạn thăng bằng kiềm toan,Hồi sức cấp cứu,,Tình trạng giảm Albumin máu nặng làm thay đổi khoảng trống anion (AG) như thế nào?,Làm tăng giả tạo AG,Làm giảm giả tạo AG,Gây dao động AG liên tục,Không ảnh hưởng đến AG,,b,"Albumin là anion không đo lường chính trong huyết thanh. Giảm albumin làm giảm lượng anion không đo lường, dẫn đến tính toán AG bị thấp giả tạo so với thực tế."
noi-roi-loan-thang-bang-kiem-toan-mcq-011,noi,Rối loạn thăng bằng kiềm toan,Hồi sức cấp cứu,,Tình trạng nhiễm toan máu cấp tính thường kéo theo rối loạn điện giải nào do sự dịch chuyển ion qua màng tế bào?,Tăng kali máu,Hạ kali máu,Hạ natri máu,Tăng natri máu,,a,"Trong môi trường toan, ion H+ đi vào trong tế bào để được đệm, đẩy ion K+ từ nội bào ra ngoại bào dẫn đến tăng kali máu. Nguồn: Bệnh học nội khoa YHN."
noi-roi-loan-thang-bang-kiem-toan-mcq-012,noi,Rối loạn thăng bằng kiềm toan,Hồi sức cấp cứu,,Cơ chế chủ yếu gây nhiễm kiềm chuyển hóa ở bệnh nhân nôn nhiều liên tục là gì?,Tăng tái hấp thu bicarbonat tại ống lượn xa,Mất acid hydrochloric dạ dày kèm mất nước,Tăng thông khí do kích thích thần kinh,Mất kali qua phân,,b,"Nôn mửa làm mất dịch vị chứa nhiều HCl (H+ và Cl-). Mất H+ gây kiềm chuyển hóa, mất dịch và Cl- dẫn đến tăng cường tái hấp thu HCO3- tại thận để bù trừ thể tích."
noi-roi-loan-thang-bang-kiem-toan-mcq-013,noi,Rối loạn thăng bằng kiềm toan,Hồi sức cấp cứu,,Phương trình Henderson-Hasselbalch thể hiện pH máu phụ thuộc trực tiếp vào tỷ lệ của hai yếu tố nào?,PaCO2 và PaO2,Albumin và Globulin,HCO3- và PaCO2,Natri và Clo,,c,"pH = 6,1 + log([HCO3-] / 0,03 * PaCO2). Phương trình này là nền tảng để hiểu thăng bằng kiềm toan (tỷ lệ Bicarbonat / Acid Carbonic)."
noi-roi-loan-thang-bang-kiem-toan-mcq-014,noi,Rối loạn thăng bằng kiềm toan,Hồi sức cấp cứu,,"Trong cơ chế duy trì thăng bằng kiềm toan, hệ thống nào phản ứng bù trừ nhanh nhất tính bằng giây đến phút?",Hệ đệm hóa học tế bào và huyết tương,Phổi qua điều chỉnh thông khí,Thận qua tái hấp thu bicarbonat,Gan qua chu trình ure,,a,"Hệ đệm hóa học (bicarbonat, protein, phosphate) phản ứng ngay lập tức. Phổi cần vài phút đến vài giờ. Thận cần nhiều giờ đến vài ngày để bù trừ tối đa."
