id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-ho-ra-mau-n2-mcq-001,noi,Ho ra máu,Hô hấp,,Ho ra máu được định nghĩa là tình trạng máu chảy từ vị trí giải phẫu nào của đường hô hấp?,Dưới nắp thanh môn,Trên nắp thanh môn,Vùng mũi họng,Khoang màng phổi,,a,"Ho ra máu là máu khạc ra từ đường hô hấp dưới, lấy mốc từ dưới nắp thanh môn trở xuống. Nguồn: Bệnh học nội khoa YHN."
noi-ho-ra-mau-n2-mcq-002,noi,Ho ra máu,Hô hấp,,Đặc điểm nào sau đây KHÔNG phù hợp với tính chất của ho ra máu thực sự?,Máu có màu đỏ tươi,Máu có lẫn bọt khí,Phản ứng pH của dịch nhày là acid,Máu có lẫn đờm,,c,Máu từ đường hô hấp có pH kiềm. Dịch có pH acid thường là nôn ra máu từ dạ dày.
noi-ho-ra-mau-n2-mcq-003,noi,Ho ra máu,Hô hấp,,"Tại Việt Nam, nguyên nhân phổ biến nhất gây ho ra máu ở người lớn là gì?",Ung thư phế quản,Lao phổi,Giãn phế quản,Nhồi máu phổi,,b,"Do yếu tố dịch tễ, lao phổi và các di chứng của lao (như giãn phế quản sau lao, u nấm) là nguyên nhân hàng đầu tại Việt Nam. Nguồn: Bệnh học nội khoa YHN."
noi-ho-ra-mau-n2-mcq-004,noi,Ho ra máu,Hô hấp,,"Ở các nước phát triển, nguyên nhân thường gặp nhất gây ho ra máu mức độ nhẹ đến trung bình là gì?",Viêm phế quản cấp và mạn tính,Ký sinh trùng phổi,Dị vật đường thở,Tăng áp động mạch phổi nguyên phát,,a,"Tại các nước phát triển (tỷ lệ lao thấp), viêm phế quản cấp/mạn tính và ung thư phế quản là các nguyên nhân phổ biến nhất."
noi-ho-ra-mau-n2-mcq-005,noi,Ho ra máu,Hô hấp,,"Theo định nghĩa kinh điển, ho ra máu được phân loại là ""nặng"" khi lượng máu mất đi đạt ngưỡng nào sau đây?",> 50 ml/24 giờ,> 100 ml/24 giờ,> 300 ml/24 giờ,> 600 ml/24 giờ,,d,"Ho ra máu nặng (massive hemoptysis) thường được định nghĩa khi lượng máu > 600 ml/24h hoặc > 200 ml/lần, đe dọa tắc nghẽn đường thở."
noi-ho-ra-mau-n2-mcq-006,noi,Ho ra máu,Hô hấp,,"Tình trạng ""ho ra máu giả"" thường xuất phát từ tổn thương ở cơ quan nào?",Nhu mô phổi,Răng hàm mặt và tai mũi họng,Màng phổi,Động mạch phổi,,b,"Máu chảy từ mũi họng, răng miệng chảy xuống thanh quản và được ho khạc ra ngoài dễ nhầm lẫn với ho ra máu thực sự."
noi-ho-ra-mau-n2-mcq-007,noi,Ho ra máu,Hô hấp,,"Trong các trường hợp ho ra máu nặng, phần lớn máu có nguồn gốc từ hệ mạch nào?",Động mạch phổi,Tĩnh mạch phổi,Động mạch phế quản,Mao mạch phế nang,,c,Hệ động mạch phế quản chiếm 90% nguyên nhân chảy máu trong ho ra máu nặng do có áp lực hệ thống cao. Nguồn: Bệnh học nội khoa YHN.
noi-ho-ra-mau-n2-mcq-008,noi,Ho ra máu,Hô hấp,,Cơ chế chính gây ho ra máu trong bệnh lao phổi có tạo hang là gì?,Rối loạn đông máu tiêu thụ,Tăng áp tĩnh mạch phổi,Vỡ phình mạch Rasmussen,Viêm mao mạch phế nang dị ứng,,c,"Phình mạch Rasmussen là sự phình nhánh động mạch phổi lân cận hoặc đi qua thành hang lao, vỡ ra gây ho máu lượng nhiều."
noi-ho-ra-mau-n2-mcq-009,noi,Ho ra máu,Hô hấp,,"Ở bệnh nhân hẹp van hai lá, cơ chế gây ho ra máu thường gặp nhất là do đâu?",Tăng áp động mạch phổi nguyên phát,Đứt dây chằng van tim,Tăng áp lực tĩnh mạch phổi làm vỡ tĩnh mạch phế quản,Viêm nội tâm mạc nhiễm khuẩn,,c,"Hẹp van 2 lá làm tăng áp lực nhĩ trái và tĩnh mạch phổi, dẫn đến giãn và vỡ các tĩnh mạch phế quản bàng hệ gây ho máu."
noi-ho-ra-mau-n2-mcq-010,noi,Ho ra máu,Hô hấp,,Yếu tố huyết động nào làm cho chảy máu từ hệ động mạch phế quản thường ồ ạt và khó cầm hơn hệ động mạch phổi?,Thành mạch mỏng hơn,Áp lực bằng áp lực tuần hoàn hệ thống,Nằm ở vùng đáy phổi,Dễ bị tác động bởi nhịp thở,,b,"Động mạch phế quản xuất phát từ động mạch chủ nên có áp lực rất cao (huyết áp hệ thống), vỡ sẽ gây chảy máu ồ ạt."
noi-ho-ra-mau-n2-mcq-011,noi,Ho ra máu,Hô hấp,,Đặc điểm vi thể nào giải thích cơ chế ho ra máu tái diễn trong bệnh giãn phế quản?,Phì đại và tăng sinh tân mạch phế quản,Teo lớp cơ trơn phế quản,Phì đại màng phế nang mao mạch,Phá hủy lớp sụn phế quản,,a,Viêm mạn tính trong giãn phế quản kích thích phì đại động mạch phế quản và tạo tân mạch rất dễ vỡ.
noi-ho-ra-mau-n2-mcq-012,noi,Ho ra máu,Hô hấp,,"Trong hội chứng Goodpasture, tổn thương chảy máu phế nang có cơ chế bệnh sinh là gì?",Lắng đọng phức hợp miễn dịch lưu hành,Kháng thể kháng màng đáy phế nang và cầu thận,Thiếu hụt men alpha-1 antitrypsin,Giảm tiểu cầu tự miễn,,b,Goodpasture là bệnh lý tự miễn đặc trưng bởi kháng thể chống lại collagen type IV ở màng đáy cầu thận và phế nang.
noi-ho-ra-mau-n2-mcq-013,noi,Ho ra máu,Hô hấp,,"Trong ho ra máu sét đánh, cơ chế chính gây tử vong là gì?",Sốc giảm thể tích do mất máu,Rối loạn nhịp tim do thiếu máu cục bộ,Tràn ngập máu phế nang và tắc nghẽn đường thở gây ngạt,Rối loạn đông máu rải rác trong lòng mạch,,c,Bệnh nhân thường tử vong do ngạt thở (khoảng chết giải phẫu của đường thở chỉ khoảng 150ml) trước khi có sốc mất máu. Nguồn: YHN.
noi-ho-ra-mau-n2-mcq-014,noi,Ho ra máu,Hô hấp,,Cơ chế gây ho ra máu trong nhồi máu phổi cấp tính chủ yếu liên quan đến hiện tượng nào?,Vỡ động mạch phế quản,Nhồi máu và hoại tử xuất huyết nhu mô phổi,Tràn dịch màng phổi thanh huyết,Rách niêm mạc khí quản do ho mạnh,,b,"Tắc nghẽn nhánh động mạch phổi ngoại vi gây hoại tử nhu mô phổi (nhồi máu phổi), rỉ máu vào phế nang và đường thở."
noi-ho-ra-mau-n2-mcq-015,noi,Ho ra máu,Hô hấp,,Triệu chứng tiền triệu nào sau đây gợi ý bệnh nhân sắp ho ra máu?,Đau quặn bụng,Cảm giác nóng rát sau xương ức và lợm giọng,Buồn nôn và vã mồ hôi hột,Chóng mặt và hoa mắt,,b,"Cảm giác ngứa họng, lợm giọng, nóng rát sau xương ức hoặc ngửi thấy mùi máu là những tiền triệu kinh điển. Nguồn: Bệnh học nội khoa YHN."
noi-ho-ra-mau-n2-mcq-016,noi,Ho ra máu,Hô hấp,,Bệnh nhân có khạc đờm lẫn máu. Đặc điểm nào sau đây gợi ý nhiều nhất tổn thương từ nhu mô phổi đang thoái lui?,Máu đỏ tươi không bọt,Máu đen sẫm có lẫn thức ăn,"Đờm có lẫn những cục máu đen, số lượng giảm dần",Máu đỏ tươi chảy liên tục không ngừng,,c,"Hiện tượng ""đuôi ho ra máu"" (khạc cục máu đen thẫm nhỏ dần) là dấu hiệu cho thấy đợt xuất huyết đang cầm lại."
noi-ho-ra-mau-n2-mcq-017,noi,Ho ra máu,Hô hấp,,Khám lâm sàng phát hiện dấu hiệu nào giúp phân biệt rõ ràng nhất giữa nôn ra máu và ho ra máu ở bệnh nhân không tỉnh táo?,Khám thấy rale rít ở phổi,Bơm rửa dạ dày có máu cục hoặc máu đen,Nhịp tim nhanh,Niêm mạc nhợt nhạt,,b,Đặt sonde dạ dày thấy máu là bằng chứng đáng tin cậy chỉ điểm xuất huyết tiêu hóa cao ở bệnh nhân không tự khai thác được bệnh sử.
noi-ho-ra-mau-n2-mcq-018,noi,Ho ra máu,Hô hấp,,"Nam 65 tuổi, tiền sử hút thuốc lá 40 bao-năm, ho ra máu lượng ít rỉ rả kéo dài, kèm sụt cân và ngón tay dùi trống. Chẩn đoán nào cần nghĩ tới đầu tiên?",Lao phổi mạn tính,Ung thư phế quản nguyên phát,Nhồi máu phổi,Suy tim ứ huyết,,b,"Bệnh cảnh kinh điển của ung thư phổi: nam giới lớn tuổi, hút thuốc, sụt cân, ngón tay dùi trống và ho máu rỉ rả (bẫy lâm sàng thường gặp)."
noi-ho-ra-mau-n2-mcq-019,noi,Ho ra máu,Hô hấp,,"Ho ra máu kèm khạc đờm mủ lượng nhiều, có mùi hôi thối vào buổi sáng là triệu chứng gợi ý bệnh lý nào?",Kén khí phổi,Giãn phế quản bội nhiễm hoặc áp xe phổi,U máu phổi,Dị dạng động tĩnh mạch phổi,,b,Đờm mủ hôi thối lượng nhiều thay đổi theo tư thế là đặc trưng của nhiễm trùng kỵ khí trong áp xe phổi hoặc giãn phế quản.
noi-ho-ra-mau-n2-mcq-020,noi,Ho ra máu,Hô hấp,,Đặc điểm lâm sàng nào gợi ý ho ra máu do nhồi máu phổi cấp?,Ho máu sau bữa ăn thịnh soạn,"Ho máu kèm đau ngực kiểu màng phổi, khó thở khởi phát đột ngột",Ho máu kèm sốt kéo dài về chiều,"Ho máu kèm sụp mi, hẹp khe mi",,b,"Tam chứng nhồi máu phổi cổ điển gồm ho ra máu, khó thở đột ngột và đau ngực kiểu màng phổi."
noi-ho-ra-mau-n2-mcq-021,noi,Ho ra máu,Hô hấp,,"Nữ 25 tuổi, ho ra máu lặp lại hàng tháng trùng với chu kỳ kinh nguyệt. Chẩn đoán nào hợp lý nhất?",U hạt Wegener,Rối loạn đông máu do giảm tiểu cầu,Lạc nội mạc tử cung ở phổi,Ung thư phổi di căn,,c,Catamenial hemoptysis (ho máu theo chu kỳ kinh nguyệt) là triệu chứng đặc hiệu nhất của bệnh lạc nội mạc tử cung tại màng phổi/phổi.
noi-ho-ra-mau-n2-mcq-022,noi,Ho ra máu,Hô hấp,,"Khám thực thể bệnh nhân ho ra máu thấy rale rít, rale ngáy khu trú cố định ở một vùng phổi kèm tiếng thở rít. Nguyên nhân nào dễ xảy ra nhất?",Dị vật đường thở hoặc khối u trong lòng phế quản,Tràn dịch màng phổi lượng nhiều,Nhồi máu động mạch phổi nhánh lớn,Phù phổi cấp tổn thương,,a,Tắc nghẽn không hoàn toàn một nhánh phế quản lớn do dị vật hoặc u sẽ tạo ra rale rít khu trú (bẫy hay gặp: khác với hen là rale rít lan tỏa 2 phế trường).
noi-ho-ra-mau-n2-mcq-023,noi,Ho ra máu,Hô hấp,,"Bệnh nhân ho ra máu, đái máu, kèm khám thấy loét hoại tử vách mũi. Bệnh lý nào giải thích đầy đủ hội chứng này?",Lupus ban đỏ hệ thống,Hội chứng Churg-Strauss,U hạt đa viêm mạch (Wegener),Lao đa cơ quan,,c,"U hạt Wegener (GPA) đặc trưng bởi tam chứng: viêm đường hô hấp trên (loét mũi), tổn thương hô hấp dưới (ho máu) và viêm cầu thận."
noi-ho-ra-mau-n2-mcq-024,noi,Ho ra máu,Hô hấp,,"Nghe tim có rung tâm trương ở mỏm, T1 đanh ở bệnh nhân ho ra máu. X-quang ngực sẽ có hình ảnh nào sau đây?","Rốn phổi đậm, cung động mạch phổi phồng, bờ trái tim thẳng","Bóng tim hình giọt nước, 2 phế trường sáng",Khối mờ hình đồng xu ở đỉnh phổi phải,Cung động mạch chủ giãn rộng,,a,"Triệu chứng hẹp van hai lá. X-quang sẽ có hình ảnh nhĩ trái to (bờ trái thẳng, cung ĐMP phồng) và ứ huyết phổi."
noi-ho-ra-mau-n2-mcq-025,noi,Ho ra máu,Hô hấp,,"Để loại trừ nguyên nhân chảy máu từ đường hô hấp trên, thao tác thăm khám nào sau đây là quan trọng nhất ở phòng cấp cứu?",Nghe phổi kỹ 2 phế trường,"Khám tai mũi họng, soi hầu họng và hố mũi",Đo SpO2 và nhịp thở,Làm điện tâm đồ,,b,"Khám hầu họng và hố mũi giúp xác định máu chảy từ các điểm mạch ở mũi, amidan chảy xuống gây ho khạc máu."
noi-ho-ra-mau-n2-mcq-026,noi,Ho ra máu,Hô hấp,,"Ho ra máu bọt hồng trào ra khỏi miệng kèm khó thở dữ dội, phổi nhiều rale ẩm dâng lên từ đáy. Chẩn đoán lâm sàng là gì?",Ho ra máu do vỡ phình Rasmussen,Phù phổi cấp huyết động,Cơn hen phế quản ác tính,Tràn khí màng phổi áp lực,,b,"Trào bọt hồng là triệu chứng kinh điển của phù phổi cấp huyết động (suy tim trái cấp), máu từ mao mạch thoát vào phế nang do áp lực thủy tĩnh tăng."
noi-ho-ra-mau-n2-mcq-027,noi,Ho ra máu,Hô hấp,,"Cận lâm sàng chẩn đoán hình ảnh đầu tay, luôn được chỉ định ở mọi bệnh nhân ho ra máu (khi huyết động ổn định) là gì?",Chụp cắt lớp vi tính phân giải cao (HRCT),Chụp cộng hưởng từ ngực (MRI),X-quang ngực thẳng,Chụp động mạch phế quản số hóa xóa nền (DSA),,c,"X-quang ngực là xét nghiệm cơ bản, nhanh chóng để định khu tổn thương và loại trừ các bất thường lớn. Nguồn: YHN."
noi-ho-ra-mau-n2-mcq-028,noi,Ho ra máu,Hô hấp,,Xét nghiệm hình ảnh nào có giá trị cao nhất trong việc đánh giá vị trí chảy máu và nguyên nhân ho ra máu trước can thiệp?,Siêu âm màng phổi,Chụp cắt lớp vi tính lồng ngực có tiêm thuốc cản quang,X-quang ngực thẳng và nghiêng,Nội soi trung thất,,b,"CT ngực có cản quang (CTPA/MDCT) giúp phát hiện mạch máu phì đại, vị trí chảy máu, và các tổn thương nhu mô ẩn mà X-quang bỏ sót."
noi-ho-ra-mau-n2-mcq-029,noi,Ho ra máu,Hô hấp,,Mục đích chính của nội soi phế quản ống mềm ở bệnh nhân ho ra máu cấp tính nặng đang tiến triển là gì?,Bơm thuốc tiêu sợi huyết vào đường thở,Đặt stent phế quản để nong đường thở,Xác định bên phổi chảy máu để cô lập đường thở,Lấy dị vật nhỏ ở phế quản tận,,c,"Trong ho máu cấp nặng, nội soi giúp xác định nhánh phế quản đang chảy máu để áp dụng các biện pháp chèn ép hoặc bảo vệ bên phổi lành."
noi-ho-ra-mau-n2-mcq-030,noi,Ho ra máu,Hô hấp,,Vì sao nội soi ống cứng thường được ưu tiên hơn nội soi ống mềm trong cấp cứu ho ra máu cực lớn có nguy cơ ngạt thở?,Đường kính kênh làm việc lớn giúp hút máu cục tốt hơn và đảm bảo thông khí,Giúp thám sát sâu hơn vào các tiểu phế quản,Gây mê tại chỗ dễ dàng hơn,Không làm tổn thương dây thanh âm,,a,"Nội soi ống cứng bảo vệ đường thở tốt hơn, cho phép thông khí cơ học qua ống soi và có kênh hút lớn để làm sạch máu cục ồ ạt."
noi-ho-ra-mau-n2-mcq-031,noi,Ho ra máu,Hô hấp,,Bệnh nhân nhập viện vì ho ra máu nặng. Xét nghiệm máu nào cần làm khẩn cấp để định hướng xử trí trước can thiệp?,"Công thức máu, PT, aPTT, nhóm máu","Khí máu động mạch, men gan, HbA1c",Định lượng D-dimer và BNP,Cấy máu 2 mẫu,,a,"Bộ xét nghiệm đông máu cơ bản, nhóm máu và Hct là bắt buộc để chuẩn bị truyền máu hoặc can thiệp nút mạch/phẫu thuật."
noi-ho-ra-mau-n2-mcq-032,noi,Ho ra máu,Hô hấp,,"Hình ảnh X-quang/CT ngực có khối mờ tròn nằm trong một hang, có ""dấu hiệu liềm khí"" (air crescent sign) bao quanh. Bệnh lý gì được nghĩ tới?",Lao kê,Kén sán chó,U nấm Aspergilloma,Nhồi máu phổi,,c,"U nấm Aspergilloma thường hình thành trên nền hang lao cũ, gây ho ra máu nặng. Dấu hiệu liềm khí là đặc trưng chẩn đoán hình ảnh."
noi-ho-ra-mau-n2-mcq-033,noi,Ho ra máu,Hô hấp,,"Chỉ định cận lâm sàng nào là ưu tiên ở bệnh nhân ho ra máu có D-dimer tăng cao, đau ngực và sưng cẳng chân trái?",Chụp CT động mạch phổi (CTPA),Siêu âm tim qua thành ngực,Chụp X-quang ngực thẳng,Chụp cắt lớp vi tính sọ não,,a,CT động mạch phổi có cản quang là tiêu chuẩn vàng trên lâm sàng để chẩn đoán xác định nhồi máu động mạch phổi.
noi-ho-ra-mau-n2-mcq-034,noi,Ho ra máu,Hô hấp,,"Trong tiếp cận ho ra máu nghi ngờ do viêm mạch tự miễn (như u hạt Wegener), tự kháng thể nào có giá trị chẩn đoán cao nhất?",Kháng thể kháng nhân (ANA),Yếu tố dạng thấp (RF),Kháng thể kháng bào tương bạch cầu đa nhân (ANCA),Kháng thể kháng chuỗi kép DNA (anti-dsDNA),,c,ANCA (c-ANCA) dương tính mạnh có giá trị chẩn đoán đặc hiệu cao cho u hạt đa viêm mạch (Wegener).
noi-ho-ra-mau-n2-mcq-035,noi,Ho ra máu,Hô hấp,,"Khi chụp mạch số hóa xóa nền (DSA), hình ảnh nào gợi ý nguồn động mạch phế quản gây ho ra máu?",Hình ảnh khuyết thuốc trong lòng tĩnh mạch,"Động mạch teo nhỏ, ngấm thuốc kém","Tăng sinh mạch, giãn ngoằn ngoèo và thoát thuốc cản quang",Phình động mạch chủ ngực,,c,"DSA thấy tăng sinh mạch bàng hệ phế quản, giãn ngoằn ngoèo và hình ảnh thoát thuốc (blush) xác định chính xác vị trí cần nút mạch."
noi-ho-ra-mau-n2-mcq-036,noi,Ho ra máu,Hô hấp,,"Một bệnh nhân ho ra máu lượng vừa, X-quang có thâm nhiễm và hang ở thùy trên phổi phải. Xét nghiệm nào cần làm đầu tiên để xác định nguyên nhân?",Soi trực tiếp đờm tìm AFB và Xpert MTB/RIF,Sinh thiết xuyên thành ngực dưới hướng dẫn CT,Chụp MRI ngực,Chọc hút dịch màng phổi,,a,Hình ảnh tổn thương thùy trên kèm tạo hang rất điển hình của lao phổi hoạt động. Xét nghiệm vi sinh đờm là bước đầu tiên và bắt buộc.
noi-ho-ra-mau-n2-mcq-037,noi,Ho ra máu,Hô hấp,,Mục tiêu điều trị ĐẦU TIÊN và quan trọng nhất ở bệnh nhân ho ra máu sét đánh là gì?,Tìm nguyên nhân bằng nội soi phế quản,Truyền máu bù khối lượng tuần hoàn,Duy trì thông thoáng đường thở và trao đổi khí,Chỉ định nút mạch cấp cứu,,c,"Bệnh nhân ho ra máu nặng chết do ngạt trước khi chết do mất máu. Đảm bảo đường thở (hút đờm dãi, đặt nội khí quản) là ưu tiên số 1."
noi-ho-ra-mau-n2-mcq-038,noi,Ho ra máu,Hô hấp,,Bệnh nhân được chẩn đoán ho ra máu từ nhu mô phổi phải. Tư thế nằm nào là đúng nhất trong lúc chờ can thiệp?,Nằm ngửa đầu thấp,Nằm nghiêng sang trái,Nằm nghiêng sang phải,Nằm sấp,,c,"Nằm nghiêng về bên phổi tổn thương (phổi phải) giúp ngăn máu tràn sang lấp kín phổi lành, bảo vệ phần phổi còn chức năng trao đổi khí."
noi-ho-ra-mau-n2-mcq-039,noi,Ho ra máu,Hô hấp,,Thuốc Vasopressin (Pitressin) được sử dụng trong ho ra máu cấp tính với cơ chế tác dụng nào?,Hoạt hóa yếu tố đông máu VIII,Gây co mạch tạng và hệ động mạch phế quản làm giảm lưu lượng máu,Giãn phế quản giúp tống máu cục,Tiêu sợi huyết tại chỗ,,b,"Vasopressin gây co cơ trơn mạch máu, làm giảm lưu lượng máu đến hệ mạch phế quản, giúp tạm thời kiểm soát chảy máu."
noi-ho-ra-mau-n2-mcq-040,noi,Ho ra máu,Hô hấp,,Cần hết sức thận trọng (hoặc chống chỉ định) dùng Vasopressin tiêm tĩnh mạch ở nhóm bệnh nhân nào?,Bệnh nhân lao phổi,Bệnh nhân có tiền sử bệnh mạch vành (thiếu máu cơ tim),Bệnh nhân đái tháo đường,Bệnh nhân loét dạ dày,,b,Vasopressin gây co thắt mạch vành có thể kích hoạt nhồi máu cơ tim cấp ở bệnh nhân có tiền sử bệnh mạch vành.
noi-ho-ra-mau-n2-mcq-041,noi,Ho ra máu,Hô hấp,,Thuốc nào sau đây thuộc nhóm thuốc cầm máu (ức chế tiêu sợi huyết) thường được chỉ định trong ho ra máu mức độ vừa?,Heparin trọng lượng phân tử thấp,Acid tranexamic (Transamin),Aspirin,Clopidogrel,,b,"Acid tranexamic ức chế sự chuyển plasminogen thành plasmin, ngăn cản sự tiêu sợi huyết, giúp cục máu đông bền vững hơn."
noi-ho-ra-mau-n2-mcq-042,noi,Ho ra máu,Hô hấp,,Biện pháp điều trị can thiệp ít xâm lấn nào mang lại hiệu quả cao nhất để cầm máu triệt để ở bệnh nhân giãn phế quản ho máu nặng tái phát?,Xạ trị tại chỗ,Nút động mạch phế quản (BAE),Cắt thùy phổi qua nội soi,Rửa phế quản phế nang,,b,Nút động mạch phế quản (BAE) dưới máy chụp mạch số hóa xóa nền (DSA) là lựa chọn đầu tay và hiệu quả nhất cho ho máu nặng do giãn phế quản.
noi-ho-ra-mau-n2-mcq-043,noi,Ho ra máu,Hô hấp,,"Biến chứng nguy hiểm nhất, tuy hiếm gặp, của thủ thuật Nút động mạch phế quản (BAE) là gì?",Nhồi máu cơ tim,Tràn khí màng phổi,Liệt hai chi dưới (thiếu máu tủy sống),Thủng động mạch chủ ngực,,c,Các chất tắc mạch có thể trào vào các nhánh cấp máu cho tủy sống (đặc biệt là động mạch Adamkiewicz) gây nhồi máu tủy và liệt hai chi dưới.
