id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-cap-cuu-ngung-tuan-hoan-mcq-001,noi,Cấp cứu ngừng tuần hoàn,Hồi sức cấp cứu,,Cấp cứu ngừng tuần hoàn cơ bản được bắt đầu ngay khi bệnh nhân có biểu hiện nào sau đây?,Huyết áp không đo được,"Mất ý thức, ngừng thở hoặc thở ngáp, không bắt được mạch cảnh",Điện tâm đồ là đường thẳng,"Tím tái toàn thân, đồng tử giãn",,b,"Tam chứng kinh điển của ngừng tuần hoàn trên lâm sàng là mất ý thức đột ngột, ngừng thở (hoặc thở ngáp) và mất mạch trung tâm (mạch cảnh, mạch bẹn). Không chờ đo huyết áp hay mắc điện tâm đồ mới ép tim. Nguồn: Bệnh học nội khoa YHN."
noi-cap-cuu-ngung-tuan-hoan-mcq-002,noi,Cấp cứu ngừng tuần hoàn,Hồi sức cấp cứu,,Thời gian chịu đựng tình trạng thiếu oxy tối đa của não trước khi xảy ra tổn thương không hồi phục ở điều kiện nhiệt độ bình thường là bao nhiêu?,1 - 2 phút,3 - 5 phút,8 - 10 phút,15 - 20 phút,,b,"Tế bào não rất nhạy cảm với tình trạng thiếu oxy. Sau 3-5 phút ngừng cấp máu, não sẽ bắt đầu bị tổn thương không thể hồi phục. Đây là lý do ""thời gian là vàng"" trong ép tim. Nguồn: Bệnh học nội khoa YHN."
noi-cap-cuu-ngung-tuan-hoan-mcq-003,noi,Cấp cứu ngừng tuần hoàn,Hồi sức cấp cứu,,Nhịp điện tim ban đầu thường gặp nhất ở bệnh nhân ngừng tuần hoàn ngoại viện do nguyên nhân tim mạch ở người lớn là gì?,Vô tâm thu,Phân ly điện cơ,Rung thất hoặc nhịp nhanh thất vô mạch,Nhịp chậm xoang,,c,"Rung thất (VF) và nhịp nhanh thất vô mạch (pVT) là các nhịp thường gặp nhất ở ngừng tuần hoàn ngoại viện ở người lớn, thường liên quan đến hội chứng vành cấp, do đó nhấn mạnh vai trò của sốc điện sớm."
noi-cap-cuu-ngung-tuan-hoan-mcq-004,noi,Cấp cứu ngừng tuần hoàn,Hồi sức cấp cứu,,"Sự khác biệt cơ bản nhất giữa ""chết lâm sàng"" và ""chết sinh vật"" là gì?",Thời gian ngừng ép tim,Sự giãn đồng tử và mất phản xạ ánh sáng,Khả năng hồi phục của tổn thương thần kinh trung ương,Sự xuất hiện của các mảng tím trên da,,c,"Chết lâm sàng là ranh giới có thể đảo ngược bằng cấp cứu kịp thời. Chết sinh vật là khi tế bào não và các tạng đã hoại tử, tổn thương thần kinh trung ương không thể hồi phục."
noi-cap-cuu-ngung-tuan-hoan-mcq-005,noi,Cấp cứu ngừng tuần hoàn,Hồi sức cấp cứu,,Nguyên nhân hàng đầu gây ngừng tuần hoàn nội viện ở bệnh nhân đang điều trị tại các khoa phòng (không phải ICU) thường là gì?,Hội chứng vành cấp,Rối loạn nhịp tim nguyên phát,Suy hô hấp tiến triển hoặc sốc,Ngộ độc thuốc,,c,"Khác với ngoại viện thường do nguyên nhân tim mạch đột ngột, ngừng tuần hoàn nội viện đa phần là hậu quả cuối cùng của một quá trình suy hô hấp hoặc sốc không được nhận biết và xử trí kịp thời."
noi-cap-cuu-ngung-tuan-hoan-mcq-006,noi,Cấp cứu ngừng tuần hoàn,Hồi sức cấp cứu,,"Chuỗi hành động sinh tồn trong cấp cứu ngừng tuần hoàn ngoại viện ở người lớn, bước đầu tiên cần thực hiện là gì?",Ép tim ngoài lồng ngực ngay lập tức,Kiểm tra đường thở và thổi ngạt,Nhận biết sớm và gọi hệ thống cấp cứu,Tìm kiếm máy sốc điện tự động,,c,"Theo Guideline AHA, bước đầu tiên của chuỗi sinh tồn ngoại viện là nhận biết sớm tình trạng ngừng tim và kích hoạt hệ thống cấp cứu y tế, sau đó mới tiến hành CPR."
noi-cap-cuu-ngung-tuan-hoan-mcq-007,noi,Cấp cứu ngừng tuần hoàn,Hồi sức cấp cứu,,"Trong quá trình ép tim, áp lực tưới máu vành được quyết định chủ yếu bởi hiệu số của hai thông số huyết động nào?",Huyết áp tâm thu động mạch chủ và huyết áp tâm thu thất trái,Huyết áp tâm trương động mạch chủ và áp lực nhĩ phải tâm trương,Huyết áp tâm thu động mạch chủ và áp lực tĩnh mạch trung tâm,Huyết áp trung bình và áp lực nội sọ,,b,"Áp lực tưới máu vành (CPP) = Huyết áp tâm trương động mạch chủ trừ đi Áp lực nhĩ phải tâm trương. Ép tim chất lượng cao giúp tăng CPP, là yếu tố quyết định khả năng tái lập tuần hoàn tự nhiên."
noi-cap-cuu-ngung-tuan-hoan-mcq-008,noi,Cấp cứu ngừng tuần hoàn,Hồi sức cấp cứu,,Cơ chế chính dẫn đến rung thất trong những phút đầu tiên của nhồi máu cơ tim cấp là gì?,Tăng tính tự động của nút xoang,Vòng vào lại tại vùng ranh giới thiếu máu cục bộ,Block nhĩ thất độ 3,Tràn dịch màng ngoài tim cấp,,b,"Thiếu máu cục bộ tạo ra sự không đồng nhất về điện sinh lý (thời gian trơ, vận tốc dẫn truyền) giữa mô lành và mô nhồi máu, tạo điều kiện hình thành các vòng vào lại gây nhịp nhanh thất/rung thất."
noi-cap-cuu-ngung-tuan-hoan-mcq-009,noi,Cấp cứu ngừng tuần hoàn,Hồi sức cấp cứu,,Mục đích chính của việc sử dụng Adrenalin trong cấp cứu ngừng tuần hoàn là do tác dụng trên thụ thể nào?,Kích thích thụ thể Beta-1 làm tăng nhịp tim,Kích thích thụ thể Beta-2 làm giãn phế quản,Kích thích thụ thể Alpha-1 làm co mạch ngoại vi,Ức chế thụ thể Alpha-2 làm tăng giải phóng Catecholamine,,c,"Tác dụng quan trọng nhất của Adrenalin trong CPR là kích thích Alpha-1 gây co mạch, làm tăng áp lực tâm trương động mạch chủ, từ đó tăng áp lực tưới máu vành và tưới máu não."
noi-cap-cuu-ngung-tuan-hoan-mcq-010,noi,Cấp cứu ngừng tuần hoàn,Hồi sức cấp cứu,,Cơ chế gây ngừng tuần hoàn thể phân ly điện cơ do sốc giảm thể tích nặng là gì?,Giảm nghiêm trọng lượng máu tĩnh mạch trở về tim,Liệt nút xoang do thiếu oxy,Co thắt động mạch vành diện rộng,Tăng hậu gánh quá mức làm thất trái suy kiệt,,a,"Giảm thể tích nặng làm giảm trầm trọng tiền gánh, tim bóp rỗng không có máu tống đi, trên điện tim vẫn có nhịp điện học nhưng không tạo ra huyết áp và mạch bẹn, gọi là phân ly điện cơ (PEA)."
