id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-tran-dich-mang-phoi-n2-mcq-001,noi,Tràn dịch màng phổi,Hô hấp,,Lượng dịch sinh lý bình thường tồn tại trong khoang màng phổi của người trưởng thành khỏe mạnh là bao nhiêu?,1 - 5 ml,10 - 20 ml,30 - 50 ml,50 - 100 ml,,b,Bình thường khoang màng phổi là một khoang ảo chứa khoảng 10-20ml dịch giúp hai lá màng phổi trượt lên nhau dễ dàng. Nguồn: Bệnh học nội khoa YHN.
noi-tran-dich-mang-phoi-n2-mcq-002,noi,Tràn dịch màng phổi,Hô hấp,,Nguồn gốc phôi thai học của lớp tế bào biểu mô lót mặt trong khoang màng phổi là gì?,Ngoại bì,Nội bì,Trung mô,Nội mạc,,c,"Màng phổi được lót bởi lớp tế bào trung biểu mô (mesothelium) có nguồn gốc từ trung mô, đóng vai trò quan trọng trong việc tiết và hấp thu dịch."
noi-tran-dich-mang-phoi-n2-mcq-003,noi,Tràn dịch màng phổi,Hô hấp,,Áp lực trong khoang màng phổi ở trạng thái sinh lý bình thường mang đặc điểm nào?,Luôn bằng áp lực khí quyển,Luôn dương trong thì hít vào,Luôn âm trong suốt chu kỳ hô hấp,Bằng 0 ở cuối thì thở ra,,c,Áp lực khoang màng phổi luôn âm (-3 đến -5 cmH2O) do lực đàn hồi co rút của nhu mô phổi và sự phát triển lồng ngực. Nguồn: Bệnh học nội khoa YHN.
noi-tran-dich-mang-phoi-n2-mcq-004,noi,Tràn dịch màng phổi,Hô hấp,,"Ở các nước đang phát triển như Việt Nam, nguyên nhân gây tràn dịch màng phổi dịch tiết thường gặp nhất ở người trẻ tuổi là gì?",Viêm phổi,Lao màng phổi,Ung thư màng phổi,Bệnh tự miễn,,b,"Lao màng phổi là nguyên nhân hàng đầu gây tràn dịch màng phổi dịch tiết ở Việt Nam, đặc biệt trên cơ địa thanh thiếu niên và người trẻ tuổi. Nguồn: Bệnh học nội khoa YHN."
noi-tran-dich-mang-phoi-n2-mcq-005,noi,Tràn dịch màng phổi,Hô hấp,,"Trong các nguyên nhân sau, bệnh lý nào thường gây tràn dịch màng phổi dịch thấm ở cả hai bên?",Suy tim ứ huyết,Tắc mạch phổi,Viêm mủ màng phổi,Hội chứng Dressler,,a,Suy tim ứ huyết là nguyên nhân hàng đầu gây tràn dịch màng phổi dịch thấm hai bên do tăng áp lực thủy tĩnh toàn thân. Các nguyên nhân khác thường gây dịch tiết hoặc tràn một bên.
noi-tran-dich-mang-phoi-n2-mcq-006,noi,Tràn dịch màng phổi,Hô hấp,,Yếu tố nào sau đây đóng vai trò chủ yếu trong việc hấp thu dịch màng phổi về tuần hoàn?,Hệ thống mao mạch lá tạng,Hệ thống lỗ bạch huyết lá thành,Áp lực âm khoang màng phổi,Bơm Na+/K+ của tế bào trung biểu mô,,b,Dịch màng phổi được hấp thu chủ yếu qua các lỗ bạch huyết (stomata) phân bố dồi dào ở phần thấp của màng phổi thành và cơ hoành. Nguồn: CURRENT Medical Diagnosis & Treatment 2026.
noi-tran-dich-mang-phoi-n2-mcq-007,noi,Tràn dịch màng phổi,Hô hấp,,Cơ chế chính yếu hình thành tràn dịch màng phổi trong hội chứng thận hư là gì?,Tăng áp lực thủy tĩnh mao mạch,Giảm áp lực keo huyết tương,Tăng tính thấm thành mạch,Tắc nghẽn hệ thống bạch huyết,,b,"Hội chứng thận hư gây mất protein qua nước tiểu làm giảm áp lực keo máu nghiêm trọng, dẫn đến dịch thoát ra các khoảng gian bào và màng phổi."
noi-tran-dich-mang-phoi-n2-mcq-008,noi,Tràn dịch màng phổi,Hô hấp,,Cơ chế hình thành tràn dịch màng phổi trong xẹp phổi toàn bộ có đặc điểm gì nổi bật?,Tăng áp lực âm trong khoang màng phổi,Tăng tính thấm mao mạch phổi,Giảm dẫn lưu bạch huyết trung thất,Tăng áp lực tĩnh mạch phổi,,a,"Xẹp phổi làm thể tích phổi giảm, dẫn đến tăng mạnh áp lực âm khoang màng phổi, tạo lực hút kéo dịch từ mao mạch vào khoang màng phổi. Nguồn: Bệnh học nội khoa YHN."
noi-tran-dich-mang-phoi-n2-mcq-009,noi,Tràn dịch màng phổi,Hô hấp,,Tràn dịch màng phổi trong bệnh xơ gan cổ trướng (Hội chứng gan màng phổi) chủ yếu do cơ chế nào?,Dịch thấm qua cơ hoành từ ổ bụng,Tăng áp lực tĩnh mạch cửa,Viêm màng phổi phản ứng,Giảm tổng hợp albumin nặng,,a,Cơ chế chính là do dịch báng trong ổ bụng đi qua các khiếm khuyết vi thể ở cơ hoành (thường bên phải) do chênh lệch áp lực.
noi-tran-dich-mang-phoi-n2-mcq-010,noi,Tràn dịch màng phổi,Hô hấp,,Sự xuất hiện tràn dịch màng phổi trong nhồi máu phổi thường liên quan đến cơ chế nào dưới đây?,Tắc nghẽn ống ngực,Tăng áp lực nhĩ trái,Tăng tính thấm mao mạch do thiếu máu cục bộ,Trào ngược dịch từ khoang màng ngoài tim,,c,"Thiếu máu cục bộ vùng nhu mô phổi bị nhồi máu làm giải phóng các chất trung gian hóa học, gây tăng tính thấm mao mạch lá tạng và viêm màng phổi."
