id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-xo-gan-mcq-001,noi,Xơ gan,Tiêu hoá,,Đặc trưng mô bệnh học cơ bản nhất để định nghĩa bệnh lý xơ gan là gì?,Viêm tế bào gan cấp tính lan tỏa,"Phá hủy cấu trúc tiểu thùy, tăng sinh xơ và hình thành hạt tân tạo",Lắng đọng mỡ trong tế bào gan trên 50% diện tích,Tắc nghẽn đường mật trong và ngoài gan,,b,"Xơ gan được định nghĩa bằng sự phá hủy cấu trúc thùy gan bình thường, thay thế bằng mô xơ và các hạt tái tạo. Nguồn: Bệnh học nội khoa YHN."
noi-xo-gan-mcq-002,noi,Xơ gan,Tiêu hoá,,Hội chứng não gan ở bệnh nhân xơ gan được định nghĩa là tình trạng nào sau đây?,Viêm màng não mủ do vi khuẩn xâm nhập từ dịch cổ trướng,Tổn thương thực thể tế bào thần kinh do độc tính của rượu,Suy giảm chức năng hệ thần kinh khả nghịch do rối loạn chuyển hóa,Sa sút trí tuệ không hồi phục ở người lớn tuổi suy gan,,c,"Hội chứng não gan là bệnh lý thần kinh - tâm thần do rối loạn chuyển hóa, có tính chất khả nghịch, xảy ra trên nền suy tế bào gan và/hoặc có shunt cửa - chủ. Nguồn: Bệnh học nội khoa YHN."
noi-xo-gan-mcq-003,noi,Xơ gan,Tiêu hoá,,Phát biểu nào sau đây định nghĩa ĐÚNG NHẤT về hội chứng gan thận?,Tổn thương thực thể tại cầu thận do phức hợp miễn dịch,Suy thận chức năng xảy ra trên nền suy gan và tăng áp lực tĩnh mạch cửa,Hoại tử ống thận cấp do sử dụng thuốc lợi tiểu kéo dài,Viêm đài bể thận tiến triển ở bệnh nhân có cổ trướng,,b,"Hội chứng gan thận là suy thận chức năng, cấu trúc thận hoàn toàn bình thường, biến chứng thường gặp ở người xơ gan cổ trướng. Nguồn: Bệnh học nội khoa YHN."
noi-xo-gan-mcq-004,noi,Xơ gan,Tiêu hoá,,Đặc điểm phân biệt chính giữa hội chứng gan thận tuýp 1 và tuýp 2 là gì?,"Tuýp 1 tiến triển nhanh chóng, tuýp 2 tiến triển từ từ với biểu hiện chính là cổ trướng kháng trị","Tuýp 1 do virus, tuýp 2 do rượu","Tuýp 1 có tổn thương siêu âm thận, tuýp 2 siêu âm bình thường","Tuýp 1 có protein niệu cao, tuýp 2 không có protein niệu",,a,"Tuýp 1 suy thận tiến triển cực nhanh (< 2 tuần) và tiên lượng xấu; tuýp 2 suy thận chậm hơn, nổi bật là cổ trướng kháng trị. Nguồn: Bệnh học nội khoa YHN."
noi-xo-gan-mcq-005,noi,Xơ gan,Tiêu hoá,,"Tại Việt Nam, nhóm nguyên nhân hàng đầu gây xơ gan dẫn tới các biến chứng não gan và gan thận là gì?",Viêm gan tự miễn và bệnh ứ đồng,Tắc mật nguyên phát và lạm dụng thuốc,Nhiễm virus viêm gan B mạn tính và lạm dụng rượu,Viêm gan virus A và suy tim phải mạn,,c,Dịch tễ học tại Việt Nam cho thấy virus viêm gan B và rượu là hai nguyên nhân phổ biến nhất gây xơ gan. Nguồn: Bệnh học nội khoa YHN.
noi-xo-gan-mcq-006,noi,Xơ gan,Tiêu hoá,,Thang điểm West Haven được sử dụng nhằm mục đích gì trong thực hành lâm sàng?,Phân loại mức độ suy tế bào gan,Phân loại kích thước giãn tĩnh mạch thực quản,Phân loại mức độ nghiêm trọng của hội chứng não gan,Đánh giá tiên lượng sống còn sau phẫu thuật của người xơ gan,,c,Tiêu chuẩn West Haven dùng để phân độ lâm sàng hội chứng não gan từ độ 0 (kín đáo) đến độ 4 (hôn mê). Nguồn: Bệnh học nội khoa YHN.
noi-xo-gan-mcq-007,noi,Xơ gan,Tiêu hoá,,Cơ chế sinh lý bệnh cốt lõi khởi phát hội chứng gan thận là gì?,Độc chất từ gan suy trực tiếp phá hủy tế bào ống thận,"Giãn tĩnh mạch nội tạng mạnh gây giảm thể tích máu động mạch hiệu dụng, dẫn tới co thắt mạch thận",Tăng áp lực ổ bụng do cổ trướng chèn ép niệu quản hai bên,Hình thành huyết khối vi mạch trong hệ thống mao mạch thận,,b,"Tăng áp tĩnh mạch cửa làm giãn mạch nội tạng, cơ thể bù trừ sự giảm thể tích hiệu dụng này bằng cách kích hoạt hệ RAAS gây co thắt động mạch thận quá mức. Nguồn: Bệnh học nội khoa YHN."
noi-xo-gan-mcq-008,noi,Xơ gan,Tiêu hoá,,Chất nào sau đây đóng vai trò trung tâm nhất trong cơ chế bệnh sinh của hội chứng não gan?,Acid uric,Amoniac,Creatinin,Bilirubin gián tiếp,,b,"Amoniac (NH3) không được gan chuyển hóa sẽ lên não, biến đổi thành glutamin gây phù tế bào hình sao và rối loạn chức năng thần kinh. Nguồn: Bệnh học nội khoa YHN."
noi-xo-gan-mcq-009,noi,Xơ gan,Tiêu hoá,,Đa số lượng Amoniac sinh ra trong cơ thể bệnh nhân xơ gan bắt nguồn từ đâu?,Quá trình thoái giáng cơ vân,Hoạt động phân hủy protein và ure của vi khuẩn tại đường ruột,Quá trình khử amin tại thận,Chu trình phân hủy hồng cầu tại lách,,b,"Vi khuẩn sinh urease ở đại tràng chuyển hóa protein từ thức ăn, máu chảy trong ruột thành lượng lớn amoniac. Nguồn: Bệnh học nội khoa YHN."
noi-xo-gan-mcq-010,noi,Xơ gan,Tiêu hoá,,Sự hiện diện của các luồng thông (shunt) cửa - chủ góp phần gây ra não gan theo cơ chế nào?,Đưa máu chứa độc tố từ ruột vào thẳng tuần hoàn hệ thống mà không qua sự khử độc của gan,Làm tăng áp lực thủy tĩnh trực tiếp lên màng não,Gây giãn mạch não kịch phát,Kích thích tăng sinh vi khuẩn ở ruột,,a,"Shunt cửa chủ làm máu rẽ nhánh, đi vòng qua gan, khiến các độc tố (như NH3) đi thẳng vào não gây ngộ độc thần kinh. Nguồn: Bệnh học nội khoa YHN."
noi-xo-gan-mcq-011,noi,Xơ gan,Tiêu hoá,,Yếu tố thúc đẩy phổ biến nhất làm khởi phát đột ngột hội chứng gan thận trên bệnh nhân xơ gan cổ trướng là gì?,Táo bón kéo dài,Ăn quá nhiều đạm động vật,Viêm phúc mạc nhiễm khuẩn tiên phát,Dùng thuốc giãn cơ vân,,c,"Nhiễm trùng, đặc biệt là viêm phúc mạc nhiễm khuẩn tiên phát (SBP), làm trầm trọng thêm tình trạng giãn mạch tạng và khởi phát HCGT. Nguồn: Bệnh học nội khoa YHN."
noi-xo-gan-mcq-012,noi,Xơ gan,Tiêu hoá,,Tác động sinh lý bệnh của biến chứng vỡ tĩnh mạch thực quản lên sự khởi phát hội chứng não gan là gì?,Máu trong đường ruột là nguồn cung cấp dồi dào protein cho vi khuẩn phân hủy sinh ra amoniac,Gây thiếu máu tưới máu thận dẫn đến ứ đọng ure,Làm suy giảm ngay lập tức số lượng tế bào gan sống sót,Gây phù não do pha loãng máu sau truyền dịch cấp cứu,,a,"Hồng cầu chứa nhiều protein, khi ứ đọng trong ruột sẽ bị hệ vi khuẩn chuyển hóa thành một lượng khổng lồ amoniac hấp thu vào máu. Nguồn: Bệnh học nội khoa YHN."
noi-xo-gan-mcq-013,noi,Xơ gan,Tiêu hoá,,Tại sao tình trạng hạ Kali máu - kiềm chuyển hóa (thường do dùng lợi tiểu) lại là yếu tố thúc đẩy hội chứng não gan?,Kích thích vi khuẩn ruột sinh trưởng mạnh hơn,Làm tăng tỷ lệ chuyển NH4+ thành dạng NH3 dễ dàng khuếch tán qua hàng rào máu não,Trực tiếp ức chế chu trình tổng hợp ure tại tế bào gan,Gây liệt ruột làm tăng thời gian lưu phân,,b,"Môi trường kiềm hóa làm dịch chuyển phương trình ion hóa, tăng dạng NH3 không mang điện tích tĩnh dễ dàng xuyên qua màng tế bào não. Nguồn: CURRENT 2026."
noi-xo-gan-mcq-014,noi,Xơ gan,Tiêu hoá,,"Nếu tiến hành sinh thiết một quả thận của bệnh nhân mắc hội chứng gan thận thuần túy, đặc điểm mô học dự kiến sẽ là gì?",Hoại tử ống thận lan tỏa,Xơ hóa cầu thận ổ cục bộ,Cấu trúc mô học thận hoàn toàn bình thường,Xâm nhập viêm mô kẽ dày đặc,,c,"HCGT là suy thận chức năng. Nếu đem thận của bệnh nhân này ghép cho người bình thường, thận sẽ hoạt động lại tốt. Nguồn: Bệnh học nội khoa YHN."
noi-xo-gan-mcq-015,noi,Xơ gan,Tiêu hoá,,Dấu hiệu lâm sàng sớm nhất và tinh tế nhất thường xuất hiện khi bệnh nhân bắt đầu vào hội chứng não gan độ 1 là gì?,Hôn mê sâu gọi hỏi không biết,"Đảo lộn nhịp ngủ (ngủ ngày, thức đêm)",Liệt nửa người đồng đều,Co giật cục bộ cơ mặt,,b,Rối loạn chu kỳ thức ngủ và giảm sự tập trung chú ý là những biểu hiện lâm sàng sớm nhất của não gan độ 1. Nguồn: Bệnh học nội khoa YHN.
noi-xo-gan-mcq-016,noi,Xơ gan,Tiêu hoá,,Thao tác khám lâm sàng nào sau đây dùng để phát hiện dấu hiệu rung giật cơ (Asterixis) trong hội chứng não gan?,Cho bệnh nhân nhắm mắt đứng chụm chân (Romberg),Yêu cầu bệnh nhân nhắm mắt và lấy ngón trỏ chỉ vào mũi,"Yêu cầu bệnh nhân duỗi hai tay ra trước, xòe và ưỡn tối đa các ngón tay",Gõ phản xạ gân xương bánh chè hai bên,,c,"Dấu hiệu Asterixis (flapping tremor) đặc trưng bởi sự mất trương lực cơ tư thế thoáng qua, khiến bàn tay rớt xuống rồi giật ngược lên khi đang cố ưỡn. Nguồn: Bệnh học nội khoa YHN."
noi-xo-gan-mcq-017,noi,Xơ gan,Tiêu hoá,,Biểu hiện tiết niệu điển hình ở bệnh nhân xơ gan xuất hiện hội chứng gan thận là gì?,Đa niệu do thận mất khả năng cô đặc,Tiểu máu đại thể kèm cơn đau quặn thận,Thiểu niệu tăng dần trên nền cổ trướng kháng trị,Tiểu nhiều bọt do protein niệu ngưỡng thận hư,,c,"Bệnh nhân HCGT thường biểu hiện bằng lượng nước tiểu giảm dần (thiểu niệu), đi kèm xơ gan mất bù rất nặng và cổ trướng căng to kháng thuốc. Nguồn: Bệnh học nội khoa YHN."
noi-xo-gan-mcq-018,noi,Xơ gan,Tiêu hoá,,"Để chẩn đoán phân biệt hội chứng gan thận với suy thận trước thận do giảm thể tích (ví dụ do dùng quá liều lợi tiểu), nghiệm pháp lâm sàng nào được sử dụng?",Đặt sonde tiểu theo dõi lượng nước tiểu mỗi giờ,Ngừng lợi tiểu và truyền bù thể tích bằng Albumin trong 48 giờ,Dùng thêm Furosemid liều cao đường tĩnh mạch,Cho bệnh nhân uống 2 lít nước lọc trong 2 giờ,,b,Suy thận do thiếu dịch sẽ cải thiện chức năng thận sau khi bù đủ thể tích (bằng Albumin tĩnh mạch). HCGT thì không có sự cải thiện này. Nguồn: CURRENT 2026.
