id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-dai-cuong-benh-to-chuc-lien-ket-mcq-001,noi,Đại cương bệnh tổ chức liên kết,Cơ xương khớp,,Lupus ban đỏ hệ thống thường khởi phát nhiều nhất ở nhóm đối tượng nào dưới đây?,"Nam giới, trên 60 tuổi","Nữ giới, trong độ tuổi sinh đẻ","Nam giới, tuổi vị thành niên","Nữ giới, sau mãn kinh",,b,"Bệnh Lupus ban đỏ hệ thống gặp chủ yếu ở nữ giới (tỷ lệ nữ/nam khoảng 9/1), đặc biệt bùng phát mạnh trong giai đoạn có hoạt động nội tiết tố sinh dục nữ mạnh nhất. Nguồn: Bệnh học nội khoa YHN."
noi-dai-cuong-benh-to-chuc-lien-ket-mcq-002,noi,Đại cương bệnh tổ chức liên kết,Cơ xương khớp,,Đặc trưng tổn thương cơ bản nhất định hình bệnh xơ cứng bì hệ thống là gì?,Viêm mủ các khớp lớn,Phá hủy sụn khớp mạn tính,Xơ hóa tổ chức do tăng sinh collagen,Viêm mạch máu hoại tử,,c,"Bản chất của xơ cứng bì là sự tăng sinh và lắng đọng quá mức collagen ở da và các cơ quan nội tạng. Ý cần nhớ: ""Xơ cứng bì = Viêm vi mạch + Xơ hóa""."
noi-dai-cuong-benh-to-chuc-lien-ket-mcq-003,noi,Đại cương bệnh tổ chức liên kết,Cơ xương khớp,,Tổn thương cơ trong bệnh viêm da cơ và viêm đa cơ có đặc điểm phân bố điển hình như thế nào?,"Ngọn chi, bất đối xứng","Gốc chi, đối xứng","Ngọn chi, đối xứng","Gốc chi, bất đối xứng",,b,"Tổn thương cơ bản của nhóm bệnh này là viêm cơ vùng gốc chi (vai, đùi) và có tính chất đối xứng hai bên, gây khó khăn khi chải đầu hoặc đứng lên."
noi-dai-cuong-benh-to-chuc-lien-ket-mcq-004,noi,Đại cương bệnh tổ chức liên kết,Cơ xương khớp,,Yếu tố môi trường nào sau đây được biết đến nhiều nhất trong việc kích hoạt hoặc làm bùng phát đợt cấp của Lupus ban đỏ hệ thống?,Nhiễm lạnh đột ngột,Ăn nhiều hải sản,Bức xạ tia cực tím,Hoạt động thể lực nặng,,c,"Tia cực tím (UV) làm thay đổi cấu trúc DNA của tế bào da, biến chúng thành kháng nguyên lạ kích thích hệ miễn dịch, gây bùng phát bệnh."
noi-dai-cuong-benh-to-chuc-lien-ket-mcq-005,noi,Đại cương bệnh tổ chức liên kết,Cơ xương khớp,,Điểm khác biệt cốt lõi nhất về mặt phân loại lâm sàng giữa viêm da cơ và viêm đa cơ là gì?,Mức độ tăng men cơ,Sự hiện diện của tổn thương da đặc hiệu,Tỷ lệ tổn thương phổi kẽ,Đáp ứng với corticoid,,b,"Đúng như tên gọi, viêm da cơ có các tổn thương da đặc hiệu (ban Heliotrope, sẩn Gottron) đi kèm yếu cơ, trong khi viêm đa cơ chỉ có biểu hiện ở cơ."
noi-dai-cuong-benh-to-chuc-lien-ket-mcq-006,noi,Đại cương bệnh tổ chức liên kết,Cơ xương khớp,,Hội chứng CREST là một biến thể lâm sàng kinh điển thuộc nhóm bệnh lý nào sau đây?,Lupus ban đỏ hệ thống,Viêm da cơ,Xơ cứng bì thể lan tỏa,Xơ cứng bì thể khu trú,,d,"Hội chứng CREST (Calcinosis, Raynaud, Esophageal dysmotility, Sclerodactyly, Telangiectasia) là biểu hiện đặc trưng của xơ cứng bì thể khu trú, tiên lượng thường tốt hơn thể lan tỏa."
noi-dai-cuong-benh-to-chuc-lien-ket-mcq-007,noi,Đại cương bệnh tổ chức liên kết,Cơ xương khớp,,Cơ chế bệnh sinh chính gây tổn thương đa cơ quan trong Lupus ban đỏ hệ thống thuộc type quá mẫn nào?,Quá mẫn type I,Quá mẫn type II,Quá mẫn type III,Quá mẫn type IV,,c,"Lupus ban đỏ hệ thống là bệnh lý điển hình của quá mẫn type III, do sự lắng đọng các phức hợp miễn dịch (kháng nguyên - kháng thể) tại các mô như thận, da, khớp."
noi-dai-cuong-benh-to-chuc-lien-ket-mcq-008,noi,Đại cương bệnh tổ chức liên kết,Cơ xương khớp,,Kháng thể kháng nhân trong chẩn đoán Lupus ban đỏ hệ thống có đặc điểm sinh lý bệnh học nào nổi bật?,"Độ nhạy thấp, độ đặc hiệu cao","Độ nhạy rất cao, độ đặc hiệu thấp",Độ nhạy và độ đặc hiệu đều rất thấp,Chỉ xuất hiện trong giai đoạn cuối của bệnh,,b,"Kháng thể kháng nhân có ở >95% bệnh nhân Lupus (độ nhạy cao dùng để sàng lọc), nhưng cũng gặp ở người khỏe mạnh hoặc bệnh lý khác (đặc hiệu thấp). Nguồn: Bệnh học nội khoa YHN."
noi-dai-cuong-benh-to-chuc-lien-ket-mcq-009,noi,Đại cương bệnh tổ chức liên kết,Cơ xương khớp,,Quá trình tổn thương sớm nhất khởi phát chuỗi bệnh sinh trong xơ cứng bì hệ thống diễn ra ở cấu trúc nào?,Tế bào nội mô vi mạch,Màng hoạt dịch khớp,Bao myelin sợi thần kinh,Tế bào sừng lớp biểu bì,,a,"Bệnh sinh xơ cứng bì bắt đầu bằng tổn thương tế bào nội mô mạch máu nhỏ, dẫn đến thiếu máu cục bộ (Raynaud) và sau đó kích hoạt nguyên bào sợi gây xơ hóa."
noi-dai-cuong-benh-to-chuc-lien-ket-mcq-010,noi,Đại cương bệnh tổ chức liên kết,Cơ xương khớp,,"Trong viêm da cơ, cơ chế tổn thương sợi cơ chủ yếu qua trung gian của yếu tố nào?",Tế bào T CD8+ tấn công trực tiếp,Tế bào B và bổ thể tấn công vi mạch cơ,Đại thực bào thực bào sợi cơ,Lắng đọng tinh thể acid uric,,b,"Bẫy kinh điển: Viêm da cơ do miễn dịch dịch thể (B cell, CD4+, bổ thể) tấn công mạch máu nuôi cơ. Viêm đa cơ do miễn dịch tế bào (CD8+) tấn công trực tiếp sợi cơ."
