id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-thieu-mau-case-1-1,noi,Thiếu máu (chung),Huyết học,"Bệnh nhân nữ 25 tuổi, nhân viên văn phòng, đến khám vì mệt mỏi và chóng mặt ngày càng tăng trong khoảng 3 tháng nay, đặc biệt khi đứng dậy hoặc leo cầu thang. Bệnh nhân cho biết gần đây cảm thấy khó tập trung vào công việc, da xanh xao hơn và thỉnh thoảng hồi hộp. Cô có kinh nguyệt nhiều và kéo dài (rong kinh) trong khoảng 6 tháng qua, phải dùng 5-6 băng vệ sinh mỗi ngày trong 5 ngày đầu của chu kỳ. Tiền sử bản thân và gia đình không có bệnh lý đặc biệt, không dùng thuốc gì. Bệnh nhân không sốt, không đau bụng, không đi ngoài phân đen hay có máu. Khám ý thức tỉnh táo, da niêm mạc nhợt, không vàng da, không phù, không xuất huyết. Sinh hiệu: Mạch 105 lần/phút, Huyết áp 100/60 mmHg, Nhịp thở 18 lần/phút, Nhiệt độ 37°C, SpO₂ 99% khí trời, BMI 19.5 kg/m². Tim nhịp nhanh đều, có tiếng thổi tâm thu 2/6 ở mỏm. Phổi thông khí rõ. Bụng mềm, gan lách không sờ thấy. Cận lâm sàng: Hemoglobin (Hb) 82 g/L, Thể tích trung bình hồng cầu (MCV) 71 fL, Nồng độ huyết sắc tố trung bình hồng cầu (MCHC) 290 g/L, Số lượng bạch cầu 6.5 G/L, Tiểu cầu 280 G/L. Sắt huyết thanh 4.5 μmol/L, Ferritin 8 ng/mL, Transferrin 4.2 g/L, Độ bão hòa transferrin 8%.",Chẩn đoán phù hợp nhất với bệnh nhân này là gì?,Thiếu máu thiếu sắt.,Thiếu máu do tan máu tự miễn.,Thiếu máu do bệnh mạn tính.,Thalassemia thể nhẹ.,,a,"Bệnh nhân có thiếu máu hồng cầu nhỏ, nhược sắc (Hb 82 g/L, MCV 71 fL, MCHC 290 g/L) kèm theo bằng chứng cạn kiệt sắt dự trữ (Sắt huyết thanh giảm, Ferritin rất thấp < 12 ng/mL, độ bão hòa transferrin giảm). Bệnh cảnh rong kinh là nguyên nhân mất máu mạn tính rất điển hình gây thiếu sắt. Chẩn đoán thiếu máu thiếu sắt là phù hợp nhất."
noi-thieu-mau-case-1-2,noi,Thiếu máu (chung),Huyết học,"Bệnh nhân nữ 25 tuổi, nhân viên văn phòng, đến khám vì mệt mỏi và chóng mặt ngày càng tăng trong khoảng 3 tháng nay, đặc biệt khi đứng dậy hoặc leo cầu thang. Bệnh nhân cho biết gần đây cảm thấy khó tập trung vào công việc, da xanh xao hơn và thỉnh thoảng hồi hộp. Cô có kinh nguyệt nhiều và kéo dài (rong kinh) trong khoảng 6 tháng qua, phải dùng 5-6 băng vệ sinh mỗi ngày trong 5 ngày đầu của chu kỳ. Tiền sử bản thân và gia đình không có bệnh lý đặc biệt, không dùng thuốc gì. Bệnh nhân không sốt, không đau bụng, không đi ngoài phân đen hay có máu. Khám ý thức tỉnh táo, da niêm mạc nhợt, không vàng da, không phù, không xuất huyết. Sinh hiệu: Mạch 105 lần/phút, Huyết áp 100/60 mmHg, Nhịp thở 18 lần/phút, Nhiệt độ 37°C, SpO₂ 99% khí trời, BMI 19.5 kg/m². Tim nhịp nhanh đều, có tiếng thổi tâm thu 2/6 ở mỏm. Phổi thông khí rõ. Bụng mềm, gan lách không sờ thấy. Cận lâm sàng: Hemoglobin (Hb) 82 g/L, Thể tích trung bình hồng cầu (MCV) 71 fL, Nồng độ huyết sắc tố trung bình hồng cầu (MCHC) 290 g/L, Số lượng bạch cầu 6.5 G/L, Tiểu cầu 280 G/L. Sắt huyết thanh 4.5 μmol/L, Ferritin 8 ng/mL, Transferrin 4.2 g/L, Độ bão hòa transferrin 8%.","Cơ chế chính gây ra các triệu chứng mệt mỏi, chóng mặt và da xanh ở bệnh nhân là gì?",Giảm thể tích tuần hoàn do mất máu mạn tính.,Giảm khả năng vận chuyển oxy của máu đến các mô.,Tăng phá hủy hồng cầu tại lách.,Suy giảm chức năng tổng hợp globin của tủy xương.,,b,"Cơ chế cốt lõi của thiếu máu là giảm nồng độ hemoglobin, protein chính vận chuyển oxy trong máu. Khi hemoglobin giảm, khả năng cung cấp oxy cho các mô (não, cơ...) bị suy giảm, dẫn đến các triệu chứng mệt mỏi, khó gắng sức, chóng mặt (thiếu oxy não), và da niêm mạc nhợt nhạt do giảm sắc tố đỏ của máu."
noi-thieu-mau-case-1-3,noi,Thiếu máu (chung),Huyết học,"Bệnh nhân nữ 25 tuổi, nhân viên văn phòng, đến khám vì mệt mỏi và chóng mặt ngày càng tăng trong khoảng 3 tháng nay, đặc biệt khi đứng dậy hoặc leo cầu thang. Bệnh nhân cho biết gần đây cảm thấy khó tập trung vào công việc, da xanh xao hơn và thỉnh thoảng hồi hộp. Cô có kinh nguyệt nhiều và kéo dài (rong kinh) trong khoảng 6 tháng qua, phải dùng 5-6 băng vệ sinh mỗi ngày trong 5 ngày đầu của chu kỳ. Tiền sử bản thân và gia đình không có bệnh lý đặc biệt, không dùng thuốc gì. Bệnh nhân không sốt, không đau bụng, không đi ngoài phân đen hay có máu. Khám ý thức tỉnh táo, da niêm mạc nhợt, không vàng da, không phù, không xuất huyết. Sinh hiệu: Mạch 105 lần/phút, Huyết áp 100/60 mmHg, Nhịp thở 18 lần/phút, Nhiệt độ 37°C, SpO₂ 99% khí trời, BMI 19.5 kg/m². Tim nhịp nhanh đều, có tiếng thổi tâm thu 2/6 ở mỏm. Phổi thông khí rõ. Bụng mềm, gan lách không sờ thấy. Cận lâm sàng: Hemoglobin (Hb) 82 g/L, Thể tích trung bình hồng cầu (MCV) 71 fL, Nồng độ huyết sắc tố trung bình hồng cầu (MCHC) 290 g/L, Số lượng bạch cầu 6.5 G/L, Tiểu cầu 280 G/L. Sắt huyết thanh 4.5 μmol/L, Ferritin 8 ng/mL, Transferrin 4.2 g/L, Độ bão hòa transferrin 8%.",Thăm dò nào phù hợp nhất để tìm nguyên nhân rong kinh gây thiếu sắt ở bệnh nhân?,Tủy đồ,Điện di huyết sắc tố,Khám phụ khoa kết hợp siêu âm tiểu khung,Nội soi tiêu hóa trên,,c,"Sau khi xác định thiếu máu thiếu sắt liên quan rong kinh, cần đánh giá nguyên nhân phụ khoa bằng khai thác bệnh sử, khám phụ khoa và siêu âm tiểu khung. Nội soi buồng tử cung chỉ dành cho chỉ định chọn lọc, không phải thăm dò đầu tay thường quy."
noi-thieu-mau-case-1-4,noi,Thiếu máu (chung),Huyết học,"Bệnh nhân nữ 25 tuổi, nhân viên văn phòng, đến khám vì mệt mỏi và chóng mặt ngày càng tăng trong khoảng 3 tháng nay, đặc biệt khi đứng dậy hoặc leo cầu thang. Bệnh nhân cho biết gần đây cảm thấy khó tập trung vào công việc, da xanh xao hơn và thỉnh thoảng hồi hộp. Cô có kinh nguyệt nhiều và kéo dài (rong kinh) trong khoảng 6 tháng qua, phải dùng 5-6 băng vệ sinh mỗi ngày trong 5 ngày đầu của chu kỳ. Tiền sử bản thân và gia đình không có bệnh lý đặc biệt, không dùng thuốc gì. Bệnh nhân không sốt, không đau bụng, không đi ngoài phân đen hay có máu. Khám ý thức tỉnh táo, da niêm mạc nhợt, không vàng da, không phù, không xuất huyết. Sinh hiệu: Mạch 105 lần/phút, Huyết áp 100/60 mmHg, Nhịp thở 18 lần/phút, Nhiệt độ 37°C, SpO₂ 99% khí trời, BMI 19.5 kg/m². Tim nhịp nhanh đều, có tiếng thổi tâm thu 2/6 ở mỏm. Phổi thông khí rõ. Bụng mềm, gan lách không sờ thấy. Cận lâm sàng: Hemoglobin (Hb) 82 g/L, Thể tích trung bình hồng cầu (MCV) 71 fL, Nồng độ huyết sắc tố trung bình hồng cầu (MCHC) 290 g/L, Số lượng bạch cầu 6.5 G/L, Tiểu cầu 280 G/L. Sắt huyết thanh 4.5 μmol/L, Ferritin 8 ng/mL, Transferrin 4.2 g/L, Độ bão hòa transferrin 8%.",Mục tiêu điều trị chính trong giai đoạn đầu cho bệnh nhân này là gì?,Nâng hemoglobin lên mức > 120 g/L ngay lập tức.,Truyền khối hồng cầu để cải thiện triệu chứng.,Tìm và loại bỏ khối u ác tính.,Bù đắp lại lượng sắt dự trữ của cơ thể.,,d,"Trong thiếu máu thiếu sắt, mục tiêu không chỉ là nâng Hb (cải thiện triệu chứng) mà quan trọng hơn là phải phục hồi kho dự trữ sắt của cơ thể (đánh giá qua Ferritin). Nếu chỉ nâng Hb mà không bù đủ sắt dự trữ, bệnh sẽ nhanh chóng tái phát khi ngừng điều trị. Mục tiêu Ferritin thường là > 50 ng/mL."
noi-thieu-mau-case-2-1,noi,Thiếu máu (chung),Huyết học,"A. Thịt đỏ. B. Các loại rau lá xanh đậm (rau bina, bông cải xanh). C. Sữa và các sản phẩm từ sữa. D. Hải sản. chúng rất giống nhau, đặc trưng bởi sự hiện diện của các hồng cầu to, không đều (macro- ovalocytes) và các bạch cầu đa nhân trung tính có nhiều thùy hơn bình thường (> 5 thùy). 4. Điều trị cốt lõi là giải quyết nguyên nhân thiếu hụt. Bệnh nhân cần được bổ sung acid folic bằng đường uống (thường là 5 mg/ngày) và quan trọng nhất là phải được tư vấn và hỗ trợ để cai rượu, đồng thời cải thiện chế độ ăn uống để ngăn ngừa tái phát. 5. Folate (Vitamin B9) có nguồn gốc từ chữ Latin ""folium"" nghĩa là ""lá cây"". Nguồn thực phẩm giàu folate nhất chính là các loại rau có lá màu xanh đậm như rau bina (cải bó xôi), bông cải xanh, măng tây, cũng như các loại đậu và ngũ cốc được bổ sung folate. Bệnh nhân nữ 28 tuổi, không có triệu chứng gì, đi khám sức khỏe định kỳ trước khi kết hôn. Cô không có tiền sử bệnh tật đáng chú ý. Khám lâm sàng hoàn toàn bình thường, da niêm mạc hồng. Kết quả công thức máu thường quy cho thấy: Hb 110 g/L, Số lượng hồng cầu (RBC) 5.8 T/L (tăng nhẹ), MCV 65 fL, MCH 22 pg, RDW 13% (bình thường). Sắt huyết thanh, ferritin, TIBC đều trong giới hạn bình thường.",Tình trạng huyết học của bệnh nhân gợi ý nhiều nhất đến bệnh lý nào?,Thiếu máu thiếu sắt giai đoạn sớm.,Thiếu máu do bệnh mạn tính.,Thalassemia thể ẩn (dị hợp tử).,Mất máu rỉ rả qua đường tiêu hóa.,,c,"Bệnh nhân có tình trạng thiếu máu rất nhẹ (hoặc chỉ là giới hạn thấp của bình thường), nhưng đặc điểm nổi bật là hồng cầu rất nhỏ (MCV 65 fL) trong khi số lượng hồng cầu lại bình thường hoặc tăng (RBC 5.8 T/L). Tình trạng sắt bình thường giúp loại trừ thiếu máu thiếu sắt. Đây là hình ảnh rất điển hình của người mang gen Thalassemia (thể ẩn/dị hợp tử), thường là beta- thalassemia."
noi-thieu-mau-case-2-2,noi,Thiếu máu (chung),Huyết học,"A. Thịt đỏ. B. Các loại rau lá xanh đậm (rau bina, bông cải xanh). C. Sữa và các sản phẩm từ sữa. D. Hải sản. chúng rất giống nhau, đặc trưng bởi sự hiện diện của các hồng cầu to, không đều (macro- ovalocytes) và các bạch cầu đa nhân trung tính có nhiều thùy hơn bình thường (> 5 thùy). 4. Điều trị cốt lõi là giải quyết nguyên nhân thiếu hụt. Bệnh nhân cần được bổ sung acid folic bằng đường uống (thường là 5 mg/ngày) và quan trọng nhất là phải được tư vấn và hỗ trợ để cai rượu, đồng thời cải thiện chế độ ăn uống để ngăn ngừa tái phát. 5. Folate (Vitamin B9) có nguồn gốc từ chữ Latin ""folium"" nghĩa là ""lá cây"". Nguồn thực phẩm giàu folate nhất chính là các loại rau có lá màu xanh đậm như rau bina (cải bó xôi), bông cải xanh, măng tây, cũng như các loại đậu và ngũ cốc được bổ sung folate. Bệnh nhân nữ 28 tuổi, không có triệu chứng gì, đi khám sức khỏe định kỳ trước khi kết hôn. Cô không có tiền sử bệnh tật đáng chú ý. Khám lâm sàng hoàn toàn bình thường, da niêm mạc hồng. Kết quả công thức máu thường quy cho thấy: Hb 110 g/L, Số lượng hồng cầu (RBC) 5.8 T/L (tăng nhẹ), MCV 65 fL, MCH 22 pg, RDW 13% (bình thường). Sắt huyết thanh, ferritin, TIBC đều trong giới hạn bình thường.",Cơ chế bệnh sinh cơ bản của bệnh lý này là gì?,Thiếu hụt nguyên liệu sắt để tổng hợp nhân hem.,Suy giảm khả năng sản xuất của tủy xương.,Tự kháng thể tấn công và phá hủy màng hồng cầu.,Rối loạn tổng hợp một hoặc nhiều chuỗi globin của phân tử hemoglobin.,,d,"Thalassemia là một nhóm bệnh di truyền đặc trưng bởi sự giảm hoặc mất khả năng tổng hợp một chuỗi globin (alpha hoặc beta). Sự mất cân bằng trong sản xuất chuỗi globin dẫn đến việc tạo ra các phân tử hemoglobin bất thường, hồng cầu nhỏ, nhược sắc, dễ vỡ và sinh máu không hiệu quả."
noi-thieu-mau-case-2-3,noi,Thiếu máu (chung),Huyết học,"A. Thịt đỏ. B. Các loại rau lá xanh đậm (rau bina, bông cải xanh). C. Sữa và các sản phẩm từ sữa. D. Hải sản. chúng rất giống nhau, đặc trưng bởi sự hiện diện của các hồng cầu to, không đều (macro- ovalocytes) và các bạch cầu đa nhân trung tính có nhiều thùy hơn bình thường (> 5 thùy). 4. Điều trị cốt lõi là giải quyết nguyên nhân thiếu hụt. Bệnh nhân cần được bổ sung acid folic bằng đường uống (thường là 5 mg/ngày) và quan trọng nhất là phải được tư vấn và hỗ trợ để cai rượu, đồng thời cải thiện chế độ ăn uống để ngăn ngừa tái phát. 5. Folate (Vitamin B9) có nguồn gốc từ chữ Latin ""folium"" nghĩa là ""lá cây"". Nguồn thực phẩm giàu folate nhất chính là các loại rau có lá màu xanh đậm như rau bina (cải bó xôi), bông cải xanh, măng tây, cũng như các loại đậu và ngũ cốc được bổ sung folate. Bệnh nhân nữ 28 tuổi, không có triệu chứng gì, đi khám sức khỏe định kỳ trước khi kết hôn. Cô không có tiền sử bệnh tật đáng chú ý. Khám lâm sàng hoàn toàn bình thường, da niêm mạc hồng. Kết quả công thức máu thường quy cho thấy: Hb 110 g/L, Số lượng hồng cầu (RBC) 5.8 T/L (tăng nhẹ), MCV 65 fL, MCH 22 pg, RDW 13% (bình thường). Sắt huyết thanh, ferritin, TIBC đều trong giới hạn bình thường.",Chỉ số nào sau đây thường được dùng để phân biệt nhanh giữa thiếu máu thiếu sắt và Thalassemia thể ẩn?,Chỉ số Mentzer (MCV/RBC).,Nồng độ hemoglobin (Hb).,Số lượng bạch cầu.,Nồng độ CRP.,,a,"Chỉ số Mentzer, được tính bằng cách lấy MCV (fL) chia cho số lượng hồng cầu (T/L), là một công cụ sàng lọc hữu ích. Nếu chỉ số này < 13, nó gợi ý nhiều đến Thalassemia. Nếu > 13, nó gợi ý nhiều đến thiếu máu thiếu sắt. Trong trường hợp này, 65 / 5.8 ≈ 11.2, gợi ý mạnh mẽ đến Thalassemia."
noi-thieu-mau-case-2-4,noi,Thiếu máu (chung),Huyết học,"A. Thịt đỏ. B. Các loại rau lá xanh đậm (rau bina, bông cải xanh). C. Sữa và các sản phẩm từ sữa. D. Hải sản. chúng rất giống nhau, đặc trưng bởi sự hiện diện của các hồng cầu to, không đều (macro- ovalocytes) và các bạch cầu đa nhân trung tính có nhiều thùy hơn bình thường (> 5 thùy). 4. Điều trị cốt lõi là giải quyết nguyên nhân thiếu hụt. Bệnh nhân cần được bổ sung acid folic bằng đường uống (thường là 5 mg/ngày) và quan trọng nhất là phải được tư vấn và hỗ trợ để cai rượu, đồng thời cải thiện chế độ ăn uống để ngăn ngừa tái phát. 5. Folate (Vitamin B9) có nguồn gốc từ chữ Latin ""folium"" nghĩa là ""lá cây"". Nguồn thực phẩm giàu folate nhất chính là các loại rau có lá màu xanh đậm như rau bina (cải bó xôi), bông cải xanh, măng tây, cũng như các loại đậu và ngũ cốc được bổ sung folate. Bệnh nhân nữ 28 tuổi, không có triệu chứng gì, đi khám sức khỏe định kỳ trước khi kết hôn. Cô không có tiền sử bệnh tật đáng chú ý. Khám lâm sàng hoàn toàn bình thường, da niêm mạc hồng. Kết quả công thức máu thường quy cho thấy: Hb 110 g/L, Số lượng hồng cầu (RBC) 5.8 T/L (tăng nhẹ), MCV 65 fL, MCH 22 pg, RDW 13% (bình thường). Sắt huyết thanh, ferritin, TIBC đều trong giới hạn bình thường.","Xét nghiệm nào là ""tiêu chuẩn vàng"" để xác định chẩn đoán cho bệnh nhân này?",Tủy đồ.,Xét nghiệm gen di truyền.,Siêu âm ổ bụng.,Nội soi đại tràng.,,b,Chẩn đoán xác định Thalassemia và các bệnh hemoglobin khác dựa trên phân tích hemoglobin (điện di) và đặc biệt là xét nghiệm gen để phát hiện các đột biến trên gen globin. Tủy đồ không cần thiết và không đặc hiệu.
noi-thieu-mau-case-3-1,noi,Thiếu máu (chung),Huyết học,"gắn vào và gây thoái giáng ferroportin - protein duy nhất có khả năng vận chuyển sắt ra khỏi tế bào. Bằng cách này, hepcidin (1) ngăn cản các đại thực bào (sau khi tiêu hóa hồng cầu già) giải phóng sắt trở lại tuần hoàn để tái sử dụng, và (2) ngăn cản tế bào niêm mạc tá tràng hấp thu sắt từ thức ăn vào máu. Kết quả là gây ra tình trạng ""thiếu sắt chức năng"". Bệnh nhân nam 65 tuổi, tiền sử đái tháo đường type 2, nhập viện vì mệt và khó thở khi gắng sức. Bệnh nhân được chẩn đoán nhồi máu cơ tim cấp ST chênh lên thành trước, được can thiệp động mạch vành và đặt stent thành công. Sau can thiệp, bệnh nhân được điều trị với liệu pháp kháng tiểu cầu kép (aspirin, clopidogrel), statin, chẹn beta và ức chế men chuyển. Công thức máu lúc nhập viện: Hb 135 g/L. Ba ngày sau, bệnh nhân đột ngột đi ngoài phân đen, sệt và có một lần nôn ra máu đỏ tươi. Khám: da niêm mạc nhợt, vã mồ hôi. Mạch 110 l/p, HA 95/60 mmHg. Công thức máu kiểm tra lại: Hb 85 g/L.",Nguyên nhân chính gây thiếu máu ở bệnh nhân này là gì?,Suy thận cấp do thuốc cản quang.,Chảy máu cấp tính từ đường tiêu hóa.,Tan máu do thuốc.,Suy tủy do tác dụng phụ của thuốc.,,b,"Sự sụt giảm Hb đột ngột từ 135 g/L xuống 85 g/L, cùng với bệnh cảnh lâm sàng nôn máu và đi ngoài phân đen, huyết động không ổn định là bằng chứng rõ ràng của một tình trạng mất máu cấp tính, cụ thể là xuất huyết tiêu hóa cao."
noi-thieu-mau-case-3-2,noi,Thiếu máu (chung),Huyết học,"gắn vào và gây thoái giáng ferroportin - protein duy nhất có khả năng vận chuyển sắt ra khỏi tế bào. Bằng cách này, hepcidin (1) ngăn cản các đại thực bào (sau khi tiêu hóa hồng cầu già) giải phóng sắt trở lại tuần hoàn để tái sử dụng, và (2) ngăn cản tế bào niêm mạc tá tràng hấp thu sắt từ thức ăn vào máu. Kết quả là gây ra tình trạng ""thiếu sắt chức năng"". Bệnh nhân nam 65 tuổi, tiền sử đái tháo đường type 2, nhập viện vì mệt và khó thở khi gắng sức. Bệnh nhân được chẩn đoán nhồi máu cơ tim cấp ST chênh lên thành trước, được can thiệp động mạch vành và đặt stent thành công. Sau can thiệp, bệnh nhân được điều trị với liệu pháp kháng tiểu cầu kép (aspirin, clopidogrel), statin, chẹn beta và ức chế men chuyển. Công thức máu lúc nhập viện: Hb 135 g/L. Ba ngày sau, bệnh nhân đột ngột đi ngoài phân đen, sệt và có một lần nôn ra máu đỏ tươi. Khám: da niêm mạc nhợt, vã mồ hôi. Mạch 110 l/p, HA 95/60 mmHg. Công thức máu kiểm tra lại: Hb 85 g/L.",Yếu tố nào làm tăng nguy cơ chảy máu ở bệnh nhân này nhiều nhất?,Tuổi cao.,Bệnh đái tháo đường.,Sử dụng liệu pháp kháng tiểu cầu kép.,Tình trạng stress sau nhồi máu cơ tim.,,c,"Liệu pháp kháng tiểu cầu kép (aspirin + một thuốc ức chế P2Y12 như clopidogrel) là nền tảng trong điều trị hội chứng vành cấp, nhưng nó làm tăng đáng kể nguy cơ chảy máu, đặc biệt là chảy máu tiêu hóa, do ức chế mạnh chức năng ngưng tập của tiểu cầu."
