id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-suy-thuong-than-man-casen2-1-1,noi,Suy thượng thận mạn,Nội tiết,"TÌNH HUỐNG 1 Bệnh nhân nữ, 35 tuổi, đến khám vì mệt mỏi và sụt cân không rõ nguyên nhân trong khoảng 6 tháng nay. Bệnh nhân khai cảm thấy mệt lả, không có sức lực, đặc biệt là vào buổi chiều, chán ăn, sụt 5kg. Gần đây, bệnh nhân thấy da sạm đen đi nhiều, đặc biệt ở các vùng da hở, nếp gấp lòng bàn tay và niêm mạc miệng có những chấm đen. Bệnh nhân cũng hay có cảm giác thèm ăn mặn và chóng mặt khi thay đổi tư thế. Tiền sử không có bệnh lý đáng chú ý, không dùng thuốc gì. Khám toàn thân ghi nhận bệnh nhân tỉnh, thể trạng gầy, da niêm mạc sạm đen rõ. Sinh hiệu: mạch 90 lần/phút, huyết áp 90/60 mmHg, không sốt. Khám tim, phổi bình thường. Bụng mềm, không đau. Không có triệu chứng nam hóa. Cận lâm sàng: Cortisol máu lúc 8 giờ sáng là 55 nmol/L (rất thấp). Ion đồ máu: Na⁺ 128 mmol/L (giảm), K⁺ 5.5 mmol/L (tăng). Glucose máu 3.8 mmol/L (giảm). ACTH máu 8h sáng là 450 pg/mL (tăng cao).",Chẩn đoán nào là phù hợp nhất với bệnh nhân?,Suy giáp nguyên phát,Hội chứng cận ung thư,Suy thượng thận thứ phát do u tuyến yên,Suy thượng thận nguyên phát mạn tính,,d,"Bệnh cảnh mệt mỏi, sụt cân, hạ huyết áp, sạm da, kết hợp với các rối loạn sinh hóa kinh điển (cortisol máu buổi sáng rất thấp, ACTH tăng cao, hạ Na⁺, tăng K⁺) là rất điển hình cho Suy thượng thận nguyên phát (tổn thương tại tuyến thượng thận)."
noi-suy-thuong-than-man-casen2-1-2,noi,Suy thượng thận mạn,Nội tiết,"TÌNH HUỐNG 1 Bệnh nhân nữ, 35 tuổi, đến khám vì mệt mỏi và sụt cân không rõ nguyên nhân trong khoảng 6 tháng nay. Bệnh nhân khai cảm thấy mệt lả, không có sức lực, đặc biệt là vào buổi chiều, chán ăn, sụt 5kg. Gần đây, bệnh nhân thấy da sạm đen đi nhiều, đặc biệt ở các vùng da hở, nếp gấp lòng bàn tay và niêm mạc miệng có những chấm đen. Bệnh nhân cũng hay có cảm giác thèm ăn mặn và chóng mặt khi thay đổi tư thế. Tiền sử không có bệnh lý đáng chú ý, không dùng thuốc gì. Khám toàn thân ghi nhận bệnh nhân tỉnh, thể trạng gầy, da niêm mạc sạm đen rõ. Sinh hiệu: mạch 90 lần/phút, huyết áp 90/60 mmHg, không sốt. Khám tim, phổi bình thường. Bụng mềm, không đau. Không có triệu chứng nam hóa. Cận lâm sàng: Cortisol máu lúc 8 giờ sáng là 55 nmol/L (rất thấp). Ion đồ máu: Na⁺ 128 mmol/L (giảm), K⁺ 5.5 mmol/L (tăng). Glucose máu 3.8 mmol/L (giảm). ACTH máu 8h sáng là 450 pg/mL (tăng cao).",Cơ chế chính gây ra tình trạng sạm da ở bệnh nhân này là gì?,"Do nồng độ ACTH tăng cao, và tiền chất của nó (POMC) cũng tạo ra MSH, kích thích sản xuất melanin.",Do sự tích tụ bilirubin trong da.,Do nồng độ cortisol thấp kích thích tế bào hắc tố.,Do lắng đọng sắt ở da.,,a,"Trong suy thượng thận nguyên phát, do tuyến thượng thận không sản xuất đủ cortisol, cơ chế phản hồi âm lên tuyến yên bị mất. Tuyến yên sẽ tăng sản xuất pro- opiomelanocortin (POMC), là tiền chất của cả ACTH và MSH (hormone kích thích tế bào hắc tố). Nồng độ ACTH và MSH tăng cao sẽ kích thích các tế bào melanocyte ở da và niêm mạc tăng sản xuất melanin, gây sạm da."
noi-suy-thuong-than-man-casen2-1-3,noi,Suy thượng thận mạn,Nội tiết,"TÌNH HUỐNG 1 Bệnh nhân nữ, 35 tuổi, đến khám vì mệt mỏi và sụt cân không rõ nguyên nhân trong khoảng 6 tháng nay. Bệnh nhân khai cảm thấy mệt lả, không có sức lực, đặc biệt là vào buổi chiều, chán ăn, sụt 5kg. Gần đây, bệnh nhân thấy da sạm đen đi nhiều, đặc biệt ở các vùng da hở, nếp gấp lòng bàn tay và niêm mạc miệng có những chấm đen. Bệnh nhân cũng hay có cảm giác thèm ăn mặn và chóng mặt khi thay đổi tư thế. Tiền sử không có bệnh lý đáng chú ý, không dùng thuốc gì. Khám toàn thân ghi nhận bệnh nhân tỉnh, thể trạng gầy, da niêm mạc sạm đen rõ. Sinh hiệu: mạch 90 lần/phút, huyết áp 90/60 mmHg, không sốt. Khám tim, phổi bình thường. Bụng mềm, không đau. Không có triệu chứng nam hóa. Cận lâm sàng: Cortisol máu lúc 8 giờ sáng là 55 nmol/L (rất thấp). Ion đồ máu: Na⁺ 128 mmol/L (giảm), K⁺ 5.5 mmol/L (tăng). Glucose máu 3.8 mmol/L (giảm). ACTH máu 8h sáng là 450 pg/mL (tăng cao).","Rối loạn điện giải (hạ Natri, tăng Kali) được giải thích bởi sự thiếu hụt hormone nào?",Cortisol,Androgen,Aldosterone,Adrenaline,,c,"Aldosterone là mineralocorticoid chính, có vai trò quan trọng trong việc tái hấp thu Natri và bài tiết Kali ở ống thận. Khi tuyến thượng thận bị phá hủy, sự thiếu hụt Aldosterone sẽ dẫn đến mất Natri và giữ Kali, gây hạ Natri máu và tăng Kali máu."
noi-suy-thuong-than-man-casen2-1-4,noi,Suy thượng thận mạn,Nội tiết,"TÌNH HUỐNG 1 Bệnh nhân nữ, 35 tuổi, đến khám vì mệt mỏi và sụt cân không rõ nguyên nhân trong khoảng 6 tháng nay. Bệnh nhân khai cảm thấy mệt lả, không có sức lực, đặc biệt là vào buổi chiều, chán ăn, sụt 5kg. Gần đây, bệnh nhân thấy da sạm đen đi nhiều, đặc biệt ở các vùng da hở, nếp gấp lòng bàn tay và niêm mạc miệng có những chấm đen. Bệnh nhân cũng hay có cảm giác thèm ăn mặn và chóng mặt khi thay đổi tư thế. Tiền sử không có bệnh lý đáng chú ý, không dùng thuốc gì. Khám toàn thân ghi nhận bệnh nhân tỉnh, thể trạng gầy, da niêm mạc sạm đen rõ. Sinh hiệu: mạch 90 lần/phút, huyết áp 90/60 mmHg, không sốt. Khám tim, phổi bình thường. Bụng mềm, không đau. Không có triệu chứng nam hóa. Cận lâm sàng: Cortisol máu lúc 8 giờ sáng là 55 nmol/L (rất thấp). Ion đồ máu: Na⁺ 128 mmol/L (giảm), K⁺ 5.5 mmol/L (tăng). Glucose máu 3.8 mmol/L (giảm). ACTH máu 8h sáng là 450 pg/mL (tăng cao).",Liệu pháp hormone thay thế nào là bắt buộc và cần được bắt đầu ngay cho bệnh nhân này?,Chỉ cần bổ sung Glucocorticoid (Hydrocortisone).,Phối hợp cả Glucocorticoid và Mineralocorticoid.,Chỉ cần bổ sung Mineralocorticoid (Fludrocortisone).,Dùng thuốc kích thích tuyến yên (CRH).,,b,"Bệnh Addison là tình trạng suy toàn bộ vỏ thượng thận, thiếu hụt cả glucocorticoid và mineralocorticoid. Do đó, điều trị thay thế phải bao gồm cả hai loại hormone này: Hydrocortisone để thay thế cortisol, và Fludrocortisone để thay thế aldosterone."
noi-suy-thuong-than-man-casen2-2-1,noi,Suy thượng thận mạn,Nội tiết,"(không phải tăng nhạy cảm), dẫn đến nguy cơ đái tháo đường. Các ý còn lại (tăng tân tạo đường, dị hóa protein, phân bố lại mỡ) đều đúng. Nguồn: Bài giảng Nội khoa (Đại học Y Hà Nội). TÌNH HUỐNG 17 Bệnh nhân nữ 40 tuổi, vào viện khám vì mệt mỏi, sạm da và sụt cân. Xét nghiệm cortisol máu 8 giờ sáng là 80 nmol/L (thấp), ACTH máu là 450 pg/mL (rất cao). Bác sĩ chẩn đoán suy thượng thận nguyên phát. Tuy nhiên, trước khi bắt đầu điều trị, bệnh nhân xuất hiện hồi hộp, đánh trống ngực, vã mồ hôi và huyết áp tăng vọt lên 180/110 mmHg.","Trong bối cảnh suy thượng thận nguyên phát có kèm cơn tăng huyết áp kịch phát, cần loại trừ bệnh lý phối hợp nào trong hội chứng MEN 2?",U tuyến yên,Ung thư tuyến giáp thể nhú,U tủy thượng thận,U tuyến cận giáp,,c,"Sự kết hợp giữa suy thượng thận và cơn tăng huyết áp gợi ý Pheochromocytoma (u tủy thượng thận), có thể gặp trong các hội chứng đa u nội tiết."
noi-suy-thuong-than-man-casen2-2-2,noi,Suy thượng thận mạn,Nội tiết,"(không phải tăng nhạy cảm), dẫn đến nguy cơ đái tháo đường. Các ý còn lại (tăng tân tạo đường, dị hóa protein, phân bố lại mỡ) đều đúng. Nguồn: Bài giảng Nội khoa (Đại học Y Hà Nội). TÌNH HUỐNG 17 Bệnh nhân nữ 40 tuổi, vào viện khám vì mệt mỏi, sạm da và sụt cân. Xét nghiệm cortisol máu 8 giờ sáng là 80 nmol/L (thấp), ACTH máu là 450 pg/mL (rất cao). Bác sĩ chẩn đoán suy thượng thận nguyên phát. Tuy nhiên, trước khi bắt đầu điều trị, bệnh nhân xuất hiện hồi hộp, đánh trống ngực, vã mồ hôi và huyết áp tăng vọt lên 180/110 mmHg.","Nếu bệnh nhân này có cả suy thượng thận và Pheochromocytoma, trình tự phẫu thuật ưu tiên là gì?",Điều trị suy thượng thận ổn định rồi mới can thiệp u tủy,"Cắt u tủy thượng thận trước, điều trị suy thượng thận sau",Phẫu thuật đồng thời cả hai tuyến thượng thận ngay lập tức,"Chỉ cần điều trị nội khoa, không có chỉ định phẫu thuật",,a,"Phải bù đủ glucocorticoid để bệnh nhân chịu đựng được cuộc đại phẫu, nếu không cuộc mổ u tủy sẽ kích hoạt cơn suy thượng thận cấp gây tử vong trên bàn mổ."
noi-suy-thuong-than-man-casen2-2-3,noi,Suy thượng thận mạn,Nội tiết,"(không phải tăng nhạy cảm), dẫn đến nguy cơ đái tháo đường. Các ý còn lại (tăng tân tạo đường, dị hóa protein, phân bố lại mỡ) đều đúng. Nguồn: Bài giảng Nội khoa (Đại học Y Hà Nội). TÌNH HUỐNG 17 Bệnh nhân nữ 40 tuổi, vào viện khám vì mệt mỏi, sạm da và sụt cân. Xét nghiệm cortisol máu 8 giờ sáng là 80 nmol/L (thấp), ACTH máu là 450 pg/mL (rất cao). Bác sĩ chẩn đoán suy thượng thận nguyên phát. Tuy nhiên, trước khi bắt đầu điều trị, bệnh nhân xuất hiện hồi hộp, đánh trống ngực, vã mồ hôi và huyết áp tăng vọt lên 180/110 mmHg.",Câu nào sau đây là KHÔNG ĐÚNG khi nói về xét nghiệm chẩn đoán suy thượng thận?,Cortisol máu buổi chiều thấp hơn buổi sáng là sinh lý bình thường,Cortisol máu 8h > 500 nmol/L giúp loại trừ chắc chắn suy thượng thận,Suy thượng thận thứ phát luôn kèm theo nồng độ ACTH máu tăng cao,Nghiệm pháp hạ đường huyết bằng insulin là một tiêu chuẩn đánh giá trục nội tiết,,c,"Suy thượng thận thứ phát (tổn thương tại tuyến yên) có ACTH thấp hoặc bình thường (không phù hợp với mức cortisol thấp), chỉ suy nguyên phát ACTH mới tăng cao."
noi-suy-thuong-than-man-casen2-2-4,noi,Suy thượng thận mạn,Nội tiết,"(không phải tăng nhạy cảm), dẫn đến nguy cơ đái tháo đường. Các ý còn lại (tăng tân tạo đường, dị hóa protein, phân bố lại mỡ) đều đúng. Nguồn: Bài giảng Nội khoa (Đại học Y Hà Nội). TÌNH HUỐNG 17 Bệnh nhân nữ 40 tuổi, vào viện khám vì mệt mỏi, sạm da và sụt cân. Xét nghiệm cortisol máu 8 giờ sáng là 80 nmol/L (thấp), ACTH máu là 450 pg/mL (rất cao). Bác sĩ chẩn đoán suy thượng thận nguyên phát. Tuy nhiên, trước khi bắt đầu điều trị, bệnh nhân xuất hiện hồi hộp, đánh trống ngực, vã mồ hôi và huyết áp tăng vọt lên 180/110 mmHg.","Một bệnh nhân suy thượng thận mạn đang dùng thuốc thay thế, nếu có biểu hiện phù chi dưới, tăng huyết áp và hạ kali máu, điều này gợi ý gì?",Liều Fludrocortisone đang quá cao,Liều Glucocorticoid đang bị thiếu,Bệnh nhân ăn quá nhiều muối,Chức năng thận của bệnh nhân bị suy giảm,,a,"Fludrocortisone là mineralocorticoid gây giữ muối nước và thải kali. Các dấu hiệu phù, cao HA, hạ kali là biểu hiện đặc trưng của quá liều thuốc này."
noi-suy-thuong-than-man-casen2-3-1,noi,Suy thượng thận mạn,Nội tiết,"hướng mất Natri qua nước tiểu do thiếu aldosterone, nên việc ăn đủ muối là cực kỳ quan trọng để duy trì thể tích tuần hoàn. Nguồn: CURRENT Medical Diagnosis & Treatment 2026. TÌNH HUỐNG 18 Bệnh nhân nam 19 tuổi, vào viện vì đau bụng cấp, nôn mửa và tụt huyết áp. Khám thấy bệnh nhân rất gầy, bộ phận sinh dục kém phát triển, không có lông mu, lông nách. Da trắng xanh, không sạm da. Tiền sử từ nhỏ hay đau đầu, nhìn mờ. Xét nghiệm: Cortisol 8h: 40 nmol/L, ACTH: 5 pg/mL, Na+ 132 mmol/L, K+ 3.8 mmol/L. MRI sọ não thấy hình ảnh khối u vùng hố yên chèn ép tuyến yên.",Chẩn đoán phù hợp nhất ở bệnh nhân này là gì?,Suy thượng thận nguyên phát cấp tính,Suy thượng thận thứ phát đơn thuần,Hội chứng Nelson sau cắt thượng thận,Suy đa tuyến yên,,d,Bệnh nhân có u tuyến yên gây thiếu hụt ACTH (suy thượng thận thứ phát) kèm theo các dấu hiệu thiếu hụt gonadotropin (kém phát triển sinh dục) hướng tới suy đa tuyến yên.
noi-suy-thuong-than-man-casen2-3-2,noi,Suy thượng thận mạn,Nội tiết,"hướng mất Natri qua nước tiểu do thiếu aldosterone, nên việc ăn đủ muối là cực kỳ quan trọng để duy trì thể tích tuần hoàn. Nguồn: CURRENT Medical Diagnosis & Treatment 2026. TÌNH HUỐNG 18 Bệnh nhân nam 19 tuổi, vào viện vì đau bụng cấp, nôn mửa và tụt huyết áp. Khám thấy bệnh nhân rất gầy, bộ phận sinh dục kém phát triển, không có lông mu, lông nách. Da trắng xanh, không sạm da. Tiền sử từ nhỏ hay đau đầu, nhìn mờ. Xét nghiệm: Cortisol 8h: 40 nmol/L, ACTH: 5 pg/mL, Na+ 132 mmol/L, K+ 3.8 mmol/L. MRI sọ não thấy hình ảnh khối u vùng hố yên chèn ép tuyến yên.",Tại sao nồng độ Kali máu ở bệnh nhân này lại ở mức bình thường (không tăng)?,Do bệnh nhân nôn nhiều làm mất kali qua dịch vị,Do trục Renin-Angiotensin-Aldosterone vẫn còn hoạt động bình thường,Do nồng độ ACTH thấp gây giữ kali tại tế bào,Do bệnh nhân đang bị thoát dịch vào khoang thứ ba,,b,"Trong suy thứ phát, aldosterone vẫn được duy trì bởi hệ RAA, do đó không có tình trạng mất muối-giữ kali điển hình như trong bệnh Addison."
