id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-hc-cushing-case-1-1,noi,HC Cushing và bệnh Cushing,Nội tiết,"TÌNH HUỐNG 1 Bệnh nhân nữ, 34 tuổi, là nhân viên văn phòng, đến khám vì tăng cân và thay đổi ngoại hình trong khoảng 1 năm nay. Bệnh nhân khai tăng khoảng 10kg chủ yếu ở vùng bụng và mặt, trong khi tay chân lại gầy đi. Da mặt bệnh nhân trở nên tròn, đỏ, xuất hiện nhiều mụn trứng cá và rậm lông. Bệnh nhân cũng thấy xuất hiện các vết rạn da màu tím đỏ ở vùng bụng dưới và đùi, dễ bị bầm tím khi va chạm nhẹ, kèm theo yếu cơ gốc chi (khó đứng lên ngồi xuống). Gần đây bệnh nhân được chẩn đoán tăng huyết áp và đái tháo đường type 2. Bệnh nhân không sử dụng bất kỳ loại thuốc nào chứa corticoid. Khám ghi nhận bệnh nhân tỉnh, tiếp xúc tốt, có bộ mặt Cushing điển hình: mặt tròn đỏ như mặt trăng, bướu mỡ sau gáy, béo trung tâm, chi teo. Sinh hiệu: mạch 90 lần/phút, huyết áp 150/95 mmHg. Khám da có các vết rạn da tím rộng >1cm, rậm lông và mụn trứng cá ở mặt. Sức cơ gốc chi 4/5. Cận lâm sàng: Cortisol máu 8h sáng là 650 nmol/L, Cortisol nước tiểu 24 giờ tăng gấp 3 lần giới hạn trên của mức bình thường. Nghiệm pháp ức chế bằng Dexamethasone liều thấp (1mg qua đêm) cho thấy Cortisol máu 8h sáng hôm sau không bị ức chế (580 nmol/L).",Bệnh cảnh của bệnh nhân được gọi là gì?,Hội chứng Cushing,Hội chứng chuyển hóa,Hội chứng buồng trứng đa nang,Suy giáp,,a,"Bệnh nhân có đầy đủ các triệu chứng và dấu hiệu kinh điển của tình trạng tăng cortisol mạn tính (béo trung tâm, mặt tròn, rạn da tím, yếu cơ...), được xác nhận bằng các xét nghiệm sàng lọc. Đây là bệnh cảnh của Hội chứng Cushing."
noi-hc-cushing-case-1-2,noi,HC Cushing và bệnh Cushing,Nội tiết,"TÌNH HUỐNG 1 Bệnh nhân nữ, 34 tuổi, là nhân viên văn phòng, đến khám vì tăng cân và thay đổi ngoại hình trong khoảng 1 năm nay. Bệnh nhân khai tăng khoảng 10kg chủ yếu ở vùng bụng và mặt, trong khi tay chân lại gầy đi. Da mặt bệnh nhân trở nên tròn, đỏ, xuất hiện nhiều mụn trứng cá và rậm lông. Bệnh nhân cũng thấy xuất hiện các vết rạn da màu tím đỏ ở vùng bụng dưới và đùi, dễ bị bầm tím khi va chạm nhẹ, kèm theo yếu cơ gốc chi (khó đứng lên ngồi xuống). Gần đây bệnh nhân được chẩn đoán tăng huyết áp và đái tháo đường type 2. Bệnh nhân không sử dụng bất kỳ loại thuốc nào chứa corticoid. Khám ghi nhận bệnh nhân tỉnh, tiếp xúc tốt, có bộ mặt Cushing điển hình: mặt tròn đỏ như mặt trăng, bướu mỡ sau gáy, béo trung tâm, chi teo. Sinh hiệu: mạch 90 lần/phút, huyết áp 150/95 mmHg. Khám da có các vết rạn da tím rộng >1cm, rậm lông và mụn trứng cá ở mặt. Sức cơ gốc chi 4/5. Cận lâm sàng: Cortisol máu 8h sáng là 650 nmol/L, Cortisol nước tiểu 24 giờ tăng gấp 3 lần giới hạn trên của mức bình thường. Nghiệm pháp ức chế bằng Dexamethasone liều thấp (1mg qua đêm) cho thấy Cortisol máu 8h sáng hôm sau không bị ức chế (580 nmol/L).",Cơ chế chính gây ra tình trạng yếu cơ và teo cơ gốc chi ở bệnh nhân này là gì?,Bệnh lý thần kinh do đái tháo đường.,Hạ kali máu gây liệt cơ.,Chèn ép rễ thần kinh do loãng xương cột sống.,Tác dụng dị hóa protein của Cortisol dư thừa.,,d,"Cortisol là một hormone dị hóa mạnh. Khi nồng độ tăng cao kéo dài, nó sẽ thúc đẩy quá trình phân giải protein ở các mô, đặc biệt là ở cơ vân, gây mất khối lượng cơ, teo cơ và yếu cơ, chủ yếu ở các cơ lớn của gốc chi."
noi-hc-cushing-case-1-3,noi,HC Cushing và bệnh Cushing,Nội tiết,"TÌNH HUỐNG 1 Bệnh nhân nữ, 34 tuổi, là nhân viên văn phòng, đến khám vì tăng cân và thay đổi ngoại hình trong khoảng 1 năm nay. Bệnh nhân khai tăng khoảng 10kg chủ yếu ở vùng bụng và mặt, trong khi tay chân lại gầy đi. Da mặt bệnh nhân trở nên tròn, đỏ, xuất hiện nhiều mụn trứng cá và rậm lông. Bệnh nhân cũng thấy xuất hiện các vết rạn da màu tím đỏ ở vùng bụng dưới và đùi, dễ bị bầm tím khi va chạm nhẹ, kèm theo yếu cơ gốc chi (khó đứng lên ngồi xuống). Gần đây bệnh nhân được chẩn đoán tăng huyết áp và đái tháo đường type 2. Bệnh nhân không sử dụng bất kỳ loại thuốc nào chứa corticoid. Khám ghi nhận bệnh nhân tỉnh, tiếp xúc tốt, có bộ mặt Cushing điển hình: mặt tròn đỏ như mặt trăng, bướu mỡ sau gáy, béo trung tâm, chi teo. Sinh hiệu: mạch 90 lần/phút, huyết áp 150/95 mmHg. Khám da có các vết rạn da tím rộng >1cm, rậm lông và mụn trứng cá ở mặt. Sức cơ gốc chi 4/5. Cận lâm sàng: Cortisol máu 8h sáng là 650 nmol/L, Cortisol nước tiểu 24 giờ tăng gấp 3 lần giới hạn trên của mức bình thường. Nghiệm pháp ức chế bằng Dexamethasone liều thấp (1mg qua đêm) cho thấy Cortisol máu 8h sáng hôm sau không bị ức chế (580 nmol/L).","Sau khi xác nhận tăng cortisol nội sinh, xét nghiệm nào giúp phân loại nguyên nhân bước đầu?",Lặp lại Dexamethasone liều thấp.,Chụp CT tuyến thượng thận ngay.,Định lượng ACTH huyết tương.,Sinh thiết vùng rạn da.,,c,"ACTH giúp phân loại hội chứng Cushing thành phụ thuộc ACTH và không phụ thuộc ACTH, từ đó định hướng thăm dò hình ảnh tiếp theo. Chụp hình trước khi phân loại sinh hóa có thể dẫn đến diễn giải sai tổn thương tình cờ."
noi-hc-cushing-case-1-4,noi,HC Cushing và bệnh Cushing,Nội tiết,"TÌNH HUỐNG 1 Bệnh nhân nữ, 34 tuổi, là nhân viên văn phòng, đến khám vì tăng cân và thay đổi ngoại hình trong khoảng 1 năm nay. Bệnh nhân khai tăng khoảng 10kg chủ yếu ở vùng bụng và mặt, trong khi tay chân lại gầy đi. Da mặt bệnh nhân trở nên tròn, đỏ, xuất hiện nhiều mụn trứng cá và rậm lông. Bệnh nhân cũng thấy xuất hiện các vết rạn da màu tím đỏ ở vùng bụng dưới và đùi, dễ bị bầm tím khi va chạm nhẹ, kèm theo yếu cơ gốc chi (khó đứng lên ngồi xuống). Gần đây bệnh nhân được chẩn đoán tăng huyết áp và đái tháo đường type 2. Bệnh nhân không sử dụng bất kỳ loại thuốc nào chứa corticoid. Khám ghi nhận bệnh nhân tỉnh, tiếp xúc tốt, có bộ mặt Cushing điển hình: mặt tròn đỏ như mặt trăng, bướu mỡ sau gáy, béo trung tâm, chi teo. Sinh hiệu: mạch 90 lần/phút, huyết áp 150/95 mmHg. Khám da có các vết rạn da tím rộng >1cm, rậm lông và mụn trứng cá ở mặt. Sức cơ gốc chi 4/5. Cận lâm sàng: Cortisol máu 8h sáng là 650 nmol/L, Cortisol nước tiểu 24 giờ tăng gấp 3 lần giới hạn trên của mức bình thường. Nghiệm pháp ức chế bằng Dexamethasone liều thấp (1mg qua đêm) cho thấy Cortisol máu 8h sáng hôm sau không bị ức chế (580 nmol/L).",Đặc điểm nào điển hình cho rạn da do hội chứng Cushing?,"Rạn trắng nhỏ, da xung quanh bình thường.","Rạn đỏ tím, rộng và kèm da mỏng.",Rạn chỉ xuất hiện ở vùng bụng.,Rạn do phù bạch huyết tại chỗ.,,b,"Rạn da Cushing thường đỏ tím, rộng, liên quan teo da và mô liên kết do cortisol. Rạn sinh lý do tăng cân hoặc thai kỳ thường nhạt màu và hẹp hơn."
noi-hc-cushing-case-2-1,noi,HC Cushing và bệnh Cushing,Nội tiết,"nguyệt thứ hai là thời điểm ổn định nhất, tránh nguy cơ sảy thai (tháng đầu) hoặc đẻ non (tháng cuối). C. Chờ sau khi sinh xong 6 tháng D. Ba tháng giữa thai kỳ TÌNH HUỐNG 19 Bệnh nhân nam 48 tuổi, vào viện vì đau đầu dữ dội đột ngột, nhìn mờ và sụp mi mắt phải. Bệnh nhân có tiền sử bệnh Cushing đã được chẩn đoán nhưng chưa điều trị phẫu thuật. Khám: HA 90/60 mmHg, mạch 110 l/p. MRI não thấy hình ảnh khối u tuyến yên kích thước 15mm có vùng xuất huyết bên trong.",Biến chứng cấp tính nào đang xảy ra ở bệnh nhân này?,Nhồi máu não diện rộng,Xuất huyết não do tăng huyết áp,Đột quỵ tuyến yên (Pituitary apoplexy),Viêm màng não mủ,,c,Xuất huyết hoặc nhồi máu khối u tuyến yên là tình trạng cấp cứu nội khoa và ngoại khoa gọi là đột quỵ tuyến yên.
noi-hc-cushing-case-2-2,noi,HC Cushing và bệnh Cushing,Nội tiết,"nguyệt thứ hai là thời điểm ổn định nhất, tránh nguy cơ sảy thai (tháng đầu) hoặc đẻ non (tháng cuối). C. Chờ sau khi sinh xong 6 tháng D. Ba tháng giữa thai kỳ TÌNH HUỐNG 19 Bệnh nhân nam 48 tuổi, vào viện vì đau đầu dữ dội đột ngột, nhìn mờ và sụp mi mắt phải. Bệnh nhân có tiền sử bệnh Cushing đã được chẩn đoán nhưng chưa điều trị phẫu thuật. Khám: HA 90/60 mmHg, mạch 110 l/p. MRI não thấy hình ảnh khối u tuyến yên kích thước 15mm có vùng xuất huyết bên trong.",Tại sao bệnh nhân lại có biểu hiện sụp mi và nhìn mờ?,Do phù não diện rộng,Do khối u chèn ép,Do tăng áp lực nội nhãn,Do hạ đường huyết nặng,,b,"Tuyến yên nằm sát giao thoa thị giác và xoang hang chứa các dây thần kinh vận nhãn (III, IV, VI). Khối u to lên đột ngột gây chèn ép các cấu trúc này."
noi-hc-cushing-case-2-3,noi,HC Cushing và bệnh Cushing,Nội tiết,"nguyệt thứ hai là thời điểm ổn định nhất, tránh nguy cơ sảy thai (tháng đầu) hoặc đẻ non (tháng cuối). C. Chờ sau khi sinh xong 6 tháng D. Ba tháng giữa thai kỳ TÌNH HUỐNG 19 Bệnh nhân nam 48 tuổi, vào viện vì đau đầu dữ dội đột ngột, nhìn mờ và sụp mi mắt phải. Bệnh nhân có tiền sử bệnh Cushing đã được chẩn đoán nhưng chưa điều trị phẫu thuật. Khám: HA 90/60 mmHg, mạch 110 l/p. MRI não thấy hình ảnh khối u tuyến yên kích thước 15mm có vùng xuất huyết bên trong.",Xử trí thuốc ưu tiên hàng đầu trong bối cảnh cấp cứu này là gì?,Glucocorticoid (Dexamethasone hoặc Hydrocortisone) liều cao tĩnh mạch,Insulin truyền tĩnh mạch,Thuốc hạ huyết áp kịch phát,Kháng sinh phổ rộng,,a,Cần bù ngay glucocorticoid để chống sốc do suy thượng thận cấp và giảm phù nề vùng tuyến yên.
noi-hc-cushing-case-2-4,noi,HC Cushing và bệnh Cushing,Nội tiết,"nguyệt thứ hai là thời điểm ổn định nhất, tránh nguy cơ sảy thai (tháng đầu) hoặc đẻ non (tháng cuối). C. Chờ sau khi sinh xong 6 tháng D. Ba tháng giữa thai kỳ TÌNH HUỐNG 19 Bệnh nhân nam 48 tuổi, vào viện vì đau đầu dữ dội đột ngột, nhìn mờ và sụp mi mắt phải. Bệnh nhân có tiền sử bệnh Cushing đã được chẩn đoán nhưng chưa điều trị phẫu thuật. Khám: HA 90/60 mmHg, mạch 110 l/p. MRI não thấy hình ảnh khối u tuyến yên kích thước 15mm có vùng xuất huyết bên trong.",Tại sao huyết áp của bệnh nhân lại thấp (90/60 mmHg) mặc dù có tiền sử Cushing?,Do sốc phản vệ với thuốc,Do tim bị ép cấp,Do mất máu vào khoang dưới nhện,Do mất chức năng đột ngột các tế bào tiết ACTH,,d,"Đột quỵ phá hủy các tế bào tiết ACTH còn lại, gây ra tình trạng thiếu hụt cortisol nội sinh đột ngột. gây suy thượng thận cấp"
noi-hc-cushing-case-3-1,noi,HC Cushing và bệnh Cushing,Nội tiết,"thức, cần phẫu thuật giải ép ngay để bảo tồn thị lực cho bệnh nhân. TÌNH HUỐNG 20 Chọn tập hợp đúng về các thuốc điều trị nội khoa hội chứng Cushing: (1) Ketoconazole ức chế enzyme tổng hợp steroid ở thượng thận. (2) Pasireotide là một đồng vận thụ thể Somatostatin tác động tại tuyến yên. (3) Mifepristone đối kháng trực tiếp tại thụ thể Cortisol (GR). (4) Mitotane là thuốc gây độc tế bào vỏ thượng thận dùng trong ung thư thượng thận.","Chọn tập hợp đúng về thuốc điều trị nội khoa hội chứng Cushing: (1) Ketoconazole ức chế tổng hợp steroid, (2) Pasireotide tác động tại tuyến yên, (3) Mifepristone đối kháng thụ thể glucocorticoid, (4) Mitotane gây độc tế bào vỏ thượng thận.","(1), (2), (3)","(1), (3), (4)","(1), (2), (3), (4)","(2), (3), (4)",,c,Bốn mệnh đề đều đúng: ketoconazole ức chế steroidogenesis; pasireotide tác động lên thụ thể somatostatin tại u tuyến yên; mifepristone đối kháng thụ thể glucocorticoid; mitotane có tác dụng hủy vỏ thượng thận và được dùng trong ung thư vỏ thượng thận.
noi-hc-cushing-case-3-2,noi,HC Cushing và bệnh Cushing,Nội tiết,"thức, cần phẫu thuật giải ép ngay để bảo tồn thị lực cho bệnh nhân. TÌNH HUỐNG 20 Chọn tập hợp đúng về các thuốc điều trị nội khoa hội chứng Cushing: (1) Ketoconazole ức chế enzyme tổng hợp steroid ở thượng thận. (2) Pasireotide là một đồng vận thụ thể Somatostatin tác động tại tuyến yên. (3) Mifepristone đối kháng trực tiếp tại thụ thể Cortisol (GR). (4) Mitotane là thuốc gây độc tế bào vỏ thượng thận dùng trong ung thư thượng thận.",Thuốc nào cần theo dõi chức năng gan chặt chẽ do nguy cơ độc tế bào gan cao?,Pasireotide,Mifepristone,Ketoconazole,Spironolactone,,c,"Ketoconazole có thể gây viêm gan nhiễm độc nặng, cần kiểm tra men gan định kỳ."
noi-hc-cushing-case-3-3,noi,HC Cushing và bệnh Cushing,Nội tiết,"thức, cần phẫu thuật giải ép ngay để bảo tồn thị lực cho bệnh nhân. TÌNH HUỐNG 20 Chọn tập hợp đúng về các thuốc điều trị nội khoa hội chứng Cushing: (1) Ketoconazole ức chế enzyme tổng hợp steroid ở thượng thận. (2) Pasireotide là một đồng vận thụ thể Somatostatin tác động tại tuyến yên. (3) Mifepristone đối kháng trực tiếp tại thụ thể Cortisol (GR). (4) Mitotane là thuốc gây độc tế bào vỏ thượng thận dùng trong ung thư thượng thận.",Cơ chế gây tăng đường huyết là tác dụng phụ đặc trưng của thuốc nào?,Ketoconazole,Pasireotide,Metyrapone,Etomidate,,b,Pasireotide gắn vào thụ thể SSTR5 trên tế bào tuyến yên nhưng cũng ức chế tiết insulin từ tế bào beta đảo tụy gây tăng đường huyết.
noi-hc-cushing-case-3-4,noi,HC Cushing và bệnh Cushing,Nội tiết,"thức, cần phẫu thuật giải ép ngay để bảo tồn thị lực cho bệnh nhân. TÌNH HUỐNG 20 Chọn tập hợp đúng về các thuốc điều trị nội khoa hội chứng Cushing: (1) Ketoconazole ức chế enzyme tổng hợp steroid ở thượng thận. (2) Pasireotide là một đồng vận thụ thể Somatostatin tác động tại tuyến yên. (3) Mifepristone đối kháng trực tiếp tại thụ thể Cortisol (GR). (4) Mitotane là thuốc gây độc tế bào vỏ thượng thận dùng trong ung thư thượng thận.",Tại sao Mifepristone làm giảm triệu chứng Cushing nhưng lại làm nồng độ Cortisol máu tăng lên?,Do thuốc kích thích thượng thận tiết thêm cortisol,Do thuốc gắn vào protein làm cortisol không bị đào thải,"Do thuốc chặn thụ thể khiến cơ thể mất cơ chế feedback âm tính, tăng tiết ACTH và Cortisol nội sinh",Do sai số xét nghiệm hóa phát quang,,c,"Mifepristone chặn thụ thể tại đích, tuyến yên không cảm nhận được cortisol nên tiếp tục tiết ACTH kích thích thượng thận, làm nồng độ cortisol máu tăng vọt dù lâm sàng cải thiện."
