id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-benh-mm-ngoai-vi-mcq-001,noi,Bệnh MM ngoại vi,Tim mạch,,Nguyên nhân phổ biến nhất gây bệnh động mạch chi dưới mạn tính là gì?,Viêm mạch máu,Xơ vữa động mạch,Bệnh Buerger,Loạn sản sợi cơ,,b,Xơ vữa động mạch là nguyên nhân hàng đầu (chiếm >90%) gây hẹp hoặc tắc nghẽn mạn tính hệ thống động mạch ngoại vi. Điểm mấu chốt: Luôn nghĩ đến xơ vữa đầu tiên khi gặp bệnh nhân lớn tuổi có yếu tố nguy cơ tim mạch. Nguồn: Bệnh học nội khoa YHN.
noi-benh-mm-ngoai-vi-mcq-002,noi,Bệnh MM ngoại vi,Tim mạch,,Yếu tố nguy cơ nào sau đây có mối liên quan mạnh mẽ nhất với sự phát triển của bệnh động mạch ngoại vi (PAD)?,Đái tháo đường,Tăng huyết áp,Hút thuốc lá,Rối loạn lipid máu,,c,"Hút thuốc lá làm tăng nguy cơ mắc PAD lên gấp 2-6 lần và tăng nguy cơ cắt cụt chi. Mặc dù đái tháo đường cũng là yếu tố nguy cơ rất mạnh, hút thuốc lá thường được coi là yếu tố nguy cơ độc lập hàng đầu. Điểm mấu chốt: Cai thuốc lá là can thiệp quan trọng nhất."
noi-benh-mm-ngoai-vi-mcq-003,noi,Bệnh MM ngoại vi,Tim mạch,,Nhóm đối tượng nào sau đây có đặc điểm dịch tễ đặc trưng nhất của bệnh Buerger (viêm mạch huyết khối nghẽn)?,Nữ giới trẻ tuổi có thai,Nam giới trẻ tuổi hút thuốc lá,Phụ nữ mãn kinh mắc đái tháo đường,Nam giới cao tuổi có tăng huyết áp,,b,"Bệnh Buerger (Thromboangiitis obliterans) gần như luôn xảy ra ở nam giới dưới 45 tuổi có tiền sử nghiện thuốc lá nặng. Điểm mấu chốt: Yếu tố ""nam giới, trẻ, hút thuốc"" là từ khóa kinh điển để chẩn đoán Buerger."
noi-benh-mm-ngoai-vi-mcq-004,noi,Bệnh MM ngoại vi,Tim mạch,,Vị trí giải phẫu nào sau đây là nơi thường bị tổn thương xơ vữa nhất trong bệnh động mạch chi dưới mạn tính?,Động mạch chậu chung,Động mạch đùi nông,Động mạch khoeo,Động mạch chày trước,,b,Động mạch đùi nông ở vị trí ống Hunter là vị trí phổ biến nhất bị hẹp tắc do xơ vữa. Điểm mấu chốt: Bệnh nhân thường biểu hiện đau cách hồi ở bắp chân do tắc mạch đùi nông.
noi-benh-mm-ngoai-vi-mcq-005,noi,Bệnh MM ngoại vi,Tim mạch,,Yếu tố nào sau đây KHÔNG thuộc tam chứng Virchow trong cơ chế hình thành huyết khối tĩnh mạch?,Tổn thương lớp nội mạc,Tình trạng tăng đông,Tăng áp lực thủy tĩnh tĩnh mạch,Ứ trệ dòng máu,,c,"Tam chứng Virchow kinh điển gồm 3 yếu tố: ứ trệ dòng máu, tổn thương nội mạc và tình trạng tăng đông. Tăng áp lực thủy tĩnh liên quan đến suy tĩnh mạch, không trực tiếp hình thành huyết khối."
noi-benh-mm-ngoai-vi-mcq-006,noi,Bệnh MM ngoại vi,Tim mạch,,Thiếu máu cục bộ chi trầm trọng (CLI) được định nghĩa bao gồm các biểu hiện nào sau đây?,Đau cách hồi xuất hiện ở khoảng cách dưới 50 mét,"Đau chi khi nghỉ ngơi hoặc có loét, hoại tử",Mất mạch ngoại vi kèm tê bì nhẹ ngón chân,Tím chi khi để thõng và nhợt nhạt khi nâng cao,,b,"Định nghĩa CLI bắt buộc phải có biểu hiện thiếu máu đe dọa mất chi: đau khi nghỉ (thường về đêm) hoặc tổn thương mô (loét, hoại tử). Điểm mấu chốt: CLI là giai đoạn cuối cần can thiệp tái tưới máu khẩn cấp."
noi-benh-mm-ngoai-vi-mcq-007,noi,Bệnh MM ngoại vi,Tim mạch,,"Trong cơ chế bệnh sinh của xơ vữa động mạch, tế bào nào sau đây đóng vai trò nòng cốt trong việc hình thành ""tế bào bọt"" (foam cell)?",Tế bào nội mô,Đại thực bào,Tế bào cơ trơn,Bạch cầu lympho,,b,"Đại thực bào thực bào các phân tử LDL-C bị oxy hóa ở lớp dưới nội mạc, tích tụ lipid và biến thành tế bào bọt, tạo thành vệt mỡ. Điểm mấu chốt: Sự hình thành tế bào bọt là bước khởi đầu của mảng xơ vữa."
noi-benh-mm-ngoai-vi-mcq-008,noi,Bệnh MM ngoại vi,Tim mạch,,"Cơ chế sinh lý bệnh cốt lõi gây ra triệu chứng ""đau cách hồi"" là gì?",Viêm dây thần kinh ngoại vi do thiếu máu,Co thắt động mạch đột ngột khi vận động,Mất cân bằng cung cầu oxy cơ vân khi gắng sức,Chèn ép rễ thần kinh tủy sống khi đi lại,,c,"Khi gắng sức, nhu cầu oxy của cơ tăng nhưng dòng máu không thể tăng tương ứng do hẹp động mạch, dẫn đến chuyển hóa yếm khí sinh acid lactic gây đau. Khi nghỉ, cung cầu cân bằng lại nên hết đau."
noi-benh-mm-ngoai-vi-mcq-009,noi,Bệnh MM ngoại vi,Tim mạch,,"Sự khác biệt cơ bản về mặt cơ chế giữa tắc động mạch cấp do ""huyết khối tại chỗ"" và do ""thuyên tắc"" là gì?","Thuyên tắc luôn xảy ra trên mạch máu bình thường, huyết khối tại chỗ xảy ra trên mảng xơ vữa","Thuyên tắc do cục máu đông từ tim di chuyển đến, huyết khối tại chỗ hình thành trên mảng xơ vữa vỡ","Thuyên tắc chỉ gây thiếu máu mạn tính, huyết khối tại chỗ gây thiếu máu cấp tính","Thuyên tắc chứa nhiều tiểu cầu, huyết khối tại chỗ chứa nhiều fibrin",,b,"Thuyên tắc (embolism) chủ yếu từ tim (rung nhĩ, nhồi máu cơ tim) trôi đến kẹt ở động mạch ngoại vi. Huyết khối tại chỗ (thrombosis) hình thành do vỡ mảng xơ vữa có sẵn. Nguồn: Bệnh học nội khoa YHN."
noi-benh-mm-ngoai-vi-mcq-010,noi,Bệnh MM ngoại vi,Tim mạch,,Đặc điểm giải phẫu bệnh nào sau đây là đặc trưng của bệnh Buerger để phân biệt với xơ vữa động mạch?,Có lõi lipid và tế bào bọt ở lớp áo trong,"Viêm mạch máu toàn lớp lan tỏa, không có xơ vữa",Tích tụ canxi ở lớp áo giữa của động mạch,Phì đại lớp áo ngoài kèm thâm nhiễm bạch cầu ái toan,,b,"Buerger là tình trạng viêm mạch (cả động mạch và tĩnh mạch nhỏ, vừa) lan tỏa cả 3 lớp (panangiitis) gây huyết khối mà hoàn toàn KHÔNG có mảng xơ vữa hay lõi lipid."
noi-benh-mm-ngoai-vi-mcq-011,noi,Bệnh MM ngoại vi,Tim mạch,,Cơ chế chính gây hội chứng hậu huyết khối (Post- thrombotic syndrome) sau huyết khối tĩnh mạch sâu là gì?,Sự tái thông hoàn toàn của tĩnh mạch bị tắc,Tăng sinh cơ trơn thành tĩnh mạch gây hẹp lòng mạch mạn tính,Tổn thương phá hủy van tĩnh mạch kết hợp tắc nghẽn tồn dư,Phình rách tĩnh mạch nông do tăng áp lực,,c,"Huyết khối gây phá hủy các lá van tĩnh mạch (gây trào ngược) và để lại tắc nghẽn mạn tính, dẫn đến tăng áp lực tĩnh mạch kéo dài, gây phù, đau và biến đổi da."
noi-benh-mm-ngoai-vi-mcq-012,noi,Bệnh MM ngoại vi,Tim mạch,,Hiện tượng Raynaud có cơ chế sinh lý bệnh bắt nguồn từ rối loạn nào?,Hẹp cơ học các nhánh động mạch ngón tay do xơ vữa,Co thắt quá mức các động mạch nhỏ và tiểu động mạch khi gặp lạnh hoặc stress,Viêm tắc các vi mạch ở đầu ngón do phức hợp miễn dịch,Tắc mạch vi mạch do tăng tiểu cầu tiên phát,,b,"Raynaud là tình trạng co thắt mạch (vasospasm) kịch phát của các động mạch ở ngón tay/ngón chân do lạnh hoặc xúc cảm, gây ra chuỗi thay đổi màu sắc: trắng (thiếu máu), xanh (tím tái), đỏ (xung huyết phản ứng)."
noi-benh-mm-ngoai-vi-mcq-013,noi,Bệnh MM ngoại vi,Tim mạch,,"Trong suy tĩnh mạch mạn tính chi dưới, cơ chế nào giải thích cho tình trạng sạm da (hyperpigmentation) ở vùng cẳng chân dưới?",Lắng đọng melanin do tiếp xúc ánh sáng mặt trời,Thoát hồng cầu ra ngoài mao mạch và phân hủy thành hemosiderin,Tăng sinh hắc tố bào do phản ứng viêm mạn tính,Lắng đọng phức hợp miễn dịch tại lớp bì,,b,"Tăng áp lực tĩnh mạch mạn tính làm hồng cầu thoát ra mô mô kẽ. Đại thực bào phân hủy hồng cầu tạo ra hemosiderin chứa sắt, gây sạm da đặc trưng ở vùng 1/3 dưới cẳng chân."
noi-benh-mm-ngoai-vi-mcq-014,noi,Bệnh MM ngoại vi,Tim mạch,,Đặc điểm nào sau đây mô tả ĐÚNG NHẤT tính chất của cơn đau cách hồi do nguyên nhân mạch máu?,"Đau xuất hiện khi nghỉ ngơi, giảm đi khi đi lại","Đau bắp chân khi đi một quãng đường nhất định, giảm nhanh khi đứng nghỉ","Đau lan từ thắt lưng xuống chân, giảm khi cúi gập người","Đau xuất hiện đột ngột, dữ dội kèm theo tím tái chân",,b,"Đau cách hồi mạch máu có tính chu kỳ: xuất hiện khi gắng sức (đi bộ) ở một khoảng cách cố định, thuyên giảm nhanh chóng (thường < 5 phút) khi đứng nghỉ tại chỗ. Nguồn: Bệnh học nội khoa YHN."
noi-benh-mm-ngoai-vi-mcq-015,noi,Bệnh MM ngoại vi,Tim mạch,,Hội chứng Leriche (tắc động mạch chủ - chậu) có tam chứng lâm sàng kinh điển nào sau đây?,"Đau cách hồi bắp chân, rụng lông chân, mất mạch chày sau","Đau cách hồi vùng mông/đùi, rối loạn cương dương, mất mạch đùi","Đau khi nghỉ ngơi, loét ngón chân, mạch đùi nảy mạnh","Tím tái ngón chân, đau buốt vùng hông, phình mạch chủ bụng",,b,"Hội chứng Leriche xảy ra do tắc nghẽn ngã ba động mạch chủ - chậu, làm giảm tưới máu vùng chậu hông và chi dưới, gây ra 3 triệu chứng: đau cách hồi hông/đùi, liệt dương và mất mạch bẹn hai bên."
noi-benh-mm-ngoai-vi-mcq-016,noi,Bệnh MM ngoại vi,Tim mạch,,Biểu hiện nào sau đây KHÔNG thuộc 6 chữ P trong chẩn đoán tắc động mạch chi cấp tính?,Đau nhức (Pain),Mất mạch (Pulselessness),Mủn nát hoại tử (Putrefaction),Liệt cơ (Paralysis),,c,"6P gồm: Pain (Đau), Pallor (Nhợt nhạt), Pulselessness (Mất mạch), Paresthesia (Tê bì), Paralysis (Liệt/yếu cơ), Poikilothermia (Lạnh/rối loạn thân nhiệt). Mủn nát hoại tử không thuộc 6P sớm."
