id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-cac-roi-loan-nhip-tim-thuong-gap-mcq-001,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,,Định nghĩa nhịp chậm xoang ở người trưởng thành lúc nghỉ ngơi là khi tần số tim dưới ngưỡng nào?,40 chu kỳ/phút,50 chu kỳ/phút,60 chu kỳ/phút,70 chu kỳ/phút,,c,Nhịp chậm xoang được định nghĩa là khi tần số phát xung của nút xoang dưới 60 chu kỳ/phút. Đây là mốc sinh lý kinh điển. Nguồn: Bệnh học nội khoa YHN.
noi-cac-roi-loan-nhip-tim-thuong-gap-mcq-002,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,,Nhịp nhanh xoang được chẩn đoán khi tần số nút xoang phát nhịp vượt quá mức nào sau đây?,80 chu kỳ/phút,90 chu kỳ/phút,100 chu kỳ/phút,120 chu kỳ/phút,,c,"Tần số tim bình thường lúc nghỉ từ 60-100 chu kỳ/phút. Nhịp nhanh xoang là khi nhịp xoang vượt trên 100 l/p, thường đáp ứng với gắng sức hoặc tình trạng toàn thân. Nguồn: Bệnh học nội khoa YHN."
noi-cac-roi-loan-nhip-tim-thuong-gap-mcq-003,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,,"Theo phân loại, rung nhĩ cơn được định nghĩa là các cơn rung nhĩ tự kết thúc hoặc được chuyển nhịp thành công trong khoảng thời gian tối đa là bao lâu?",24 giờ,48 giờ,7 ngày,1 tháng,,c,"Rung nhĩ cơn kéo dài dưới 7 ngày, thường tự kết thúc trong vòng 48 giờ. Qua mốc 7 ngày được gọi là rung nhĩ dai dẳng. Nguồn: CURRENT Medical Diagnosis & Treatment 2026."
noi-cac-roi-loan-nhip-tim-thuong-gap-mcq-004,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,,"Đặc điểm điện sinh lý cơ bản của một ""ngoại tâm thu"" là gì?",Nhát bóp đến muộn và không có khoảng nghỉ bù,Nhát bóp đến sớm và có khoảng nghỉ bù,Phức bộ QRS luôn giãn rộng,Luôn có sóng P đi trước phức bộ QRS,,b,"Ngoại tâm thu là một nhát bóp ngoại lai đến sớm hơn chu kỳ bình thường, sau đó là một khoảng nghỉ bù (tùy loại hoàn toàn hay không hoàn toàn) trước khi nhịp tiếp theo xuất hiện. Nguồn: Bệnh học nội khoa YHN."
noi-cac-roi-loan-nhip-tim-thuong-gap-mcq-005,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,,"Rối loạn nhịp tim dai dẳng nào phổ biến nhất trong thực hành lâm sàng, đặc biệt có tỷ lệ mắc tăng nhanh theo tuổi tác?",Cuồng nhĩ,Nhịp nhanh trên thất,Nhịp nhanh thất,Rung nhĩ,,d,"Rung nhĩ là rối loạn nhịp kéo dài phổ biến nhất, nguy cơ tăng theo tuổi và đi kèm với tỷ lệ đột quỵ rất cao. Nguồn: Bệnh học nội khoa YHN."
noi-cac-roi-loan-nhip-tim-thuong-gap-mcq-006,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,,"Hội chứng suy nút xoang bao gồm các rối loạn nhịp sau, NGOẠI TRỪ:",Nhịp chậm xoang dai dẳng không phù hợp,Ngừng xoang,Hội chứng nhịp nhanh - nhịp chậm,Block nhánh trái hoàn toàn,,d,"Block nhánh trái là tổn thương hệ thống dẫn truyền His-Purkinje thất, không phản ánh tình trạng suy yếu của nút xoang. Nguồn: Bệnh học nội khoa YHN."
noi-cac-roi-loan-nhip-tim-thuong-gap-mcq-007,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,,"Cơ chế ""vòng vào lại"" đòi hỏi điều kiện tiên quyết nào sau đây để hình thành và duy trì rối loạn nhịp?",Một đường dẫn truyền duy nhất không có nhánh rẽ,Tốc độ dẫn truyền bằng nhau ở hai đường song song,Block dẫn truyền một chiều ở một đường và dẫn truyền chậm ở đường kia,Thời kỳ trơ tuyệt đối giống hệt nhau ở mọi mô cơ tim,,c,Vòng vào lại cần 2 đường dẫn truyền có đặc tính điện sinh lý khác nhau: một đường bị block một chiều và dẫn truyền chậm ở đường còn lại để xung động kịp vòng lại vòng xuyến. Nguồn: Bệnh học nội khoa YHN.
noi-cac-roi-loan-nhip-tim-thuong-gap-mcq-008,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,,Cơ chế bệnh sinh của hội chứng Wolff- Parkinson-White là do sự tồn tại bẩm sinh của cấu trúc nào?,Cầu Kent dẫn truyền phụ,Đường dẫn truyền chậm trong nút nhĩ thất,Nút xoang phát nhịp quá mức,Sợi Mahaim ở tâm thất phải,,a,"Hội chứng WPW xảy ra do có đường dẫn truyền phụ (cầu Kent) nối trực tiếp tâm nhĩ và tâm thất, bỏ qua sự làm chậm sinh lý tại nút nhĩ thất. Nguồn: CURRENT Medical Diagnosis & Treatment 2026."
noi-cac-roi-loan-nhip-tim-thuong-gap-mcq-009,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,,"Trong bệnh lý rung nhĩ, sự suy giảm cung lượng tim đột ngột chủ yếu xuất phát từ cơ chế nào?",Rối loạn chức năng tâm trương thất trái cơ năng,Mất cơ chế bơm máu chủ động của tâm nhĩ,Giãn buồng tim cấp tính do tăng gánh thể tích,Hở van động mạch chủ thứ phát,,b,"Nhát bóp tâm nhĩ đóng góp 20-25% thể tích đổ đầy tâm thất. Rung nhĩ làm tâm nhĩ mất co bóp đồng bộ, làm giảm đáng kể cung lượng tim, đặc biệt ở bệnh nhân đã có suy tim. Nguồn: Bệnh học nội khoa YHN."
noi-cac-roi-loan-nhip-tim-thuong-gap-mcq-010,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,,Rối loạn điện giải hạ Kali máu làm tăng nguy cơ xuất hiện rối loạn nhịp thất thông qua cơ chế nào?,Rút ngắn thời gian trơ tuyệt đối của tâm thất,Kéo dài thời gian tái cực của tâm thất,Tăng tốc độ dẫn truyền qua nút nhĩ thất,Tăng mức độ phân ly nhĩ thất,,b,"Hạ Kali máu làm chậm quá trình tái cực của tế bào cơ tim, biểu hiện bằng QT kéo dài và sóng U trên điện tâm đồ, tạo tiền đề cho hoạt động nảy cò và xoắn đỉnh. Nguồn: CURRENT Medical Diagnosis & Treatment 2026."
noi-cac-roi-loan-nhip-tim-thuong-gap-mcq-011,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,,"Hiện tượng ""R rơi trên T"" rất nguy hiểm vì nó kích thích tâm thất vào giai đoạn nào?",Giai đoạn tâm thất đang co bóp tống máu tối đa,Thời kỳ siêu trơ của tâm thất,Thời kỳ tâm trương muộn,Giai đoạn tâm nhĩ vừa thu xong,,b,"Sườn xuống của sóng T là ""thời kỳ siêu trơ"" (vulnerable period). Một kích thích ngoại lai (như ngoại tâm thu) rơi vào lúc này cực kỳ dễ kích hoạt rung thất. Nguồn: Bệnh học nội khoa YHN."
noi-cac-roi-loan-nhip-tim-thuong-gap-mcq-012,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,,Cơ chế chính của cơn nhịp nhanh vào lại nút nhĩ thất (AVNRT) là sự tồn tại của cấu trúc nào?,Đường dẫn truyền nhanh và chậm ngay tại nút nhĩ thất,Cầu nối trực tiếp giữa tâm nhĩ và tâm thất ngoài nút,Ổ phát nhịp lạc chỗ ở tâm thất phải,Vòng vào lại lớn xung quanh vòng van ba lá,,a,"AVNRT hình thành do phân chia nút nhĩ thất thành đường nhanh (dẫn truyền nhanh, trơ dài) và đường chậm (dẫn truyền chậm, trơ ngắn), tạo thành vòng vào lại ngay tại nút nhĩ thất. Nguồn: Bệnh học nội khoa YHN."
noi-cac-roi-loan-nhip-tim-thuong-gap-mcq-013,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,,Huyết khối trong rung nhĩ thường hình thành nhiều nhất ở vị trí nào do cơ chế ứ trệ dòng máu?,Buồng tâm thất trái,Tiểu nhĩ trái,Buồng tâm nhĩ phải,Van động mạch chủ,,b,"Hơn 90% huyết khối trong rung nhĩ không do bệnh van tim hình thành tại tiểu nhĩ trái do cấu trúc dạng túi, làm máu dễ bị ứ trệ quẩn lại khi nhĩ mất co bóp. Nguồn: CURRENT Medical Diagnosis & Treatment 2026."
noi-cac-roi-loan-nhip-tim-thuong-gap-mcq-014,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,,"Khi khám lâm sàng bắt mạch quay, đặc điểm nào sau đây gợi ý nhiều nhất đến rung nhĩ?",Mạch nảy chìm nhanh kiểu mạch Corrigan,"Mạch nảy mạnh, chìm sâu và đều đặn",Mạch hoàn toàn không đều về cả tần số và biên độ,"Mạch chậm, đều, khoảng 40 lần/phút",,c,Sự co bóp thất không đều và thời gian đổ đầy thất thay đổi liên tục trong rung nhĩ tạo ra mạch không đều hoàn toàn cả về nhịp điệu và biên độ (sức nảy). Nguồn: Bệnh học nội khoa YHN.
noi-cac-roi-loan-nhip-tim-thuong-gap-mcq-015,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,,"Bệnh nhân có nhịp tim nhanh 160 chu kỳ/phút. Nghiệm pháp xoa xoang cảnh làm nhịp tim chậm lại từ từ, sau khi ngừng xoa nhịp lại nhanh lên như cũ. Dấu hiệu này điển hình của:",Nhịp nhanh kịch phát trên thất,Rung nhĩ,Nhịp nhanh xoang,Cuồng nhĩ,,c,"Bẫy kinh điển: Xoa xoang cảnh ở nhịp nhanh kịch phát trên thất sẽ ""cắt cơn đột ngột"" hoặc không có tác dụng, trong khi nhịp nhanh xoang sẽ ""chậm lại từ từ"" rồi nhanh lại. Nguồn: Bệnh học nội khoa YHN."
noi-cac-roi-loan-nhip-tim-thuong-gap-mcq-016,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,,"Sóng ""a"" đại bác ở tĩnh mạch cổ xuất hiện khi tâm nhĩ co bóp vào thời điểm nào?",Van hai lá đang mở hoàn toàn,Van ba lá đang đóng,Tâm thất đang trong kỳ tâm trương,Van động mạch phổi đang mở,,b,"Khi nhĩ thu trong lúc thất cũng đang thu (van ba lá đóng), máu không xuống được thất mà dội ngược lên tĩnh mạch cổ tạo ra sóng ""a"" đại bác (ví dụ trong block nhĩ thất độ 3). Nguồn: Bệnh học nội khoa YHN."
noi-cac-roi-loan-nhip-tim-thuong-gap-mcq-017,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,,"Tiếng tim T1 thay đổi cường độ (lúc đanh to, lúc mờ nhỏ) trên lâm sàng là dấu hiệu kinh điển của bệnh lý nào?",Block nhĩ thất cấp 3,Hở van hai lá mạn tính,Block nhánh trái hoàn toàn,Nhịp nhanh xoang sinh lý,,a,"Trong phân ly nhĩ thất (BAV độ 3), khoảng PR thay đổi liên tục. Nếu nhĩ bóp ngay trước thất (PR ngắn), van nhĩ thất đang mở rộng bị đóng sập lại tạo tiếng T1 rất đanh, nếu PR dài T1 sẽ mờ. Nguồn: Bệnh học nội khoa YHN."
noi-cac-roi-loan-nhip-tim-thuong-gap-mcq-018,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,,Triệu chứng ngất Adams-Stokes do rối loạn nhịp tim có đặc điểm nào nổi bật nhất?,"Xảy ra từ từ, kèm vã mồ hôi và buồn nôn trước khi ngất","Xảy ra đột ngột, không có tiền triệu, phục hồi nhanh và tỉnh táo hoàn toàn sau đó",Xảy ra khi bệnh nhân thay đổi tư thế từ nằm sang đứng,Kéo dài hàng giờ và luôn kèm liệt nửa người thoáng qua,,b,"Ngất tim (Adams-Stokes) do ngưng tuần hoàn thoảng qua thường cực kỳ đột ngột, không có dấu hiệu báo trước (tiền triệu) như ngất phế vị và bệnh nhân tỉnh lại ngay không để lại di chứng. Nguồn: Bệnh học nội khoa YHN."
noi-cac-roi-loan-nhip-tim-thuong-gap-mcq-019,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,,"Dấu hiệu ""khuyết mạch"" (tần số mạch quay đếm được nhỏ hơn tần số tim nghe ở ngực) phổ biến nhất trong bệnh lý nào?",Block nhĩ thất độ 1,Rung nhĩ,Nhịp chậm xoang,Cơn đau thắt ngực ổn định,,b,"Trong rung nhĩ, nhiều nhát bóp thất đến quá sớm khi tâm thất chưa kịp đổ đầy máu, tống máu yếu không đủ tạo thành sóng mạch lan tới cổ tay, dẫn đến số nhịp tim ở ngực nhiều hơn số mạch quay. Nguồn: Bệnh học nội khoa YHN."
noi-cac-roi-loan-nhip-tim-thuong-gap-mcq-020,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,,Cơn đau thắt ngực xuất hiện cùng lúc với cơn nhịp nhanh kịch phát ở người không có xơ vữa mạch vành chủ yếu do cơ chế nào?,Tắc nghẽn cơ học nhánh động mạch vành lớn,"Rút ngắn thời gian tâm trương, làm giảm tưới máu mạch vành",Co thắt mạch vành nguyên phát cấp tính,Tăng thời gian tâm thu làm dập nát cơ tim,,b,"Mạch vành được tưới máu chủ yếu trong thì tâm trương. Nhịp tim quá nhanh làm thì tâm trương rút ngắn đột ngột, giảm cung cấp oxy trong khi nhu cầu cơ tim đang tăng do nhịp nhanh. Nguồn: Bệnh học nội khoa YHN."
