id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-suy-than-cap-mcq-001,noi,Suy thận cấp,Thận tiết niệu,,Suy thận cấp được định nghĩa là sự suy giảm chức năng thận xảy ra trong khoảng thời gian nào?,Vài giờ đến vài ngày,Vài tuần đến vài tháng,Trên ba tháng,Trên sáu tháng,,a,"Suy thận cấp là tình trạng giảm mức lọc cầu thận đột ngột, thường diễn ra trong vòng vài giờ đến vài ngày. Mốc trên 3 tháng được dùng để chẩn đoán bệnh thận mạn."
noi-suy-than-cap-mcq-002,noi,Suy thận cấp,Thận tiết niệu,,Nhóm nguyên nhân nào chiếm tỷ lệ cao nhất gây suy thận cấp ở bệnh nhân nhập viện?,Suy thận cấp trước thận,Tổn thương ống thận kẽ cấp,Viêm cầu thận cấp,Tắc nghẽn đường tiểu sau thận,,a,"Suy thận cấp trước thận do giảm tưới máu thận là nguyên nhân phổ biến nhất, chiếm khoảng 60-70% các trường hợp suy thận cấp tại bệnh viện. Nhận biết sớm giúp hồi phục nhanh chức năng thận."
noi-suy-than-cap-mcq-003,noi,Suy thận cấp,Thận tiết niệu,,Tình trạng nào sau đây là nguyên nhân thường gặp nhất gây suy thận cấp tại thận?,Viêm cầu thận tiến triển nhanh,Viêm ống kẽ thận cấp do thuốc,Hoại tử ống thận cấp,Huyết khối tĩnh mạch thận,,c,"Hoại tử ống thận cấp là nguyên nhân thường gặp nhất của suy thận cấp tại thận, chủ yếu do thiếu máu cục bộ kéo dài hoặc do độc chất gây tổn thương tế bào ống thận."
noi-suy-than-cap-mcq-004,noi,Suy thận cấp,Thận tiết niệu,,Suy thận cấp sau thận thường liên quan nhiều nhất đến vị trí tắc nghẽn nào ở nam giới cao tuổi?,Tắc nghẽn tại niệu đạo,Tắc nghẽn tại cổ bàng quang,Tắc nghẽn tại niệu quản hai bên,Tắc nghẽn tại đài bể thận,,b,"Ở nam giới cao tuổi, tắc nghẽn đường tiểu dưới tại cổ bàng quang do phì đại tuyến tiền liệt là nguyên nhân phổ biến nhất gây suy thận cấp sau thận."
noi-suy-than-cap-mcq-005,noi,Suy thận cấp,Thận tiết niệu,,Đặc điểm nào phản ánh đúng nhất tình trạng thiểu niệu ở bệnh nhân suy thận cấp?,Lượng nước tiểu dưới 100 ml/24 giờ,Lượng nước tiểu dưới 400 ml/24 giờ,Lượng nước tiểu dưới 800 ml/24 giờ,Lượng nước tiểu dưới 1000 ml/24 giờ,,b,Thiểu niệu ở người lớn thường được định nghĩa là lượng nước tiểu dưới 400 ml/24 giờ. Mốc dưới 100 ml/24 giờ được gọi là vô niệu.
noi-suy-than-cap-mcq-006,noi,Suy thận cấp,Thận tiết niệu,,Yếu tố nào làm tăng nguy cơ mắc suy thận cấp cao nhất ở bệnh nhân điều trị nội trú?,Tiền sử đái tháo đường,Bệnh thận mạn có sẵn,Rối loạn lipid máu,Tăng huyết áp độ 1,,b,"Bệnh thận mạn có sẵn là yếu tố nguy cơ độc lập mạnh nhất làm tăng khả năng tiến triển thành suy thận cấp khi có các yếu tố thúc đẩy như nhiễm trùng, dùng thuốc độc thận hoặc giảm thể tích."
noi-suy-than-cap-mcq-007,noi,Suy thận cấp,Thận tiết niệu,,Cơ chế chính gây suy thận cấp trước thận ở bệnh nhân mất nước nặng là gì?,Tắc nghẽn ống lượn gần do tinh thể,Viêm lan tỏa mô kẽ thận,Giảm áp lực thủy tĩnh mao mạch cầu thận,Hoại tử tế bào biểu mô ống thận,,c,"Mất nước nặng làm giảm thể tích tuần hoàn hiệu dụng, dẫn đến giảm áp lực thủy tĩnh tại mao mạch cầu thận, hậu quả là giảm mức lọc cầu thận mà chưa có tổn thương thực thể tại thận."
noi-suy-than-cap-mcq-008,noi,Suy thận cấp,Thận tiết niệu,,Nhóm thuốc kháng viêm không steroid gây giảm mức lọc cầu thận qua cơ chế nào?,Ức chế tổng hợp prostaglandin làm co tiểu động mạch đến,Kích thích giải phóng renin làm co tiểu động mạch đi,Gây tổn thương trực tiếp màng đáy mao mạch cầu thận,Tạo phức hợp miễn dịch lắng đọng tại cầu thận,,a,"Thuốc NSAID ức chế cyclooxygenase, làm giảm tổng hợp prostaglandin - chất có tác dụng giãn tiểu động mạch đến của thận. Sự thiếu hụt này gây co tiểu động mạch đến, làm giảm tưới máu cầu thận."
noi-suy-than-cap-mcq-009,noi,Suy thận cấp,Thận tiết niệu,,Thuốc ức chế men chuyển angiotensin làm giảm mức lọc cầu thận chủ yếu do tác dụng nào?,Co tiểu động mạch đến,Giãn tiểu động mạch đi,Giãn tiểu động mạch đến,Co tiểu động mạch đi,,b,"Angiotensin II duy trì mức lọc cầu thận bằng cách co tiểu động mạch đi. Thuốc ức chế men chuyển làm giảm nồng độ angiotensin II, dẫn đến giãn tiểu động mạch đi và làm giảm áp lực lọc."
noi-suy-than-cap-mcq-010,noi,Suy thận cấp,Thận tiết niệu,,Tổn thương tế bào trong hoại tử ống thận cấp do thiếu máu cục bộ xảy ra nhiều nhất ở vị trí nào?,Ống lượn xa và ống góp,Quai Henle nhánh lên dày,Quai Henle nhánh xuống mỏng,Đoạn thẳng của ống lượn gần,,d,Đoạn thẳng của ống lượn gần (pars recta) và nhánh lên dày của quai Henle nằm ở vùng tủy ngoài là những vị trí nhạy cảm nhất với tình trạng thiếu oxy do nhu cầu năng lượng cao và phân bố mạch máu kém.
