id,subject,chapter,group,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-buouco-001,noi,Bướu cổ đơn thuần,Nội tiết,Bướu cổ địa phương khi tỉ lệ mắc bệnh,>15%,>20%,>5%,>10%,,d,(C: tỷ lệ bướu giáp ở vùng đủ)
noi-buouco-002,noi,Bướu cổ đơn thuần,Nội tiết,Vùng thiếu lod mức trung bình khi nồng độ iod niệu,>10%,"5-9,9","2-4,9",<2,,c,
noi-buouco-003,noi,Bướu cổ đơn thuần,Nội tiết,Các XN nào sau đây phù hợp với BN bị bướu cổ đơn thuần,Iod niệu =3g/l,FT4 =120,Giảm độ tập trung tuyến giáp,,,a,
noi-buouco-004,noi,Bướu cổ đơn thuần,Nội tiết,Đặc điểm bướu cổ trong bướu cổ đơn thuần,"Mật độ mềm hay chắc, lan tỏa",Có nhân,Ranh giới không rõ,"Tuyến giáp di động theo di động da, có hạch chùm",,a,
noi-buouco-005,noi,Bướu cổ đơn thuần,Nội tiết,Tiêu chuẩn dịch tễ đánh giá mức độ thiếu iod nặng là:,Iod niệu < 20 mcg/l,Iod niệu từ 20-49 mcg/l,Iod niệu từ 50-99 mcg/l,Iod niệu > 100 mcg/l,,a,
noi-buouco-006,noi,Bướu cổ đơn thuần,Nội tiết,"Kết quả xét nghiệm hormone ở bệnh nhân bướu giáp đơn thuần, chọn đáp án đúng nhất:","T4 giảm, T3 và TSH bình thường","T4, T3 và TSH bình thường","T4, T3 bình thường, TSH giảm nhẹ","T4, T3 giảm nhẹ, TSH bình thường",,a,
noi-buouco-007,noi,Bướu cổ đơn thuần,Nội tiết,"Để đánh giá mức độ thiếu hụt iod ở bệnh nhân bướu giáp đơn thuần, cần làm xét nghiệm:",Iod máu toàn phần,Iod niệu trung vị,Độ tập trung iod,Xạ hình tuyến giáp,,b,
noi-buouco-008,noi,Bướu cổ đơn thuần,Nội tiết,Chọn đáp án không đúng về bướu giáp đơn thuần:,Còn gọi là bướu cổ đơn thuần,Còn gọi là bướu cổ lan tỏa không độc,Là sự phì đại tổ chức tuyến giáp có tính chất lành tính toàn bộ hay từng phần,Chức năng tuyến giáp tăng hoặc giảm nhẹ không biểu hiện lâm sàng,,d,
noi-buouco-009,noi,Bướu cổ đơn thuần,Nội tiết,Khả năng ung thư hóa bướu giáp đơn thuần thường xảy ra ở:,Bướu chìm trong lồng ngực,Bướu to độ III làm biến dạng cổ,Phụ nữ > 60 tuổi,Bệnh kéo dài > 30 năm,,a,"(bướu chìm, bướu giáp nhân)"
noi-buouco-010,noi,Bướu cổ đơn thuần,Nội tiết,Tỉ lệ bướu giáp ở vùng thiếu iod nặng (có iod niệu trung bình dưới 20% là:,Dưới 5%,5 -20%,20 -30%,Trên 30%,,d,
noi-buouco-011,noi,Bướu cổ đơn thuần,Nội tiết,Nguyên nhân nào sau đây gây thiếu iod do tăng thải iod qua nước tiểu:,Hội chứng thận hư,Tiêu chảy kéo dài,Thai nghén,Lao động nặng,,c,"(HCTH, TCKD: giảm pr tải iod)"
noi-buouco-012,noi,Bướu cổ đơn thuần,Nội tiết,Ăn nhiều và lâu ngày thực phẩm nào sau đây có khả năng gây bướu giáp:,Rau ngót,Củ cải,Cà rốt,Đậu phụ,,b,
noi-buouco-013,noi,Bướu cổ đơn thuần,Nội tiết,Bướu giáp đơn thuần do rối loạn bẩm sinh trong sinh tổng hợp hormone tuyến giáp là bệnh:,"Di truyền gen lặn, trên NST giới tính","Di truyền gen trội, trên NST giới tính","Di truyền gen lặn, trên NST thường","Di truyền gen trội, trên NST thường",,c,
noi-buouco-014,noi,Bướu cổ đơn thuần,Nội tiết,"Triệu chứng cơ năng, trừ:",Thường gặp ở phụ nữ,Hầu hết bệnh nhân bình giáp,Đa số được phát hiện tình cờ,Trẻ em bị suy giảm trí tuệ,,d,
noi-buouco-015,noi,Bướu cổ đơn thuần,Nội tiết,Khám thực thể tuyến giáp:,Ranh giới rõ,"Dính vào da, không đau",Tiếng thổi liên tục hoặc thổi tâm thu,"Di động khi nuốt, có thể mềm hoặc chắc",,d,
noi-buouco-016,noi,Bướu cổ đơn thuần,Nội tiết,"Để phát hiện tuyến giáp to, nằm sau xương ức, cần đánh giá:",Dấu hiệu pemberton,Nghiệm pháp robinson,Dấu hiệu somogyi,Test metopyron,,a,
noi-buouco-017,noi,Bướu cổ đơn thuần,Nội tiết,"Phân độ bướu cổ to theo WHO: không nhìn thấy bướu, sờ thấy bướu, mỗi bướu giáp to hơn đốt 1 ngón cái bệnh. Thuộc phân độ?",Ia,Ib,II,III,,a,
noi-buouco-018,noi,Bướu cổ đơn thuần,Nội tiết,"Phân độ bướu cổ to theo WHO: bướu giáp rất lớn, nhìn thấy rõ từ xa, bướu cổ làm biến dạng cổ. Thuộc phân độ:",I,II,III,IV,,c,
noi-buouco-019,noi,Bướu cổ đơn thuần,Nội tiết,Xét nghiệm định lượng hormone nào sau đây ít gặp ở bệnh nhân bướu giáp đơn thuần?,T4 giảm,T3 giảm,TSH bình thường,Tất cả đều ít gặp,,b,
noi-buouco-020,noi,Bướu cổ đơn thuần,Nội tiết,Để chẩn đoán phân biệt với viêm tuyến giáp mạn tính không cần:,Đo nồng độ kháng thể Anti - TPO,Đo nồng độ kháng thể Anti - TG,Đặt ra chẩn đoán phân biệt khi TSH tăng,Đo nồng độ iod niệu,,d,
noi-buouco-021,noi,Bướu cổ đơn thuần,Nội tiết,Giá trị nồng độ iod niệu (g/l) thể hiện tình trạng dinh dưỡng iod tối ưu là:,50 -99,100 - 199,200 - 299,300 - 399,,b,
noi-buouco-022,noi,Bướu cổ đơn thuần,Nội tiết,Giá trị nồng độ iod niệu (g/l) thể hiện tình trạng thiếu iod nặng là:,< 10,< 20,< 30,< 40,,b,
noi-buouco-023,noi,Bướu cổ đơn thuần,Nội tiết,Độ tập trung I¹³¹ sau 6h ở tuyến giáp người bình thường là:,15%,20%,25%,40%,,c,
noi-buouco-024,noi,Bướu cổ đơn thuần,Nội tiết,"Độ tập trung I¹³¹ tăng trong trường hợp bướu cổ đơn thuần háo iod, cần làm thêm gì để loại trừ cường giáp?",Nghiệm pháp werner,Nghiệm pháp caslow,Nghiệm pháp vutilo,Nghiệm pháp goslumo,,a,
noi-buouco-025,noi,Bướu cổ đơn thuần,Nội tiết,"Đối với bướu giáp do thiếu iod hay bướu giáp địa phương, điều trị bằng cách đưa iod vào và dự phòng dưới dạng muối ăn trong thời gian tối thiêu:",3 tháng,6 tháng,12 tháng,18 tháng,,b,
noi-buouco-026,noi,Bướu cổ đơn thuần,Nội tiết,Chỉ định điều trị hormone giáp cho bệnh nhân bướu giáp đơn thuần:,Chỉ định đại trà,Bệnh nhân có bướu giáp lớn,"FT4 giảm, TSH giảm",B và C đúng,,d,
noi-buouco-027,noi,Bướu cổ đơn thuần,Nội tiết,"Bệnh nhân bướu giáp đơn thuần trẻ tuổi, liều khởi đầu l-thyroxin (ug/ngày) là:",25,50,100,150,,b,(BN lớn tuổi liều khởi đầu là 25)
noi-buouco-028,noi,Bướu cổ đơn thuần,Nội tiết,Sau bao lâu điều trị hormone giáp mà không có hiệu quả thì nên ngừng thuốc?,3 tháng,6 tháng,9 tháng,12 tháng,,b,
noi-buouco-029,noi,Bướu cổ đơn thuần,Nội tiết,"Điều trị bướu giáp đơn thuần bằng hormone giáp, đạt hiệu quả cao hơn khi:",Bệnh nhân trẻ,Mới có bướu giáp trong thời gian ngắn,Bướu giáp mềm,Tất cả đều đúng,,d,
noi-buouco-030,noi,Bướu cổ đơn thuần,Nội tiết,Tỉ lệ nồng độ iod trộn với muối ăn để dự phòng bướu cổ là:,1/1000-10000,1/10000-100000,1/100000-1000000,1/1000000,,b,
noi-buouco-031,noi,Bướu cổ đơn thuần,Nội tiết,Phải trộn bao nhiêu KIO (hoặc KI) vào 1kg muối ăn để đạt đúng nhu cầu iod trung bình của cơ thể:,20 - 25 mg,25 - 40 mg,30 - 50 mg,40 - 60 mg,,a,
noi-buouco-032,noi,Bướu cổ đơn thuần,Nội tiết,Chế phẩm chứa iod nào sau đây hiện nay ít dùng để phòng bệnh bướu cổ?,Muối iod hóa,Lipiodol,Nước pha iod,Lugol,,b,
noi-buouco-033,noi,Bướu cổ đơn thuần,Nội tiết,Nhu cầu iod ở người lớn,50 – 100mcg,150 – 300mcg,300 – 400mcg,400 – 500mcg,,b,
noi-buouco-034,noi,Bướu cổ đơn thuần,Nội tiết,Nguyên nhân gây bướu cổ đơn thuần: Thiếu iod — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-buouco-035,noi,Bướu cổ đơn thuần,Nội tiết,Nguyên nhân gây bướu cổ đơn thuần: Thừa iod — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-buouco-036,noi,Bướu cổ đơn thuần,Nội tiết,Nguyên nhân gây bướu cổ đơn thuần: Do chất kháng giáp — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-buouco-037,noi,Bướu cổ đơn thuần,Nội tiết,Nguyên nhân gây bướu cổ đơn thuần: Do di truyền — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-buouco-038,noi,Bướu cổ đơn thuần,Nội tiết,Các loại thực phẩm có khả năng gây bướu giáp khi ăn nhiều và kéo dài: Bắp cải — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-buouco-039,noi,Bướu cổ đơn thuần,Nội tiết,Các loại thực phẩm có khả năng gây bướu giáp khi ăn nhiều và kéo dài: Hoa lơ — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-buouco-040,noi,Bướu cổ đơn thuần,Nội tiết,Các loại thực phẩm có khả năng gây bướu giáp khi ăn nhiều và kéo dài: Rau muống — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-buouco-041,noi,Bướu cổ đơn thuần,Nội tiết,Các loại thực phẩm có khả năng gây bướu giáp khi ăn nhiều và kéo dài: Sắn — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-buouco-042,noi,Bướu cổ đơn thuần,Nội tiết,Các thuốc có khả năng gây bướu giáp: PTU — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-buouco-043,noi,Bướu cổ đơn thuần,Nội tiết,Các thuốc có khả năng gây bướu giáp: Amiodaron — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-buouco-044,noi,Bướu cổ đơn thuần,Nội tiết,Các thuốc có khả năng gây bướu giáp: Aspirin — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-buouco-045,noi,Bướu cổ đơn thuần,Nội tiết,Các thuốc có khả năng gây bướu giáp: Hydrocortiosol — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-buouco-046,noi,Bướu cổ đơn thuần,Nội tiết,Cơ chế bệnh sinh bướu giáp đơn thuần: Đặc điểm chung là thiếu hormone giáp tương đối hoặc tuyệt đối nên cơ thể phản ứng bù trừ bằng cách phì đại tuyến giáp — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-buouco-047,noi,Bướu cổ đơn thuần,Nội tiết,Cơ chế bệnh sinh bướu giáp đơn thuần: Tăng nồng độ TSH hoặc tăng nhạy cảm với TSH nhằm tăng sản xuất hormone giáp đáp ứng với nhu cầu cơ thể — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-buouco-048,noi,Bướu cổ đơn thuần,Nội tiết,"Cơ chế bệnh sinh bướu giáp đơn thuần: Những vùng thiếu iod, phì đại tuyến giáp là nhằm tăng cường bắt iod và sản xuất đủ hormone tuyến giáp, đáp ứng tăng cao nồng độ TSH — Nhận định này đúng hay sai?",Đúng,Sai,,,,b,
noi-buouco-049,noi,Bướu cổ đơn thuần,Nội tiết,Cơ chế bệnh sinh bướu giáp đơn thuần: Iod tác dụng gián tiếp lên hệ mạch máu tuyến giáp và tác dụng trực tiếp lên sự tăng trưởng của tuyến giáp thông qua các chất giãn mạch như endothelin và NO — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-buouco-050,noi,Bướu cổ đơn thuần,Nội tiết,Đặc điểm lâm sàng bướu giáp đơn thuần: Bệnh thường gặp ở phụ nữ — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-buouco-051,noi,Bướu cổ đơn thuần,Nội tiết,Đặc điểm lâm sàng bướu giáp đơn thuần: Đa số bệnh nhân bình giáp — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-buouco-052,noi,Bướu cổ đơn thuần,Nội tiết,"Đặc điểm lâm sàng bướu giáp đơn thuần: Trẻ em mắc bệnh chậm chạp, thờ ơ, sa sút trí tuệ — Nhận định này đúng hay sai?",Đúng,Sai,,,,b,
noi-buouco-053,noi,Bướu cổ đơn thuần,Nội tiết,"Đặc điểm lâm sàng bướu giáp đơn thuần: Khám bướu giáp ranh giới rõ, không dính vào da, không đau, không di động khi nuốt, không có tiếng thổi — Nhận định này đúng hay sai?",Đúng,Sai,,,,b,
