id,subject,chapter,group,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-dtd-001,noi,Đái tháo đường,Nội tiết,Gliclazid là nhóm j:,Sulfonylurea,Metformin,Ức chế men DPP4,,,a,
noi-dtd-002,noi,Đái tháo đường,Nội tiết,Các thuốc ha ̣đường huyết nhóm sulfonylurea có đăc ̣điểm chung:,Dùng phối hơp ̣đươc ̣,Không dùng đươc ̣cho phu ̣nữ cho con bú,Dùng từ liều thấp đến cao,Tất cả đều đúng,,d,
noi-dtd-003,noi,Đái tháo đường,Nội tiết,Thuốc Metformin được chỉ định cho:,"ĐTĐ typ 2, nhất là BN thừa cân, béo phì",ĐTĐ 1,ĐTĐ do viêm tụy mạn,ĐTĐ có biến chứng suy thận,,a,
noi-dtd-004,noi,Đái tháo đường,Nội tiết,Chống chỉ định thuốc nhóm biguanid?,ĐTĐ 1,ĐTĐ 2 béo phì,ĐTĐ 2 đã sd sulfonylurea,ĐTĐ 2,,a,
noi-dtd-005,noi,Đái tháo đường,Nội tiết,Metformin không có tác dụng gì,Tăng tiết insulin,Giảm hấp thu G ở ruột,Giảm tạo G ở gan,Tăng sử dụng G ở cơ,,a,
noi-dtd-006,noi,Đái tháo đường,Nội tiết,TD phụ hay gặp của biguanid,Rối loạn tiêu hóa,Tăng cân,Hạ HA,Dị ứng,,a,Biguanid: metformin
noi-dtd-007,noi,Đái tháo đường,Nội tiết,Nhóm ức chế DPP4 có ưu điểm,Thường chỉ định có ĐTĐ typ1,Không cần chỉnh liểu vs bệnh nhân suy thận,Không gây hạ đường huyết quá mức khi dùng đơn độc,Làm tăng đường huyết sau ăn và không ha ̣đường huyết xa bữa ăn,không gây hạ HA tư thế,c,
noi-dtd-008,noi,Đái tháo đường,Nội tiết,Thuốc DPP 4 không cần chỉnh liều ở bệnh nhân suy thận,Linagliptin,Sitagliptin,Saxagliptin,Vidagliptin,,a,
noi-dtd-009,noi,Đái tháo đường,Nội tiết,Cơ chế của DPP4 trừ:,Tăng insulin,Giảm glucagon,Chậm làm rỗng dạ dày,Giảm hấp thu ở ruột non,,d,
noi-dtd-010,noi,Đái tháo đường,Nội tiết,Chỉ định sử dụng alpha glucosidase:,ĐTĐ typ 1,ĐTĐ typ 2 có tăng đường huyết sau ăn,ĐTĐ typ 2 béo phì,Cả 3 ý trên,,b,
noi-dtd-011,noi,Đái tháo đường,Nội tiết,Dùng thuốc ức chế alpha glucosidase để,Ức chế kháng insulin,Giảm glucose vào máu,Kích thích sản xuất insulin,Cả A và B,,b,
noi-dtd-012,noi,Đái tháo đường,Nội tiết,Tác dụng của insulin:,Hạ HA,Tăng chuyển K vào tế bào,,,,b,
noi-dtd-013,noi,Đái tháo đường,Nội tiết,Một số tác dụng phụ khi tiêm insulin dưới da:,"Hạ đường máu quá mức, giảm cân, tăng huyết áp.","Hạ đường máu quá mức, giảm cân, giảm huyết áp","Hạ đường máu quá mức, loạn dưỡng mỡ dưới da, dị ứng tại chỗ tiêm","Hạ đường máu quá mức, giảm huyết áp, loạn dưỡng mỡ dưới da.",,c,
noi-dtd-014,noi,Đái tháo đường,Nội tiết,Các biến chứng có thể gặp tại nơi tiêm Insulin:,"Thoái hóa mỡ, áp xe, teo cơ tại chỗ, phì đại mỡ dưới da","Thoái hóa mớ, teo cơ tại chỗ, phồng rộp","Thoái hóa mỡ, ngứa, áp xe","Áp xe, teo cơ tại chỗ, phì đại mỡ dưới da",,a,
noi-dtd-015,noi,Đái tháo đường,Nội tiết,BN điều trị Insulin sợ nhất nguy cơ gì,Hạ đường huyết,Chảy máu tại vị trí tiêm,Loạn dưỡng mỡ tại chỗ tiêm,,,a,
noi-dtd-016,noi,Đái tháo đường,Nội tiết,Loại Isulin nào sau đây là Isulin nền:,Insulatard,Insulin lente,Insulin lantus,Insulin Mixtard,,c,
noi-dtd-017,noi,Đái tháo đường,Nội tiết,"Đặc điểm của insulin nền analog là, trừ:",Không có đỉnh,Tác dụng kéo dài 24h,Có đỉnh,Dùng 1 lần trong ngày vào 1 giờ cố định,,c,
noi-dtd-018,noi,Đái tháo đường,Nội tiết,Insulin regular kéo dài tác dụng bao lâu,3-6h,1-2h,5-6h,,,a,(sgk: 3 – 6h)
noi-dtd-019,noi,Đái tháo đường,Nội tiết,Bệnh nhân đái tháo đường typ 2 chuyển từ thuốc viên sang insulin thì nên dùng loại nào theo khuyến cáo của ADA:,Insulin Mixtard,Insulin basal (analog),Insulin regular,Insulin NPH,,b,
noi-dtd-020,noi,Đái tháo đường,Nội tiết,Liều khởi đầu điều trị Insulin ở bệnh nhân ĐTĐ typ2,0.1 - 0.2 IU/kg,0.2 - 0.5 IU/kg,1 IU/kg,Tất cả đáp án trên đều sai,,a,
noi-dtd-021,noi,Đái tháo đường,Nội tiết,Liều insulin ở bệnh nhân ĐTĐ typ2 là,"0,2 – 0,5 đv/kg","0,7 – 0,8 đv/kg","0,7 – 0,9 đv/kg","0,5 – 0,7 đv/kg",,a,
noi-dtd-022,noi,Đái tháo đường,Nội tiết,Tỷ lệ insulin nền (basal/bolus) khuyến cáo trong ĐTĐ typ2,50 - 60%,40 - 50%,30 - 40%,20 - 30%,,b,(bolus: 50-60%)
noi-dtd-023,noi,Đái tháo đường,Nội tiết,Liều Insulin hàng ngày với bệnh nhân đái tháo đường typ 1 là:,"0,4 – 0,8","0,8 – 1","1 – 1,2",,,c,
noi-dtd-024,noi,Đái tháo đường,Nội tiết,Phác đồ tiêm insulin sinh lý nhất:,"2 mũi Mixtard tiêm sáng, tối",2 mũi mixtard và 1 mũi insulin nhanh,"3 mũi nhanh vào trước các bữa ăn, lantus 1 mũi trước khi đi ngủ",2 mũi Levermir,,c,
