id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-thoai-hoa-khop-mcq-001,noi,Thoái hóa khớp,Cơ xương khớp,,"Theo định nghĩa kinh điển, đặc điểm tổn thương giải phẫu bệnh cơ bản nhất của thoái hóa khớp là gì?",Viêm mạn tính màng hoạt dịch,Loãng xương cạnh khớp,Mất sụn khớp khu trú và phản ứng tạo xương dưới sụn,Lắng đọng phức hợp miễn dịch tại sụn khớp,,c,"Thoái hóa khớp là quá trình bệnh lý với đặc trưng mất sụn khớp khu trú, kèm theo sự phì đại của xương (tạo gai xương) và xơ đặc xương dưới sụn. Màng hoạt dịch có thể viêm nhưng là thứ phát. Nguồn: Bệnh học nội khoa YHN."
noi-thoai-hoa-khop-mcq-002,noi,Thoái hóa khớp,Cơ xương khớp,,"Trong các khớp sau đây, vị trí nào thường bị ảnh hưởng nhất trong thoái hóa khớp nguyên phát?",Khớp gối,Khớp cổ tay,Khớp vai,Khớp cổ chân,,a,"Khớp gối là khớp chịu lực lớn, tần suất mắc thoái hóa khớp cao nhất trong các khớp lớn, đặc biệt ở nữ giới lớn tuổi. Nguồn: Bệnh học nội khoa YHN."
noi-thoai-hoa-khop-mcq-003,noi,Thoái hóa khớp,Cơ xương khớp,,Yếu tố nguy cơ nào sau đây của bệnh thoái hóa khớp gối có thể thay đổi được và mang lại hiệu quả dự phòng cao nhất?,Tuổi cao,Giới nữ,Tiền sử gia đình,Béo phì,,d,"Béo phì là yếu tố nguy cơ cơ học và chuyển hóa hàng đầu của thoái hóa khớp chịu lực (đặc biệt khớp gối), giảm cân giúp giảm nguy cơ mắc và tiến triển bệnh rõ rệt."
noi-thoai-hoa-khop-mcq-004,noi,Thoái hóa khớp,Cơ xương khớp,,Đặc điểm dịch tễ học nào sau đây đúng với bệnh thoái hóa khớp?,Tỷ lệ mắc ở nam và nữ bằng nhau ở mọi lứa tuổi,Tỷ lệ mắc tăng nhanh ở nữ giới sau tuổi mãn kinh,Bệnh chỉ gặp ở người trên 60 tuổi,Tần suất bệnh ở các quốc gia châu Á cao hơn châu Âu,,b,"Trước 50 tuổi tỷ lệ nam nữ tương đương, nhưng sau 50 tuổi (sau mãn kinh) tỷ lệ mắc ở nữ tăng vọt và cao hơn hẳn nam giới. Nguồn: Bệnh học nội khoa YHN."
noi-thoai-hoa-khop-mcq-005,noi,Thoái hóa khớp,Cơ xương khớp,,Thoái hóa khớp thứ phát thường KHÔNG xuất hiện sau tình trạng nào sau đây?,Viêm khớp dạng thấp,Chấn thương khớp,Dị dạng bẩm sinh trục khớp,Viêm họng do liên cầu,,d,"Thoái hóa khớp thứ phát xảy ra sau các tổn thương cơ học, dị dạng (chân vòng kiềng) hoặc bệnh lý phá hủy sụn trước đó (viêm khớp dạng thấp, gút). Viêm họng do liên cầu liên quan thấp tim, không trực tiếp gây thoái hóa khớp."
noi-thoai-hoa-khop-mcq-006,noi,Thoái hóa khớp,Cơ xương khớp,,Sự xuất hiện của các hạt Heberden ở bàn tay có liên quan mật thiết nhất với yếu tố nào?,Nghề nghiệp lao động nặng,Chấn thương lặp lại,Yếu tố di truyền,Rối loạn chuyển hóa acid uric,,c,"Hạt Heberden (ở khớp ngón xa) trong thoái hóa khớp bàn tay có tính di truyền rất rõ rệt, thường gặp ở phụ nữ có mẹ hoặc chị em gái cũng mắc bệnh. Nguồn: CURRENT Medical Diagnosis & Treatment."
noi-thoai-hoa-khop-mcq-007,noi,Thoái hóa khớp,Cơ xương khớp,,Quá trình thoái hóa sụn khớp bắt đầu bằng sự thay đổi sinh hóa nào ở chất căn bản sụn?,Tăng tổng hợp sợi collagen type I,Giảm hàm lượng nước trong sụn khớp,Mất dần các phân tử proteoglycan,Tăng sinh quá mức màng hoạt dịch,,c,"Giai đoạn sớm nhất của thoái hóa sụn là sự đứt gãy và giảm nồng độ proteoglycan, làm giảm khả năng giữ nước và tính đàn hồi của sụn. Nguồn: Bệnh học nội khoa YHN."
noi-thoai-hoa-khop-mcq-008,noi,Thoái hóa khớp,Cơ xương khớp,,Nhóm enzyme nào đóng vai trò chủ chốt trong việc phân hủy mạn lưới collagen và proteoglycan của sụn khớp?,Cyclooxygenase,Matrix metalloproteinase,Phospholipase A2,Hyaluronidase,,b,"Các Matrix metalloproteinase (MMPs), đặc biệt là MMP-1, 3, 13 được các tế bào sụn và màng hoạt dịch tiết ra quá mức, phá hủy chất căn bản sụn."
noi-thoai-hoa-khop-mcq-009,noi,Thoái hóa khớp,Cơ xương khớp,,"Cytokine viêm nào có vai trò quan trọng nhất trong cơ chế bệnh sinh của thoái hóa khớp, kích thích tế bào sụn tiết ra các enzyme thoái giáng?",Interleukin-10,Interleukin-1 và TNF-alpha,Interferon-gamma,Interleukin-4,,b,"Dù là bệnh viêm độ thấp, IL-1 và TNF-alpha vẫn đóng vai trò then chốt kích thích tế bào sụn tăng tổng hợp MMPs và ức chế tổng hợp collagen, proteoglycan."
noi-thoai-hoa-khop-mcq-010,noi,Thoái hóa khớp,Cơ xương khớp,,"Trong thoái hóa khớp, nguồn gốc gây ra cảm giác đau KHÔNG xuất phát từ cấu trúc nào?",Sụn khớp,Màng hoạt dịch,Xương dưới sụn,Dây chằng và bao khớp,,a,"Đây là bẫy kinh điển. Sụn khớp không có đầu mút thần kinh và mạch máu, nên bản thân tổn thương sụn không gây đau. Đau xuất phát từ xương dưới sụn, màng hoạt dịch viêm, bao khớp co thắt. Nguồn: Bệnh học nội khoa YHN."
noi-thoai-hoa-khop-mcq-011,noi,Thoái hóa khớp,Cơ xương khớp,,Đặc tính sinh lý bệnh của dịch khớp trong thoái hóa khớp giai đoạn ổn định là gì?,Chứa nhiều phức hợp miễn dịch,Giảm độ nhớt do tăng phân hủy acid hyaluronic,Chứa nhiều bạch cầu đa nhân trung tính,Chứa các tinh thể hình kim,,b,"Dịch khớp trong OA giảm độ nhớt và giảm nồng độ/trọng lượng phân tử của acid hyaluronic, làm giảm khả năng bôi trơn và giảm xóc."
noi-thoai-hoa-khop-mcq-012,noi,Thoái hóa khớp,Cơ xương khớp,,Cơ chế hình thành gai xương trong thoái hóa khớp là do sự cốt hóa của mô nào ở rìa khớp?,Màng hoạt dịch,Gân cơ bám tận,Mô sụn rìa khớp,Bao khớp,,c,"Gai xương (osteophytes) hình thành do sự tăng sinh và cốt hóa của mô sụn ở rìa khớp nơi ít chịu áp lực, nhằm mục đích mở rộng diện tích tiếp xúc để giảm áp lực lên sụn."
noi-thoai-hoa-khop-mcq-013,noi,Thoái hóa khớp,Cơ xương khớp,,"Trong giai đoạn sớm của thoái hóa khớp, các tế bào sụn (chondrocytes) có phản ứng như thế nào?",Chết theo chương trình hàng loạt ngay lập tức,Tăng sinh cụm và tăng tổng hợp chất căn bản để bù trừ,Hoàn toàn trơ không phản ứng,Chuyển dạng thành nguyên bào sợi,,b,"Ở giai đoạn sớm, tế bào sụn cố gắng bù trừ bằng cách phân chia (tạo cụm) và tăng tổng hợp proteoglycan/collagen. Khi quá trình bù trừ thất bại mới dẫn đến thoái hóa nặng và chết tế bào."
noi-thoai-hoa-khop-mcq-014,noi,Thoái hóa khớp,Cơ xương khớp,,Đặc điểm tính chất đau điển hình của thoái hóa khớp là gì?,Đau liên tục ngày đêm không giảm,"Đau tăng khi nghỉ ngơi, giảm khi vận động","Đau có tính chất cơ học, tăng khi vận động, giảm khi nghỉ","Đau dữ dội, đột ngột kèm sưng đỏ nóng",,c,"Đau cơ học là triệu chứng nền tảng nhất: tăng khi chịu lực hoặc vận động, giảm rõ rệt khi nghỉ ngơi. Nguồn: Bệnh học nội khoa YHN."
noi-thoai-hoa-khop-mcq-015,noi,Thoái hóa khớp,Cơ xương khớp,,"Dấu hiệu ""cứng khớp buổi sáng"" trong thoái hóa khớp thường có thời gian kéo dài bao lâu?",Dưới 30 phút,Từ 1 đến 2 giờ,Từ 3 đến 4 giờ,Cả ngày không hết,,a,"Cứng khớp buổi sáng hoặc sau khi nghỉ ngơi (phá gỉ khớp) ở thoái hóa khớp thường thoáng qua, dưới 30 phút. Kéo dài >1h gợi ý bệnh lý viêm hệ thống (như VKDT). Nguồn: Bệnh học nội khoa YHN."
noi-thoai-hoa-khop-mcq-016,noi,Thoái hóa khớp,Cơ xương khớp,,"Khi khám bàn tay bệnh nhân nghi thoái hóa khớp, hạt Bouchard được phát hiện ở vị trí nào?",Khớp ngón xa (DIP),Khớp ngón gần (PIP),Khớp bàn ngón (MCP),Khớp cổ tay,,b,Hạt Bouchard nằm ở khớp ngón gần (PIP). Hạt Heberden nằm ở khớp ngón xa (DIP). Cần phân biệt kỹ vị trí hai hạt này.
noi-thoai-hoa-khop-mcq-017,noi,Thoái hóa khớp,Cơ xương khớp,,Dấu hiệu thực thể nào khi khám khớp gối đặc trưng nhất cho sự tổn thương bề mặt sụn khớp trong thoái hóa?,Tiếng lạo xạo khi vận động khớp,Dấu hiệu bập bềnh xương bánh chè,Sưng đỏ và nóng quanh khớp,Khớp gối lỏng lẻo đa hướng,,a,"Tiếng lạo xạo (crepitus) khi cử động là do các bề mặt sụn thô ráp cọ xát vào nhau, rất điển hình ở thoái hóa khớp gối."
