id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-dien-tam-do-co-ban-cac-benh-ly-thuong-gap-mcq-001,noi,Điện tâm đồ cơ bản + các bệnh lý thường gặp,Tim mạch,,Sóng P trên điện tâm đồ bề mặt đại diện cho hiện tượng điện sinh lý nào?,Tái cực tâm nhĩ,Khử cực tâm nhĩ,Khử cực tâm thất,Tái cực tâm thất,,b,"Sóng P là sóng đầu tiên của chu chuyển tim, đại diện cho quá trình khử cực hai tâm nhĩ. Sóng tái cực nhĩ bình thường bị che lấp bởi phức bộ QRS. Nguồn: Bệnh học nội khoa YHN."
noi-dien-tam-do-co-ban-cac-benh-ly-thuong-gap-mcq-002,noi,Điện tâm đồ cơ bản + các bệnh lý thường gặp,Tim mạch,,Phức bộ QRS trên điện tâm đồ bình thường phản ánh quá trình nào?,Lan truyền xung động qua nút nhĩ thất,Tái cực tâm thất,Khử cực tâm thất,Khử cực mạng Purkinje,,c,"Phức bộ QRS đại diện cho thời gian xung động lan truyền qua mạng lưới cơ tâm thất gây khử cực thất. Độ rộng bình thường từ 0,06 - 0,10 giây. Nguồn: Bệnh học nội khoa YHN."
noi-dien-tam-do-co-ban-cac-benh-ly-thuong-gap-mcq-003,noi,Điện tâm đồ cơ bản + các bệnh lý thường gặp,Tim mạch,,Tốc độ kéo giấy chuẩn quốc tế khi ghi điện tâm đồ là bao nhiêu?,10 mm/s,25 mm/s,50 mm/s,100 mm/s,,b,"Tốc độ giấy chuẩn là 25 mm/s. Ở tốc độ này, 1 ô vuông nhỏ (1 mm) tương đương với 0,04 giây. Đây là mốc hằng số bắt buộc nhớ để tính tần số và thời gian."
noi-dien-tam-do-co-ban-cac-benh-ly-thuong-gap-mcq-004,noi,Điện tâm đồ cơ bản + các bệnh lý thường gặp,Tim mạch,,Trục điện tim bình thường của người trưởng thành nằm trong khoảng góc alpha (α) nào?,Từ -30 độ đến +90 độ,Từ -90 độ đến 0 độ,Từ +90 độ đến +180 độ,Từ -180 độ đến -90 độ,,a,"Trục điện tim bình thường hướng xuống dưới và sang trái, tương ứng góc α từ -30 độ đến +90 độ. Vượt khỏi khoảng này là các trường hợp trục lệch trái, lệch phải hoặc vô định."
noi-dien-tam-do-co-ban-cac-benh-ly-thuong-gap-mcq-005,noi,Điện tâm đồ cơ bản + các bệnh lý thường gặp,Tim mạch,,"Trên điện tâm đồ của người bình thường, sóng T luôn luôn ÂM ở chuyển đạo nào?",DI,DII,aVR,V6,,c,"aVR là chuyển đạo nhìn quả tim từ phía vai phải, ngược chiều với véc-tơ khử cực và tái cực tổng hợp của tim, do đó mọi sóng cơ bản (P, QRS, T) thường âm ở aVR."
noi-dien-tam-do-co-ban-cac-benh-ly-thuong-gap-mcq-006,noi,Điện tâm đồ cơ bản + các bệnh lý thường gặp,Tim mạch,,Khoảng PR (hoặc PQ) phản ánh thời gian dẫn truyền xung động qua cấu trúc nào?,Cơ tâm nhĩ,Nút xoang,Nút nhĩ thất và hệ His-Purkinje,Cơ tâm thất,,c,"Khoảng PR tính từ đầu sóng P đến đầu bộ nối QRS, đo lường thời gian dẫn truyền từ nhĩ xuống thất, phần lớn bị trễ lại ở nút nhĩ thất để máu kịp bơm xuống thất."
noi-dien-tam-do-co-ban-cac-benh-ly-thuong-gap-mcq-007,noi,Điện tâm đồ cơ bản + các bệnh lý thường gặp,Tim mạch,,Cơ chế sinh lý bệnh chính gây ra hình ảnh đoạn ST chênh lên trong nhồi máu cơ tim cấp là gì?,Tồn tại dòng điện tổn thương giữa vùng nhồi máu và vùng cơ tim lành,Sự chết tế bào làm mất hoàn toàn điện thế hoạt động,Dẫn truyền xung động bị block hoàn toàn ở vùng nhồi máu,Tái cực sớm của các tế bào cơ tim vùng thượng mạc,,a,"Cơ tim bị thiếu máu/hoại tử có điện thế màng lúc nghỉ và lúc hoạt động khác với cơ tim lành, tạo ra ""dòng điện tổn thương"" làm di lệch đoạn ST khỏi đường đẳng điện."
noi-dien-tam-do-co-ban-cac-benh-ly-thuong-gap-mcq-008,noi,Điện tâm đồ cơ bản + các bệnh lý thường gặp,Tim mạch,,"Trong bệnh lý phì đại thất trái, tại sao sóng R lại cao vọt ở các chuyển đạo V5, V6?",Thất trái nằm gần thành ngực phải hơn,Véc-tơ khử cực tổng hợp hướng mạnh về phía bên trái,Thất trái khử cực muộn hơn thất phải,Dẫn truyền qua nhánh trái bị tắc nghẽn hoàn toàn,,b,"Khối lượng cơ thất trái tăng lên làm véc-tơ khử cực chiếm ưu thế tuyệt đối hướng sang trái và ra sau, tạo sóng R cao ở các chuyển đạo ngực trái (V5, V6) và sóng S sâu ở V1, V2."
noi-dien-tam-do-co-ban-cac-benh-ly-thuong-gap-mcq-009,noi,Điện tâm đồ cơ bản + các bệnh lý thường gặp,Tim mạch,,Cơ chế hình thành hiện tượng Wenckebach (Block nhĩ thất cấp 2 chu kỳ Luciani-Wenckebach) là gì?,Nút xoang phát nhịp không đều,Mất hoàn toàn dẫn truyền qua nhánh trái,Sự mệt mỏi tương đối và phục hồi từ từ của nút nhĩ thất,Tổn thương thực thể cắt đứt hoàn toàn bó His,,c,"Xung động liên tục truyền qua nút nhĩ thất làm thời gian trơ của nó kéo dài dần (PR dài dần) cho đến khi một xung động bị block hoàn toàn (mất QRS), sau đó nút nhĩ thất được nghỉ ngơi và chu kỳ lặp lại."
noi-dien-tam-do-co-ban-cac-benh-ly-thuong-gap-mcq-010,noi,Điện tâm đồ cơ bản + các bệnh lý thường gặp,Tim mạch,,Sóng delta trên điện tâm đồ trong hội chứng Wolff-Parkinson-White (WPW) được hình thành do cơ chế nào?,Khử cực tâm thất sớm qua cầu nối phụ (bó Kent),Tái cực thất bất thường do thiếu máu cơ tim,Dẫn truyền qua nút nhĩ thất bị chậm trễ,Khử cực tâm nhĩ giãn rộng,,a,"Xung động đi qua bó Kent (không có tính chất trễ như nút nhĩ thất) làm một phần cơ thất được khử cực sớm, tạo ra hình ảnh trát đậm ở đầu phức bộ QRS gọi là sóng delta."
