id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-benh-ly-cau-than-mcq-001,noi,Bệnh lý cầu thận,Thận tiết niệu,,Tiêu chuẩn protein niệu 24 giờ để chẩn đoán hội chứng thận hư ở người lớn là gì?,"Lớn hơn 3,5 gam","Lớn hơn 2,5 gam","Lớn hơn 1,5 gam","Lớn hơn 0,5 gam",,a,"Hội chứng thận hư được định nghĩa khi có protein niệu ngưỡng thận hư, tức là trên 3,5 g/1,73 m2 da/24 giờ (hoặc > 3,5 g/24h ở người trưởng thành có thể trạng trung bình). Đây là ngưỡng cho thấy sự phá vỡ nghiêm trọng hàng rào lọc cầu thận. Nguồn: Bệnh học nội khoa YHN."
noi-benh-ly-cau-than-mcq-002,noi,Bệnh lý cầu thận,Thận tiết niệu,,Nguyên nhân nguyên phát thường gặp nhất gây hội chứng thận hư ở trẻ em là bệnh lý nào?,Viêm cầu thận màng,Xơ hóa cầu thận ổ cục bộ,Bệnh cầu thận thay đổi tối thiểu,Viêm cầu thận tăng sinh màng,,c,Bệnh cầu thận thay đổi tối thiểu chiếm 70-90% các trường hợp hội chứng thận hư ở trẻ em dưới 10 tuổi. Các bệnh lý như viêm cầu thận màng hay xơ hóa ổ cục bộ thường gặp hơn ở người lớn. Nguồn: Bệnh học nội khoa YHN.
noi-benh-ly-cau-than-mcq-003,noi,Bệnh lý cầu thận,Thận tiết niệu,,Bệnh lý nào là nguyên nhân phổ biến nhất gây viêm cầu thận nguyên phát trên toàn thế giới?,Viêm cầu thận hậu nhiễm liên cầu,Bệnh thận IgA,Viêm cầu thận màng,Viêm cầu thận tiến triển nhanh,,b,"Bệnh thận IgA (bệnh Berger) là bệnh viêm cầu thận nguyên phát phổ biến nhất trên thế giới, đặc trưng bởi sự lắng đọng IgA tại gian mao mạch. Bệnh thường biểu hiện bằng các đợt tiểu máu đại thể lặp đi lặp lại. Nguồn: Bệnh học nội khoa YHN."
noi-benh-ly-cau-than-mcq-004,noi,Bệnh lý cầu thận,Thận tiết niệu,,Bệnh lý toàn thân nào là nguyên nhân thứ phát thường gặp nhất gây tổn thương cầu thận ở người trưởng thành?,Bệnh lupus ban đỏ hệ thống,Viêm gan virus B và C,Nhiễm trùng huyết do vi khuẩn,Bệnh đái tháo đường typ 2,,d,Đái tháo đường (đặc biệt typ 2) là nguyên nhân hàng đầu gây bệnh thận mạn và tổn thương cầu thận thứ phát trên toàn cầu. Viêm cầu thận do lupus hay virus ít gặp hơn nhiều so với biến chứng thận do đái tháo đường. Theo CURRENT Medical Diagnosis and Treatment 2026.
noi-benh-ly-cau-than-mcq-005,noi,Bệnh lý cầu thận,Thận tiết niệu,,Đặc điểm tổn thương mô bệnh học đặc trưng nhất của viêm cầu thận tiến triển nhanh là gì?,Sự hình thành liềm tế bào,Sự dày lên của màng đáy,Sự lắng đọng phức hợp miễn dịch,Sự xóa mờ chân giả tế bào có chân,,a,"Viêm cầu thận tiến triển nhanh (RPGN) luôn đi kèm với hình ảnh tổn thương ""liềm tế bào"" (crescent) trên sinh thiết thận, chiếm trên 50% số cầu thận. Liềm này chèn ép búi mao mạch, gây suy giảm chức năng thận nhanh chóng. Nguồn: Bệnh học nội khoa YHN."
noi-benh-ly-cau-than-mcq-006,noi,Bệnh lý cầu thận,Thận tiết niệu,,Định nghĩa bất thường nước tiểu không triệu chứng trong bệnh lý cầu thận là gì?,"Phù, tăng huyết áp kèm tiểu máu",Tiểu máu vi thể hoặc tiểu protein đơn độc,Suy giảm chức năng thận tiến triển,Tiểu máu đại thể kèm cơn đau quặn thận,,b,"Bất thường nước tiểu không triệu chứng chỉ tình trạng bệnh nhân hoàn toàn bình thường về lâm sàng nhưng tình cờ phát hiện tiểu máu vi thể hoặc protein niệu dưới ngưỡng thận hư. Dạng này không có phù, tăng huyết áp hay suy thận cấp. Nguồn: Bệnh học nội khoa YHN."
noi-benh-ly-cau-than-mcq-007,noi,Bệnh lý cầu thận,Thận tiết niệu,,"Theo thuyết làm đầy dưới mức, cơ chế chính gây phù trong hội chứng thận hư là gì?",Tăng áp lực thủy tĩnh mao mạch,Tăng tính thấm thành mạch toàn thân,Giảm áp lực keo huyết tương,Tắc nghẽn hệ thống mạch bạch huyết,,c,"Thuyết ""underfill"" giải thích rằng mất protein qua nước tiểu gây giảm albumin máu, kéo theo giảm áp lực keo huyết tương. Điều này làm nước thoát khỏi lòng mạch vào khoảng kẽ gây phù, đồng thời kích hoạt hệ RAAS giữ muối nước. Nguồn: Bệnh học nội khoa YHN."
noi-benh-ly-cau-than-mcq-008,noi,Bệnh lý cầu thận,Thận tiết niệu,,Cơ chế bệnh sinh cốt lõi của bệnh cầu thận thay đổi tối thiểu là gì?,Lắng đọng kháng thể ở màng đáy,Tăng sinh tế bào gian mao mạch,Xơ hóa tổ chức kẽ và ống thận,Xóa mờ chân giả tế bào có chân,,d,"Dưới kính hiển vi điện tử, bệnh đặc trưng bởi sự lan rộng và xóa mờ các chân giả của tế bào có chân (podocyte effacement). Quá trình này phá vỡ hàng rào điện tích âm và cấu trúc lọc, gây rò rỉ protein lượng lớn. Nguồn: Bệnh học nội khoa YHN."
noi-benh-ly-cau-than-mcq-009,noi,Bệnh lý cầu thận,Thận tiết niệu,,Cơ chế tổn thương thận trong viêm cầu thận cấp hậu nhiễm liên cầu là gì?,Lắng đọng phức hợp miễn dịch tại cầu thận,Kháng thể tự miễn kháng màng đáy cầu thận,Độc tố vi khuẩn phá hủy trực tiếp màng lọc,Hoạt hóa bổ thể theo con đường thay thế,,a,"Đây là bệnh lý qua trung gian miễn dịch (quá mẫn type 3), trong đó phức hợp kháng nguyên vi khuẩn và kháng thể lưu hành bị giữ lại hoặc hình thành tại chỗ ở cầu thận. Quá trình này hoạt hóa bổ thể và thu hút bạch cầu gây viêm. Nguồn: Bệnh học nội khoa YHN."
noi-benh-ly-cau-than-mcq-010,noi,Bệnh lý cầu thận,Thận tiết niệu,,Tình trạng tăng đông máu trong hội chứng thận hư chủ yếu do mất chất nào qua nước tiểu?,Yếu tố đông máu VIII,Fibrinogen huyết tương,Antithrombin III,Plasminogen mô,,c,"Antithrombin III là một protein có trọng lượng phân tử tương đương albumin nên dễ dàng bị mất qua màng lọc tổn thương. Sự thiếu hụt chất ức chế đông máu tự nhiên này, cùng với sự tăng tổng hợp fibrinogen tại gan, dẫn đến huyết khối. Nguồn: Bệnh học nội khoa YHN."
