id,subject,chapter,group,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-axp-001,noi,Áp xe phổi,Hô hấp,Áp xe phổi hình ảnh X quang điển hình là:,"Hình hang có mức nước hơi, đk ngang ko đổi với phim chụp thẳng và nghiêng","Hình hang có mức nước hơi, đk ngang thay đổi giữa phim thẳng và nghiêng","Hình mờ có vỏ dày, có thể có tua, hoại tử bên trong","Hình mờ tam giác, đỉnh quay về rốn phổi.",,a,
noi-axp-002,noi,Áp xe phổi,Hô hấp,Chẩn đoán xác định nguyên nhân vi khuẩn gây áp xe phổi tốt nhất dựa trên:,Nhuộm soi trực tiếp,Nuôi cấy trong môi trường Lowenstein,Nuôi cấy trên môi trường ái khí và yếm khí.,"Tính chất, màu sắc của mủ.",,c,
noi-axp-003,noi,Áp xe phổi,Hô hấp,Áp xe phổi do căn nguyên nào gây mủ thối?,VK ái khí,Amip (mủ màu chocolate),VK yếm khí,VK Gram (-),,c,
noi-axp-004,noi,Áp xe phổi,Hô hấp,Triệu chứng đặc hiệu nhất của áp xe phổi?,Ộc mủ,HC 3 giảm,"Sốt cao, rét run.",HC đông đặc.,,a,
noi-axp-005,noi,Áp xe phổi,Hô hấp,Áp xe phổi nhiều ổ gặp trong,NKH,Sặc dầu,Trào ngược trong hôn mê,Dị vật đường thở,,a,
noi-axp-006,noi,Áp xe phổi,Hô hấp,Áp xe phổi nguyên phát,Dị vật,U chèn ép,NK hít phải,NK huyết,,c,
noi-axp-007,noi,Áp xe phổi,Hô hấp,"Bệnh nhân nam 37 tuổi sau nhổ răng số 8 xuất hiện sốt, rét run 39-40oC, ho khạc mủ thối, mệt mỏi, gầy sút cân, khám thực thể có hội chứng đông đặc vùng đáy phổi phải. Căn bệnh đầu tiên cần nghĩ đến ở bệnh nhân này là:",Viêm phổi thùy,Áp xe phổi,Kén phổi,Ung thư phế quản,,b,
noi-axp-008,noi,Áp xe phổi,Hô hấp,"Bệnh nhân nam 37 tuổi sau nhổ răng số 8 xuất hiện sốt, rét run 39-40oC, ho khạc mủ thối, mệt mỏi, gầy sút cân, khám thực thể có hội chứng đông đặc vùng đáy phổi phải. Kháng sinh sử dụng cho bệnh nhân này là:",Quinolon+AG+Metronidazol,Betalactam+AG+Metronidazol,Betalactam+Quinolon,Quinolon+Metronidazol,,b,
noi-axp-009,noi,Áp xe phổi,Hô hấp,Các giai đoạn của áp xe phổi gồm:,"Giai đoạn viêm, giai đoạn ộc mủ, giai đoạn thành hang.","Giai đoạn ủ bệnh, giai đoạn toàn phát, giai đoạn lui bệnh.","Giai đoạn viêm, giai đoạn thành hang, giai đoạn ộc mủ.","Giai đoạn ủ bệnh, giai đoạn thành hang, giai đoạn ộc mủ.",,a,
noi-axp-010,noi,Áp xe phổi,Hô hấp,"Nữ 25t vừa cắt amidan do viêm mủ, 2 tuần sau đau ngực phải âm ỉ, ho khạc đờm trắng đục, hơi thở thối, Xquang có hình hang, mức nước mức hơi. BC 15 G/L, trung tính 89% Nghĩ đến bệnh gì nhiều nhất",Lao.,Viêm phổi thùy,Giãn PQ,Aspxe phổi,,d,
noi-axp-011,noi,Áp xe phổi,Hô hấp,"Nữ 25t vừa cắt amidan do viêm mủ, 2 tuần sau đau ngực phải âm ỉ, ho khạc đờm trắng đục, hơi thở thối, Xquang có hình hang, mức nước mức hơi. BC 15 G/L, trung tính 89% XN CĐ căn nguyên",Mantoux,"AFB, CPR lao.","Nhuộm soi, nuôi cấy đờm",Định lượng procalcitonin,,c,
noi-axp-012,noi,Áp xe phổi,Hô hấp,"BN nam 40 tuổi, tiền sử tiêm chích ma túy, sốt 39-40 độ C, ho và khạc mủ 2 tuần nay. Khám v.viện: phổi có rale nổ rải rác, chụp phim X-quang ngực có nhiều hình hang rải rác 2 phổi. Chẩn đoán nghĩ đến nhiều nhất ở BN này?",Áp xe phổi,Giãn PQ thể lan tỏa,Viêm phổi,Viêm NTMNK,,a,
noi-axp-013,noi,Áp xe phổi,Hô hấp,"BN nam 40 tuổi, tiền sử tiêm chích ma túy, sốt 39-40 độ C, ho và khạc mủ 2 tuần nay. Khám v.viện: phổi có rale nổ rải rác, chụp phim X-quang ngực có nhiều hình hang rải rác 2 phổi. Cần phải làm XN gì cho BN này trước khi dùng kháng sinh?",PCR đờm,Cấy đờm và cấy máu,Công thức máu,Chụp X-quang phổi,,b,
