id,subject,chapter,group,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-utp-001,noi,Ung thư phổi,Hô hấp,"Trên bệnh nhân có tiền sử hút thuốc lá, thuốc lào nhiều năm nhóm triệu chứng nào sau đây hướng nhiều đến ung thư phế quản nhất:","Có ho máu, sốt về chiều",Ho máu lai rai thường vào sáng sớm lẫn với đờm,"Có ho máu, mủ kèm theo sốt","Ho máu lai rai thường vào sáng sớm, đau ngực dùng giảm đau thông thường không đỡ",,d,
noi-utp-002,noi,Ung thư phổi,Hô hấp,"Ở bệnh nhân nghi có ung thư phổi, bộ phận thường hay bị xâm lấn ung thư nhất là:","Da, niêm mạc","Lông, móng tay",Hạch thượng đòn,Tuyến giáp,,c,
noi-utp-003,noi,Ung thư phổi,Hô hấp,Bệnh nhân có hội chứng Pierre – Marie thường có,"Khe mí mắt hẹp, đồng tử co, mặt bên bệnh lúc đỏ lúc tái","Có đau khớp vai, từ nách lan theo dọc cánh tay đến các ngón tay","Khi có khàn tiếng kéo dài, tăng dần","Khi bệnh nhân có móng tay khum, ngón tay chân hình dùi trống, đau các xương dài, các khớp nhỡ",,d,
noi-utp-004,noi,Ung thư phổi,Hô hấp,"Bệnh nhân có tiền sử hút thuốc lá, thuốc lào nhiều năm, hướng nhiều đến ung thư phế quản khi trên x quang phổi thẳng thấy:","Một vùng phổi mờ, hình tam giác","Một vùng phổi mờ, hình tam giác có hình phế quản hơi",Một vùng phổi mờ hình tam giác có hoại tử trung tâm,"Một vùng phổi mờ, hình tam giác có co kéo các tạng xung quanh và hạch trung thất to",,d,(xẹp phổi 🡪 chữ S)
noi-utp-005,noi,Ung thư phổi,Hô hấp,Xét nghiệm nào cho phép xác định mô bệnh học ung thư phế quản:,Tìm tế bào ung thư trong đờm,Soi phế quản sinh thiết,Chụp phổi thẳng,Chụp CT ngực,,b,
noi-utp-006,noi,Ung thư phổi,Hô hấp,Khàn giọng trong ung thư phổi là do nguyên nhân gì?,Do chèn ép TK hoành,Do chèn ép khí quản,Do chèn ép thần kinh quặt ngược thanh quản,Do chèn ép vào thực quản,,c,
noi-utp-007,noi,Ung thư phổi,Hô hấp,Phương pháp nào để lấy bệnh phẩm làm tế bào học và mô bệnh học trong chẩn đoán ung thư phổi: Trừ???,Chọc hút DMP và sinh thiết MP,Chọc hút khói u xuyên thành ngực,Nội soi PQ,Sinh thiết tủy xương khi có hc Pieri-marie,,d,
noi-utp-008,noi,Ung thư phổi,Hô hấp,Tràn dịch dưỡng chấp màng phổi trong K phổi do:,Chen ép vào lồng ngực,Di căn hạch trung thất,Di căn màng phổi,Di căn mạch bạch huyết,,d,
noi-utp-009,noi,Ung thư phổi,Hô hấp,Các đặc điểm hạch di căn trong ung thư phổi TRỪ:,"Cứng, chắc",Dính với nhau hoặc dính với tổ chức dưới da,"Hạch mềm, di động dễ",Kích thước hạch không gợi ý hạch ác tính,,c,
noi-utp-010,noi,Ung thư phổi,Hô hấp,"Case lâm sang, u phổi 4x5 cm đã ăn vào rốn phổi, có di căn hạch rốn phổi cùng bên,…không có dịch màng phổi, dịch rửa phế quản chả có gì, không có di căn gần xa,chọc hút xuyên thành xuyên vách gì đó ra tế bào nhỏ Điều trị ở bệnh nhân này",Phẫu thuật,Phẫu thuật+ hóa trị,Hóa trị đơn thuần,,,c,
