id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-suy-tim-casen2-1-1,noi,Suy tim,Tim mạch,"Bệnh nhân nam 62 tuổi, tiền sử tăng huyết áp và hút thuốc lá 40 bao.năm, vào viện vì khó thở tăng dần khi gắng sức kèm phù hai chi dưới trong 2 tuần qua. Bệnh nhân không sốt, không ho khạc đờm mủ, không đau ngực dữ dội cấp tính. Khám lúc vào viện: tỉnh táo, mạch 95 lần/phút, huyết áp 145/90 mmHg, nhịp thở 22 lần/phút, SpO₂ 93% với khí trời, tĩnh mạch cổ nổi tư thế 45 độ, tim đều, có tiếng ngựa phi T3 tại mỏm, phổi rải rác ran ẩm nhỏ hạt ở hai đáy. Cận lâm sàng: nồng độ NT-proBNP huyết thanh là 2450 pg/mL, nồng độ troponin T huyết thanh là 11 ng/L, độ thanh thải creatinin ước tính là 65 mL/phút, nồng độ kali máu là 4,1 mmol/L. Siêu âm tim qua thành ngực ghi nhận phân suất tống máu thất trái (LVEF) giảm còn 32%, giảm vận động vùng thành trước tim, buồng thất trái giãn với đường kính cuối tâm trương (Dd) là 62 mm.",Chẩn đoán lâm sàng phù hợp nhất ở bệnh nhân này là gì?,Đợt cấp mất bù suy tim mạn,Suy tim cấp thể ấm - lạnh,Hội chứng động mạch vành cấp,Tâm phế mạn tính mất bù,,a,"Bệnh nhân có bệnh cảnh lâm sàng diễn tiến kéo dài 2 tuần với các triệu chứng ứ dịch rõ rệt như phù chân, tĩnh mạch cổ nổi, và ran ẩm ở phổi. Siêu âm tim có bằng chứng tái cấu trúc cơ tim mạn tính (buồng tim giãn Dd 62 mm). Troponin T dưới ngưỡng chẩn đoán cấp tính (< 14 ng/L) giúp loại trừ nhồi máu cơ tim cấp. Ý phải nhớ: Suy tim mạn tiến triển có triệu chứng ứ dịch ngoại vi rõ ràng hướng tới đợt cấp mất bù của suy tim mạn."
noi-suy-tim-casen2-1-2,noi,Suy tim,Tim mạch,"Bệnh nhân nam 62 tuổi, tiền sử tăng huyết áp và hút thuốc lá 40 bao.năm, vào viện vì khó thở tăng dần khi gắng sức kèm phù hai chi dưới trong 2 tuần qua. Bệnh nhân không sốt, không ho khạc đờm mủ, không đau ngực dữ dội cấp tính. Khám lúc vào viện: tỉnh táo, mạch 95 lần/phút, huyết áp 145/90 mmHg, nhịp thở 22 lần/phút, SpO₂ 93% với khí trời, tĩnh mạch cổ nổi tư thế 45 độ, tim đều, có tiếng ngựa phi T3 tại mỏm, phổi rải rác ran ẩm nhỏ hạt ở hai đáy. Cận lâm sàng: nồng độ NT-proBNP huyết thanh là 2450 pg/mL, nồng độ troponin T huyết thanh là 11 ng/L, độ thanh thải creatinin ước tính là 65 mL/phút, nồng độ kali máu là 4,1 mmol/L. Siêu âm tim qua thành ngực ghi nhận phân suất tống máu thất trái (LVEF) giảm còn 32%, giảm vận động vùng thành trước tim, buồng thất trái giãn với đường kính cuối tâm trương (Dd) là 62 mm.","Cho các mệnh đề về chẩn đoán và phân loại suy tim ở bệnh nhân này: (1) Bệnh nhân thuộc nhóm suy tim phân suất tống máu giảm (HFrEF). (2) Tiếng T3 phản ánh sự đổ đầy thất nhanh chóng trong giai đoạn đầu tâm trương vào một buồng thất trái giãn, giảm độ đàn hồi. (3) Nồng độ NT-proBNP > 300 pg/mL ở bệnh nhân nội trú giúp ủng hộ chẩn đoán suy tim cấp. (4) Bệnh nhân được phân loại suy tim cấp thể ""Lạnh và Ẩm"" theo phân loại Stevenson. Tập hợp các mệnh đề đúng là:","(1), (2), (3)","(1), (2), (4)","(2), (3), (4)","(1), (3), (4)",,a,"Mệnh đề (1) đúng vì LVEF 32% ≤ 40%. Mệnh đề (2) đúng vì tiếng T3 cơ năng xuất hiện do dòng máu dội vách thất giãn rộng giai đoạn tâm trương sớm. Mệnh đề (3) đúng vì điểm cắt NT-proBNP nội trú là 300 pg/mL. Mệnh đề (4) sai vì bệnh nhân có huyết áp ổn định 145/90 mmHg, tỉnh táo, không có dấu hiệu giảm tưới máu ngoại vi nên thuộc thể ""Ấm và Ẩm"". Ý phải nhớ: Đánh giá thể lâm sàng suy tim cấp dựa vào tình trạng sung huyết (Ẩm/Khô) và tưới máu ngoại vi (Ấm/Lạnh)."
noi-suy-tim-casen2-1-3,noi,Suy tim,Tim mạch,"Bệnh nhân nam 62 tuổi, tiền sử tăng huyết áp và hút thuốc lá 40 bao.năm, vào viện vì khó thở tăng dần khi gắng sức kèm phù hai chi dưới trong 2 tuần qua. Bệnh nhân không sốt, không ho khạc đờm mủ, không đau ngực dữ dội cấp tính. Khám lúc vào viện: tỉnh táo, mạch 95 lần/phút, huyết áp 145/90 mmHg, nhịp thở 22 lần/phút, SpO₂ 93% với khí trời, tĩnh mạch cổ nổi tư thế 45 độ, tim đều, có tiếng ngựa phi T3 tại mỏm, phổi rải rác ran ẩm nhỏ hạt ở hai đáy. Cận lâm sàng: nồng độ NT-proBNP huyết thanh là 2450 pg/mL, nồng độ troponin T huyết thanh là 11 ng/L, độ thanh thải creatinin ước tính là 65 mL/phút, nồng độ kali máu là 4,1 mmol/L. Siêu âm tim qua thành ngực ghi nhận phân suất tống máu thất trái (LVEF) giảm còn 32%, giảm vận động vùng thành trước tim, buồng thất trái giãn với đường kính cuối tâm trương (Dd) là 62 mm.",Thăm dò cận lâm sàng nào tiếp theo có giá trị nhất để xác định nguyên nhân nền tảng gây suy tim ở bệnh nhân này?,Chụp động mạch vành qua da,Chụp cộng hưởng từ tim,Ghi điện tâm đồ Holter 24 giờ,Siêu âm tim qua thực quản,,a,"Kết quả siêu âm tim cho thấy có rối loạn vận động vùng khu trú (giảm vận động thành trước), trên nền bệnh nhân nam tuổi trung niên có yếu tố nguy cơ tim mạch rất cao (hút thuốc lá nhiều, tăng huyết áp). Thăm dò mạch vành giúp xác định chính xác tổn thương hẹp lòng mạch do xơ vữa để có chiến lược tái thông. Ý phải nhớ: Giảm vận động vùng khu trú trên siêu âm tim là chỉ điểm gợi ý cao nguyên nhân thiếu máu cục bộ cơ tim."
noi-suy-tim-casen2-1-4,noi,Suy tim,Tim mạch,"Bệnh nhân nam 62 tuổi, tiền sử tăng huyết áp và hút thuốc lá 40 bao.năm, vào viện vì khó thở tăng dần khi gắng sức kèm phù hai chi dưới trong 2 tuần qua. Bệnh nhân không sốt, không ho khạc đờm mủ, không đau ngực dữ dội cấp tính. Khám lúc vào viện: tỉnh táo, mạch 95 lần/phút, huyết áp 145/90 mmHg, nhịp thở 22 lần/phút, SpO₂ 93% với khí trời, tĩnh mạch cổ nổi tư thế 45 độ, tim đều, có tiếng ngựa phi T3 tại mỏm, phổi rải rác ran ẩm nhỏ hạt ở hai đáy. Cận lâm sàng: nồng độ NT-proBNP huyết thanh là 2450 pg/mL, nồng độ troponin T huyết thanh là 11 ng/L, độ thanh thải creatinin ước tính là 65 mL/phút, nồng độ kali máu là 4,1 mmol/L. Siêu âm tim qua thành ngực ghi nhận phân suất tống máu thất trái (LVEF) giảm còn 32%, giảm vận động vùng thành trước tim, buồng thất trái giãn với đường kính cuối tâm trương (Dd) là 62 mm.",Nhóm thuốc nào sau đây cần được chỉ định ngay lập tức để cải thiện triệu chứng ứ dịch của bệnh nhân?,Lợi tiểu quai đường tĩnh mạch,Ức chế men chuyển lisinopril,Chẹn beta giao cảm metoprolol,Lợi tiểu kháng aldosterone spironolactone,,a,"Bệnh nhân đang trong tình trạng quá tải thể tích (quá tải tuần hoàn ngoại vi và sung huyết phổi) gây khó thở và giảm SpO₂. Lợi tiểu quai đường tĩnh mạch là chỉ định đầu tay mang lại hiệu quả giảm tiền gánh và cải thiện nhanh triệu chứng. Thuốc chẹn beta giao cảm bị chống chỉ định khởi đầu khi bệnh nhân còn tình trạng ứ dịch và suy tim mất bù cấp. Ý phải nhớ: Chỉ khởi trị chẹn beta khi bệnh nhân đã đạt trạng thái ""khô"" (hết sung huyết)."
noi-suy-tim-casen2-1-5,noi,Suy tim,Tim mạch,"Bệnh nhân nam 62 tuổi, tiền sử tăng huyết áp và hút thuốc lá 40 bao.năm, vào viện vì khó thở tăng dần khi gắng sức kèm phù hai chi dưới trong 2 tuần qua. Bệnh nhân không sốt, không ho khạc đờm mủ, không đau ngực dữ dội cấp tính. Khám lúc vào viện: tỉnh táo, mạch 95 lần/phút, huyết áp 145/90 mmHg, nhịp thở 22 lần/phút, SpO₂ 93% với khí trời, tĩnh mạch cổ nổi tư thế 45 độ, tim đều, có tiếng ngựa phi T3 tại mỏm, phổi rải rác ran ẩm nhỏ hạt ở hai đáy. Cận lâm sàng: nồng độ NT-proBNP huyết thanh là 2450 pg/mL, nồng độ troponin T huyết thanh là 11 ng/L, độ thanh thải creatinin ước tính là 65 mL/phút, nồng độ kali máu là 4,1 mmol/L. Siêu âm tim qua thành ngực ghi nhận phân suất tống máu thất trái (LVEF) giảm còn 32%, giảm vận động vùng thành trước tim, buồng thất trái giãn với đường kính cuối tâm trương (Dd) là 62 mm.",Nhóm thuốc nào sau đây KHÔNG thuộc bốn trụ cột giúp cải thiện tiên lượng tử vong lâu dài ở bệnh nhân suy tim phân suất tống máu giảm ổn định?,Lợi tiểu quai furosemide,Ức chế thụ thể - neprilysin,Chẹn beta giao cảm,Ức chế đồng vận muối - glucose 2,,a,Lợi tiểu quai furosemide có vai trò chính trong điều
noi-suy-tim-casen2-2-1,noi,Suy tim,Tim mạch,"này? A. Ức chế men chuyển. B. Lợi tiểu quai. C. Thuốc giãn mạch nitrat. D. Digoxin liều thấp. 4. Lợi tiểu quai (như furosemide) là nhóm thuốc hàng đầu được chỉ định ngay để giảm nhanh tình trạng quá tải thể tích, giảm áp lực đổ đầy thất và cải thiện triệu chứng khó thở cũng như phù ngoại vi. Thuốc chẹn beta hay ức chế men chuyển cần được chỉnh liều sau khi huyết động và tình trạng dịch đã ổn định. 5. Thuốc ức chế men chuyển (ACEi) đã được chứng minh qua nhiều thử nghiệm lâm sàng lớn giúp ngăn chặn quá trình tái cấu trúc cơ tim, làm giảm tỷ lệ tử vong và nhập viện lâu dài ở bệnh nhân suy tim mạn tính. Lợi tiểu hay digoxin chủ yếu cải thiện triệu chứng và giảm nhập viện, không cải thiện tỷ lệ tử vong lâu dài. Nguồn tham khảo: Sách Bệnh học Nội khoa Tập 1 - Trường Đại học Y Hà Nội (Bài Suy tim). Bệnh nhân nữ 24 tuổi, nghề nghiệp sinh viên, vào viện vì khó thở dữ dội và hồi hộp trống ngực. Cách vào viện 2 tuần bệnh nhân có biểu hiện sốt nhẹ, đau họng, tự khỏi sau 3 ngày; không có tiền sử bệnh lý tim mạch, không ghi nhận tiền sử hen phế quản hay dị ứng thuốc. Khám lâm sàng ghi nhận bệnh nhân tỉnh, hốt hoảng, vã mồ hôi, không phù ngoại vi, không có gan to dưới bờ sườn. Mạch 125 chu kỳ/phút không đều, huyết áp 95/60 mmHg, nhiệt độ 37.2 độ C, nhịp thở 32 lần/phút, SpO2 88% với khí trời. Nghe tim thấy tiếng T3 ngựa phi rõ ở mỏm tim, có tiếng thổi tâm thu nhẹ 2/6 ở mỏm, phổi nghe rải rác nhiều ran ẩm và ran rít khắp hai phế trường. Ba chẩn đoán phân biệt gồm hen phế quản ác tính, thuyên tắc phổi cấp, và viêm phổi nặng do virus.",Chẩn đoán cấp cứu phù hợp nhất ở bệnh nhân hiện tại là gì?,Phù phổi cấp.,Sốc nhiễm khuẩn.,Hen phế quản cấp.,Thuyên tắc phổi.,,a,"Bệnh nhân có biểu hiện suy tim trái cấp tính tiến triển rầm rộ (mạch nhanh, tim có tiếng ngựa phi T3, rải rác nhiều ran ẩm rầm rộ khắp hai phế trường) phù hợp với bệnh cảnh phù phổi cấp cơ năng do viêm cơ tim cấp sau nhiễm virus. Huyết áp chưa tụt sâu đến mức sốc tim nhưng tình trạng hô hấp nguy kịch đòi hỏi xử trí phù phổi."
noi-suy-tim-casen2-2-2,noi,Suy tim,Tim mạch,"này? A. Ức chế men chuyển. B. Lợi tiểu quai. C. Thuốc giãn mạch nitrat. D. Digoxin liều thấp. 4. Lợi tiểu quai (như furosemide) là nhóm thuốc hàng đầu được chỉ định ngay để giảm nhanh tình trạng quá tải thể tích, giảm áp lực đổ đầy thất và cải thiện triệu chứng khó thở cũng như phù ngoại vi. Thuốc chẹn beta hay ức chế men chuyển cần được chỉnh liều sau khi huyết động và tình trạng dịch đã ổn định. 5. Thuốc ức chế men chuyển (ACEi) đã được chứng minh qua nhiều thử nghiệm lâm sàng lớn giúp ngăn chặn quá trình tái cấu trúc cơ tim, làm giảm tỷ lệ tử vong và nhập viện lâu dài ở bệnh nhân suy tim mạn tính. Lợi tiểu hay digoxin chủ yếu cải thiện triệu chứng và giảm nhập viện, không cải thiện tỷ lệ tử vong lâu dài. Nguồn tham khảo: Sách Bệnh học Nội khoa Tập 1 - Trường Đại học Y Hà Nội (Bài Suy tim). Bệnh nhân nữ 24 tuổi, nghề nghiệp sinh viên, vào viện vì khó thở dữ dội và hồi hộp trống ngực. Cách vào viện 2 tuần bệnh nhân có biểu hiện sốt nhẹ, đau họng, tự khỏi sau 3 ngày; không có tiền sử bệnh lý tim mạch, không ghi nhận tiền sử hen phế quản hay dị ứng thuốc. Khám lâm sàng ghi nhận bệnh nhân tỉnh, hốt hoảng, vã mồ hôi, không phù ngoại vi, không có gan to dưới bờ sườn. Mạch 125 chu kỳ/phút không đều, huyết áp 95/60 mmHg, nhiệt độ 37.2 độ C, nhịp thở 32 lần/phút, SpO2 88% với khí trời. Nghe tim thấy tiếng T3 ngựa phi rõ ở mỏm tim, có tiếng thổi tâm thu nhẹ 2/6 ở mỏm, phổi nghe rải rác nhiều ran ẩm và ran rít khắp hai phế trường. Ba chẩn đoán phân biệt gồm hen phế quản ác tính, thuyên tắc phổi cấp, và viêm phổi nặng do virus.",Tiêu chuẩn chẩn đoán tổn thương cơ tim trên cộng hưởng từ tim phù hợp cho bệnh nhân này?,Tiêu chuẩn Lake Louise.,Tiêu chuẩn Duke cải tiến.,Tiêu chuẩn Jones cải tiến.,Tiêu chuẩn Framingham.,,a,"Tiêu chuẩn Lake Louise là tiêu chuẩn chuẩn hóa quốc tế dựa trên cộng hưởng từ tim (MRI) để chẩn đoán viêm cơ tim cấp, đánh giá các dấu hiệu phù nề nhu mô, sung huyết và tổn thương hoại tử/xơ hóa cơ tim muộn. Các tiêu chuẩn còn lại dùng cho viêm nội tâm mạc (Duke), thấp tim (Jones) hoặc chẩn đoán suy tim mạn (Framingham)."
noi-suy-tim-casen2-2-3,noi,Suy tim,Tim mạch,"này? A. Ức chế men chuyển. B. Lợi tiểu quai. C. Thuốc giãn mạch nitrat. D. Digoxin liều thấp. 4. Lợi tiểu quai (như furosemide) là nhóm thuốc hàng đầu được chỉ định ngay để giảm nhanh tình trạng quá tải thể tích, giảm áp lực đổ đầy thất và cải thiện triệu chứng khó thở cũng như phù ngoại vi. Thuốc chẹn beta hay ức chế men chuyển cần được chỉnh liều sau khi huyết động và tình trạng dịch đã ổn định. 5. Thuốc ức chế men chuyển (ACEi) đã được chứng minh qua nhiều thử nghiệm lâm sàng lớn giúp ngăn chặn quá trình tái cấu trúc cơ tim, làm giảm tỷ lệ tử vong và nhập viện lâu dài ở bệnh nhân suy tim mạn tính. Lợi tiểu hay digoxin chủ yếu cải thiện triệu chứng và giảm nhập viện, không cải thiện tỷ lệ tử vong lâu dài. Nguồn tham khảo: Sách Bệnh học Nội khoa Tập 1 - Trường Đại học Y Hà Nội (Bài Suy tim). Bệnh nhân nữ 24 tuổi, nghề nghiệp sinh viên, vào viện vì khó thở dữ dội và hồi hộp trống ngực. Cách vào viện 2 tuần bệnh nhân có biểu hiện sốt nhẹ, đau họng, tự khỏi sau 3 ngày; không có tiền sử bệnh lý tim mạch, không ghi nhận tiền sử hen phế quản hay dị ứng thuốc. Khám lâm sàng ghi nhận bệnh nhân tỉnh, hốt hoảng, vã mồ hôi, không phù ngoại vi, không có gan to dưới bờ sườn. Mạch 125 chu kỳ/phút không đều, huyết áp 95/60 mmHg, nhiệt độ 37.2 độ C, nhịp thở 32 lần/phút, SpO2 88% với khí trời. Nghe tim thấy tiếng T3 ngựa phi rõ ở mỏm tim, có tiếng thổi tâm thu nhẹ 2/6 ở mỏm, phổi nghe rải rác nhiều ran ẩm và ran rít khắp hai phế trường. Ba chẩn đoán phân biệt gồm hen phế quản ác tính, thuyên tắc phổi cấp, và viêm phổi nặng do virus.",Xét nghiệm máu nào có giá trị cao nhất giúp định hướng nguyên nhân suy tim cấp ở bệnh nhân này?,Định lượng Troponin T.,Định lượng NT-proBNP.,Số lượng bạch cầu.,Định lượng protein C.,,a,Định lượng Troponin T hoặc Troponin I có giá trị cao nhất để chẩn đoán tình trạng hoại tử tế bào cơ tim cấp tính trong viêm cơ tim. NT-proBNP giúp xác định có suy tim nhưng không chỉ điểm được tổn thương viêm hoại tử cơ tim cấp tính đang diễn ra. Bạch cầu hay CRP chỉ phản ánh tình trạng viêm hệ thống không đặc hiệu.
noi-suy-tim-casen2-2-4,noi,Suy tim,Tim mạch,"này? A. Ức chế men chuyển. B. Lợi tiểu quai. C. Thuốc giãn mạch nitrat. D. Digoxin liều thấp. 4. Lợi tiểu quai (như furosemide) là nhóm thuốc hàng đầu được chỉ định ngay để giảm nhanh tình trạng quá tải thể tích, giảm áp lực đổ đầy thất và cải thiện triệu chứng khó thở cũng như phù ngoại vi. Thuốc chẹn beta hay ức chế men chuyển cần được chỉnh liều sau khi huyết động và tình trạng dịch đã ổn định. 5. Thuốc ức chế men chuyển (ACEi) đã được chứng minh qua nhiều thử nghiệm lâm sàng lớn giúp ngăn chặn quá trình tái cấu trúc cơ tim, làm giảm tỷ lệ tử vong và nhập viện lâu dài ở bệnh nhân suy tim mạn tính. Lợi tiểu hay digoxin chủ yếu cải thiện triệu chứng và giảm nhập viện, không cải thiện tỷ lệ tử vong lâu dài. Nguồn tham khảo: Sách Bệnh học Nội khoa Tập 1 - Trường Đại học Y Hà Nội (Bài Suy tim). Bệnh nhân nữ 24 tuổi, nghề nghiệp sinh viên, vào viện vì khó thở dữ dội và hồi hộp trống ngực. Cách vào viện 2 tuần bệnh nhân có biểu hiện sốt nhẹ, đau họng, tự khỏi sau 3 ngày; không có tiền sử bệnh lý tim mạch, không ghi nhận tiền sử hen phế quản hay dị ứng thuốc. Khám lâm sàng ghi nhận bệnh nhân tỉnh, hốt hoảng, vã mồ hôi, không phù ngoại vi, không có gan to dưới bờ sườn. Mạch 125 chu kỳ/phút không đều, huyết áp 95/60 mmHg, nhiệt độ 37.2 độ C, nhịp thở 32 lần/phút, SpO2 88% với khí trời. Nghe tim thấy tiếng T3 ngựa phi rõ ở mỏm tim, có tiếng thổi tâm thu nhẹ 2/6 ở mỏm, phổi nghe rải rác nhiều ran ẩm và ran rít khắp hai phế trường. Ba chẩn đoán phân biệt gồm hen phế quản ác tính, thuyên tắc phổi cấp, và viêm phổi nặng do virus.",Biện pháp hỗ trợ hô hấp ban đầu phù hợp nhất cho bệnh nhân?,Thở máy không xâm nhập.,Thở oxy qua gọng kính.,Đặt nội khí quản ngay.,Thở oxy qua mặt nạ.,,a,"Thở máy không xâm nhập (NIV/CPAP) là biện pháp hỗ trợ hô hấp tối ưu ban đầu cho phù phổi cấp, giúp tạo áp lực dương cuối thì thở ra, đẩy dịch từ phế nang về lại mao mạch, giảm công thở và cải thiện SpO2 nhanh chóng. Thở gọng kính hay mặt nạ không tạo được áp lực dương phế nang, đặt nội khí quản chỉ khi NIV thất bại."
noi-suy-tim-casen2-2-5,noi,Suy tim,Tim mạch,"này? A. Ức chế men chuyển. B. Lợi tiểu quai. C. Thuốc giãn mạch nitrat. D. Digoxin liều thấp. 4. Lợi tiểu quai (như furosemide) là nhóm thuốc hàng đầu được chỉ định ngay để giảm nhanh tình trạng quá tải thể tích, giảm áp lực đổ đầy thất và cải thiện triệu chứng khó thở cũng như phù ngoại vi. Thuốc chẹn beta hay ức chế men chuyển cần được chỉnh liều sau khi huyết động và tình trạng dịch đã ổn định. 5. Thuốc ức chế men chuyển (ACEi) đã được chứng minh qua nhiều thử nghiệm lâm sàng lớn giúp ngăn chặn quá trình tái cấu trúc cơ tim, làm giảm tỷ lệ tử vong và nhập viện lâu dài ở bệnh nhân suy tim mạn tính. Lợi tiểu hay digoxin chủ yếu cải thiện triệu chứng và giảm nhập viện, không cải thiện tỷ lệ tử vong lâu dài. Nguồn tham khảo: Sách Bệnh học Nội khoa Tập 1 - Trường Đại học Y Hà Nội (Bài Suy tim). Bệnh nhân nữ 24 tuổi, nghề nghiệp sinh viên, vào viện vì khó thở dữ dội và hồi hộp trống ngực. Cách vào viện 2 tuần bệnh nhân có biểu hiện sốt nhẹ, đau họng, tự khỏi sau 3 ngày; không có tiền sử bệnh lý tim mạch, không ghi nhận tiền sử hen phế quản hay dị ứng thuốc. Khám lâm sàng ghi nhận bệnh nhân tỉnh, hốt hoảng, vã mồ hôi, không phù ngoại vi, không có gan to dưới bờ sườn. Mạch 125 chu kỳ/phút không đều, huyết áp 95/60 mmHg, nhiệt độ 37.2 độ C, nhịp thở 32 lần/phút, SpO2 88% với khí trời. Nghe tim thấy tiếng T3 ngựa phi rõ ở mỏm tim, có tiếng thổi tâm thu nhẹ 2/6 ở mỏm, phổi nghe rải rác nhiều ran ẩm và ran rít khắp hai phế trường. Ba chẩn đoán phân biệt gồm hen phế quản ác tính, thuyên tắc phổi cấp, và viêm phổi nặng do virus.","Nếu huyết áp bệnh nhân tụt xuống 75/45 mmHg kèm thiểu niệu, thuốc vận mạch nào ưu tiên?",Dobutamine.,Propranolol.,Metoprolol.,Nitroglycerin.,,a,Khi phù phổi cấp tiến triển thành sốc tim (huyết
