id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-suy-than-cap-casen2-1-1,noi,Suy thận cấp,Thận tiết niệu,"TÌNH HUỐNG 1: Bệnh nhân nam, 24 tuổi, sinh viên, được đưa vào cấp cứu vì mệt lả và nôn ói nhiều. Bệnh nhân khai 2 ngày nay bị đau bụng quanh rốn, tiêu chảy liên tục trên 10 lần/ngày, phân lỏng nước, không lẫn máu, kèm theo nôn ói nhiều sau khi ăn uống và sốt nhẹ. Bệnh nhân cảm thấy rất khát, môi khô, chóng mặt khi thay đổi tư thế và đi tiểu rất ít, nước tiểu sậm màu. Tiền sử hoàn toàn khỏe mạnh, không dùng thuốc gì. Khám lúc vào viện: bệnh nhân tỉnh nhưng mệt, vẻ mặt hốc hác. Sinh hiệu: mạch 120 lần/phút, huyết áp 90/60 mmHg (tư thế nằm, huyết áp tư thế đứng không đo được do bệnh nhân choáng váng), nhịp thở 22 lần/phút, nhiệt độ 37.8°C, SpO₂ 99% khí trời. Da khô, véo da mất chậm, niêm mạc miệng và lưỡi khô, mắt trũng. Tim nhịp nhanh đều, phổi thông khí rõ, không ran. Bụng mềm, ấn đau nhẹ quanh rốn. Cận lâm sàng: Creatinin huyết thanh 250 μmol/L (xét nghiệm sức khỏe 6 tháng trước Creatinin là 80 μmol/L), Urê 15.2 mmol/L, Na⁺ 148 mmol/L, K⁺ 3.2 mmol/L, HCO₃⁻ 18 mmol/L. Tổng phân tích nước tiểu có tỷ trọng 1.030, không có protein hay hồng cầu, cặn lắng nước tiểu bình thường. Siêu âm bụng cho thấy thận hai bên kích thước và cấu trúc bình thường, không ứ nước.",Phân loại tổn thương thận cấp (AKI) của bệnh nhân này là gì?,Bệnh thận mạn đợt cấp.,AKI sau thận.,AKI trước thận.,AKI tại thận.,,c,"Bệnh cảnh một bệnh nhân trẻ, khỏe mạnh bị suy giảm chức năng thận cấp tính trong bối cảnh mất dịch nặng (tiêu chảy, nôn ói) với các dấu hiệu lâm sàng của giảm thể tích tuần hoàn (mạch nhanh, huyết áp tụt, da khô) là điển hình cho tổn thương thận cấp trước thận."
noi-suy-than-cap-casen2-1-2,noi,Suy thận cấp,Thận tiết niệu,"TÌNH HUỐNG 1: Bệnh nhân nam, 24 tuổi, sinh viên, được đưa vào cấp cứu vì mệt lả và nôn ói nhiều. Bệnh nhân khai 2 ngày nay bị đau bụng quanh rốn, tiêu chảy liên tục trên 10 lần/ngày, phân lỏng nước, không lẫn máu, kèm theo nôn ói nhiều sau khi ăn uống và sốt nhẹ. Bệnh nhân cảm thấy rất khát, môi khô, chóng mặt khi thay đổi tư thế và đi tiểu rất ít, nước tiểu sậm màu. Tiền sử hoàn toàn khỏe mạnh, không dùng thuốc gì. Khám lúc vào viện: bệnh nhân tỉnh nhưng mệt, vẻ mặt hốc hác. Sinh hiệu: mạch 120 lần/phút, huyết áp 90/60 mmHg (tư thế nằm, huyết áp tư thế đứng không đo được do bệnh nhân choáng váng), nhịp thở 22 lần/phút, nhiệt độ 37.8°C, SpO₂ 99% khí trời. Da khô, véo da mất chậm, niêm mạc miệng và lưỡi khô, mắt trũng. Tim nhịp nhanh đều, phổi thông khí rõ, không ran. Bụng mềm, ấn đau nhẹ quanh rốn. Cận lâm sàng: Creatinin huyết thanh 250 μmol/L (xét nghiệm sức khỏe 6 tháng trước Creatinin là 80 μmol/L), Urê 15.2 mmol/L, Na⁺ 148 mmol/L, K⁺ 3.2 mmol/L, HCO₃⁻ 18 mmol/L. Tổng phân tích nước tiểu có tỷ trọng 1.030, không có protein hay hồng cầu, cặn lắng nước tiểu bình thường. Siêu âm bụng cho thấy thận hai bên kích thước và cấu trúc bình thường, không ứ nước.",Cơ chế sinh lý bệnh chính dẫn đến tình trạng suy giảm chức năng thận ở bệnh nhân này là gì?,Phản ứng viêm kẽ thận do dị ứng với tác nhân nhiễm trùng.,Viêm hoại tử ống thận cấp do độc tố của vi khuẩn đường ruột.,"Giảm thể tích tuần hoàn hiệu dụng, dẫn đến giảm tưới máu thận và giảm mức lọc cầu thận.",Tắc nghẽn ống thận do các trụ tế bào.,,c,"Do mất dịch qua đường tiêu hóa, thể tích tuần hoàn trong lòng mạch của bệnh nhân giảm sút nghiêm trọng. Cơ thể phản ứng bằng cách co mạch (bao gồm cả tiểu động mạch đến của thận) và kích hoạt hệ RAA để giữ muối nước. Tuy nhiên, khi tình trạng giảm thể tích quá nặng, lưu lượng máu đến thận sẽ giảm, dẫn đến giảm áp lực lọc tại cầu thận và suy giảm chức năng thận."
noi-suy-than-cap-casen2-1-3,noi,Suy thận cấp,Thận tiết niệu,"TÌNH HUỐNG 1: Bệnh nhân nam, 24 tuổi, sinh viên, được đưa vào cấp cứu vì mệt lả và nôn ói nhiều. Bệnh nhân khai 2 ngày nay bị đau bụng quanh rốn, tiêu chảy liên tục trên 10 lần/ngày, phân lỏng nước, không lẫn máu, kèm theo nôn ói nhiều sau khi ăn uống và sốt nhẹ. Bệnh nhân cảm thấy rất khát, môi khô, chóng mặt khi thay đổi tư thế và đi tiểu rất ít, nước tiểu sậm màu. Tiền sử hoàn toàn khỏe mạnh, không dùng thuốc gì. Khám lúc vào viện: bệnh nhân tỉnh nhưng mệt, vẻ mặt hốc hác. Sinh hiệu: mạch 120 lần/phút, huyết áp 90/60 mmHg (tư thế nằm, huyết áp tư thế đứng không đo được do bệnh nhân choáng váng), nhịp thở 22 lần/phút, nhiệt độ 37.8°C, SpO₂ 99% khí trời. Da khô, véo da mất chậm, niêm mạc miệng và lưỡi khô, mắt trũng. Tim nhịp nhanh đều, phổi thông khí rõ, không ran. Bụng mềm, ấn đau nhẹ quanh rốn. Cận lâm sàng: Creatinin huyết thanh 250 μmol/L (xét nghiệm sức khỏe 6 tháng trước Creatinin là 80 μmol/L), Urê 15.2 mmol/L, Na⁺ 148 mmol/L, K⁺ 3.2 mmol/L, HCO₃⁻ 18 mmol/L. Tổng phân tích nước tiểu có tỷ trọng 1.030, không có protein hay hồng cầu, cặn lắng nước tiểu bình thường. Siêu âm bụng cho thấy thận hai bên kích thước và cấu trúc bình thường, không ứ nước.",Can thiệp nào sau đây là quan trọng nhất và cần được thực hiện ngay lập tức?,Cho thuốc kháng sinh phổ rộng đường tĩnh mạch.,Bù dịch tích cực bằng dung dịch tinh thể đẳng trương đường tĩnh mạch.,Dùng thuốc vận mạch để nâng huyết áp.,Cho thuốc lợi tiểu để tăng lượng nước tiểu.,,b,"Nguyên nhân gốc rễ của vấn đề là thiếu dịch. Do đó, việc bù lại thể tích tuần hoàn đã mất bằng dung dịch tinh thể (như NaCl 0.9% hoặc Ringer Lactate) là ưu tiên hàng đầu để phục hồi tưới máu cho các cơ quan, bao gồm cả thận. Thuốc vận mạch chỉ được xem xét nếu huyết áp không cải thiện sau khi đã bù đủ dịch."
noi-suy-than-cap-casen2-1-4,noi,Suy thận cấp,Thận tiết niệu,"TÌNH HUỐNG 1: Bệnh nhân nam, 24 tuổi, sinh viên, được đưa vào cấp cứu vì mệt lả và nôn ói nhiều. Bệnh nhân khai 2 ngày nay bị đau bụng quanh rốn, tiêu chảy liên tục trên 10 lần/ngày, phân lỏng nước, không lẫn máu, kèm theo nôn ói nhiều sau khi ăn uống và sốt nhẹ. Bệnh nhân cảm thấy rất khát, môi khô, chóng mặt khi thay đổi tư thế và đi tiểu rất ít, nước tiểu sậm màu. Tiền sử hoàn toàn khỏe mạnh, không dùng thuốc gì. Khám lúc vào viện: bệnh nhân tỉnh nhưng mệt, vẻ mặt hốc hác. Sinh hiệu: mạch 120 lần/phút, huyết áp 90/60 mmHg (tư thế nằm, huyết áp tư thế đứng không đo được do bệnh nhân choáng váng), nhịp thở 22 lần/phút, nhiệt độ 37.8°C, SpO₂ 99% khí trời. Da khô, véo da mất chậm, niêm mạc miệng và lưỡi khô, mắt trũng. Tim nhịp nhanh đều, phổi thông khí rõ, không ran. Bụng mềm, ấn đau nhẹ quanh rốn. Cận lâm sàng: Creatinin huyết thanh 250 μmol/L (xét nghiệm sức khỏe 6 tháng trước Creatinin là 80 μmol/L), Urê 15.2 mmol/L, Na⁺ 148 mmol/L, K⁺ 3.2 mmol/L, HCO₃⁻ 18 mmol/L. Tổng phân tích nước tiểu có tỷ trọng 1.030, không có protein hay hồng cầu, cặn lắng nước tiểu bình thường. Siêu âm bụng cho thấy thận hai bên kích thước và cấu trúc bình thường, không ứ nước.",Chỉ số xét nghiệm nước tiểu nào sau đây là KHÔNG phù hợp với chẩn đoán tổn thương thận cấp trước thận?,Tỷ trọng nước tiểu > 1.020.,Phân suất thải Natri (FENa) < 1%.,Có nhiều trụ bùn nâu trong cặn lắng.,Nồng độ Natri niệu < 20 mmol/L.,,c,"Trụ bùn nâu (muddy brown casts) là dấu hiệu đặc trưng của tổn thương thực thể tại ống thận, cụ thể là Hoại tử ống thận cấp. Trong tổn thương trước thận, ống thận vẫn còn nguyên vẹn và hoạt động tích cực để tái hấp thu tối đa muối và nước, do đó cặn lắng nước tiểu thường ""sạch"" (không có trụ bệnh lý)."
noi-suy-than-cap-casen2-2-1,noi,Suy thận cấp,Thận tiết niệu,"hưởng, nhưng yếu tố quyết định chính đến khả năng và mức độ hồi phục là mức độ trầm trọng của tổn thương ban đầu. Nếu tình trạng thiếu máu cục bộ hoặc tiếp xúc với độc chất quá nặng và kéo dài, gây tổn thương không chỉ tế bào biểu mô mà cả màng đáy ống thận và mô kẽ, thì khả năng tái tạo và hồi phục hoàn toàn sẽ rất thấp, có thể để lại di chứng bệnh thận mạn. TÌNH HUỐNG 11: Bệnh nhân nam 68 tuổi, tiền sử tăng huyết áp và suy tim phân suất tống máu giảm (HFrEF) đang điều trị bằng Enalapril, Bisoprolol và Furosemide, vào viện vì mệt mỏi và tiểu ít 3 ngày qua sau một đợt tiêu chảy cấp. Khám lâm sàng: mạch 100 l/p, HA 95/60 mmHg, niêm mạc miệng khô, tĩnh mạch cổ xẹp tư thế nằm, phổi không rạn, tim đều, không phù chi dưới. Xét nghiệm: Creatinine máu 210 μmol/L (nền 90 μmol/L), Urê 22 mmol/L, Kali 4.8 mmol/L. Nước tiểu: tỷ trọng 1.025, Natri niệu 15 mmol/L, không có trụ hạt hay hồng cầu.",Chẩn đoán nguyên nhân suy thận cấp phù hợp nhất là:,Hội chứng tim thận tuýp 1.,Viêm thận kẽ cấp tính.,Suy thận cấp trước thận.,Viêm ống thận cấp do thuốc.,,c,"Bệnh nhân có dấu hiệu mất nước rõ (HA thấp, TM cổ xẹp, niêm mạc khô) sau tiêu chảy, kèm chỉ số Natri niệu thấp và tỷ trọng nước tiểu cao, điển hình cho suy thận trước thận."
noi-suy-than-cap-casen2-2-2,noi,Suy thận cấp,Thận tiết niệu,"hưởng, nhưng yếu tố quyết định chính đến khả năng và mức độ hồi phục là mức độ trầm trọng của tổn thương ban đầu. Nếu tình trạng thiếu máu cục bộ hoặc tiếp xúc với độc chất quá nặng và kéo dài, gây tổn thương không chỉ tế bào biểu mô mà cả màng đáy ống thận và mô kẽ, thì khả năng tái tạo và hồi phục hoàn toàn sẽ rất thấp, có thể để lại di chứng bệnh thận mạn. TÌNH HUỐNG 11: Bệnh nhân nam 68 tuổi, tiền sử tăng huyết áp và suy tim phân suất tống máu giảm (HFrEF) đang điều trị bằng Enalapril, Bisoprolol và Furosemide, vào viện vì mệt mỏi và tiểu ít 3 ngày qua sau một đợt tiêu chảy cấp. Khám lâm sàng: mạch 100 l/p, HA 95/60 mmHg, niêm mạc miệng khô, tĩnh mạch cổ xẹp tư thế nằm, phổi không rạn, tim đều, không phù chi dưới. Xét nghiệm: Creatinine máu 210 μmol/L (nền 90 μmol/L), Urê 22 mmol/L, Kali 4.8 mmol/L. Nước tiểu: tỷ trọng 1.025, Natri niệu 15 mmol/L, không có trụ hạt hay hồng cầu.",Cơ chế chính gây tăng Creatinine máu sau khi dùng ACEi ở bệnh nhân mất dịch này là:,Giãn động mạch đi cầu thận.,Co thắt động mạch đến cầu thận.,Hoại tử tế bào biểu mô ống thận.,Tắc nghẽn vi mạch tại cầu thận.,,a,"ACEi ức chế Angiotensin II - chất gây co động mạch đi để duy trì áp lực lọc. Khi mất dịch, cơ thể cần co động mạch đi để bù trừ, việc dùng ACEi gây giãn động mạch đi làm sụt giảm áp lực lọc nhanh chóng (mất bù)."
noi-suy-than-cap-casen2-2-3,noi,Suy thận cấp,Thận tiết niệu,"hưởng, nhưng yếu tố quyết định chính đến khả năng và mức độ hồi phục là mức độ trầm trọng của tổn thương ban đầu. Nếu tình trạng thiếu máu cục bộ hoặc tiếp xúc với độc chất quá nặng và kéo dài, gây tổn thương không chỉ tế bào biểu mô mà cả màng đáy ống thận và mô kẽ, thì khả năng tái tạo và hồi phục hoàn toàn sẽ rất thấp, có thể để lại di chứng bệnh thận mạn. TÌNH HUỐNG 11: Bệnh nhân nam 68 tuổi, tiền sử tăng huyết áp và suy tim phân suất tống máu giảm (HFrEF) đang điều trị bằng Enalapril, Bisoprolol và Furosemide, vào viện vì mệt mỏi và tiểu ít 3 ngày qua sau một đợt tiêu chảy cấp. Khám lâm sàng: mạch 100 l/p, HA 95/60 mmHg, niêm mạc miệng khô, tĩnh mạch cổ xẹp tư thế nằm, phổi không rạn, tim đều, không phù chi dưới. Xét nghiệm: Creatinine máu 210 μmol/L (nền 90 μmol/L), Urê 22 mmol/L, Kali 4.8 mmol/L. Nước tiểu: tỷ trọng 1.025, Natri niệu 15 mmol/L, không có trụ hạt hay hồng cầu.",Chỉ số cận lâm sàng nào hỗ trợ mạnh nhất cho chẩn đoán suy thận trước thận ở ca này:,Phân suất thải Natri (FeNa) < 1%.,Tỷ lệ Urê/Creatinine máu thấp.,Áp suất thẩm thấu nước tiểu giảm.,Protein niệu âm tính.,,a,"FeNa < 1% phản ánh ống thận còn chức năng tái hấp thu Natri tốt để bù trừ tình trạng giảm thể tích tuần hoàn, là tiêu chuẩn phân biệt suy thận trước thận và tại thận."
noi-suy-than-cap-casen2-2-4,noi,Suy thận cấp,Thận tiết niệu,"hưởng, nhưng yếu tố quyết định chính đến khả năng và mức độ hồi phục là mức độ trầm trọng của tổn thương ban đầu. Nếu tình trạng thiếu máu cục bộ hoặc tiếp xúc với độc chất quá nặng và kéo dài, gây tổn thương không chỉ tế bào biểu mô mà cả màng đáy ống thận và mô kẽ, thì khả năng tái tạo và hồi phục hoàn toàn sẽ rất thấp, có thể để lại di chứng bệnh thận mạn. TÌNH HUỐNG 11: Bệnh nhân nam 68 tuổi, tiền sử tăng huyết áp và suy tim phân suất tống máu giảm (HFrEF) đang điều trị bằng Enalapril, Bisoprolol và Furosemide, vào viện vì mệt mỏi và tiểu ít 3 ngày qua sau một đợt tiêu chảy cấp. Khám lâm sàng: mạch 100 l/p, HA 95/60 mmHg, niêm mạc miệng khô, tĩnh mạch cổ xẹp tư thế nằm, phổi không rạn, tim đều, không phù chi dưới. Xét nghiệm: Creatinine máu 210 μmol/L (nền 90 μmol/L), Urê 22 mmol/L, Kali 4.8 mmol/L. Nước tiểu: tỷ trọng 1.025, Natri niệu 15 mmol/L, không có trụ hạt hay hồng cầu.",Xử trí ưu tiên nhất tại thời điểm nhập viện là:,Chạy thận nhân tạo cấp cứu.,Tăng liều Furosemide đường tĩnh mạch.,Dùng vận mạch Dopamin liều thận.,Truyền tĩnh mạch dung dịch NaCl 0.9%.,,d,Bù dịch đẳng trương để khôi phục thể tích tuần hoàn và áp lực tưới máu thận là bước điều trị tiên quyết.
noi-suy-than-cap-casen2-3-1,noi,Suy thận cấp,Thận tiết niệu,"được xử trí kịp thời hoặc kéo dài sẽ dẫn đến thiếu máu cục bộ nhu mô thận, chuyển thành hoại tử ống thận cấp (tại thận). Nguồn: Bài giảng Nội khoa - ĐH Y Hà Nội. TÌNH HUỐNG 12: Bệnh nhân nam 45 tuổi, vào viện vì đau cơ đùi dữ dội và nước tiểu màu nâu đen sau khi bị sập tường đè vào hai chân trong 4 giờ. Khám: HA 150/90 mmHg, mạch 110 l/p, hai đùi sưng nề, căng cứng, đau chói khi chạm vào, cảm giác bàn chân giảm. Cận lâm sàng: Creatinine máu 180 μmol/L, Kali 6.2 mmol/L, CPK 45.000 U/L. Tổng phân tích nước tiểu: Blood (+++) nhưng soi tươi không thấy hồng cầu.",Nguyên nhân gây suy thận cấp ở bệnh nhân này là:,Viêm thận kẽ do thuốc giảm đau.,Hoại tử ống thận cấp do Myoglobin.,Viêm cầu thận cấp sau chấn thương.,Suy thận sau thận do tắc nghẽn niệu đạo.,,b,Bệnh cảnh chèn ép cơ (tiêu cơ vân) giải phóng Myoglobin gây hoại tử ống thận cấp là rất điển hình.
noi-suy-than-cap-casen2-3-2,noi,Suy thận cấp,Thận tiết niệu,"được xử trí kịp thời hoặc kéo dài sẽ dẫn đến thiếu máu cục bộ nhu mô thận, chuyển thành hoại tử ống thận cấp (tại thận). Nguồn: Bài giảng Nội khoa - ĐH Y Hà Nội. TÌNH HUỐNG 12: Bệnh nhân nam 45 tuổi, vào viện vì đau cơ đùi dữ dội và nước tiểu màu nâu đen sau khi bị sập tường đè vào hai chân trong 4 giờ. Khám: HA 150/90 mmHg, mạch 110 l/p, hai đùi sưng nề, căng cứng, đau chói khi chạm vào, cảm giác bàn chân giảm. Cận lâm sàng: Creatinine máu 180 μmol/L, Kali 6.2 mmol/L, CPK 45.000 U/L. Tổng phân tích nước tiểu: Blood (+++) nhưng soi tươi không thấy hồng cầu.",Giải thích hiện tượng Blood (+++) trên que thử nhưng soi không thấy hồng cầu:,Sai sót của máy xét nghiệm nước tiểu.,Nước tiểu bị kiềm hóa quá mức.,Sự hiện diện của Myoglobin niệu.,Tình trạng tán huyết nội mạch cấp tính.,,c,"Que thử nước tiểu phản ứng với nhân heme, do đó cả hemoglobin (trong hồng cầu) và myoglobin đều cho kết quả dương tính. Khi soi kính hiển vi không thấy hồng cầu, chẩn đoán Myoglobin niệu được xác lập."
