id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-viem-noi-tam-mac-nhiem-khuan-mcq-001,noi,Viêm nội tâm mạc nhiễm khuẩn,Tim mạch,,Tổn thương giải phẫu bệnh nguyên phát trong viêm nội tâm mạc nhiễm khuẩn nằm ở đâu?,Cơ tim,Lớp nội mạc,Màng ngoài tim,Hệ thống dẫn truyền,,b,Vị trí tổn thương nguyên phát là lớp nội mạc lót trong các buồng tim và các van tim. Nguồn: Bệnh học nội khoa YHN.
noi-viem-noi-tam-mac-nhiem-khuan-mcq-002,noi,Viêm nội tâm mạc nhiễm khuẩn,Tim mạch,,"Ở bệnh nhân không có tiền sử tiêm chích ma túy, van tim nào bị ảnh hưởng phổ biến nhất trong viêm nội tâm mạc nhiễm khuẩn?",Van động mạch chủ,Van hai lá,Van ba lá,Van động mạch phổi,,b,"Van hai lá là vị trí tổn thương thường gặp nhất, tiếp theo là van động mạch chủ ở quần thể bệnh nhân chung. Nguồn: Bệnh học nội khoa YHN."
noi-viem-noi-tam-mac-nhiem-khuan-mcq-003,noi,Viêm nội tâm mạc nhiễm khuẩn,Tim mạch,,"Ở người bệnh có tiền sử tiêm chích ma túy đường tĩnh mạch, tổn thương viêm nội tâm mạc nhiễm khuẩn thường gặp nhất ở vị trí nào?",Van ba lá,Van động mạch phổi,Van động mạch chủ,Van hai lá,,a,Hơn 50% trường hợp ở người tiêm chích ma túy liên quan đến van ba lá do vi khuẩn đi từ đường tĩnh mạch vào hệ tim phải đầu tiên. Nguồn: Bệnh học nội khoa YHN.
noi-viem-noi-tam-mac-nhiem-khuan-mcq-004,noi,Viêm nội tâm mạc nhiễm khuẩn,Tim mạch,,Tác nhân vi sinh nào là nguyên nhân phổ biến nhất gây viêm nội tâm mạc nhiễm khuẩn bán cấp trên nền van tự nhiên có tổn thương từ trước?,Staphylococcus aureus,Streptococcus viridans,Enterococcus faecalis,Pseudomonas aeruginosa,,b,"Streptococcus viridans thường trú ở khoang miệng, độc lực thấp, là nguyên nhân hàng đầu gây thể bán cấp. Nguồn: Bệnh học nội khoa YHN."
noi-viem-noi-tam-mac-nhiem-khuan-mcq-005,noi,Viêm nội tâm mạc nhiễm khuẩn,Tim mạch,,"Tác nhân nào thường gây bệnh cảnh viêm nội tâm mạc nhiễm khuẩn cấp tính, tiến triển nhanh và phá hủy van tim nặng nề?",Streptococcus gallolyticus,Candida albicans,Staphylococcus epidermidis,Staphylococcus aureus,,d,"Staphylococcus aureus có độc lực cao, gây tổn thương van cấp tính, phá hủy mạnh và thường gặp ở người tiêm chích hoặc can thiệp y tế. Nguồn: Bệnh học nội khoa YHN."
noi-viem-noi-tam-mac-nhiem-khuan-mcq-006,noi,Viêm nội tâm mạc nhiễm khuẩn,Tim mạch,,Yếu tố nào sau đây có nguy cơ CAO NHẤT dẫn đến viêm nội tâm mạc nhiễm khuẩn?,Tràn dịch màng ngoài tim,Tiền sử mang van tim nhân tạo,Hở van ba lá sinh lý,Tăng huyết áp mạn tính,,b,Van tim nhân tạo và tiền sử viêm nội tâm mạc nhiễm khuẩn là các yếu tố nguy cơ cao nhất cần được phân tầng đặc biệt. Nguồn: Bệnh học nội khoa YHN.
noi-viem-noi-tam-mac-nhiem-khuan-mcq-007,noi,Viêm nội tâm mạc nhiễm khuẩn,Tim mạch,,Tổn thương tiền đề nào tạo điều kiện cho vi khuẩn bám dính vào van tim trong cơ chế bệnh sinh của bệnh?,Viêm cơ tim cấp,Phì đại thất trái,Huyết khối vô khuẩn,Vôi hóa màng ngoài tim,,c,"Tổn thương nội mạc dẫn đến hình thành cục máu đông gồm tiểu cầu và fibrin (huyết khối vô khuẩn), tạo ""ổ"" cho vi khuẩn bám vào khi có du khuẩn huyết. Nguồn: Bệnh học nội khoa YHN."
noi-viem-noi-tam-mac-nhiem-khuan-mcq-008,noi,Viêm nội tâm mạc nhiễm khuẩn,Tim mạch,,Cơ chế chính dẫn đến hiện tượng du khuẩn huyết thoáng qua ở người bình thường là gì?,Tăng áp lực tĩnh mạch trung tâm,Tổn thương hàng rào niêm mạc,Rối loạn nhịp tim,Nhồi máu cơ tim cũ,,b,"Du khuẩn huyết thoáng qua thường xảy ra sau các can thiệp hoặc chấn thương tại niêm mạc miệng, đường ruột, tiết niệu. Nguồn: Bệnh học nội khoa YHN."
noi-viem-noi-tam-mac-nhiem-khuan-mcq-009,noi,Viêm nội tâm mạc nhiễm khuẩn,Tim mạch,,Bản chất bệnh sinh của hạt Osler trong viêm nội tâm mạc nhiễm khuẩn là gì?,Tắc mạch do mảnh sùi lớn,Xuất huyết do giảm tiểu cầu,Viêm mạch do phức hợp miễn dịch,Áp xe vi khuẩn tại chỗ,,c,"Hạt Osler hình thành do sự lắng đọng phức hợp miễn dịch ở mạch máu nhỏ, gây viêm mạch cục bộ. Nguồn: Bệnh học nội khoa YHN."
noi-viem-noi-tam-mac-nhiem-khuan-mcq-010,noi,Viêm nội tâm mạc nhiễm khuẩn,Tim mạch,,Bản chất bệnh sinh của hồng ban Janeway khác với hạt Osler ở điểm cốt lõi nào?,Do phản ứng quá mẫn typ 4,Do nhồi máu vi mạch có chứa vi khuẩn,Do rối loạn đông máu nội mạch lan tỏa,Do co thắt mạch máu ngoại vi,,b,"Hồng ban Janeway là những vi áp xe hoặc nhồi máu nhỏ do các mảnh sùi nhỏ mang vi khuẩn trôi đến, không phải do cơ chế miễn dịch. Nguồn: Bệnh học nội khoa YHN."
