id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-suy-thuong-than-man-n2-mcq-001,noi,Suy thượng thận mạn,Nội tiết,,Bệnh Addison là thuật ngữ dùng để chỉ tình trạng nào sau đây?,Suy thượng thận thứ phát do dùng thuốc,Suy thượng thận tiên phát mạn tính,Suy thượng thận cấp tính,Suy thượng thận do suy tuyến yên,,b,Bệnh Addison là suy thượng thận tiên phát mạn tính do tổn thương trực tiếp tại vỏ thượng thận. Nguồn: Bệnh học nội khoa YHN.
noi-suy-thuong-than-man-n2-mcq-002,noi,Suy thượng thận mạn,Nội tiết,,Nguyên nhân phổ biến nhất gây suy thượng thận tiên phát ở các nước phát triển hiện nay là gì?,Viêm thượng thận tự miễn,Lao thượng thận,Xuất huyết thượng thận,Ung thư di căn,,a,"Ở các nước phát triển, khoảng 80-90% các ca suy thượng thận tiên phát là do nguyên nhân tự miễn. Nguồn: CMDT 2026."
noi-suy-thuong-than-man-n2-mcq-003,noi,Suy thượng thận mạn,Nội tiết,,"Ở các nước đang phát triển, nguyên nhân hàng đầu gây suy thượng thận tiên phát là gì?",Ký sinh trùng,Nấm,Lao,Tự miễn,,c,Lao thượng thận vẫn là nguyên nhân hàng đầu gây bệnh Addison ở các nước đang phát triển và khu vực có dịch tễ lao cao. Nguồn: Bệnh học nội khoa YHN.
noi-suy-thuong-than-man-n2-mcq-004,noi,Suy thượng thận mạn,Nội tiết,,Nguyên nhân phổ biến nhất của suy thượng thận thứ phát là do:,U tuyến yên tiết prolactin,Hội chứng Sheehan,Ngừng đột ngột glucocorticoid ngoại sinh,Chấn thương sọ não,,c,"Sử dụng glucocorticoid kéo dài gây ức chế trục hạ đồi - tuyến yên - thượng thận. Khi ngừng thuốc đột ngột sẽ gây suy thượng thận thứ phát. Ý cần nhớ: Khai thác kỹ tiền sử dùng thuốc nam, thuốc khớp."
noi-suy-thuong-than-man-n2-mcq-005,noi,Suy thượng thận mạn,Nội tiết,,Hội chứng tự miễn đa tuyến typ 1 (APS-1) thường bao gồm suy thượng thận kết hợp với bệnh lý nào?,Suy giáp và đái tháo đường typ 1,Nhiễm nấm Candida niêm mạc mạn tính và suy cận giáp,Bệnh Celiac và nhược cơ,Bạch biến và rụng tóc thành từng mảng,,b,"APS-1 đặc trưng bởi tam chứng: nhiễm nấm Candida da niêm mạc, suy cận giáp và bệnh Addison. Nguồn: CMDT 2026."
noi-suy-thuong-than-man-n2-mcq-006,noi,Suy thượng thận mạn,Nội tiết,,Đặc điểm nội tiết cơ bản của suy thượng thận thứ phát là gì?,"Cortisol giảm, ACTH tăng, Aldosterone giảm","Cortisol giảm, ACTH giảm, Aldosterone bình thường","Cortisol giảm, ACTH giảm, Aldosterone giảm","Cortisol giảm, ACTH tăng, Aldosterone bình thường",,b,Tổn thương tuyến yên làm giảm ACTH kéo theo giảm Cortisol. Hệ Renin-Angiotensin không bị ảnh hưởng nên tiết Aldosterone (lớp cầu) vẫn bình thường. Nguồn: Bệnh học nội khoa YHN.
noi-suy-thuong-than-man-n2-mcq-007,noi,Suy thượng thận mạn,Nội tiết,,Hiện tượng sạm da trong bệnh Addison liên quan trực tiếp đến sự tăng tiết chất nào?,Cortisol,Aldosterone,MSH và ACTH,CRH,,c,"Khi Cortisol giảm, tuyến yên tăng tiết ACTH bù trừ. Tiền chất POMC bị cắt thành ACTH và MSH (hormone kích thích hắc tố bào), gây sạm da."
noi-suy-thuong-than-man-n2-mcq-008,noi,Suy thượng thận mạn,Nội tiết,,Hormone Aldosterone được sản xuất chủ yếu ở vùng nào của vỏ tuyến thượng thận?,Lớp cầu,Lớp bó,Lớp lưới,Tủy thượng thận,,a,"Vỏ thượng thận có 3 lớp: lớp cầu tiết mineralocorticoid (Aldosterone), lớp bó tiết glucocorticoid (Cortisol), lớp lưới tiết androgen. Ý cần nhớ: G-F-R tương ứng Salt-Sugar-Sex."
noi-suy-thuong-than-man-n2-mcq-009,noi,Suy thượng thận mạn,Nội tiết,,Cortisol làm tăng đường huyết chủ yếu thông qua cơ chế nào?,Kích thích tế bào beta tụy tiết insulin,Tăng tổng hợp glycogen tại cơ,Tăng tân tạo đường tại gan,Giảm hấp thu glucose ở ruột,,c,"Cortisol là hormone đối kháng insulin, nó kích thích quá trình tân tạo đường (gluconeogenesis) ở gan từ acid amin và glycerol. Nguồn: Sinh lý học."
noi-suy-thuong-than-man-n2-mcq-010,noi,Suy thượng thận mạn,Nội tiết,,Sự bài tiết Aldosterone chịu sự điều hòa chủ yếu bởi yếu tố nào?,Nồng độ ACTH trong máu,Nồng độ Natri và Cortisol máu,Hệ Renin-Angiotensin và nồng độ Kali máu,Nồng độ CRH và thể tích dịch ngoại bào,,c,Aldosterone được điều hòa chủ yếu qua trục Renin- Angiotensin-Aldosterone (RAAS) khi thể tích tuần hoàn giảm và kích thích trực tiếp bởi tình trạng tăng Kali máu.
